DateTime,AddedIPs,RemovedIPs
1551187063,529,0
1551208627,344,1429
1551217656,46,0
1551235662,239,0
1551257239,667,0
1551278795,553,0
1551300423,273,1065
1551318434,28,0
1551332802,465,0
1551354724,523,0
1551376156,466,1455
1551397051,428,0
1551417465,495,0
1551437309,219,0
1551455246,282,1515
1551469625,389,0
1551491210,254,0
1551512827,849,0
1551532655,472,0
1551554316,392,1477
1551575788,82,0
1551581202,121,0
1551602792,633,0
1551622685,436,0
1551644152,41,1331
1551665787,262,0
1551687391,487,0
1551700213,391,0
1551721734,434,1738
1551742640,238,0
1551763078,478,0
1551782858,364,0
1551804484,20,1810
1551813529,381,0
1551833230,243,0
1551854820,547,0
1551874581,128,0
1551887197,258,1834
1551907191,385,0
1551926794,216,0
1551946873,604,0
1551968185,538,0
1551989844,322,2889
1552011402,101,0
1552023994,487,0
1552045667,496,0
1552067224,404,3111
1552088265,413,0
1552108592,704,0
1552128411,509,0
1552150021,330,3633
1552160816,156,0
1552182456,495,0
1552204070,752,0
1552225636,523,0
1552247292,692,2742
1552268831,289,0
1552290693,753,0
1552312224,540,0
1552333845,272,2950
1552355252,95,0
1552371535,543,0
1552391294,599,0
1552412843,562,2330
1552434037,306,0
1552455998,362,0
1552477787,899,0
1552497557,487,2386
1552517208,89,0
1552528074,147,0
1552582005,0,2463
1552614387,1649,0
1552636027,790,0
1552657602,973,0
1552679194,325,2344
1552700901,49,0
1552708360,147,0
1552729793,1086,0
1552748425,557,0
1552758768,0,3095
1552776405,355,0
1552797999,522,0
1552817841,781,0
1552839430,565,1833
1552860982,38,0
1552873609,290,0
1552895219,765,0
1552916861,1014,0
1552936638,325,2043
1552958224,291,0
1552979817,1005,0
1553001434,540,0
1553023221,393,1756
1553032122,18,0
1553050063,117,0
1553071561,1369,0
1553093539,551,0
1553114876,440,2019
1553136455,18,0
1553154399,446,0
1553176156,1122,0
1553190465,407,1519
1553211349,314,0
1553231819,431,0
1553251649,362,0
1553273422,222,1887
1553284274,535,0
1553305895,216,0
1553327428,635,0
1553346978,526,0
1553368587,445,1331
1553395610,297,0
1553417159,748,0
1553437067,743,0
1553458616,41,1865
1553478382,328,0
1553489186,230,0
1553510831,720,0
1553532376,433,1486
1553554133,237,0
1553575943,433,0
1553597181,487,0
1553618832,20,1597
1553629612,361,0
1553651298,266,0
1553672823,769,0
1553694435,506,0
1553714340,276,1705
1553735890,277,0
1553741433,2,0
1553762887,577,0
1553784495,372,0
1553806136,316,1787
1553827699,125,0
1553849166,92,0
1553863579,569,0
1553885257,398,1823
1553902575,226,0
1553923044,559,0
1553942834,459,0
1553962685,0,1729
1553969800,319,0
1553991415,295,0
1554011186,550,0
1554039958,388,0
1554061591,430,2038
1554081397,270,0
1554103020,607,0
1554135497,432,1961
1554155200,256,0
1554175052,191,0
1554196720,826,0
1554218220,406,0
1554239876,253,2226
1554261458,28,0
1554270376,388,0
