DateTime,AddedIPs,RemovedIPs
1540404453,0,1
1540408085,2,1
1540418878,2,1
1540422463,1,2
1540429669,1,2
1540433330,1,1
1540436882,1,1
1540440494,2,2
1540444075,1,1
1540447675,0,1
1540451272,1,2
1540458461,2,0
1540462072,1,1
1540465670,1,1
1540469277,1,1
1540472888,1,1
1540480062,0,1
1540483680,1,1
1540487292,1,0
1540490874,0,1
1540494476,0,1
1540498092,0,1
1540508888,1,0
1540512513,1,0
1540516079,1,0
1540519681,1,1
1540523269,0,2
1540526874,0,1
1540530476,1,1
1540534081,1,1
1540537678,1,0
1540541266,1,0
1540544872,1,1
1540548461,1,1
1540552084,1,1
1540555684,1,1
1540559265,1,1
1540562878,1,1
1540566477,0,1
1540570068,0,1
1540573675,1,1
1540580879,1,0
1540584461,0,1
1540591673,0,1
1540606084,0,1
1540609681,0,1
1540786072,1,0
1540796881,0,1
1540818497,1,0
1540991273,0,1
1540994870,1,0
1541045274,1,0
1541056085,0,1
1541293670,1,0
1541308077,0,1
1541390874,1,0
1541401674,0,1
1541462909,1,0
1541549312,1,0
1541552906,1,0
1541560059,0,4
1541668074,0,1
1541671698,1,0
1541682518,1,0
1541711338,0,1
1541722210,1,0
1541725676,1,0
1541808512,2,0
1541905665,0,1
1541981311,2,0
1541992054,1,2
1542002869,0,1
1542028078,1,0
1542118062,1,0
1542154104,1,0
1542164863,0,1
1542251257,1,2
1542262074,0,1
1542326896,1,0
1542344919,1,0
1542398853,0,1
1542406053,1,0
1542424073,0,2
1542596873,0,1
1542600458,1,0
1542607671,0,1
1542650876,0,1
1542654471,1,0
1542762481,0,1
1542780480,0,1
1542787673,1,0
1542816480,0,1
1542820090,1,0
1542863329,1,0
1542866876,0,1
1542942464,0,1
1543064867,0,1
1543068454,1,0
1543190905,1,0
1543201670,1,0
1543208854,0,1
1543288058,0,1
1543363887,1,0
1543378073,0,1
1543421282,1,0
1543536503,2,0
1543633663,0,1
1543723679,0,1
1543799267,4,0
1543824465,0,1
1543828066,1,0
1543882104,3,0
1543979287,0,1
1544144869,1,0
1544324889,0,3
1544486905,1,0
1544584059,0,1
1544684867,0,1
1544702881,1,0
1544821655,0,1
1544828853,1,0
1544832477,1,0
1544929655,0,2
1544990867,0,1
1544998059,1,0
1545073677,1,0
1545138476,0,1
1545142073,1,0
1545178098,1,0
1545192478,0,1
1545199669,1,0
1545275272,0,1
1545437290,1,0
1545458867,0,1
1545462476,1,0
1545617257,0,1
1545624449,0,1
1545628072,1,0
1545631672,1,0
1545642458,0,1
1545696880,4,0
1545869306,1,0
1545880138,0,1
1545890857,1,0
1545901673,0,1
1545952061,0,1
1545955696,2,0
1546139271,0,4
1546236469,1,0
1546247267,0,1
1546312091,0,1
1546398490,0,1
1546474106,2,0
1546495668,1,0
1546506462,0,1
1546618077,1,0
1546628865,0,1
1546636069,1,0
1546646977,3,0
1546736857,0,1
1546830473,1,0
1546841270,0,1
1546916893,0,2
1546967266,1,0
1547086066,0,1
1547089665,2,3
1547100447,0,1
1547125675,0,1
1547338476,2,0
1547352478,0,1
1547424504,2,0
1547435275,1,0
1547446062,0,1
1547694475,1,0
1547705268,0,1
1547780882,0,1
1547867271,0,2
1548040082,1,0
1548047264,0,1
1548115700,2,0
1548288495,2,0
1548299273,1,0
1548310055,0,1
1548461308,1,0
1548472087,0,3
1548547711,2,0
1548558483,0,2
1548623272,0,1
1548626855,1,0
1548634118,1,0
1548720697,1,0
1548727757,0,2
1548731278,0,1
1548738486,1,0
1548749287,1,0
1548770879,1,0
1548781671,0,1
1548893307,1,0
1548904078,0,1
1548950880,0,1
1548954469,1,0
1548990466,0,2
1549073285,0,1
1549076881,0,1
1549080463,1,0
1549152503,1,0
1549163270,0,1
1549260476,1,0
1549271274,0,1
1549336074,0,1
1549346868,0,1
1549350479,1,0
1549519662,1,0
1549530472,0,1
1549595270,0,1
1549865277,1,0
1549876081,0,1
1550124476,1,0
1550135255,0,1
1550470072,1,0
1550480871,0,1
1550668086,0,1
1550675283,2,0
1550686073,0,1
1550794092,1,0
1550880495,1,0
1551092882,0,1
1551096480,1,0
1551110866,1,0
1551114474,0,1
1551236877,0,1
1551251283,0,1
1551258474,1,0
1551290885,0,1
1551294473,1,0
1551323300,0,1
1551334091,1,0
1551344880,0,1
1551917314,1,0
1551928080,0,1
1552093674,1,0
1552111683,0,1
1552122483,1,0
1552360088,0,1
1552522112,1,0
1552532898,0,1
1552781767,1,0
1552867702,1,0
1552910879,0,1
