DateTime,AddedIPs,RemovedIPs
1559081249,1,0
1559092317,2,1
1559095666,2,0
1559099372,0,2
1559102846,2,0
1559106467,2,2
1559110112,0,1
1559113649,1,1
1559117257,1,1
1559120862,1,0
1559124448,1,1
1559128053,2,2
1559131667,2,2
1559135252,2,1
1559138850,1,2
1559142459,1,2
1559146064,2,2
1559149667,1,1
1559153257,1,1
1559164062,1,2
1559167670,1,0
1559171253,2,1
1559174847,2,1
1559178453,1,2
1559182049,1,1
1559185648,1,2
1559189242,1,1
1559192837,2,0
1559196454,2,2
1559200043,1,2
1559203654,2,1
1559207223,1,1
1559210835,0,2
1559214451,0,1
1559218047,1,0
1559221642,2,1
1559225243,2,2
1559228849,1,0
1559232455,0,1
1559236049,2,2
1559239656,0,2
1559254035,2,0
1559257663,1,0
1559261231,0,1
1559264847,1,1
1559268459,1,1
1559272064,2,0
1559275641,1,2
1559279252,2,1
1559282847,0,1
1559286444,0,1
1559290049,1,1
1559293652,1,2
1559297257,2,0
1559300848,2,1
1559304445,2,1
1559308042,2,2
1559311648,0,2
1559315250,0,1
1559318856,2,2
1559322443,2,0
1559326046,1,1
1559329653,0,2
1559333240,0,1
1559336860,1,1
1559340459,1,0
1559347661,1,0
1559351264,2,2
1559354998,1,0
1559358529,2,2
1559362052,2,2
1559365653,1,1
1559369238,2,2
1559372862,1,1
1559376450,1,2
1559380058,1,2
1559383657,0,1
1559390852,1,1
1559394447,1,0
1559398048,1,0
1559405250,2,0
1559408862,1,2
1559412464,1,2
1559416055,0,1
1559423248,0,1
1559426877,2,0
1559430453,1,2
1559434048,1,1
1559437662,1,1
1559441221,1,0
1559444838,0,1
1559448450,0,1
1559459240,1,0
1559466442,1,0
1559470048,1,1
1559473645,1,1
1559477259,0,1
1559480864,2,1
1559484425,2,1
1559488049,0,1
1559491652,2,2
1559495248,2,2
1559498843,1,0
1559502458,0,3
1559506042,2,2
1559509643,2,0
1559516845,1,2
1559520453,1,1
1559527633,1,1
1559531238,0,1
1559534834,1,0
1559538437,2,0
1559542044,1,1
1559545635,1,2
1559549235,2,1
