DateTime,AddedIPs,RemovedIPs
1549902991,5973,193
1549925058,201,42
1549947158,158,51
1549969228,43,194
1549991335,54,61
1550013381,91,92
1550035226,60,101
1550057082,65,75
1550079162,61,1371
1550101230,53,56
1550123300,102,82
1550145388,47,190
1550167254,53,133
1550189313,49,878
1550211421,40,119
1550233457,34,222
1550255298,36,134
1550277166,13556,44
1550299221,2697,114
1550321311,44,35
1550343369,52,86
1550365223,151,76
1550387318,58,35
1550409397,30,58
1550431454,283,50
1550453565,2265,53
1550475615,2252,102
1550497473,2879,38
1550519537,839,200
1550541635,51,27
1550563717,45,160
1550585793,32,33
1550607638,346,74
1550629490,29,186
1550651534,35,60
1550673628,306,69
1550695692,118,43
1550717781,71,50
1550739663,38,77
1550761726,53,64
1550783798,28,46
1550805860,55,51
1550827961,268,30
1550850018,407,37
1550872089,216,1489
1550894186,94,2928
1550916062,541,23
1550938170,182,42
1550960171,125,45
1550982058,272,100
1551004098,82,35
1551025942,199,26
1551048032,14237,59
1551070102,4769,36
1551092196,86,1225
1551114061,131,1293
1551136363,38,111
1551158438,30,40
1551180508,48,25
1551202360,53,39
1551224446,56,6616
1551246515,34,24
1551268571,33,64
1551290428,3307,146
1551312510,8538,241
1551334579,456,41
1551356426,779,46
1551378490,35,32
1551411616,193,298
1551433698,356,179
1551455798,100,375
1551477878,92,182
1551499723,37,71
1551522029,270,413
1551544115,39,100
1551565961,347,112
1551588036,35,272
1551610093,44,76
1551632191,810,222
1551654308,413,13694
1551676353,31,3467
1551698218,24,136
1551720277,183,202
1551742341,31,138
1551764414,39,32
1551786502,56,56
1551808592,96,56
1551830667,33,36
1551852733,291,35
1551874840,82,33
1551896892,40,4787
1551918739,48,10085
1551940848,86,11104
1551962778,8512,158
1551984736,42,1392
1552006833,151,67
1552028922,42,65
1552050992,34,42
1552072833,41,60
1552094905,39,49
1552116754,39,128
1552138819,62,192
1552160672,24,230
1552182756,41,259
1552204829,47,57
1552226929,32,310
1552248972,27,1198
1552270825,43,34
1552292669,30,35
1552314765,11374,162
1552336835,565,68
1552358901,52,35
1552380763,31,34
1552402852,121,168
1552424920,923,19
1552446971,2070,31
1552468821,35,360
1552490892,146,229
1552513048,63,39
1552535063,31,53
1552556921,39,3804
1552578985,1265,2391
1552601087,4969,104
1552623138,1187,35
1552645251,39,85
1552667335,33,61
1552690052,49,34
1552711953,44,33
1552734067,352,123
1552756128,793,16
1552779215,50,36
1552801211,53,43
1552823053,46,63
1552844899,71,30
1552866977,193,26
1552888858,46,25
1552910934,45,10260
1552932976,303,780
1552954851,541,90
1552976897,57,37
1552998766,61,137
1553020835,29,163
1553042918,41,1477
1553064968,44,402
1553086843,35,92
1553108920,7956,1232
1553130973,28,339
1553152833,28,25
1553175163,29,36
1553197230,62,148
1553219324,31,1343
1553241371,37,32
1553274270,97,38
1553296123,231,66
1553318177,242,24
1553340036,47,427
1553362109,288,57
1553383962,65,61
1553406015,37,38
1553427877,32,482
1553449958,494,1377
1553472047,1075,190
1553494120,130,39
1553516176,644,52
1553538030,35,371
1553559875,128,620
1553582206,23,93
1553604257,42,80
1553626111,2008,35
1553648182,657,27
1553670043,175,34
1553691902,55,69
1553714180,65,8025
1553736297,116,38
1553758372,38,29
1553780451,97,38
1553802510,46,68
1553824353,56,36
1553846198,30,46
1553868290,49,44
1553890583,78,79
1553912439,81,392
1553934491,21,8966
1553956603,92,282
1553978654,35,76
1554000505,67,42
1554022586,24,39
1554044450,44,32
1554066293,54,1202
1554088351,46,204
1554110437,505,597
1554132497,77,1144
1554154352,3967,131
1554176631,860,18
1554198494,87,18
1554220791,1228,32
1554242941,43,2606
1554265016,24,57
1554287051,50,80
1554308895,175,43
1554330762,94,46
1554352812,129,30
1554374674,136,100
1554396756,180,38
1554418621,113,36
1554440683,35,37
1554462743,35,34
1554484594,45,137
1554506669,42,104
1554528745,24,53
1554550834,24,32
1554572913,24,123
1554594995,97,34
1554617076,50,46
1554638918,35,22
1554660969,46,98
1554682814,76,42
1554704667,31,54
1554726534,666,101
