DateTime,Entries,UniqueIPs
1559969061,3722,3722
1559970970,3977,3977
1559973136,4334,4334
1559975051,4383,4383
1559977001,4387,4387
1559978893,4338,4338
1559980848,4341,4341
1559982745,4317,4317
1559984910,4316,4316
1559986811,4317,4317
1559988742,4316,4316
1559990656,4319,4319
1559992815,4319,4319
1559994730,4318,4318
1559996660,4323,4323
1559998568,4318,4318
1560000486,4319,4319
1560002435,4319,4319
1560004328,4305,4305
1560006251,4305,4305
1560008178,4305,4305
1560010118,4298,4298
1560012037,4292,4292
1560013942,4291,4291
1560015849,4297,4297
1560017768,4303,4303
1560019699,4465,4465
1560021607,4565,4565
1560023530,4739,4739
1560025460,4949,4949
1560027370,5107,5107
1560029560,5144,5144
1560031705,5144,5144
1560033645,4969,4969
1560035541,4747,4747
1560037455,4462,4462
1560039380,4242,4242
1560041294,4044,4044
1560043223,3827,3827
1560045132,3569,3569
1560047056,3368,3368
1560048978,3099,3099
1560050894,2833,2833
1560052858,2585,2585
1560054754,2377,2377
1560056664,2119,2119
1560058574,1821,1821
1560060503,1582,1582
1560062421,1581,1581
1560064336,1596,1596
1560066281,1716,1716
1560068179,1717,1717
1560070099,1724,1724
1560072034,1884,1884
1560073960,1885,1885
1560075855,1891,1891
1560077781,1894,1894
1560079698,1891,1891
1560081644,1887,1887
1560083546,1888,1888
1560085470,1889,1889
1560087382,1892,1892
1560089554,1888,1888
1560091454,1887,1887
1560093645,1893,1893
1560095536,1894,1894
1560097476,1893,1893
1560099374,1893,1893
1560101297,1888,1888
1560103269,1883,1883
1560105143,1849,1849
1560107059,1555,1555
1560108985,1454,1454
1560110895,1271,1271
1560112827,963,963
1560114749,958,958
1560116655,915,915
1560118831,914,914
1560120735,906,906
1560122936,903,903
1560124844,1126,1126
1560126748,1539,1539
1560128664,2081,2081
1560130820,2443,2443
1560132737,2693,2693
1560134664,2952,2952
1560136581,3351,3351
1560138497,3650,3650
1560140434,3942,3942
1560142333,4404,4404
1560144253,4661,4661
1560146178,4933,4933
1560148097,5299,5299
1560150043,5680,5680
1560151951,5901,5901
1560153873,5911,5911
1560155782,5906,5906
1560157707,5846,5846
