DateTime,AddedIPs,RemovedIPs
1558337307,1,0
1558341159,0,1
1558350746,1,0
1558352683,3,0
1558362488,0,1
1558364428,0,1
1558366361,1,0
1558368277,0,1
1558370195,1,1
1558372102,0,2
1558379780,0,2
1558383639,0,1
1558387465,1,2
1558389392,0,1
1558391302,1,0
1558395172,1,0
1558397078,1,0
1558398973,0,1
1558402845,1,0
1558410495,1,1
1558412442,2,1
1558416255,0,1
1558418182,1,0
1558422059,1,0
1558423943,1,1
1558429698,2,0
1558431632,1,0
1558437373,0,1
1558439298,0,3
1558446972,1,0
1558450855,1,0
1558452760,1,1
1558456582,0,1
1558466180,1,0
1558468340,1,0
1558474364,0,1
1558478175,0,1
1558480157,1,0
1558482038,0,1
1558487789,1,0
1558489706,0,1
1558491635,1,0
1558497403,0,3
1558503163,1,0
1558505133,0,1
1558507015,0,1
1558508942,1,0
1558510825,1,1
1558516608,2,2
1558518515,0,1
1558531943,1,0
1558533831,1,1
1558537694,0,1
1558539891,0,1
1558545644,2,0
1558549868,1,0
1558551987,0,1
1558554016,0,1
1558563858,1,0
1558565797,1,1
1558567703,1,0
1558569681,1,0
1558573516,1,1
1558575396,1,0
1558577566,0,1
1558591000,0,1
1558594850,0,1
1558596789,0,1
1558602525,0,2
1558604439,1,0
1558606348,1,0
1558619780,0,1
1558621966,0,1
1558623909,1,0
1558629264,0,1
1558631081,0,2
1558635144,0,1
1558637057,2,0
1558646904,1,0
1558648900,1,0
1558650754,0,2
1558652934,0,1
1558656771,0,1
1558658654,0,1
1558662504,1,1
1558668275,1,0
1558670177,1,0
1558691300,0,2
1558701141,1,0
1558708841,0,1
1558714603,1,0
1558716502,1,0
1558722283,1,0
1558724181,0,2
1558726126,1,0
1558729942,1,0
1558733781,0,1
1558735718,0,1
1558743878,1,0
1558745783,1,0
1558747691,1,0
1558751570,1,0
1558753498,0,1
1558755371,0,2
1558774577,1,0
1558776513,1,0
1558781583,1,0
1558787592,0,1
1558791409,1,0
1558793316,1,0
1558801008,0,1
1558802892,0,1
1558807003,3,0
1558808909,0,1
1558810896,0,1
1558812875,1,0
1558818741,1,0
1558820651,1,0
1558830279,1,1
1558832201,3,1
1558834137,0,1
1558847558,0,1
1558859080,1,0
1558860983,0,1
1558862916,1,1
1558867736,0,1
1558879270,0,2
1558884975,0,1
1558894845,1,3
1558898681,0,1
1558904443,0,1
1558906340,0,1
1558908310,1,0
1558910195,1,0
1558915974,0,1
1558919781,0,3
1558945464,0,1
1558949301,0,1
1558951282,1,0
1558963007,1,0
1558982428,0,1
1558992525,1,0
1558995451,1,2
1558997321,1,0
1559035693,3,0
1559037898,0,1
1559041731,1,0
1559043615,1,0
1559045535,1,0
1559047466,1,0
1559049402,1,1
1559051294,1,0
1559053228,2,0
1559055163,1,0
1559078891,0,1
1559080854,0,1
1559082734,1,0
1559084907,1,1
1559087079,2,0
1559089263,1,0
1559091160,1,0
1559094992,1,0
1559096919,1,0
1559102923,2,0
1559104839,1,0
1559106748,1,0
1559116360,1,0
1559122118,0,3
1559131731,0,2
1559133656,0,1
1559135573,1,1
1559137453,0,1
1559139420,1,0
1559141336,0,2
1559143251,0,1
1559145159,1,0
1559154994,1,0
1559159053,1,0
1559164841,1,0
1559170574,1,0
1559172522,0,1
1559174449,1,0
1559176348,0,3
1559178320,0,1
1559180184,0,1
1559182120,0,1
1559184018,0,1
1559185971,0,1
1559189806,0,1
1559191705,0,2
1559193616,1,0
1559203293,0,1
1559207088,1,0
1559220497,0,2
1559222441,1,0
1559224524,1,0
1559226498,0,1
1559232313,0,1
1559241880,0,1
1559243784,1,0
1559245724,0,1
1559247656,1,0
1559249540,2,0
1559251491,0,1
1559257299,0,1
1559259669,1,1
1559267297,1,0
1559273094,1,0
1559280769,0,1
1559284580,1,0
1559292254,1,0
1559294201,0,1
1559305942,1,0
1559310027,0,1
1559311968,0,1
1559321828,1,0
1559331376,1,1
1559333299,0,1
1559337261,0,2
1559346977,0,1
1559352042,1,0
1559353944,11,1
1559359717,0,1
1559361677,1,0
1559369320,0,1
1559378902,1,1
1559391639,1,1
1559408918,1,0
1559410828,1,0
1559416851,0,1
1559422866,1,0
1559430749,9,0
1559436505,1,1
1559440602,0,11
1559448310,1,0
1559463619,1,1
1559465547,1,1
1559467459,0,1
1559477066,2,1
1559486694,1,0
1559494343,0,1
1559496257,1,0
1559498213,0,1
1559500095,2,0
1559502300,2,0
1559510444,0,1
1559518114,0,9
1559523889,3,1
1559527711,1,0
1559535651,0,1
1559537563,12,0
1559547176,1,0
1559549349,0,1
1559553408,0,1
1559557248,1,0
1559564897,0,2
1559572578,0,1
1559582447,0,1
1559586261,0,2
1559588180,1,1
1559592029,1,0
1559595916,1,0
1559610499,0,3
1559612426,0,1
1559614345,1,1
1559624190,1,12
1559635701,0,1
1559643391,0,1
1559651060,13,0
1559674095,0,1
1559677962,0,1
1559681788,0,1
1559689500,1,0
1559697143,1,0
1559701012,0,1
1559702923,1,0
1559704854,1,0
1559710585,0,1
1559717567,1,0
1559733883,11,0
1559737713,0,13
1559741740,1,0
1559772742,1,0
1559776584,0,1
1559788093,0,1
1559790069,0,1
1559795779,1,0
1559797705,1,0
1559803472,2,1
1559807310,1,0
1559809239,1,0
1559817146,2,0
1559819083,0,1
1559820981,0,10
1559824814,1,0
1559826741,0,1
1559828658,0,1
1559832510,3,0
1559840170,1,0
1559844084,1,0
1559857933,1,1
1559873785,1,0
1559881455,0,1
1559883375,0,1
1559885290,1,0
1559887262,2,0
1559889143,0,1
1559891082,0,1
1559892975,0,1
1559894899,1,1
1559898739,2,0
1559902579,0,1
1559904491,0,1
1559908328,1,0
1559912173,1,1
1559914099,1,0
1559917945,1,1
1559919862,0,2
1559927536,0,1
1559929466,0,1
1559944871,1,1
1559958497,0,1
1559970060,0,1
1559971939,1,0
1559973861,0,2
1559979855,1,0
1559981772,0,1
1559983700,0,1
1559985607,0,1
1559995247,0,1
1559997134,1,0
1559999307,1,1
1560001214,1,0
1560005055,0,2
1560007236,1,0
1560017068,1,0
1560018985,1,0
1560020898,1,0
1560030730,0,1
1560042281,1,0
1560044416,1,0
1560057853,1,1
1560067462,0,1
1560084730,0,1
1560086661,0,2
1560094333,1,1
1560102253,0,1
1560104178,1,0
1560106127,0,1
1560108029,1,0
1560111857,1,0
1560117894,1,0
1560127464,0,1
1560129372,0,2
1560133249,1,0
1560135131,1,0
1560142837,1,0
1560144742,0,1
1560146681,2,0
1560162034,2,0
1560180495,0,1
1560187221,1,0
1560191053,1,1
1560192976,1,0
1560194890,1,1
1560197782,0,1
1560205453,0,1
1560209306,1,0
1560220810,1,2
1560228490,0,1
1560232327,0,2
1560240045,1,0
1560247710,0,2
1560249611,1,0
1560261129,1,0
1560266886,1,0
1560268841,1,0
1560272689,2,1
1560278417,1,1
1560280343,0,1
1560282271,2,1
1560294034,3,0
1560295966,0,1
1560301717,3,0
1560307471,0,1
1560313233,1,0
1560317064,1,0
1560326658,0,1
1560328598,2,0
1560332429,3,0
1560336255,1,1
1560342026,1,0
1560343934,1,0
1560345914,1,0
1560347783,1,1
1560351854,1,1
1560355711,1,1
1560361455,1,2
1560363629,0,1
1560365549,1,0
1560367452,0,2
1560379263,1,2
1560381145,0,1
1560388820,0,3
1560399632,0,1
1560403460,0,1
1560414981,1,2
1560418815,2,3
1560422904,8,1
1560424832,35,0
1560428653,0,1
1560430586,1,1
1560435376,0,2
1560437548,0,1
1560443307,0,1
1560445464,1,0
1560447418,0,1
1560453147,0,1
1560465140,1,0
1560467081,0,1
1560474991,1,0
1560496353,1,0
1560500191,0,1
1560502104,2,0
1560505958,0,2
1560507866,1,0
1560509789,1,18
1560511711,0,25
1560513660,2,0
1560515548,0,1
1560531384,0,1
1560537148,1,0
1560544819,1,0
1560546760,1,0
1560552014,1,1
1560557789,1,0
1560559698,1,1
1560563551,1,0
1560565465,1,0
1560567375,1,0
1560573153,2,0
1560582771,0,1
1560586585,1,0
1560588513,0,2
1560594263,0,1
1560596172,0,1
1560598093,1,0
1560600985,2,2
1560610577,1,0
1560622096,1,0
1560624027,0,1
1560630041,0,1
1560633867,0,1
1560635770,1,0
1560640589,0,1
1560644418,0,1
1560648255,0,1
1560652091,0,1
1560654046,0,1
1560657887,1,0
1560659771,1,2
1560663610,1,0
1560673244,0,1
1560683797,0,2
1560685719,0,1
1560687625,0,1
1560697225,0,1
1560708731,2,1
1560722176,1,1
1560725953,1,0
1560735618,1,0
1560739480,2,0
1560745235,0,1
1560747164,0,1
1560750979,1,1
1560787516,1,0
1560793210,1,0
1560795148,0,2
1560806665,1,0
1560808576,1,1
1560812447,1,1
1560820096,1,0
1560823960,0,1
1560825853,0,2
1560837662,0,1
1560841480,1,0
1560865707,1,0
1560873373,0,1
1560877276,1,0
1560881057,0,1
1560892574,1,1
1560896446,0,1
1560899232,0,1
1560906973,0,1
1560910835,1,0
1560927155,0,1
1560933145,7,0
1560935338,9,0
1560937228,8,0
1560939390,8,0
