DateTime,AddedIPs,RemovedIPs
1553418985,0,1
1553442046,0,1
1553455692,1,0
1553470473,1,0
1553472326,0,1
1553540712,1,0
1553542770,0,1
1553556492,0,1
1553565284,1,0
1553588423,1,0
1553599954,1,0
1553621057,1,0
1553626354,1,0
1553628257,0,1
1553651571,0,1
1553664981,1,0
1553674572,0,1
1553688097,0,1
1553707353,0,1
1553714184,0,1
1553747773,0,1
1553782591,1,0
1553790489,1,0
1553827948,1,0
1553850979,1,0
1553858655,1,0
1553860600,1,0
1553870183,0,1
1553874018,1,0
1553875935,0,1
1553887691,1,0
1553899217,1,0
1553901134,1,0
1553904974,1,0
1553914729,0,1
1553934039,1,0
1553937864,0,1
1553946506,0,1
1553952257,0,1
1553959977,1,0
1553973383,0,1
1553982996,1,0
1553986947,0,2
1553990788,0,1
1554008184,1,0
1554019719,0,1
1554037000,3,0
1554038906,0,1
1554046823,0,1
1554067731,1,0
1554069652,0,1
1554085456,2,0
1554095067,0,1
1554120512,1,0
1554122429,0,2
1554124356,0,1
1554153883,0,1
1554169452,1,0
1554171388,0,2
1554180975,1,0
1554186999,1,0
1554188925,1,0
1554208122,0,1
1554220795,2,0
1554254905,0,1
1554268336,0,1
1554274098,0,1
1554276011,0,1
1554277966,1,0
1554279851,1,0
1554308194,0,2
1554335086,1,0
1554342736,1,0
1554360289,1,0
1554366049,0,1
1554367976,0,1
1554394835,1,0
1554402799,1,0
1554420257,0,1
1554422171,1,0
1554430108,0,1
1554432017,1,0
1554447748,0,1
1554451504,2,0
1554455298,1,0
1554480502,0,1
1554488909,0,1
1554490899,1,0
1554504770,1,0
1554508577,0,1
1554517459,0,1
1554538838,0,1
1554540754,0,1
1554554181,1,0
1554565699,1,0
1554577257,1,1
1554590683,0,1
1554592575,1,0
1554598342,1,0
1554604100,1,0
1554606099,1,0
1554631016,1,0
1554638920,1,0
1554640835,0,1
1554646576,1,0
1554648504,1,0
1554652348,0,1
1554662900,0,1
1554680173,0,1
1554685948,0,1
1554687883,1,0
1554691697,0,2
1554710904,1,0
1554716665,0,1
1554724606,0,1
1554731340,1,1
1554735163,0,1
1554738993,1,0
1554770429,1,0
1554774286,0,1
1554793479,2,0
1554795373,1,0
1554797320,0,1
1554825145,0,1
1554855641,0,1
1554865273,1,0
1554867169,1,0
1554879143,0,1
1554881057,0,2
1554883006,0,1
1554889706,1,0
1554918011,1,0
1554932414,1,0
1554952571,0,1
1554954518,0,1
1554966254,1,0
1554972027,1,0
1554975855,0,1
1554977771,1,0
1554996541,1,0
1555019530,0,1
1555050292,1,0
1555052203,0,1
1555057969,0,1
1555063752,0,1
1555067555,0,1
1555080987,0,1
1555125643,1,0
1555135277,0,1
1555162354,2,0
1555187317,1,0
1555203136,1,0
1555210875,0,1
1555220435,0,1
1555222346,1,0
1555234091,1,0
1555248488,0,1
1555250448,0,1
1555256186,1,0
1555260034,1,0
1555263872,1,0
1555273465,0,1
1555281161,1,0
1555283097,1,0
1555286916,2,0
1555291058,0,1
1555298661,1,0
1555308276,2,1
1555322073,0,1
1555323875,1,0
1555341404,2,0
1555343295,0,1
1555345237,0,1
1555350997,0,1
1555352905,1,0
1555356737,2,0
1555362493,1,0
1555364678,1,0
1555369328,0,2
1555373085,0,2
1555374980,1,0
1555386490,0,1
1555394210,0,2
1555399950,1,0
1555409805,0,1
1555427075,0,1
1555428995,0,1
1555438589,0,1
1555442654,0,1
1555444596,0,1
1555446679,1,0
1555448688,0,1
1555450852,0,1
1555462362,1,1
1555472175,1,0
1555486274,0,1
1555488303,1,0
1555524986,1,0
1555532655,0,1
1555549937,0,1
1555559779,0,1
1555573233,1,0
1555575141,0,1
1555584733,1,0
1555594367,2,0
1555602265,1,0
1555612131,0,1
1555647378,1,0
1555649300,1,0
1555658903,0,1
1555670663,0,1
1555678350,1,0
1555680254,1,1
1555682357,0,1
1555688179,0,1
1555701608,1,0
1555707373,1,0
1555734271,0,1
1555736188,0,1
1555762100,1,0
1555764024,0,1
1555765968,1,0
1555767853,0,1
1555779371,1,0
1555788031,0,1
1555793791,0,1
1555842523,1,0
1555848301,0,1
1555852352,0,1
1555867007,0,1
1555926493,0,1
1555949776,1,0
1556014353,1,0
1556035701,0,1
1556066898,1,0
1556078531,1,0
1556099771,0,1
1556152116,0,1
1556163620,0,1
1556248113,1,0
1556251934,1,0
1556271164,1,0
1556334999,0,1
1556338834,0,1
1556356094,0,1
1556412967,1,0
1556420926,1,0
1556424755,1,0
1556475851,1,0
1556495301,1,0
1556501061,0,1
1556507082,0,1
1556510908,0,1
1556551217,1,0
1556561792,0,1
1556576171,1,0
1556580501,1,0
1556582523,0,1
1556603775,1,0
1556613386,1,0
1556638582,0,1
1556650095,1,0
1556653932,1,0
1556655907,1,0
1556661683,0,1
1556668070,0,1
1556673857,1,0
1556689466,0,1
1556700987,1,1
1556714428,1,0
1556735553,0,1
1556739378,0,1
1556741292,0,1
1556743161,1,0
1556760259,1,1
1556773709,1,0
1556787376,0,1
1556800829,0,1
1556804739,1,0
1556829882,0,1
1556845325,1,0
1556847156,0,1
1556860574,0,1
1556875957,1,0
1556890579,0,1
1556931154,1,0
1556933060,0,1
1556942675,1,0
1556946531,1,0
1556979388,0,1
1556990912,1,0
1557000518,2,0
1557017781,1,1
1557028371,0,1
1557034130,0,1
1557042034,1,0
1557043962,1,0
1557045855,1,0
1557076831,0,1
1557082598,1,0
1557086491,1,1
1557088360,0,1
1557103716,0,1
1557127715,0,1
1557129666,0,1
1557133481,0,1
1557137329,1,0
1557141162,1,0
1557143058,1,0
1557152675,1,0
1557160363,1,0
1557162289,1,0
1557168042,0,1
1557173778,0,1
1557202100,1,0
1557207872,1,0
1557223471,0,1
1557227306,0,1
1557229215,0,1
1557240739,0,1
1557246491,1,1
1557248468,0,1
1557288747,0,1
1557294502,0,1
1557302173,1,0
1557333380,0,1
1557348775,1,0
1557355546,1,0
1557375164,1,0
1557388955,0,1
1557435136,0,1
1557442383,0,1
1557458679,0,1
1557464469,1,0
1557549392,0,1
1557562604,1,0
1557619488,1,0
1557648745,0,1
1557704903,0,1
1557716178,1,0
1557720041,1,0
1557799556,1,0
1557803332,0,1
1557805221,1,0
1557807136,0,1
1557816998,1,0
1557846334,1,0
1557852295,1,0
1557873886,1,0
1557887304,0,1
1557889254,1,0
1557893099,0,1
1557898844,1,0
1557900781,1,0
1557902660,1,1
1557919944,1,0
1557925731,1,0
1557927619,1,0
1557933405,0,1
1557939156,0,1
1557960281,0,1
1557975864,0,1
1557985460,0,1
1557987411,0,1
1557989309,0,1
1558007324,0,1
1558011140,0,1
1558013059,0,1
1558017859,1,0
1558034413,1,0
1558042109,1,0
1558098052,1,0
1558101823,1,0
1558105701,0,1
1558109788,1,0
1558123724,1,0
1558129452,0,1
1558172183,1,0
1558181792,0,1
1558183696,0,1
1558189457,0,1
1558193303,1,0
1558197140,0,1
1558210585,0,1
1558214687,1,0
1558231946,1,0
1558247300,1,0
1558259061,0,1
1558280197,0,1
1558299383,1,1
1558305189,2,0
1558307085,1,0
1558316910,0,1
1558334186,0,1
1558378361,1,0
1558386087,0,1
1558391778,0,2
1558393730,0,1
1558432128,1,0
1558462963,0,1
1558466891,1,0
1558483700,1,0
1558518515,0,1
1558554017,0,1
1558557886,1,0
1558569691,0,1
1558642844,0,1
1558647371,1,0
1558687489,1,0
1558699291,1,0
1558720361,1,0
1558733782,0,1
1558743879,1,0
1558753516,1,0
1558772677,0,1
1558785652,0,1
1558807003,0,1
1558830280,0,1
1558834138,1,0
1558839908,0,1
1558864869,1,0
1558913577,1,0
1558919325,1,0
1558921242,0,1
1558944541,1,0
1558950506,0,1
1558965889,1,0
