DateTime,AddedIPs,RemovedIPs
1559967130,3,4
1559969062,2,4
1559970971,1,7
1559973136,5,3
1559975051,1,4
1559977002,3,3
1559978894,2,2
1559980856,2,5
1559982746,5,1
1559984911,17,3
1559986812,15,5
1559988743,3,5
1559990657,2,3
1559992816,2,5
1559994730,5,4
1559996660,5,0
1559998569,5,3
1560000486,5,1
1560002439,5,2
1560004329,3,3
1560006255,2,1
1560008179,3,1
1560010119,3,5
1560012038,2,5
1560013942,6,6
1560015850,6,4
1560017769,5,2
1560019700,5,0
1560021608,3,2
1560023531,2,1
1560025460,0,3
1560027370,0,1
1560029561,3,1
1560031706,0,2
1560033645,2,4
1560035541,3,0
1560037455,2,2
1560039381,1,2
1560041294,0,1
1560043224,4,1
1560045133,2,3
1560047057,5,1
1560048979,1,1
1560050894,2,3
1560052863,3,2
1560054754,3,2
1560056688,0,1
1560058575,1,6
1560060503,1,1
1560062422,2,2
1560064336,0,1
1560066282,1,3
1560068179,499,2
1560070099,2,11
1560072035,4,25
1560073960,6,0
1560075855,2,4
1560077781,5,2
1560079699,1,3
1560081648,2,3
1560083547,4,5
1560085473,8,7
1560087382,1,2
1560089554,5,3
1560091455,4,2
1560093645,2,1
1560095536,23,2
1560097476,4,3
1560099384,2,3
1560101297,4,3
1560103297,2,9
1560105143,5,3
1560107061,1,5
1560108985,3,1
1560110896,2,1
1560112828,6,1
1560114749,5,2
1560116655,1,2
1560118831,6,2
1560120735,2,2
1560122936,2,5
1560124865,1,2
1560126749,2,1
1560128667,10,1
1560130820,1,5
1560132737,4,3
1560134664,5,3
1560136582,6,1
1560138497,5,1
1560140434,4,4
1560142333,6,0
1560144253,5,2
1560146179,4,1
1560148097,1,2
1560150055,1,1
1560151951,2,3
1560153878,7,499
1560155783,5,3
1560157707,2,2
1560159618,4,8
1560161537,3,2
1560163464,3,0
1560165382,3,1
1560167296,2,1
1560169247,1,3
1560171148,1,6
1560173059,4,0
1560174980,4,1
1560176893,2,3
1560179778,5,2
1560181691,3,25
1560183620,2,2
1560185530,1,1
1560187696,6,4
1560190586,7,7
1560192739,3,1
1560194669,2,3
1560196599,1,2
1560198491,5,1
1560200440,2,7
1560202340,2,1
1560204514,2,5
1560206414,1,6
1560208334,1,4
1560210262,3,2
1560212174,0,2
1560214377,1,2
1560216251,3,9
1560218178,3,0
1560220108,2,9
1560222973,2,8
1560224894,5,4
1560226820,10,4
1560228733,2,4
1560230652,4,5
1560232576,2,5
1560234489,0,1
1560236441,4,2
1560238347,5,4
1560240285,4,7
1560242171,2,6
1560244104,2,2
1560246014,2,11
1560247933,3,4
1560249870,4,3
1560251777,2,4
1560253708,1,2
1560255626,4,1
1560257544,1,1
1560259454,7,2
1560261380,6,3
1560263292,3,2
1560265232,4,2
1560267147,8,3
1560269065,4,3
1560270972,5,0
1560272910,3,3
1560274819,1,3
1560276745,5,6
1560278675,7,3
1560280578,3,2
1560282507,3,2
1560284457,3,5
1560286339,1,0
1560288261,4,4
1560290177,3,1
1560292099,3,2
1560294032,6,0
1560295965,3,3
1560297895,3,2
1560299772,4,2
1560301716,6,2
1560303615,1,3
1560305536,2,3
1560307470,0,1
1560309373,1,2
1560311294,1,4
1560313232,3,8
1560315133,1,4
1560317063,4,5
1560318990,5,2
1560320914,2,0
1560322865,4,4
1560324753,6,5
1560326657,3,4
1560328597,5,1
1560330495,3,3
1560332428,7,3
1560334344,4,4
1560336254,2,5
1560338178,3,1
1560340114,3,0
1560342025,3,1
1560343933,3,1
1560345913,1,8
1560347782,5,6
1560349888,5,4
1560351854,4,2
1560353794,6,7
1560355709,3,4
1560357612,2,7
1560359558,2,1
1560361454,4,4
1560363628,6,8
1560365548,3,7
1560367451,1,4
1560369372,4,0
1560371298,2,2
1560373225,0,1
1560375137,4,3
1560377063,4,3
1560379262,3,3
1560381144,2,3
1560383073,4,4
1560384994,1,4
1560386906,0,3
1560388819,4,5
1560390754,18,1
1560392662,2,2
1560394587,1,1
1560396512,0,1
1560398490,2,1
1560400353,4,1
1560402287,839,1
1560404183,4,5
1560406355,2,3
1560408266,3,4
1560410190,1,4
1560412106,3,6
1560414027,5,7
1560415957,5,4
1560417877,1,4
1560419796,3,3
1560421705,5,3
1560423648,23,3
1560425561,22,5
1560427467,1,4
1560429386,5,2
1560431316,2,4
1560433217,2,1
1560435146,3,8
1560437089,0,2
1560438982,1,2
1560440910,1,8
1560442825,3,2
1560445007,1,2
1560446906,1,6
1560448868,1,6
1560450743,4,3
1560452909,2,4
1560454816,5,5
1560456765,1,2
1560458662,2,1
1560460590,0,2
1560462496,1,5
1560464416,3,3
1560466348,1,2
1560468257,1,1
1560470174,0,1
1560472108,2,0
1560474047,2,1
1560475952,2,21
1560477885,1,1
1560479796,3,1
1560481701,2,0
1560483619,3,1
1560485546,3,4
1560487462,2,1
1560489388,5,840
1560491304,1,4
1560493237,1,3
1560495153,2,4
1560497065,6,2
1560498984,7,3
1560500915,2,7
1560502882,3,4
1560504759,3,3
1560506680,6,3
1560508578,3,0
1560510517,4,41
1560512421,5,6
1560514600,4,3
1560516746,2,3
1560518671,2,2
1560520574,2,2
1560522504,2,2
1560524473,3,2
1560526347,6,1
1560528272,1,2
1560530193,1,3
1560532103,7,1
1560534272,4,1
1560536434,4,1
1560538354,4,3
1560540292,5,2
1560542185,1,4
1560544097,3,2
1560546087,5,0
1560547950,3,0
1560549864,4,1
1560552013,5,7
1560553941,2,2
1560557788,5,1
1560559697,1,2
1560561620,0,1
1560563550,3,2
1560565464,1,2
1560567374,2,1
1560569305,4,3
1560571262,0,3
1560573152,4,2
1560575057,0,2
1560576989,1,4
1560578910,2,1
1560580822,1,1
1560582755,2,3
1560584669,1,5
1560586585,2,2
1560588512,2,3
1560590417,2,0
1560592352,3,5
1560594262,2,3
1560596171,6,4
1560598092,3,2
1560600051,4,4
1560601936,5,5
1560603857,2,2
1560605777,0,3
1560607702,2,2
1560609622,3,1
1560611546,3,6
1560613451,2,4
1560615382,2,1
1560617317,3,2
1560619225,3,6
1560621140,1,3
1560623062,8,4
1560624980,1,4
1560626903,0,5
1560628866,3,1
1560630734,1,4
1560632680,5,5
1560634577,2,3
1560636497,5,2
1560638412,2,5
1560640333,3,2
1560642251,5,0
1560644179,10,6
1560646092,0,1
1560648036,1,0
1560649950,0,4
1560651869,7,1
1560653794,5,4
1560655692,3,3
1560657688,4,2
1560659544,3,4
1560661482,3,0
1560663399,4,1
1560665325,2,3
1560667240,3,3
1560669161,10,4
1560671067,1,1
1560672978,2,4
1560674891,2,2
1560676822,4,2
1560678754,4,4
1560680675,2,2
1560682604,1,6
1560684514,6,1
1560686458,1,3
1560688344,0,3
1560690289,2,2
1560692171,2,0
1560694104,1,2
1560696036,3,3
1560697960,1,3
1560699884,2,1
1560701774,3,1
1560703710,3,2
1560705619,3,4
1560707531,2,2
1560709458,2,6
1560711402,4,3
1560713289,1,0
1560715226,0,4
1560717140,4,3
1560719081,4,7
1560720993,0,2
1560722923,3,7
1560725952,9,3
1560727957,5,4
1560729878,5,11
1560731772,3,3
1560733697,5,7
1560735618,8,0
1560737561,3,3
1560739479,6,2
1560741389,2,2
1560743294,3,1
1560745234,0,3
1560747163,6,3
1560749054,1,3
1560750978,3,7
1560752908,2,1
1560754838,5,7
1560756770,4,1
1560758683,5,1
1560760574,3,2
1560762501,6,3
1560764414,5,5
1560766332,0,1
1560768282,4,1
1560770184,1,4
1560772092,2,2
1560774048,3,1
1560775953,3,0
1560777884,0,2
1560779783,4,2
1560781712,1,1
1560783649,1,2
1560785561,3,1
1560787507,4,3
1560789376,0,4
1560791310,2,6
1560793209,3,4
1560795147,9,4
1560797073,0,4
1560798982,0,5
1560800919,1,1
1560802811,4,1
1560804751,1,2
1560806664,6,0
1560808575,4,2
1560810512,3,3
1560812437,3,5
1560814357,5,4
1560816259,9,5
1560818182,1,3
1560820094,6,4
1560822032,2,6
1560823959,1,4
1560825852,3,5
1560827794,1,2
1560829707,4,2
1560831642,4,0
1560833794,5,4
1560835790,3,1
1560837645,1,3
1560839557,1,5
1560841471,3,6
1560843392,2,3
1560845303,2,4
1560847212,2,8
1560849156,3,5
1560851059,3,4
1560852884,2,0
1560854912,3,5
1560858053,6,3
1560859940,2,4
1560861854,2,3
1560863898,56,1
1560865706,3,1
1560867612,0,5
1560869535,3,1
1560871489,4,3
1560873372,3,2
1560875311,3,3
1560877271,5,2
1560879158,1,2
1560881056,3,2
1560882983,2,8
1560884920,5,0
1560886833,2,1
1560888759,3,3
1560890682,2,3
1560892573,4,4
1560894512,3,4
1560896444,0,1
1560899231,3,7
1560901210,5,3
1560903160,5,8
1560905052,1,2
1560906972,0,6
1560908893,2,3
1560910834,4,2
1560912749,3,2
1560914662,7,1
1560916609,3,4
1560918499,9,2
1560920445,9,5
1560922340,17,3
1560924318,3,0
1560926180,577,1
1560928122,1,2
1560930008,2,1
1560931978,7,1
1560933855,9,2
1560935781,10,2
1560937712,14,3
1560939639,9,3
