DateTime,AddedIPs,RemovedIPs
1559315780,0,1
1559317967,6,0
1559319882,1,0
1559321830,0,1
1559323693,1,2
1559327585,2,0
1559331378,1,0
1559333301,2,1
1559337263,1,0
1559343120,1,1
1559345078,2,0
1559346979,1,0
1559348892,1,0
1559352044,1,0
1559355871,1,0
1559357785,1,0
1559363569,1,0
1559365520,1,8
1559367375,0,8
1559369322,0,12
1559373135,0,5
1559375062,0,33
1559378904,0,6
1559380818,0,1
1559388492,1,0
1559393551,0,1
1559401362,1,0
1559403395,0,6
1559407218,0,1
1559409138,7,1
1559411057,3,0
1559413014,1,0
1559414923,0,2
1559416853,1,0
1559418932,0,3
1559422906,0,1
1559430751,0,1
1559432663,0,3
1559434581,0,1
1559436507,0,1
1559442510,9,2
1559444547,56,0
1559446356,6,0
1559450185,2,1
1559452125,0,1
1559454027,1,0
1559457871,1,0
1559461703,3,0
1559463621,2,0
1559475153,0,1
1559477068,3,0
1559478980,2,0
1559480931,1,0
1559482843,1,0
1559484765,1,0
1559486696,1,0
1559488580,0,1
1559494344,0,3
1559496259,0,6
1559498214,0,1
1559500096,0,1
1559502301,4,0
1559504181,1,1
1559506303,1,0
1559508258,2,0
1559510445,2,0
1559514260,3,0
1559529623,0,20
1559531537,0,45
1559533465,1,6
1559537565,0,2
1559541408,0,1
1559543292,1,0
1559545309,0,1
1559547178,2,0
1559549350,0,5
1559551243,9,0
1559553410,36,0
1559561081,69,0
1559562983,4,2
1559564899,0,2
1559566848,0,2
1559568776,18,1
1559570682,66,0
1559572579,2,1
1559574541,3,1
1559578347,5,0
1559584359,1,0
1559586263,1,0
1559588182,0,4
1559590094,0,1
1559592031,0,1
1559595919,29,3
1559597782,3,1
1559600786,5,3
1559610501,1,0
1559620365,0,1
1559622281,2,0
1559624192,1,0
1559629946,58,1
1559631946,104,0
1559633808,85,2
1559635703,94,0
1559637642,19,9
1559639545,86,36
1559641454,17,0
1559645308,1,0
1559647234,0,50
1559649134,0,19
1559654901,2,2
1559656940,0,54
1559658977,0,2
1559660900,0,3
1559664731,2,5
1559666659,2,0
1559668573,6,0
1559670514,0,1
1559672438,2,1
1559674352,1,0
1559680087,9,0
1559682021,21,22
1559683943,0,10
1559685859,0,1
1559687772,0,4
1559689699,3,0
1559695455,1,0
1559697377,0,1
1559705297,3,0
1559709173,0,3
1559716809,0,46
1559718734,0,46
1559720683,0,90
1559722604,0,84
1559724500,0,110
1559726421,53,102
1559728421,60,17
1559732169,0,1
1559736047,2,0
1559737936,2,0
1559740105,4,2
1559751659,0,3
1559753568,0,1
1559755481,0,6
1559759328,0,2
1559761244,0,1
1559765088,0,7
1559766973,0,2
1559768898,0,21
1559776586,0,3
1559782334,2,1
1559791943,0,3
1559809241,2,0
1559811133,4,0
1559813064,5,67
1559814972,3,46
1559822897,1,2
1559824815,11,4
1559826743,78,2
1559828659,78,0
1559830586,75,0
1559832512,82,0
1559834448,9,0
1559840171,2,0
1559848100,3,0
1559850018,1,0
1559851963,1,0
1559857934,1,0
1559868010,0,2
1559869932,2,0
1559871863,1,0
1559877617,2,0
1559883376,1,0
1559885292,3,0
1559887311,1,0
1559889144,45,0
1559891084,75,0
1559892976,80,0
1559894900,74,1
1559896812,82,1
1559898740,66,9
1559900660,72,3
1559902580,73,0
1559904493,85,0
1559906414,4,0
1559908329,39,1
1559910261,49,0
1559912174,10,55
1559914100,0,68
1559916081,0,57
1559917947,0,73
1559919866,0,50
1559921776,2,0
1559927537,1,2
1559933322,0,2
1559935216,3,2
1559939062,0,1
1559940976,1,0
1559942913,0,1
1559948677,2,0
1559951839,1,0
1559957536,0,2
1559959546,1,1
1559963322,2,2
1559969064,0,1
1559970973,1,3
1559973138,0,1
1559975053,0,25
1559977004,0,80
1559978896,0,71
1559980891,0,77
1559982748,24,65
1559984914,0,28
1559986813,18,44
1559988745,1,70
1559990659,0,65
1559992818,0,88
1559994732,0,81
1559996662,2,80
1559998570,1,10
1560004332,2,0
1560008181,0,2
1560013944,0,1
1560021610,0,3
1560023533,1,0
1560027372,0,1
1560033647,3,2
1560035543,1,0
1560037457,0,1
1560045134,0,1
1560048981,1,2
1560058576,0,1
1560068181,0,15
1560070101,1,9
1560072037,1,9
1560073962,1,10
1560077783,1,0
1560083550,1,3
1560089556,0,2
1560095538,1,0
1560099385,2,0
1560105145,1,0
1560107063,44,0
1560108987,8,1
1560110898,3,0
1560112830,3,0
1560114751,3,0
1560118833,1,0
1560120737,0,3
1560122938,0,1
1560136584,0,1
1560155784,1,1
1560157709,1,1
1560161538,0,1
1560163465,0,1
1560165383,1,0
1560169248,2,1
1560171149,1,0
1560176894,1,0
1560178868,1,0
1560180744,0,1
1560184573,1,2
1560190339,0,1
1560192265,1,3
1560194177,1,45
1560196347,2,4
1560198258,1,5
1560200183,0,2
1560202097,3,2
1560204056,0,1
1560213866,1,0
1560219624,1,0
1560221538,1,0
1560227295,1,0
1560230172,1,0
1560234017,1,0
1560235949,1,0
1560239782,2,0
1560241704,36,1
1560244578,49,1
1560246511,2,0
1560252270,0,1
1560254182,7,1
1560256096,4,2
1560258049,8,0
1560259955,29,0
1560261892,2,0
1560263949,0,2
1560265932,3,0
1560271939,2,1
1560275789,1,0
1560277701,0,1
1560281549,0,2
1560283495,0,1
1560285382,0,1
1560287318,0,3
1560295968,1,0
1560299776,1,1
1560303618,1,0
1560305539,0,1
1560307473,0,1
1560313235,1,1
1560317066,0,1
1560320917,0,1
1560322926,0,1
1560326661,35,25
1560328600,0,13
1560330498,1,40
1560332431,3,11
1560338181,4,0
1560340117,2,0
1560342029,0,9
1560343937,0,9
1560345917,0,29
1560347785,0,3
1560349892,1,0
1560351857,31,3
1560357616,0,1
1560359561,0,1
1560361457,1,1
1560367454,1,0
1560379266,1,0
1560381147,1,0
1560383076,0,1
1560384997,6,1
1560386910,3,0
1560388823,22,0
1560390757,1,1
1560394590,1,0
1560398545,2,0
