DateTime,AddedIPs,RemovedIPs
1559967133,718,16
1559969065,805,41
1559970974,687,15
1559973140,916,14
1559975054,239,55
1559977005,8,12
1559978897,1,17
1559980898,16,11
1559982749,1,370
1559984915,13,11
1559986815,5,8
1559988746,9,10
1559990660,7,8
1559992819,14,7
1559994733,11,7
1559996663,9,19
1559998572,3,15
1560000489,11,12
1560002463,10,6
1560004333,3,89
1560006268,9,8
1560008182,7,10
1560010122,4,11
1560012041,12,5
1560013945,7,17
1560015853,4,14
1560017772,7,18
1560019703,290,14
1560021611,6,158
1560023534,8,9
1560025463,23,4
1560027373,17,10
1560029564,444,6
1560031709,143,11
1560033648,2,605
1560035544,9,686
1560037459,13,787
1560039384,18,725
1560041297,17,802
1560043226,19,755
1560045135,9,685
1560047060,25,605
1560048982,15,693
1560050897,3,737
1560052935,30,778
1560054757,11,708
1560056711,14,723
1560058577,33,747
1560060506,16,632
1560062425,23,7
1560064339,132,6
1560066301,420,8
1560068182,19,10
1560070102,13,5
1560072037,299,12
1560073963,10,8
1560075858,20,9
1560077784,15,12
1560079702,11,7
1560082838,17,16
1560084732,5,4
1560086662,16,13
1560088569,12,7
1560090492,5,5
1560092439,11,8
1560094334,7,8
1560096511,10,6
1560098413,11,13
1560100343,13,13
1560102255,11,4
1560104180,6,5
1560106138,49,307
1560108031,19,9
1560109934,9,9
1560111860,8,23
1560113769,10,14
1560115966,12,502
1560117919,16,165
1560119779,16,3
1560121702,15,10
1560123618,15,13
1560125533,10,7
1560127465,9,21
1560129373,8,21
1560131294,7,10
1560133250,29,23
1560135132,10,15
1560137050,9,4
1560138977,8,25
1560140891,36,18
1560142853,10,12
1560144743,8,18
1560146682,10,27
1560148570,13,24
1560150514,2,166
1560152412,141,396
1560154342,6,20
1560156262,2,14
1560158185,6,389
1560160093,3,11
1560162035,2,19
1560163941,14,17
1560165854,6,15
1560167800,25,12
1560169692,10,7
1560172573,74,18
1560174740,41,12
1560176655,7,12
1560178598,75,9
1560180496,10,8
1560183374,28,17
1560185295,34,13
1560187223,18,11
1560189159,14,16
1560191054,12,4
1560192977,13,8
1560194891,7,23
1560196872,10,5
1560198749,12,10
1560200664,8,12
1560202578,25,12
1560204516,13,13
1560206415,13,18
1560208336,11,13
1560210263,14,17
1560212176,8,12
1560214379,18,8
1560216253,13,7
1560218180,24,27
1560220109,9,13
1560222976,18,14
1560224895,6,6
1560226822,10,9
1560228734,10,44
1560230653,11,5
1560232577,9,7
1560234491,7,13
1560236482,10,6
1560238348,15,6
1560240288,7,8
1560242173,10,4
1560244106,11,4
1560246016,6,2
1560247936,19,3
1560249873,7,14
1560251779,10,6
1560253710,14,18
1560255628,9,15
1560257546,11,13
1560259456,14,70
1560261382,12,32
1560263294,11,8
1560265238,6,74
1560267149,4,13
1560269087,9,9
1560270974,18,28
1560272912,10,28
1560274821,2423,14
1560276747,1419,14
1560278677,12,12
1560280580,12,8
1560282509,7,12
1560284459,11,11
1560286341,14,8
1560288263,10,11
1560290179,11,12
1560292101,11,23
1560294038,13,9
1560295969,22,17
1560297923,13,7
1560299777,8,11
1560301720,15,15
1560303620,14,14
1560305541,18,23
1560307474,8,16
1560309379,14,10
1560311298,13,6
1560313236,6,11
1560315155,10,54
1560317067,6,11
1560318994,7,10
1560320918,8,7
1560322938,8,11
1560324757,147,11
1560326662,8,8
1560328602,12,10
1560330499,12,9
1560332433,6592,4
1560334348,2893,16
1560336259,6,3
1560338182,13,3
1560340119,6,8
1560342030,5,6
1560343938,3,7
1560345918,5,14
1560347787,5,9
1560349893,5,7
1560351858,5,4
1560353798,5,2
1560355714,5,5
1560357617,356,13
1560359563,448,8
1560361458,449,3091
1560363632,9,738
1560365552,6,5
1560367456,3,7
1560369376,3,2
1560371303,6,4
1560373232,5,6
1560375142,1,20
1560377071,8,5
1560379268,7,7
1560381148,261,3
1560383078,6,2
1560384999,313,5
1560386911,7,7
1560388824,9,11
1560390758,9,5
1560392666,231,8
1560394591,11,8
1560396516,7,5
1560398553,10,8
1560400357,9,4
1560402294,9,3
1560404187,8,5
1560406359,5,2
1560408270,5,2
1560410195,4,13
1560412110,5,152
1560414030,4,6
1560415961,7,8
1560417881,6,2726
1560419799,13,5065
1560421708,10,14
1560423691,9,13
1560425565,9,10
1560427471,18,6
1560429406,12,3
1560431320,5,7
1560433221,13,7
1560435149,370,8
1560437093,82,8
1560438986,6,3
1560440913,7,9
1560442829,32,361
1560445011,262,11
1560446910,6,2139
1560448920,840,14
1560450747,2206,13
1560452912,157,5
1560454820,10,9
1560456769,3,10
1560458665,13,20
1560460594,10,7
1560462500,12,10
1560464419,20,7
1560466351,8,10
1560468261,5,249
1560470177,12,227
1560472112,7,5
1560474134,10,19
1560475955,7,15
1560477943,7,10
1560479800,11,234
1560481704,17,20
1560483622,19,10
1560485549,12,9
1560487466,13,13
1560489392,3343,12
1560491307,15,12
1560493240,7,4
1560495157,4,7
1560497069,6,7
1560498987,29,6
1560500935,9,7
1560502940,8,11
1560504761,1644,11
1560506686,2183,13
1560508581,6,10
1560510520,6,6
1560512423,9,8
1560514603,20,20
1560516773,9,8
1560518673,3,78
1560520576,5,90
1560522507,11,258
1560524494,11,8
1560526350,17,8
1560528282,13,8
1560530195,14,302
1560532105,8,41
1560534275,10,5
1560536453,10,2215
1560538356,7,1124
1560540295,9,5
1560542187,8,7
1560544100,5,5
1560546122,10,11
1560547952,13,21
1560549868,8,17
1560552017,11,9
1560553946,12,5
1560555886,17,7
1560557792,118,5
1560559701,5,8
1560561624,12,9
1560563554,16,4
1560565468,11,8
1560567378,11,17
1560569309,5,13
1560571343,14,11
1560573156,8,11
1560575062,11,2477
1560576993,8,1320
1560578914,11,10
1560580826,5,5
1560582774,10,13
1560584672,56,5
1560586605,225,14
1560588516,1733,12
1560590421,16,8
1560592356,6,3824
1560594282,4,11
1560596175,13,7
1560598096,7,6
1560600988,18,26
1560602913,12,12
1560604834,7,7
1560606733,16,9
1560608661,9,11
1560610580,8,13
1560612503,4,17
1560614472,3,8
1560616349,5,13
1560618279,6,9
1560620221,380,6
1560622114,290,7
1560624030,11,11
1560625975,15,12
1560627869,4,14
1560630044,7,7
1560631936,5,9
1560633870,5,17
1560635773,23,10
1560637694,11,11
1560640593,9,19
1560642499,7,16
1560644422,8,9
1560646343,2,5
1560648258,10,15
1560650177,5,17
1560652094,9,13
1560654112,9,8
1560655956,16,3
1560657896,4,14
1560659774,72,6
1560661704,10,10
1560663613,9,8
1560665540,6,11
1560667461,9,3
1560669374,9,41
1560671319,6,50
1560673247,8,164
1560675176,15,1808
1560677066,10,15
1560678980,13,7
1560680908,18,4
1560683800,14,22
1560685722,13,11
1560687628,5,10
1560689433,5,12
1560691452,11,9
1560693377,8,17
1560695315,21,9
1560697279,27,6
1560699170,11,8
1560701072,9,4
1560702971,11,8
1560704900,11,9
1560706810,13,391
1560708734,6,312
1560710685,7,15
1560712579,5,16
1560714496,15,8
1560716427,10,5
1560718373,12,6
1560720277,27,5
1560722178,811,33
1560724099,31,10
1560725973,8,7
1560727961,19,7
1560729883,14,7
1560731775,19,4
1560733700,21,5
1560735622,13,9
1560737581,19,8
1560739482,14,7
1560741393,13,16
1560743303,14,13
1560745238,336,9
1560747166,17,55
1560749057,12,12
1560750982,34,6
1560752912,98,11
1560754918,522,10
1560756774,15,4
1560758686,10,5
1560760578,41,15
1560762504,8,5
1560764418,42,6
1560766353,9,13
1560768286,16,17
1560770187,11,8
1560772096,7,6
1560774052,3,4
1560775958,6,4
1560777887,8,8
1560779787,1,7
1560781716,3,17
1560783717,5,21
1560785565,3,10
1560787521,19,5
1560789380,44,10
1560791314,15,8
1560793213,26,13
1560795151,13,3
1560797076,20,4
1560798985,15,5
1560800923,29,9
1560802815,18,8
1560804755,12,9
1560806667,16,19
1560808578,12,740
1560810515,9,33
1560812493,17,7
1560814360,11,17
1560816265,11,12
1560818188,15,15
1560820100,13,21
1560822038,1183,10
1560823962,402,18
1560825874,9,9
1560827803,11,11
1560829711,9,10
1560831646,7,305
1560833797,11,16
1560835809,11,8
1560837729,189,32
1560839572,18,330
1560841488,338,331
1560843396,524,16
1560845306,19,8
1560847216,9,46
1560849159,10,37
1560851062,12,10
1560852887,122,10
1560854915,11,14
1560858057,173,17
1560859944,5,5
1560861859,1420,3
1560863902,9,8
1560865710,12,1
1560867616,7,2
1560869539,339,2
1560871508,6,3
1560873378,18,9
1560875315,14,41
1560877326,25,10
1560879162,7,25
1560881059,7,11
1560882987,8,12
1560884924,10,18
1560886837,16,31
1560888762,134,22
1560890686,4265,12
1560892577,3146,12
1560894517,7,16
1560896449,13,2
1560899242,5,15
1560901214,6,9
1560903164,5,8
1560905057,11,8
1560906976,3,12
1560908897,12,1106
1560910839,12,4
1560912753,14,5
1560914666,10,10
1560916613,9,8
1560918504,6,7
1560920528,1553,3
1560922343,6,3
1560924334,7,177
1560926184,6,10
1560928125,7,391
1560930012,9,352
1560931982,5,19
1560933858,8,6
1560935784,14,9
1560937715,9,12
1560939642,9,27
