DateTime,Entries,UniqueIPs
1549678839,4900,4900
1549700890,4787,4787
1549722773,4789,4789
1549744811,4719,4719
1549766658,4683,4683
1549788752,4618,4618
1549810592,4547,4547
1549832457,4614,4614
1549854302,4555,4555
1549876346,4431,4431
1549898434,4114,4114
1549920298,4016,4016
1549942364,4212,4212
1549964475,4191,4191
1549986804,3980,3980
1550008838,3982,3982
1550030911,3790,3790
1550052981,3777,3777
1550074831,3641,3641
1550096918,3641,3641
1550119005,3724,3724
1550141059,3723,3723
1550162902,3651,3651
1550185017,2751,2751
1550207101,2501,2501
1550229140,2503,2503
1550251243,2207,2207
1550273299,2239,2239
1550295316,2165,2165
1550317479,2182,2182
1550339859,2141,2141
1550361878,2138,2138
1550383972,2209,2209
1550406043,2208,2208
1550428128,2566,2566
1550450419,2582,2582
1550472280,2676,2676
1550494356,2709,2709
1550516487,2711,2711
1550538764,2715,2715
1550560821,2701,2701
1550582667,2293,2293
1550604742,2583,2583
1550626840,2508,2508
1550648904,2513,2513
1550670969,2750,2750
1550692828,2933,2933
1550714908,2990,2990
1550736993,2765,2765
1550758837,2770,2770
1550780681,2774,2774
1550802760,2928,2928
1550824809,3082,3082
1550846684,3389,3389
1550868775,3441,3441
1550890845,3438,3438
1550912914,4448,4448
1550934981,4744,4744
1550956839,4786,4786
1550978895,4889,4889
1551000760,4893,4893
1551022837,5026,5026
1551044694,5002,5002
1551066754,5000,5000
1551088598,4920,4920
1551110505,4920,4920
1551132515,4831,4831
1551154581,4763,4763
1551176673,4770,4770
1551198744,4770,4770
1551220900,4724,4724
1551242904,4724,4724
1551264845,4725,4725
1551286827,4553,4553
1551309155,4307,4307
1551331005,4322,4322
1551353051,4394,4394
1551375148,4401,4401
1551396990,4256,4256
1551419075,4040,4040
1551441138,4368,4368
1551463273,4122,4122
1551485573,4085,4085
1551507640,4083,4083
1551529963,2869,2869
1551552030,2846,2846
1551574117,2846,2846
1551596479,2665,2665
1551618529,2618,2618
1551640517,6029,6029
1551662435,6024,6024
1551684506,6026,6026
1551706352,6226,6226
1551750516,6227,6227
1551772358,6218,6218
1551805725,6320,6320
1551827778,6294,6294
1551849851,6697,6697
1551871933,6715,6715
1551893801,6763,6763
1551915847,6762,6762
1551937691,6762,6762
1551959548,6724,6724
1551981401,6726,6726
1552003261,6857,6857
1552025290,6823,6823
1552047140,6762,6762
1552069229,6744,6744
1552091298,6741,6741
1552113391,6740,6740
1552135251,6550,6550
1552157294,6486,6486
1552179142,6450,6450
1552201331,6434,6434
1552223321,6349,6349
1552245393,3228,3228
1552267461,3254,3254
1552289568,3261,3261
1552311495,3995,3995
1552333462,6083,6083
1552355527,6090,6090
1552377649,6092,6092
1552399722,6021,6021
1552421771,6023,6023
1552443618,6381,6381
1552465461,5967,5967
1552487574,5917,5917
1552509634,5962,5962
1552531476,5961,5961
1552553556,5961,5961
1552586693,6038,6038
1552608738,5857,5857
1552630582,5857,5857
1552652425,5816,5816
1552674491,5765,5765
1552696348,5760,5760
1552718421,5698,5698
1552740497,5995,5995
1552762598,6009,6009
1552784673,6010,6010
1552806524,6014,6014
1552828572,5936,5936
1552850440,6017,6017
1552872511,6188,6188
1552894357,6189,6189
1552916211,5312,5312
1552938269,3616,3616
1552960331,3589,3589
1552993489,3534,3534
1553015551,3444,3444
1553037634,2461,2461
1553059711,2468,2468
1553081790,2368,2368
1553103861,2008,2008
1553125940,2003,2003
1553147791,2002,2002
1553169752,2016,2016
1553191952,1858,1858
1553213814,1860,1860
1553235861,1854,1854
1553257720,1858,1858
1553279562,1857,1857
1553301608,1985,1985
1553323505,1989,1989
1553345558,1369,1369
1553367733,1668,1668
1553389732,1636,1636
1553411802,1629,1629
1553433858,1696,1696
1553455954,3320,3320
1553478148,3183,3183
1553500106,3497,3497
1553521961,5266,5266
1553555338,5427,5427
1553577394,5427,5427
1553599468,5456,5456
1553621563,5460,5460
1553643630,5502,5502
1553665474,5627,5627
1553687560,5677,5677
1553709405,5630,5630
1553742533,5631,5631
1553764583,5631,5631
1553786423,5617,5617
1553808502,5628,5628
1553830344,5625,5625
1553852412,5623,5623
1553874272,5594,5594
1553896332,5592,5592
1553918190,5497,5497
1553951064,5491,5491
1553973170,5286,5286
1553995210,5283,5283
1554017052,5283,5283
1554038906,5284,5284
1554060766,3966,3966
1554082829,3963,3963
1554104678,4064,4064
1554126733,2466,2466
1554148601,4000,4000
