DateTime,Entries,UniqueIPs
1559967133,9414,9414
1559969065,10176,10176
1559970975,10846,10846
1559973140,11748,11748
1559975055,11932,11932
1559977006,11928,11928
1559978898,11909,11909
1559980902,11915,11915
1559982750,11547,11547
1559984916,11547,11547
1559986815,11544,11544
1559988747,11543,11543
1559990661,11540,11540
1559992820,11545,11545
1559994735,11548,11548
1559996664,11536,11536
1559998572,11524,11524
1560000490,11524,11524
1560002469,11529,11529
1560004334,11441,11441
1560006269,11441,11441
1560008183,11439,11439
1560010123,11430,11430
1560012042,11435,11435
1560013946,11425,11425
1560015854,11414,11414
1560017773,11402,11402
1560019703,11677,11677
1560021612,11525,11525
1560023535,11523,11523
1560025464,11543,11543
1560027375,11552,11552
1560029565,11990,11990
1560031710,12120,12120
1560033649,11518,11518
1560035545,10839,10839
1560037459,10066,10066
1560039385,9359,9359
1560041298,8577,8577
1560043227,7842,7842
1560045136,7166,7166
1560047061,6584,6584
1560048984,5909,5909
1560050897,5175,5175
1560052940,4430,4430
1560054758,3732,3732
1560056713,3024,3024
1560058578,2308,2308
1560060507,1693,1693
1560062425,1711,1711
1560064339,1838,1838
1560066302,2254,2254
1560068182,2265,2265
1560070102,2275,2275
1560072038,2565,2565
1560073965,2571,2571
1560075858,2585,2585
1560077785,2584,2584
1560079703,2592,2592
1560081707,2597,2597
1560083551,2598,2598
1560085493,2602,2602
1560087385,2605,2605
1560089557,2608,2608
1560091459,2609,2609
1560093648,2612,2612
1560095544,2613,2613
1560097479,2608,2608
1560099386,2615,2615
1560101300,2620,2620
1560103323,2622,2622
1560105146,2369,2369
1560107065,2378,2378
1560108988,2383,2383
1560110899,2381,2381
1560112831,2364,2364
1560114752,2358,2358
1560116659,1719,1719
1560118834,1728,1728
1560120738,1743,1743
1560122939,1745,1745
1560124945,1752,1752
1560126751,1743,1743
1560128688,1734,1734
1560130823,1724,1724
1560132740,1732,1732
1560134667,1727,1727
1560136585,1732,1732
1560138500,1715,1715
1560140437,1708,1708
1560142336,1733,1733
1560144256,1731,1731
1560146182,1708,1708
1560148100,1697,1697
1560150103,1534,1534
1560151953,1190,1190
1560153884,1265,1265
1560155786,1246,1246
1560157710,1071,1071
1560159620,848,848
1560161539,827,827
1560163466,826,826
1560165384,825,825
1560167298,829,829
1560169249,838,838
1560171150,848,848
1560173061,901,901
1560174982,919,919
1560176895,912,912
1560178890,980,980
1560180745,987,987
1560182690,989,989
1560184574,1008,1008
1560186504,1021,1021
1560188414,1019,1019
1560190340,1026,1026
1560192266,1037,1037
1560194179,1021,1021
1560196348,1028,1028
1560198259,1029,1029
1560200184,1023,1023
1560202098,1043,1043
1560204080,1040,1040
1560205949,1034,1034
1560207897,1035,1035
1560210025,1031,1031
1560211940,1029,1029
1560213867,1034,1034
1560215784,1038,1038
1560217701,1049,1049
1560219625,1038,1038
1560221539,1037,1037
1560223458,1034,1034
1560225386,1035,1035
1560227296,989,989
1560230174,1006,1006
1560232097,1009,1009
1560234018,1002,1002
1560235950,1001,1001
1560237886,1003,1003
1560239783,1009,1009
1560241705,1015,1015
1560244580,1021,1021
1560246512,1025,1025
1560248429,1042,1042
1560250341,1034,1034
1560252271,1034,1034
1560254184,1023,1023
1560256098,1022,1022
1560258057,1002,1002
1560259957,954,954
1560261893,944,944
1560263951,882,882
1560265933,873,873
1560267862,872,872
1560269771,858,858
1560271940,843,843
1560273855,836,836
1560275790,4648,4648
1560277702,4651,4651
1560279719,4656,4656
1560281550,4652,4652
1560283497,4651,4651
1560285383,4651,4651
1560287319,4654,4654
1560289225,4659,4659
1560291154,4653,4653
1560294039,4639,4639
1560295970,4644,4644
1560297924,4649,4649
1560299778,4645,4645
1560301721,4642,4642
1560303620,4639,4639
1560305541,4634,4634
1560307475,4626,4626
1560309381,4630,4630
1560311299,4635,4635
1560313237,4631,4631
1560315155,4585,4585
1560317068,4581,4581
1560318995,4578,4578
1560320918,4578,4578
1560322941,4572,4572
1560324758,4708,4708
1560326663,4708,4708
1560328602,4710,4710
1560330500,4712,4712
1560332434,11289,11289
1560334350,14159,14159
1560336260,14162,14162
1560338184,14170,14170
1560340120,14166,14166
1560342031,14165,14165
1560343939,14162,14162
1560345919,14154,14154
1560347787,14150,14150
1560349894,14148,14148
1560351859,14151,14151
1560353799,14156,14156
1560355715,14156,14156
1560357618,14498,14498
1560359564,14940,14940
1560361459,12292,12292
1560363633,11569,11569
1560365553,11571,11571
1560367456,11568,11568
1560369377,11570,11570
1560371303,11569,11569
1560373233,11569,11569
1560375143,11551,11551
1560377072,11554,11554
1560379269,11556,11556
1560381149,11815,11815
1560383079,11821,11821
1560385000,12133,12133
1560386912,12134,12134
1560388825,12133,12133
1560390759,12138,12138
1560392667,12364,12364
1560394592,12367,12367
1560396517,12368,12368
1560398556,12369,12369
1560400359,12375,12375
1560402295,12382,12382
1560404188,12386,12386
1560406360,12391,12391
1560408288,12393,12393
1560410196,12388,12388
1560412111,12242,12242
1560414032,12241,12241
1560415962,12240,12240
1560417882,9524,9524
1560419800,4480,4480
1560421709,4475,4475
1560423695,4473,4473
1560425565,4471,4471
1560427472,4484,4484
1560429407,4497,4497
1560431320,4495,4495
1560433222,4500,4500
1560435149,4863,4863
1560437094,4936,4936
1560438987,4937,4937
1560440914,4931,4931
1560442830,4603,4603
1560445011,4852,4852
1560446911,2723,2723
1560448921,3549,3549
1560450748,5740,5740
1560452912,5892,5892
1560454821,5889,5889
1560456770,5883,5883
1560458667,5876,5876
1560460594,5880,5880
1560462500,5881,5881
1560464420,5894,5894
1560466352,5889,5889
1560468261,5645,5645
1560470178,5424,5424
1560472112,5433,5433
1560474138,5428,5428
1560475956,5420,5420
1560477944,5416,5416
1560479800,5191,5191
1560481705,5188,5188
1560483623,5197,5197
1560485549,5199,5199
1560487466,5199,5199
1560489392,8515,8515
1560491308,8517,8517
1560493241,8521,8521
1560495157,8519,8519
1560497069,8516,8516
1560498988,8538,8538
1560500936,8540,8540
1560502955,8540,8540
1560504762,10173,10173
1560506687,12346,12346
1560508582,12344,12344
1560510521,12343,12343
1560512424,12344,12344
1560514604,12342,12342
1560516774,12341,12341
1560518674,12268,12268
1560520577,12184,12184
1560522508,11937,11937
1560524501,11943,11943
1560526351,11953,11953
1560528283,11958,11958
1560530196,11671,11671
1560532106,11640,11640
1560534276,11648,11648
1560536454,9444,9444
1560538357,8326,8326
1560540295,8331,8331
1560542188,8335,8335
1560544101,8335,8335
1560546128,8333,8333
1560547953,8325,8325
1560549869,8317,8317
1560552018,8322,8322
1560553947,8329,8329
1560555886,8341,8341
1560557793,8453,8453
1560559702,8439,8439
1560561627,8440,8440
1560563555,8451,8451
1560565469,8455,8455
1560567379,8450,8450
1560569310,8442,8442
1560571346,8445,8445
1560573157,8442,8442
1560575064,5981,5981
1560576993,4676,4676
1560578914,4675,4675
1560580826,4675,4675
1560582775,4672,4672
1560584673,4724,4724
1560586606,4937,4937
1560588516,6651,6651
1560590422,6658,6658
1560592357,2839,2839
1560594284,2831,2831
1560596193,2837,2837
1560598097,2837,2837
1560600989,2829,2829
1560602913,2831,2831
1560604835,2830,2830
1560606734,2838,2838
1560608661,2836,2836
1560610581,2827,2827
1560612503,2813,2813
1560614473,2808,2808
1560616350,2798,2798
1560618283,2794,2794
1560620222,3168,3168
1560622115,3449,3449
1560624031,3449,3449
1560625976,3454,3454
1560627870,3441,3441
1560630045,3442,3442
1560631936,3438,3438
1560633870,3427,3427
1560635774,3438,3438
1560637695,3439,3439
1560640594,3429,3429
1560642500,3420,3420
1560644422,3420,3420
1560646344,3417,3417
1560648258,3415,3415
1560650178,3405,3405
1560652095,3400,3400
1560654118,3401,3401
1560655957,3412,3412
1560657897,3402,3402
1560659774,3472,3472
1560661705,3473,3473
1560663613,3474,3474
1560665540,3469,3469
1560667461,3474,3474
1560669374,3442,3442
1560671320,3397,3397
1560673247,3242,3242
1560675176,1457,1457
1560677067,1450,1450
1560678980,1455,1455
1560680909,1468,1468
1560683801,1458,1458
1560685722,1461,1461
1560687629,1456,1456
1560689434,1450,1450
1560691453,1457,1457
1560693377,1448,1448
1560695315,1458,1458
1560697285,1480,1480
1560699171,1483,1483
1560701073,1487,1487
1560702972,1490,1490
1560704901,1491,1491
1560706811,1114,1114
1560708735,808,808
1560710685,799,799
1560712580,788,788
1560714497,796,796
1560716428,802,802
1560718373,807,807
1560720277,829,829
1560722179,1605,1605
1560724099,1628,1628
1560725974,1628,1628
1560727962,1639,1639
1560729883,1645,1645
1560731776,1659,1659
1560733701,1676,1676
1560735622,1683,1683
1560737581,1693,1693
1560739483,1699,1699
1560741394,1695,1695
1560743304,1695,1695
1560745238,2022,2022
1560747167,1984,1984
1560749058,1983,1983
1560750983,2011,2011
1560752912,2099,2099
1560754930,2610,2610
1560756774,2621,2621
1560758687,2628,2628
1560760578,2651,2651
1560762505,2651,2651
1560764419,2687,2687
1560766354,2685,2685
1560768287,2683,2683
1560770188,2687,2687
1560772097,2687,2687
1560774053,2687,2687
1560775958,2686,2686
1560777888,2684,2684
1560779788,2677,2677
1560781716,2663,2663
1560783718,2651,2651
1560785565,2649,2649
1560787522,2664,2664
1560789380,2697,2697
1560791314,2706,2706
1560793214,2717,2717
1560795152,2728,2728
1560797077,2748,2748
1560798987,2757,2757
1560800924,2776,2776
1560802815,2784,2784
1560804756,2789,2789
1560806668,2785,2785
1560808579,2056,2056
1560810516,2030,2030
1560812502,2040,2040
1560814361,2036,2036
1560816265,2034,2034
1560818190,2035,2035
1560820101,2025,2025
1560822039,3194,3194
1560823963,3574,3574
1560825875,3575,3575
1560827804,3578,3578
1560829711,3578,3578
1560831646,3287,3287
1560833799,3279,3279
1560835810,3282,3282
1560837732,3442,3442
1560839573,3128,3128
1560841489,3138,3138
1560843397,3647,3647
1560845307,3658,3658
1560847217,3619,3619
1560849160,3592,3592
1560851063,3594,3594
1560852888,3704,3704
1560854916,3700,3700
1560858058,3856,3856
1560859945,3855,3855
1560861859,5269,5269
1560863903,5272,5272
1560865711,5282,5282
1560867616,5290,5290
1560869540,5627,5627
1560871509,5627,5627
1560873379,5635,5635
1560875316,5610,5610
1560877335,5622,5622
1560879162,5604,5604
1560881061,5602,5602
1560882988,5594,5594
1560884925,5584,5584
1560886837,5569,5569
1560888763,5682,5682
1560890687,9935,9935
1560892578,13063,13063
1560894518,13054,13054
1560896450,13064,13064
1560899244,13057,13057
1560901215,13054,13054
1560903165,13051,13051
1560905058,13056,13056
1560906977,13050,13050
1560908898,11961,11961
1560910840,11969,11969
1560912754,11980,11980
1560914667,11977,11977
1560916615,11978,11978
1560918505,11972,11972
1560920535,13516,13516
1560922344,13520,13520
1560924337,13349,13349
1560926185,13345,13345
1560928126,12961,12961
1560930013,12616,12616
1560931983,12602,12602
1560933859,12604,12604
1560935785,12610,12610
1560937716,12607,12607
1560939643,12590,12590
