DateTime,AddedIPs,RemovedIPs
1559965217,6,5
1559967135,3,4
1559969067,5,3
1559970977,2,2
1559973142,1,6
1559975057,3,5
1559977007,3,4
1559978899,4,5
1559980905,0,9
1559982751,4,5
1559984917,3,1
1559986817,4,3
1559988748,4,2
1559990662,5,1
1559992821,3,4
1559994737,4,4
1559996666,5,2
1559998574,0,7
1560000491,2,4
1560002513,5,3
1560004335,2,6
1560006271,4,5
1560008184,3,0
1560010124,1,3
1560012044,4,4
1560013947,4,3
1560015855,3,5
1560017774,5,4
1560019705,2,3
1560021613,2,9
1560023537,8,7
1560025466,5,4
1560027377,6,3
1560029567,1,3
1560031711,4,7
1560033650,7,4
1560035546,5,3
1560037461,3,4
1560039386,10,2
1560041299,3,3
1560043229,3,0
1560045137,2,1
1560047062,4,4
1560048986,3,2
1560050899,4,5
1560052948,6,8
1560054759,6,4
1560056715,5,3
1560058580,3,4
1560060508,4,0
1560062426,4,4
1560064341,7,6
1560066303,5,3
1560068184,10,4
1560070103,2,6
1560072039,6,2
1560073967,8,4
1560075859,3,5
1560077786,3,2
1560079705,3,5
1560081731,4,2
1560083553,5,5
1560085499,3,0
1560087386,1,3
1560089558,2,6
1560091461,2,3
1560093650,6,5
1560095545,6,0
1560097480,4,3
1560099387,6,6
1560101301,7,2
1560103326,3,4
1560105147,4,5
1560107066,4,2
1560108989,2,5
1560110900,6,6
1560112832,8,4
1560114752,6,5
1560116659,1,3
1560118835,5,3
1560120739,6,9
1560122940,1,4
1560124957,5,3
1560126970,8,10
1560128903,4,2
1560130824,2,2
1560132741,3,3
1560134668,1,5
1560136586,6,1
1560138501,3,4
1560140438,4,6
1560142337,3,3
1560144257,1,5
1560146183,6,3
1560148101,0,3
1560151221,3,9
1560153133,0,5
1560155054,4,10
1560156976,3,2
1560158891,1,8
1560161777,5,8
1560163695,3,4
1560165617,13,3
1560167544,5,3
1560169454,4,6
1560171375,2,3
1560173287,2,3
1560175224,0,2
1560177153,5,2
1560179059,4,3
1560180970,4,7
1560182904,4,4
1560184810,1,6
1560186737,5,6
1560188672,1,7
1560190587,8,4
1560192740,2,5
1560194669,7,2
1560196600,4,4
1560198492,5,5
1560201371,8,11
1560203301,2,1
1560205236,2,6
1560207128,7,5
1560209055,1,1
1560210983,1,4
1560212893,5,5
1560214849,2,5
1560216743,1,3
1560218666,2,2
1560220571,1,1
1560222502,4,6
1560224410,5,4
1560226333,3,4
1560228262,9,1
1560230175,4,3
1560232097,2,4
1560234019,29,3
1560235951,25,2
1560237886,4,0
1560239784,3,2
1560241706,1,3
1560244581,11,5
1560246513,4,2
1560248430,1,2
1560250342,3,3
1560252272,3,13
1560254185,5,4
1560256099,3,5
1560258061,0,3
1560259958,6,3
1560261894,5,1
1560263952,4,5
1560265934,4,4
1560267862,2,4
1560269772,4,2
1560271941,2,4
1560273856,3,2
1560275791,1,3
1560277703,5,3
1560279734,3,2
1560281551,2,8
1560283498,3,4
1560285384,3,3
1560287320,4,6
1560289226,4,3
1560291155,5,3
1560294042,9,7
1560295971,6,1
1560297926,1,5
1560299780,2,4
1560301722,2,2
1560303622,5,1
1560305543,1,1
1560307476,5,2
1560309383,4,7
1560311300,5,5
1560313239,6,3
