DateTime,AddedIPs,RemovedIPs
1545887318,1,0
1545948298,1,0
1545961699,0,1
1545965543,0,1
1545967478,0,1
1545971787,1,0
1545973701,0,1
1545987394,1,0
1546010899,1,0
1546034171,0,1
1546070510,0,1
1546072349,0,1
1546074276,1,0
1546095703,0,1
1546123009,1,0
1546160675,0,1
1546207002,0,1
1546319782,1,0
1546337110,1,0
1546407622,0,1
1546421562,0,1
1546533615,1,0
1546581420,1,0
1546583304,1,0
1546620791,0,1
1546640460,1,0
1546667780,0,1
1546726357,0,1
1546730199,1,0
1546734024,0,1
1546762158,1,0
1546803331,1,0
1546837011,0,1
1546838955,1,0
1546848526,0,1
1546890063,0,1
1546893893,1,0
1546925090,0,1
1546926989,1,0
1546978840,0,1
1547033580,0,1
1547036131,1,0
1547040531,2,0
1547123575,0,1
1547125491,0,2
1547162425,1,0
1547184033,1,0
1547224120,1,0
1547233739,1,0
1547250297,0,1
1547271161,0,1
1547295162,1,0
1547309383,0,1
1547319160,1,0
1547321323,0,1
1547381566,0,1
1547403617,0,1
1547414413,1,0
1547416340,1,0
1547438509,1,0
1547446333,1,0
1547452649,1,0
1547502273,0,2
1547524903,0,1
1547532777,1,1
1547540675,0,1
1547590373,1,0
1547592281,19,0
1547619865,0,1
1547675779,0,20
1547791955,1,0
1547799671,1,0
1547885136,0,1
1547904770,0,1
1548024804,1,0
1548137323,1,0
1548187950,0,1
1548199721,1,0
1548219150,1,0
1548225153,0,1
1548287569,0,1
1548303189,0,1
1548696998,1,0
1548710915,1,0
1548764903,2,0
1548772818,1,0
1548784605,0,1
1548797081,0,1
1548851118,0,1
1548852993,0,1
1548857083,0,1
1548881317,1,0
1548900740,1,0
1548914703,1,0
1548967717,0,1
1548987663,0,1
1549013086,1,0
1549022682,0,1
1549116988,1,0
1549150846,0,1
1549187541,1,0
1549203417,0,1
1549294604,0,1
1549324846,1,0
1549410748,0,1
1549433568,1,0
1549447278,1,0
1549521175,0,1
1549536751,0,1
1549627943,1,0
1549635624,1,0
1549714851,0,1
1549720585,0,1
1549800776,1,0
1549808446,1,0
1549888347,0,1
1549896095,0,1
1550006432,1,0
1550091905,0,1
1550254126,1,0
1550306416,1,0
1550337504,1,0
1550341951,1,1
1550358321,1,0
1550391161,0,1
1550423806,0,1
1550427724,0,1
1550442981,0,1
1550552681,1,0
1550597302,1,0
1550612901,1,0
1550618705,1,0
1550638107,1,0
1550640028,0,1
1550699555,0,1
1550707363,0,1
1550724975,0,1
1550738652,0,1
1550995466,1,0
1551034089,2,0
1551052370,1,0
1551054283,1,0
1551083579,0,1
1551085481,1,0
1551093381,1,0
1551095330,1,0
1551121144,0,1
1551138748,0,1
1551144526,0,1
1551171753,0,1
1551179535,0,3
1551185075,1,0
1551186971,1,0
1551217939,1,0
1551272671,0,1
1551282389,0,1
1551304115,1,1
1551387158,0,1
1551400375,1,0
1551415687,1,0
1551430337,1,0
1551487939,0,1
