DateTime,Entries,UniqueIPs
1545887318,4,4
1545948298,5,5
1545961699,4,4
1545965543,3,3
1545967478,2,2
1545971787,3,3
1545973701,2,2
1545987394,3,3
1546010899,4,4
1546034171,3,3
1546070510,2,2
1546072349,1,1
1546074276,2,2
1546095703,1,1
1546123009,2,2
1546160675,1,1
1546207002,0,0
1546319782,1,1
1546337110,2,2
1546407622,1,1
1546421562,0,0
1546533615,1,1
1546581420,2,2
1546583304,3,3
1546620791,2,2
1546640460,3,3
1546667780,2,2
1546726357,1,1
1546730199,2,2
1546734024,1,1
1546762158,2,2
1546803331,3,3
1546837011,2,2
1546838955,3,3
1546848526,2,2
1546890063,1,1
1546893893,2,2
1546925090,1,1
1546926989,2,2
1546978840,1,1
1547033580,0,0
1547036131,1,1
1547040531,3,3
1547123575,2,2
1547125491,0,0
1547162425,1,1
1547184033,2,2
1547224120,3,3
1547233739,4,4
1547250297,3,3
1547271161,2,2
1547295162,3,3
1547309383,2,2
1547319160,3,3
1547321323,2,2
1547381566,1,1
1547403617,0,0
1547414413,1,1
1547416340,2,2
1547438509,3,3
1547446333,4,4
1547452649,5,5
1547502273,3,3
1547524903,2,2
1547532777,2,2
1547540675,1,1
1547590373,2,2
1547592281,21,21
1547619865,20,20
1547675779,0,0
1547791955,1,1
1547799671,2,2
1547885136,1,1
1547904770,0,0
1548024804,1,1
1548137323,2,2
1548187950,1,1
1548199721,2,2
1548219150,3,3
1548225153,2,2
1548287569,1,1
1548303189,0,0
1548696998,1,1
1548710915,2,2
1548764903,4,4
1548772818,5,5
1548784605,4,4
1548797081,3,3
1548851118,2,2
1548852993,1,1
1548857083,0,0
1548881317,1,1
1548900740,2,2
1548914703,3,3
1548967717,2,2
1548987663,1,1
1549013086,2,2
1549022682,1,1
1549116988,2,2
1549150846,1,1
1549187541,2,2
1549203417,1,1
1549294604,0,0
1549324846,1,1
1549410748,0,0
1549433568,1,1
1549447278,2,2
1549521175,1,1
1549536751,0,0
1549627943,1,1
1549635624,2,2
1549714851,1,1
1549720585,0,0
1549800776,1,1
1549808446,2,2
1549888347,1,1
1549896095,0,0
1550006432,1,1
1550091905,0,0
1550254126,1,1
1550306416,2,2
1550337504,3,3
1550341951,3,3
1550358321,4,4
1550391161,3,3
1550423806,2,2
1550427724,1,1
1550442981,0,0
1550552681,1,1
1550597302,2,2
1550612901,3,3
1550618705,4,4
1550638107,5,5
1550640028,4,4
1550699555,3,3
1550707363,2,2
1550724975,1,1
1550738652,0,0
1550995466,1,1
1551034089,3,3
1551052370,4,4
1551054283,5,5
1551083579,4,4
1551085481,5,5
1551093381,6,6
1551095330,7,7
1551121144,6,6
1551138748,5,5
1551144526,4,4
1551171753,3,3
1551179535,0,0
1551185075,1,1
1551186971,2,2
1551217939,3,3
1551272671,2,2
1551282389,1,1
1551304115,1,1
1551387158,0,0
1551400375,1,1
1551415687,2,2
1551430337,3,3
1551487939,2,2
1551501885,1,1
1551515546,0,0
1551529963,1,1
1551531872,2,2
1551689062,1,1
1551702741,0,0
1551776926,1,1
1551862096,0,0
1551915141,1,1
1551990049,2,2
1552003723,1,1
1552074987,0,0
1552092284,1,1
1552177229,0,0
1552290008,1,1
1552291934,3,3
1552313081,4,4
1552377173,2,2
1552379070,1,1
1552398255,1,1
1552505318,0,0
1552549694,1,1
1552551618,2,2
1552597713,3,3
1552607299,4,4
1552636356,3,3
1552684587,2,2
1552694530,1,1
1552729218,2,2
1552737181,1,1
1552813941,2,2
1552815851,1,1
1552897231,0,0
1552956017,1,1
1553040747,0,0
1553071707,1,1
1553166973,2,2
1553220748,1,1
1553251703,0,0
1553298014,1,1
1553383458,0,0
1553565663,1,1
1553590569,2,2
1553619888,3,3
1553676995,2,2
1553678892,3,3
1553705546,2,2
1553724280,1,1
1553763706,0,0
1553862993,1,1
1553944345,2,2
1553950112,1,1
1553989247,2,2
1554030982,1,1
1554074011,0,0
1554091740,1,1
1554177173,0,0
1554197078,1,1
1554282199,0,0
1554391498,1,1
1554477166,0,0
1554533563,1,1
1554630731,0,0
1554672267,1,1
1554710016,2,2
1554723671,3,3
1554725555,8,8
1554727464,9,9
1554735169,10,10
1554746932,11,11
1554748820,12,12
1554760363,11,11
1554797325,10,10
1554810747,8,8
1554812665,4,4
1554814589,3,3
1554822276,2,2
1554833799,1,1
1554964349,1,1
1555050016,0,0
1555318091,1,1
1555360833,2,2
1555405962,1,1
1555413637,2,2
1555448695,1,1
1555454749,2,2
1555460435,3,3
1555499786,2,2
1555501703,3,3
1555513372,4,4
1555534597,5,5
1555540380,4,4
1555546156,3,3
1555565778,4,4
1555589103,3,3
1555598684,2,2
1555608351,3,3
1555620252,4,4
1555622203,3,3
1555624090,4,4
1555653138,3,3
1555693942,2,2
1555705456,1,1
1555709330,0,0
1555969219,1,1
1555973052,2,2
1556012417,3,3
1556056098,2,2
1556059341,1,1
1556096176,0,0
1556130486,1,1
1556154152,2,2
1556167494,3,3
1556217395,2,2
1556302123,0,0
1556320611,1,1
1556345540,2,2
1556408425,1,1
1556429562,0,0
1556580999,1,1
1556658285,2,2
1556670014,1,1
1556687543,2,2
1556704938,3,3
1556745147,2,2
1556758375,3,3
1556773727,2,2
1556789347,4,4
1556791371,3,3
1556845364,2,2
1556874530,0,0
1556936196,1,1
1556999786,2,2
1557024013,1,1
1557083569,0,0
1557181006,2,2
1557182918,3,3
1557212660,4,4
1557266684,4,4
1557268585,3,3
1557270496,2,2
1557301234,1,1
1557350683,0,0
1557481240,1,1
1557567015,0,0
1557952592,1,1
1558038264,0,0
1558347630,1,1
1558366829,2,2
1558434039,1,1
1558451325,0,0
1558502194,1,1
1558561940,2,2
1558583301,3,3
1558589059,2,2
1558594934,3,3
1558649001,2,2
1558652939,3,3
1558654867,4,4
1558658660,5,5
1558660583,6,6
1558668281,7,7
1558670183,8,8
1558674157,10,10
1558677893,11,11
1558681709,11,11
1558683620,12,12
1558691306,13,13
1558693229,15,15
1558740026,14,14
1558747697,13,13
1558755378,12,12
1558757324,11,11
1558761144,10,10
1558763083,9,9
1558766924,8,8
1558779668,6,6
1558807009,0,0
1559132673,1,1
1559249545,2,2
1559288420,4,4
1559303786,3,3
1559317971,4,4
1559335728,3,3
1559341467,4,4
1559345321,6,6
1559364498,7,7
1559366440,9,9
1559368381,10,10
1559374349,9,9
1559376283,8,8
1559385864,9,9
1559391663,11,11
1559397420,12,12
1559405329,11,11
1559428852,10,10
1559430755,8,8
1559452129,5,5
1559454031,4,4
1559471321,3,3
1559478985,1,1
1559482848,0,0
1559619115,1,1
1559622978,2,2
1559665454,3,3
1559669291,4,4
1559684916,5,5
1559686846,6,6
1559702412,7,7
1559706287,6,6
1559710361,5,5
1559727620,6,6
1559741086,7,7
1559748789,8,8
1559752572,10,10
1559756446,9,9
1559770336,9,9
1559772253,10,10
1559778014,11,11
1559787613,11,11
1559814509,10,10
1559827946,9,9
1559829882,11,11
1559833692,12,12
1559835613,12,12
1559839454,9,9
1559841373,10,10
1559850971,11,11
1559856735,10,10
1559858694,10,10
1559864423,10,10
1559866356,11,11
1559874021,10,10
1559877856,11,11
1559883687,12,12
1559916176,9,9
1559920098,8,8
1559922011,7,7
1559925878,8,8
1559927772,7,7
1559937688,6,6
1559943409,5,5
1559951843,4,4
1559953704,3,3
1559965218,2,2
1559969068,1,1
1560010125,0,0
1560014168,1,1
1560019940,2,2
1560023770,3,3
1560025943,4,4
1560045138,5,5
1560058581,6,6
1560064341,8,8
1560101301,7,7
1560105148,6,6
1560108990,7,7
1560110901,5,5
1560130824,4,4
1560140438,5,5
1560144258,4,4
1560146183,5,5
1560151955,3,3
1560178906,4,4
1560192267,5,5
1560196349,5,5
1560205949,7,7
1560207898,8,8
1560210026,9,9
1560227297,8,8
1560232098,7,7
1560264977,6,6
1560272696,9,9
1560280344,8,8
1560282272,9,9
1560291854,9,9
1560294042,8,8
1560295972,8,8
1560345922,10,10
1560349896,10,10
1560353802,11,11
1560359566,9,9
1560369379,7,7
1560371306,8,8
1560379271,8,8
1560383081,8,8
1560388828,9,9
1560398561,10,10
1560421711,11,11
1560431322,9,9
1560435151,9,9
1560440916,8,8
1560446913,7,7
1560448924,9,9
1560454822,10,10
1560456771,9,9
1560458669,10,10
1560466355,9,9
1560468263,10,10
1560470179,9,9
1560472114,10,10
1560475957,9,9
1560483624,8,8
1560507145,9,9
1560509082,8,8
1560522509,7,7
1560536456,6,6
1560540297,5,5
1560544120,4,4
1560546150,5,5
1560549872,4,4
1560555888,3,3
1560557795,2,2
1560594286,1,1
1560630046,0,0
1560719801,2,2
1560756776,4,4
1560764422,5,5
1560772099,7,7
1560783725,8,8
1560785567,10,10
1560797079,11,11
1560804757,12,12
1560810518,13,13
1560812540,15,15
1560816268,16,16
1560835812,14,14
1560843399,12,12
1560851064,11,11
1560858061,10,10
1560859949,9,9
1560869543,11,11
1560871511,10,10
1560882990,9,9
1560890689,8,8
1560896463,7,7
1560899248,5,5
1560903167,4,4
