DateTime,AddedIPs,RemovedIPs
1559678177,0,7
1559680090,1,10
1559682030,1,10
1559683948,0,10
1559685864,0,8
1559687776,0,4
1559689703,0,11
1559691614,0,5
1559693540,0,6
1559695459,1,8
1559697381,1,9
1559699293,1,4
1559701216,0,7
1559703133,0,13
1559705300,26,9
1559707243,0,7
1559709176,1,5
1559711067,0,9
1559712998,1,2
1559714932,2,4
1559716813,0,7
1559718738,0,10
1559720704,1,3
1559722607,0,8
1559724504,1,9
1559726424,1,10
1559728425,0,1
1559730264,4,2
1559732172,1,2
1559736068,1,0
1559737939,0,1
1559743948,1,1
1559745859,3,0
1559747788,1,0
1559751662,0,1
1559755485,1,2
1559759332,1,0
1559761294,0,1
1559763178,1,0
1559765094,2,0
1559766977,3,0
1559768918,0,1
1559770822,0,1
1559772746,2,0
1559774702,1,1
1559780420,0,1
1559782337,0,1
1559784315,1,2
1559786179,0,1
1559790150,1,25
1559792188,0,3
1559797940,2,0
1559799850,3,2
1559801771,0,1
1559803699,1,0
1559807531,2,0
1559809458,1,0
1559811367,1,0
1559813337,5,2
1559815266,1,0
1559817150,1,4
1559819089,1,0
1559822902,0,1
1559828662,3,2
1559830589,1,1
1559832515,1,2
1559834452,1,1
1559836339,2,0
1559838265,1,0
1559840176,1,0
1559842096,4,2
1559844164,1,2
1559846187,1,0
1559848103,1,0
1559850021,2,1
1559851966,1,3
1559853858,0,2
1559856028,1,0
1559857937,1,3
1559859868,0,2
1559861779,1,0
1559865765,1,0
1559875700,0,1
1559877621,1,0
1559879535,1,0
1559881460,1,0
1559883380,2,1
1559885295,1,1
1559887342,2,3
1559891088,1,0
1559893009,1,1
1559894903,1,0
1559896816,0,3
1559898744,1,3
1559900664,0,1
1559902584,1,1
1559904497,1,2
1559906419,1,0
1559908333,2,1
1559912178,1,0
1559914103,3,2
1559916185,2,2
1559920098,3,2
1559922012,1,1
1559923933,0,1
1559925878,1,1
1559927773,2,1
1559929692,2,3
1559931621,3,0
1559933545,5,0
1559935453,2,1
1559937690,0,2
1559939542,1,1
1559941490,3,1
1559943409,0,1
1559947219,1,1
1559951843,1,0
1559953704,1,2
1559957539,1,0
1559963327,1,0
1559965218,1,2
1559967135,1,1
1559969068,0,2
1559970978,2,1
1559973143,1,2
1559975057,1,0
1559977008,0,1
1559978900,1,0
1559980905,0,2
1559984918,0,1
1559988749,1,2
1559990663,2,1
1559992822,1,2
1559994738,1,2
1559996666,2,0
1559998575,1,1
1560000492,1,2
1560002523,1,2
1560006272,2,2
1560008185,3,1
1560010125,1,0
1560012045,2,1
1560013948,24,2
1560015855,1,3
1560017775,0,2
1560019706,0,2
1560021614,1,3
1560025466,1,2
1560027377,2,2
1560029567,1,2
1560033651,1,1
1560037462,1,1
1560039387,1,0
1560043230,0,1
1560048987,1,1
1560050899,0,1
1560054760,1,0
1560058581,1,1
1560060509,1,1
1560062427,1,0
1560064342,0,1
1560066305,1,1
1560068185,1,0
1560070104,2,0
1560072040,0,1
1560073967,0,1
1560075860,1,0
1560077787,0,1
1560079706,0,1
1560083554,2,2
1560085503,1,0
1560087387,0,1
1560091461,1,2
1560093651,0,2
1560095546,1,2
1560099388,2,31
1560101302,2,2
1560105148,2,0
1560107066,0,2
1560108990,2,0
1560110901,2,0
1560112833,0,3
1560118836,1,0
1560120740,0,1
1560122942,1,1
1560124964,1,1
1560126971,1,1
1560128904,1,0
1560132742,2,2
1560134669,1,1
1560140439,0,1
1560142338,2,1
1560148102,1,2
1560150155,1,0
1560153885,2,2
1560155787,3,0
1560157712,1,2
1560159621,2,0
1560161540,1,0
1560163467,0,1
1560165386,1,0
1560169251,1,1
1560171151,2,0
1560173062,2,0
1560176896,2,1
1560178914,1,2
1560180746,1,0
1560182691,1,2
1560184575,0,1
1560186505,1,3
1560188415,0,1
1560190341,1,2
1560192268,1,0
1560194180,1,1
1560196349,1,1
1560200185,1,0
1560202109,1,0
1560204106,1,2
1560210026,2,1
1560211941,1,1
1560213868,2,1
1560215785,0,1
1560217702,4,1
1560219626,0,2
1560221540,0,1
1560223459,1,0
1560225386,1,0
1560227297,1,0
1560230176,0,2
1560232098,2,0
1560234020,1,1
1560235952,1,0
1560237887,0,1
1560239785,1,2
1560241707,0,2
1560243675,1,1
1560245545,2,2
1560249372,0,1
1560251303,1,0
1560253221,0,2
1560255382,0,1
1560257294,1,1
1560259217,2,3
1560263051,2,2
1560264977,0,1
1560266888,1,2
1560268856,1,0
1560270747,0,2
1560272697,0,1
1560276513,0,1
1560278418,1,0
1560280345,1,2
1560282273,1,1
1560284195,5,0
1560286101,0,1
1560288042,1,2
1560289941,3,2
1560291854,1,0
1560295972,0,1
1560299781,1,2
1560303623,1,4
1560309384,0,1
1560311301,2,1
1560313239,0,1
1560315158,2,0
1560317070,1,0
1560318998,3,2
1560320922,1,1
1560322953,0,1
1560324760,1113,0
1560326666,1266,0
1560328605,408,1
1560330502,2,0
1560332436,0,2
1560336263,0,1
1560338188,2,1
1560340122,3,0
1560342034,1,1
1560343942,1,2
1560345922,0,1
1560347790,1,0
1560349897,2,2
1560351862,1,0
1560353803,0,1
1560355718,2,0
1560357621,3,1
1560361462,1,1
1560365556,1,1
1560367459,0,2
1560369380,1,0
1560371306,0,3
