DateTime,Entries,UniqueIPs
1544997874,403,403
1545019723,400,400
1545041567,406,406
1545063642,404,404
1545085694,404,404
1545107536,371,371
1545129640,349,349
1545151940,344,344
1545174048,343,343
1545196346,344,344
1545240037,342,342
1545262087,343,343
1545284154,343,343
1545306036,344,344
1545327884,343,343
1545349944,345,345
1545372068,346,346
1545394111,346,346
1545416176,334,334
1545438037,313,313
1545460094,296,296
1545481969,286,286
1545504011,274,274
1545525855,251,251
1545547701,236,236
1545569547,232,232
1545591403,231,231
1545657626,207,207
1545679688,185,185
1545701790,150,150
1545723645,108,108
1545745695,91,91
1545767567,109,109
1545789702,127,127
1545811740,142,142
1545833780,150,150
1545855879,150,150
1545899807,152,152
1545921855,151,151
1545943948,145,145
1545965795,144,144
1545987642,141,141
1546009715,142,142
1546031790,159,159
1546053871,166,166
1546075944,171,171
1546098011,176,176
1546119875,192,192
1546141945,197,197
1546163789,205,205
1546185684,218,218
1546207946,223,223
1546230042,224,224
1546251905,229,229
1546273966,243,243
1546296014,254,254
1546317866,255,255
1546339723,262,262
1546361794,261,261
1546383645,260,260
1546405711,252,252
1546427807,250,250
1546449868,262,262
1546471948,272,272
1546494013,276,276
1546515856,298,298
1546537945,311,311
1546560145,324,324
1546582222,344,344
1546604440,360,360
1546626507,358,358
1546648370,350,350
1546670413,350,350
1546692283,344,344
1546714344,335,335
1546736447,330,330
1546758290,326,326
1546780360,316,316
1546802414,309,309
1546824262,306,306
1546846368,304,304
1546868425,293,293
1546890523,271,271
1546912571,252,252
1546945491,234,234
1546967547,227,227
1546989618,217,217
1547011500,211,211
1547033581,205,205
1547055651,191,191
1547077951,178,178
1547100305,170,170
1547122354,145,145
1547144195,122,122
1547166043,100,100
1547187888,64,64
1547210211,31,31
1547232523,9,9
1547254594,8,8
1547287526,7,7
1547375554,13,13
1547441570,11,11
1547529852,10,10
1547574017,9,9
1547617986,8,8
1547640041,7,7
1547772048,6,6
1547992706,1,1
1548080679,2,2
1548521539,3,3
1548543387,4,4
1548598360,10,10
1548642763,11,11
1548687166,10,10
1548885184,11,11
1548907301,12,12
1548995565,13,13
1549128292,12,12
1549150355,11,11
1549216600,6,6
1549260736,5,5
1549304652,8,8
1549326749,14,14
1549348838,15,15
1549502890,14,14
1549524744,15,15
1549612925,16,16
1549634901,16,16
1549656984,17,17
1549843956,18,18
1549909937,14,14
1549932022,8,8
1549953886,7,7
1550173722,7,7
1550195782,6,6
1550217747,5,5
1550239703,4,4
1550261546,3,3
1550283403,1503,1503
1550327319,1504,1504
1550349371,1505,1505
1550459787,1505,1505
1550569939,1506,1506
1550624953,1507,1507
1550778760,1506,1506
1550889176,1508,1508
1550911213,1509,1509
1550933074,1508,1508
1550955169,1506,1506
1550977252,1507,1507
1550999315,1508,1508
1551021399,1510,1510
1551043457,1512,1512
1551065550,1512,1512
1551087625,1513,1513
1551109688,1515,1515
1551131543,1521,1521
1551153392,1528,1528
1551175521,1532,1532
1551197557,1538,1538
1551220151,1547,1547
1551242176,1552,1552
1551264033,1557,1557
1551286093,1562,1562
1551307982,1563,1563
1551330087,1566,1566
1551352009,1570,1570
1551373971,1574,1574
1551396018,1578,1578
1551417860,1584,1584
1551439979,1589,1589
1551462019,1597,1597
1551483863,1599,1599
1551505722,1595,1595
1551527789,1598,1598
1551550407,1603,1603
1551572438,1605,1605
1551594516,1608,1608
1551616569,1607,1607
1551638442,1612,1612
1551660506,1614,1614
1551682418,1613,1613
1551715385,1611,1611
1551737329,1605,1605
1551759382,1597,1597
1551781231,1593,1593
1551803090,1588,1588
1551825169,1580,1580
1551847209,1575,1575
1551869365,1570,1570
1551891378,1567,1567
1551924284,578,578
1551946338,63,63
1551968189,61,61
1551990050,56,56
1552012117,51,51
1552033963,45,45
1552056033,39,39
1552077898,32,32
1552121798,31,31
1552143651,25,25
1552165492,23,23
1552187335,22,22
1552209381,18,18
1552231234,15,15
1552253453,11,11
1552275380,8,8
1552363507,7,7
1552407634,6,6
1552429705,6,6
1552451546,5,5
1552495480,4,4
1552539381,3,3
