DateTime,AddedIPs,RemovedIPs
1553291316,0,1
1553293244,1,0
1553313379,0,1
1553317411,2,0
1553325410,0,2
1553334986,1,0
1553352493,0,1
1553358269,0,1
1553373624,1,0
1553379642,0,1
1553397138,1,0
1553402901,1,1
1553404842,0,1
1553422335,0,1
1553461492,0,1
1553470480,1,0
1553484271,0,1
1553490299,0,1
1553521239,1,0
1553534916,1,0
1553554600,0,1
1553570200,1,0
1553594192,1,0
1553600178,1,0
1553608098,0,1
1553617698,1,0
1553619889,0,1
1553648188,1,0
1553652109,1,0
1553655927,0,1
1553659742,1,0
1553678894,0,1
1553686575,0,1
1553703413,1,0
1553705548,1,1
1553709410,1,0
1553711304,1,0
1553718058,1,0
1553722250,1,0
1553726522,1,0
1553732181,1,0
1553734128,0,1
1553736020,1,0
1553740001,1,1
1553744173,1,0
1553746105,0,1
1553748033,1,0
1553753774,1,0
1553757874,1,0
1553761693,1,0
1553765576,1,0
1553769375,1,0
1553773222,1,0
1553777068,1,0
1553778996,1,0
1553782826,1,0
1553790493,0,1
1553792536,0,1
1553794471,0,1
1553798417,0,1
1553800346,1,0
1553804176,1,1
1553808032,1,1
1553812646,0,1
1553814509,1,0
1553816439,1,0
1553818375,0,1
1553822200,1,1
1553826062,0,1
1553831783,0,1
1553835763,1,1
1553839466,0,1
1553843331,0,1
1553849091,0,1
1553852905,0,1
1553856756,0,1
1553858661,0,1
1553862514,1,0
1553864493,0,1
1553866349,0,1
1553870187,0,1
1553877876,1,0
1553885800,0,1
1553889820,1,1
1553893722,0,1
1553901376,0,1
1553903541,0,1
1553909295,0,1
1553922744,0,1
1553947960,2,1
1553951785,1,0
1553965463,0,1
1553974823,1,0
1553976767,1,1
1553988284,1,0
1554033184,0,1
1554035060,0,1
1554037004,0,1
1554060052,0,1
1554061963,0,1
1554074012,0,1
1554109000,1,0
1554124363,1,0
1554169461,1,0
1554192747,1,0
1554196594,0,1
1554210172,0,1
1554238125,2,0
1554254912,0,1
1554264736,1,0
1554278169,0,1
1554291868,1,0
1554324758,0,2
1554341294,1,0
1554345168,1,0
1554351058,0,1
1554378026,0,1
1554424115,1,0
1554428210,0,1
1554430116,0,1
1554441889,1,0
1554467542,2,0
