DateTime,AddedIPs,RemovedIPs
1552864111,1,0
1552866350,1,0
1552872028,0,2
1552883788,1,0
1552887615,0,1
1552889545,1,0
1552902996,1,0
1552969720,0,1
1552973572,1,0
1552975503,1,0
1552983406,1,0
1552985297,1,0
1552989144,0,1
1552992995,1,0
1553006904,1,0
1553037638,1,0
1553045315,1,0
1553058995,0,1
1553060901,0,1
1553064753,1,1
1553066665,1,0
1553068572,0,1
1553072442,0,1
1553076291,0,1
1553082255,1,0
1553097655,1,0
1553101483,1,0
1553109135,0,1
1553112998,1,0
1553119722,1,0
1553123543,0,1
1553152569,0,2
1553154499,2,0
1553164094,1,0
1553166975,0,1
1553168900,0,1
1553178513,1,0
1553180508,0,1
1553182344,1,0
1553184296,0,1
1553186181,0,1
1553195814,5,0
1553197706,6,0
1553199624,8,1
1553201548,2,0
1553205385,0,1
1553207318,2,0
1553240455,0,2
1553242352,1,0
1553244263,1,0
1553246212,1,0
1553253887,1,0
1553255810,2,0
1553263768,0,1
1553281960,0,3
1553283870,0,7
1553285784,0,7
1553287716,0,4
1553293452,0,1
1553313379,2,0
1553329224,0,1
1553331136,1,2
1553333086,1,0
1553336918,1,0
1553338982,0,1
1553342921,0,1
1553354418,0,1
1553356362,1,0
1553364093,1,0
1553399087,0,2
1553412494,1,0
1553416367,0,1
1553418282,1,0
1553420440,0,1
1553422336,0,1
1553430255,0,1
1553434353,1,0
1553440106,1,0
1553448019,1,0
1553478536,0,1
1553488116,1,0
1553499864,0,1
1553503705,0,1
1553505619,1,0
1553521240,0,1
1553525077,0,1
1553531073,1,0
1553534916,0,1
1553538981,0,1
1553544988,2,0
1553556499,0,1
1553560598,1,0
1553568277,0,1
1553590340,1,0
1553592291,0,1
1553594192,1,0
1553617699,0,2
1553619895,1,0
1553626360,1,0
1553628266,1,0
1553632824,0,1
1553646268,0,1
1553676997,0,1
1553699592,1,0
1553705548,0,1
1553713263,0,1
1553715166,1,0
1553718971,0,1
1553722828,1,0
1553732701,1,0
1553748976,1,0
1553790494,1,0
1553800347,0,1
1553802276,1,0
1553809933,1,2
1553818375,0,1
1553833718,1,0
1553835764,1,1
1553845223,1,0
1553866349,1,0
1553872124,0,1
1553874024,1,0
1553889838,1,0
1553893722,0,1
1553895611,0,1
1553897549,1,0
1553901377,1,0
1553918912,0,2
1553920812,0,1
1553951786,0,1
1553959459,0,1
1553963292,0,2
1553976768,0,1
1553982506,0,1
1553988285,0,1
1554029308,1,0
1554077802,1,0
1554116704,0,1
1554175240,1,0
1554262831,0,1
1554301469,0,1
1554320683,0,1
1554340338,1,0
1554353809,1,0
1554405890,2,0
1554436586,1,0
1554445967,0,1
1554490974,0,1
1554492939,0,1
1554522260,0,1
1554545808,0,1
1554591149,0,1
1554618261,1,0
1554622095,1,0
1554627876,1,0
1554631697,1,0
1554643220,1,0
1554650894,1,0
1554655699,1,0
1554705643,0,1
1554707542,0,1
1554715214,0,1
1554723859,1,0
1554729900,0,1
1554737571,0,1
1554741382,0,1
1554747400,1,0
1554764591,1,0
1554772343,1,0
1554801639,0,1
1554809311,1,0
1554815303,1,0
1554834490,0,1
1554851810,0,1
1554896907,1,0
1554902662,1,1
1554904598,0,1
1554952575,1,0
1554960291,1,0
1554968186,0,1
1554983548,0,1
1554989317,0,1
1554991312,1,0
1555019794,0,1
1555040414,0,1
1555048092,0,1
1555061562,1,0
1555078823,0,1
1555094684,1,0
1555141219,1,0
1555170280,1,0
1555181792,0,1
1555189700,0,1
1555208909,1,0
1555226436,0,1
1555256193,0,1
1555292943,0,1
1555313053,1,0
1555347889,1,0
1555349773,1,0
1555399956,0,1
1555417479,1,0
1555436684,0,1
1555470310,1,0
1555478466,2,0
1555523082,1,0
1555550451,1,0
1555556181,0,1
1555565781,0,2
1555587163,0,1
1555608354,0,2
1555666839,1,0
1555716989,1,0
1555753474,0,1
1555804583,0,1
1555812291,0,1
1555815154,3,0
