DateTime,Entries,UniqueIPs
1559965221,992,992
1559967138,991,991
1559969073,994,994
1559970982,988,988
1559973145,989,989
1559975060,984,984
1559977010,984,984
1559978902,982,982
1559980908,984,984
1559982754,997,997
1559984920,1014,1014
1559986820,1027,1027
1559988751,1027,1027
1559990665,1031,1031
1559992825,1036,1036
1559994742,1040,1040
1559996669,1049,1049
1559998577,1049,1049
1560000494,1059,1059
1560002535,1049,1049
1560004338,1051,1051
1560006276,1054,1054
1560008188,1060,1060
1560010127,1062,1062
1560012047,1064,1064
1560013950,1062,1062
1560015858,1054,1054
1560017777,1046,1046
1560019708,1048,1048
1560021616,1035,1035
1560023540,1038,1038
1560025469,1035,1035
1560027398,1031,1031
1560029570,1021,1021
1560031715,1016,1016
1560033654,1005,1005
1560035549,996,996
1560037465,987,987
1560039389,981,981
1560041302,967,967
1560043232,954,954
1560045140,945,945
1560047066,947,947
1560048990,942,942
1560050902,944,944
1560052952,943,943
1560054762,948,948
1560056720,948,948
1560058585,971,971
1560060511,982,982
1560062429,983,983
1560064344,992,992
1560066307,724,724
1560068187,1500,1500
1560070107,1479,1479
1560072043,1465,1465
1560073970,1470,1470
1560075862,1466,1466
1560077796,1464,1464
1560079710,1465,1465
1560081764,1462,1462
1560083776,1450,1450
1560085946,1448,1448
1560087857,1445,1445
1560090023,1449,1449
1560091932,1448,1448
1560093860,1475,1475
1560095777,1478,1478
1560097691,1480,1480
1560099698,1474,1474
1560101545,1476,1476
1560103701,1473,1473
1560105613,1463,1463
1560107549,1464,1464
1560109454,1457,1457
1560111636,1445,1445
1560113534,1446,1446
1560115464,1442,1442
1560117371,1445,1445
1560119293,1441,1441
1560121264,1445,1445
1560123387,1459,1459
1560125316,1516,1516
1560127210,1564,1564
1560129142,1628,1628
1560131059,1660,1660
1560132974,1664,1664
1560134893,1668,1668
1560136824,1675,1675
1560138732,1676,1676
1560140654,1673,1673
1560142581,1690,1690
1560144506,1679,1679
1560147377,1686,1686
1560149292,1686,1686
1560151224,1675,1675
1560153135,1684,1684
1560155057,1193,1193
1560156977,1190,1190
1560158892,1187,1187
1560161781,1195,1195
1560163697,1193,1193
1560165619,1190,1190
1560167546,1191,1191
1560169456,1199,1199
1560171376,1203,1203
1560173289,1203,1203
1560175229,1208,1208
1560177156,1214,1214
1560179068,1212,1212
1560180972,1188,1188
1560182906,1189,1189
1560184812,1184,1184
1560186739,1197,1197
1560188674,1198,1198
1560190589,1202,1202
1560192744,1204,1204
1560194671,1202,1202
1560196604,1202,1202
1560198493,1209,1209
1560200469,1203,1203
1560202342,1202,1202
1560204518,1201,1201
1560206417,1204,1204
1560208338,1219,1219
1560210266,1224,1224
1560212178,1196,1196
1560214381,1164,1164
1560216255,1116,1116
1560218184,1114,1114
1560220111,1123,1123
1560222072,1137,1137
1560223944,1148,1148
1560225855,1158,1158
1560227772,1160,1160
1560229712,1154,1154
1560231621,1119,1119
1560233535,1121,1121
1560235461,1115,1115
1560237374,1119,1119
1560239294,965,965
1560241222,1115,1115
1560243134,1121,1121
1560245053,1116,1116
1560246980,1126,1126
1560248891,1126,1126
1560250888,1126,1126
1560252746,1126,1126
1560254661,1122,1122
1560256572,1121,1121
1560258514,1167,1167
1560260423,1228,1228
1560262344,1233,1233
1560264268,1244,1244
1560266186,1254,1254
1560268096,1265,1265
1560270024,1284,1284
1560271943,1324,1324
1560273858,1329,1329
1560275793,1340,1340
1560277705,1353,1353
1560279750,1362,1362
1560281553,1374,1374
1560283503,1378,1378
1560285386,1389,1389
1560287322,1408,1408
1560289228,1420,1420
1560291157,1423,1423
1560294047,1423,1423
1560295975,1416,1416
1560297930,1411,1411
1560299786,1406,1406
1560301725,1399,1399
1560303625,1385,1385
1560305546,1380,1380
1560307481,1370,1370
1560309389,1367,1367
1560311303,1365,1365
1560313242,1363,1363
1560315160,1368,1368
1560317073,1362,1362
1560319001,1366,1366
1560320924,1364,1364
1560322957,1385,1385
1560324763,2500,2500
1560326685,3751,3751
1560328608,5797,5797
1560330522,8608,8608
1560332439,8613,8613
1560334357,8621,8621
1560336266,8651,8651
1560338191,8690,8690
1560340125,8728,8728
1560342037,8763,8763
1560343945,8754,8754
1560345925,8718,8718
1560347793,8702,8702
1560349900,8708,8708
1560351865,8714,8714
1560353805,8707,8707
1560355721,8703,8703
1560357624,8686,8686
1560359571,8671,8671
1560361465,8672,8672
1560363638,8662,8662
1560365559,8658,8658
1560367462,8653,8653
1560369383,8642,8642
1560371309,8625,8625
1560373240,8616,8616
1560375148,8598,8598
1560377082,8593,8593
1560379274,8582,8582
1560381155,8571,8571
1560383085,8559,8559
1560385005,8549,8549
1560386918,8534,8534
1560388851,8526,8526
1560390765,8533,8533
1560392672,8524,8524
1560394599,8515,8515
1560396523,8513,8513
1560398613,8508,8508
1560400837,8490,8490
1560402784,9299,9299
1560404684,9285,9285
1560406620,9267,9267
1560408521,9248,9248
1560410413,8700,8700
1560412351,6997,6997
1560414267,5801,5801
1560416491,2136,2136
1560418356,1927,1927
1560420265,1919,1919
1560422180,1885,1885
1560424110,1880,1880
1560426025,1832,1832
1560428199,1779,1779
1560430100,1776,1776
1560432044,1766,1766
1560433953,1750,1750
1560435859,1741,1741
1560437790,1726,1726
1560439708,1715,1715
1560441717,1706,1706
1560443553,1702,1702
1560445475,1699,1699
1560447421,1684,1684
1560449303,1677,1677
1560451215,1667,1667
1560453151,1660,1660
1560455061,1665,1665
1560456974,1663,1663
1560459157,1666,1666
1560461063,1660,1660
1560463278,1657,1657
1560465143,1652,1652
1560467139,1649,1649
1560468992,1643,1643
1560470847,1640,1640
1560472825,1636,1636
1560474995,1631,1631
1560476902,1612,1612
1560478827,1612,1612
1560480757,1608,1608
1560482666,1612,1612
1560484580,1615,1615
1560486505,1615,1615
1560488532,783,783
1560490342,780,780
1560492283,779,779
1560494182,777,777
1560496357,781,781
1560498271,792,792
1560500195,780,780
1560502108,784,784
1560504031,785,785
1560505962,786,786
1560507871,787,787
1560509794,770,770
1560511716,750,750
1560513747,754,754
1560515552,751,751
1560517484,745,745
1560519409,749,749
1560521580,752,752
1560523468,749,749
1560525646,750,750
1560527538,796,796
1560529475,793,793
