DateTime,AddedIPs,RemovedIPs
1556927083,0,1
1556940493,0,1
1556942554,1,0
1556944365,1,0
1556956135,1,1
1556958049,2,1
1556963784,1,0
1556973620,0,1
1556975565,0,1
1556994768,0,2
1557000526,1,0
1557002438,0,1
1557006259,2,0
1557012018,0,1
1557013962,1,0
1557021749,1,0
1557027388,1,0
1557029318,0,1
1557031235,1,1
1557038907,1,0
1557042754,0,1
1557044663,1,2
1557048503,1,0
1557050536,0,1
1557054270,1,0
1557058130,1,0
1557061946,1,0
1557065800,1,0
1557069647,1,0
1557073466,1,0
1557081173,1,0
1557085018,1,0
1557086930,0,1
1557088847,1,0
1557092677,0,2
1557094599,1,0
1557100337,0,1
1557102291,1,0
1557106098,2,0
1557108150,0,1
1557114049,0,1
1557117868,0,1
1557125566,0,1
1557127459,1,0
1557131318,0,1
1557136102,0,1
1557139933,1,1
1557143772,0,1
1557147682,0,1
1557151741,2,1
1557155573,0,1
1557159408,0,1
1557167077,0,1
1557170922,0,1
1557176701,0,1
1557180527,0,1
1557188799,0,1
1557193238,1,2
1557195186,1,0
1557210766,1,0
1557214594,0,1
1557224181,1,0
1557226115,0,1
1557229991,1,0
1557237939,0,2
1557245546,1,0
1557249381,1,0
1557258977,1,0
1557272671,1,0
1557278684,0,1
1557282498,0,1
1557287303,2,0
1557296887,0,1
1557306541,1,0
1557308417,3,0
1557312255,0,1
1557316112,0,1
1557329553,1,0
1557331523,0,1
1557335299,2,1
1557344934,2,1
1557355555,2,0
1557359265,0,1
1557373263,0,2
1557377093,1,0
1557383065,1,0
1557386932,1,0
1557392923,0,1
1557394821,0,3
1557416441,0,1
1557420502,0,1
1557422461,0,1
1557430373,1,0
1557432310,0,2
1557439945,0,2
1557456026,1,0
1557462033,0,1
1557469726,0,1
1557473571,0,1
1557498749,1,0
1557502857,1,0
1557504739,1,0
1557516259,0,1
1557532110,1,0
1557541704,0,1
1557580354,1,0
1557586104,0,1
1557590073,1,2
1557594362,1,0
1557604142,1,0
1557607947,1,0
1557617782,0,1
1557629545,1,0
1557643218,1,0
1557647083,1,0
1557648976,1,0
1557655006,1,0
1557660739,1,0
1557666502,0,1
1557676361,0,1
1557682107,0,1
1557690043,0,1
1557694119,0,1
1557716773,0,1
1557728201,0,1
1557733946,0,1
1557735875,0,1
1557739732,1,0
1557741683,0,1
1557747389,0,1
1557801857,1,0
1557817554,1,0
1557825675,0,1
1557862379,1,0
1557868142,1,0
1557873894,1,0
1557877738,1,0
1557887312,0,1
1557889383,1,0
1557891394,1,0
1557897405,1,0
1557901245,1,0
1557905089,1,1
1557910841,1,0
1557930048,1,0
1557939683,1,0
1557949240,0,1
1557955004,0,1
1557960759,0,1
1557964574,0,1
1557976126,1,1
1557978047,0,1
1557984046,0,1
1557987864,0,1
1557991699,0,1
1557995538,1,0
1557997552,0,1
1558005389,1,0
1558016947,0,1
1558026749,0,1
1558032510,1,0
1558063223,0,1
1558080989,0,1
1558092528,0,1
1558111738,1,0
1558117703,0,1
1558197403,0,1
1558200271,1,0
1558285953,0,1
1558289809,1,0
1558303396,1,0
1558357302,1,0
1558376433,0,1
1558387969,0,1
1558407174,1,0
1558443682,0,1
1558447587,1,0
1558460919,1,0
1558472934,1,0
1558474822,2,0
1558493301,0,1
1558495488,1,0
1558505156,1,0
1558507070,1,0
