DateTime,Entries,UniqueIPs
1559967139,4007,4007
1559969074,4009,4009
1559970989,4016,4016
1559973146,4019,4019
1559975061,3998,3998
1559977011,3906,3906
1559978903,3812,3812
1559980909,3731,3731
1559982755,3685,3685
1559984921,3666,3666
1559986821,3635,3635
1559988752,3593,3593
1559990666,3539,3539
1559992826,3486,3486
1559994750,3429,3429
1559996670,3370,3370
1559998578,3390,3390
1560000495,3404,3404
1560002538,3408,3408
1560004339,3411,3411
1560006280,3446,3446
1560008189,3449,3449
1560010128,3466,3466
1560012048,3489,3489
1560013951,3535,3535
1560015859,3566,3566
1560017778,3549,3549
1560019709,4097,4097
1560021617,6309,6309
1560023541,8610,8610
1560025470,10864,10864
1560027405,12393,12393
1560029571,12348,12348
1560031716,12325,12325
1560033655,12310,12310
1560035550,12273,12273
1560037466,12263,12263
1560039390,12241,12241
1560041303,12198,12198
1560043233,12163,12163
1560045142,12122,12122
1560047067,12100,12100
1560048998,12081,12081
1560050903,12048,12048
1560052953,12027,12027
1560054763,12021,12021
1560056728,12008,12008
1560058592,11994,11994
1560060512,11982,11982
1560062430,11960,11960
1560064345,11966,11966
1560066318,11979,11979
1560068200,11957,11957
1560070107,11985,11985
1560072044,11967,11967
1560073971,11947,11947
1560075863,11932,11932
1560077797,11926,11926
1560079716,11929,11929
1560081766,11926,11926
1560083777,11944,11944
1560085947,11939,11939
1560087857,11991,11991
1560090024,12031,12031
1560091932,12035,12035
1560093866,12077,12077
1560095778,12094,12094
1560097692,12099,12099
1560099705,12106,12106
1560101563,12104,12104
1560103702,12127,12127
1560105614,11905,11905
1560107556,9979,9979
1560109455,7999,7999
1560111637,5482,5482
1560113534,3592,3592
1560115465,3630,3630
1560117372,3674,3674
1560119294,3746,3746
1560121279,3763,3763
1560123394,3803,3803
1560125317,3826,3826
1560127211,3858,3858
1560129150,3891,3891
1560131060,3907,3907
1560132983,3928,3928
1560134894,3942,3942
1560136831,3958,3958
1560138733,3986,3986
1560140655,4003,4003
1560142582,4005,4005
1560144507,4034,4034
1560147378,4041,4041
1560149293,4042,4042
1560151231,4035,4035
1560153135,4050,4050
1560155064,4043,4043
1560156978,4026,4026
1560158893,4042,4042
1560160866,4062,4062
1560162746,4057,4057
1560164695,4046,4046
1560166576,4008,4008
1560168503,3968,3968
1560170413,3969,3969
1560172339,3968,3968
1560174271,3907,3907
1560176176,3918,3918
1560178098,3899,3899
1560180023,3856,3856
1560181945,3828,3828
1560183856,3789,3789
1560185781,3754,3754
1560187699,3719,3719
1560189689,3680,3680
1560191578,3615,3615
1560193494,3544,3544
1560195371,3471,3471
1560197315,3415,3415
1560199214,3400,3400
1560201160,3391,3391
1560203062,3368,3368
1560204987,3307,3307
1560206894,3259,3259
1560208828,3237,3237
1560210746,3240,3240
1560212656,3223,3223
1560214576,3205,3205
1560216495,3196,3196
1560218444,3207,3207
1560220348,3174,3174
1560222305,3178,3178
1560224173,3166,3166
1560226109,3149,3149
1560228016,3137,3137
1560229935,3122,3122
1560231868,3124,3124
1560233791,3095,3095
1560235697,3087,3087
1560237620,3107,3107
1560239536,3086,3086
1560241708,3135,3135
1560243694,3162,3162
1560245548,3204,3204
1560247494,3257,3257
1560249374,3327,3327
1560251312,3388,3388
1560253223,3434,3434
1560255390,3468,3468
1560257303,3506,3506
1560259219,3583,3583
1560261132,3633,3633
1560263052,3662,3662
1560264991,3728,3728
1560266889,3782,3782
1560268883,3816,3816
1560270754,3848,3848
1560272700,3929,3929
1560274588,4010,4010
1560276514,4089,4089
1560278426,4139,4139
1560280352,4166,4166
1560282274,4206,4206
1560284196,4220,4220
1560286102,4255,4255
1560288043,4261,4261
1560289942,4282,4282
1560291855,4341,4341
1560294048,4370,4370
1560295976,4366,4366
1560297932,4353,4353
1560299793,4349,4349
1560301727,4340,4340
1560303626,4329,4329
1560305547,4293,4293
1560307482,4301,4301
1560309397,4298,4298
1560311304,4320,4320
1560313243,4352,4352
1560315161,4390,4390
1560317074,4399,4399
1560319002,4423,4423
1560320925,4448,4448
1560322958,4448,4448
1560324765,5982,5982
1560326719,7186,7186
1560328609,7514,7514
1560330524,7475,7475
1560332441,7449,7449
1560334365,7375,7375
1560336284,7315,7315
1560338193,7290,7290
1560340126,7265,7265
1560342038,7220,7220
1560343946,7174,7174
1560345926,7138,7138
1560347794,7088,7088
1560349901,7606,7606
1560351866,7579,7579
1560353806,7520,7520
1560355722,7502,7502
1560357624,7468,7468
1560359580,7394,7394
1560361466,7332,7332
1560363639,7274,7274
1560365560,7233,7233
1560367463,7212,7212
1560369383,7204,7204
1560371310,7162,7162
1560373241,7122,7122
1560375149,7110,7110
1560377083,7079,7079
1560379275,7033,7033
1560381156,7019,7019
1560383086,7013,7013
1560385006,7028,7028
1560386919,7028,7028
1560388858,7062,7062
1560390766,7054,7054
1560392673,7064,7064
1560394599,7047,7047
1560396523,7062,7062
1560398627,7031,7031
1560400838,6998,6998
1560402792,6982,6982
1560404685,6943,6943
1560406628,6920,6920
1560408522,6889,6889
1560410421,5898,5898
1560412351,4527,4527
1560414268,3674,3674
1560416495,3687,3687
1560418364,3666,3666
1560420265,3676,3676
1560422187,3670,3670
1560424111,3650,3650
1560426026,3648,3648
1560428208,3684,3684
1560430101,3698,3698
1560432047,3692,3692
1560433954,3695,3695
1560435860,3687,3687
1560437791,3662,3662
1560439709,3706,3706
1560441735,3722,3722
1560443554,3733,3733
1560445505,3737,3737
1560447422,3753,3753
