DateTime,AddedIPs,RemovedIPs
1545879372,1,0
1545887319,1,0
1545948299,1,0
1545961700,0,1
1545965545,0,1
1545967479,0,1
1545971788,1,0
1545973702,0,1
1545987395,1,0
1546010900,1,0
1546034172,0,1
1546070516,0,1
1546072354,0,1
1546074280,1,0
1546095720,0,1
1546123013,1,0
1546160681,0,1
1546206283,0,1
1546319784,1,0
1546337116,1,0
1546407626,0,1
1546421567,0,1
1546533616,1,0
1546582618,2,0
1546620796,0,1
1546640465,1,0
1546667787,0,1
1546726362,0,1
1546730204,1,0
1546734029,0,1
1546762163,1,0
1546803337,1,0
1546837016,0,1
1546838960,1,0
1546848532,0,1
1546890067,0,1
1546893910,1,0
1546925096,0,1
1546926994,1,0
1546978853,0,1
1547033585,0,1
1547036140,1,0
1547040532,2,0
1547123576,0,1
1547125492,0,2
1547162428,1,0
1547184034,1,0
1547222986,1,0
1547235163,1,0
1547249598,0,1
1547271394,0,1
1547295653,1,0
1547309840,0,1
1547319683,1,1
1547381569,0,1
1547403619,0,1
1547414415,1,0
1547416349,1,0
1547438515,1,0
1547446338,1,0
1547452656,1,0
1547502278,0,2
1547524909,0,1
1547532782,1,1
1547540680,0,1
1547590377,1,0
1547592287,19,0
1547619869,0,1
1547676766,0,20
1547791959,1,0
1547799677,1,0
1547885142,0,1
1547904776,0,1
1548024808,1,0
1548137340,1,0
1548187954,0,1
1548199726,1,0
1548219154,1,0
1548225158,0,1
1548287582,0,1
1548303194,0,1
1548697000,1,0
1548710916,1,0
1548764907,2,0
1548772822,1,0
1548784609,0,1
1548797086,0,1
1548851122,0,2
1548857090,0,1
1548881318,1,0
1548901001,1,0
1548915142,1,0
1548967721,0,1
1548987667,0,1
1549013091,1,0
1549022688,0,1
1549116993,1,0
1549150851,0,1
1549187545,1,0
1549203422,0,1
1549294608,0,1
1549324851,1,0
1549410753,0,1
1549433569,1,0
1549447279,1,0
1549521180,0,1
1549536755,0,1
1549627944,1,0
1549635626,1,0
1549714855,0,1
1549720589,0,1
1549800781,1,0
1549808451,1,0
1549888353,0,1
1549896101,0,1
1550006433,1,0
1550091909,0,1
1550254127,1,0
1550306419,1,0
1550337516,1,0
1550341954,1,1
1550358345,1,0
1550391166,0,1
1550423811,0,1
1550427764,0,1
1550442986,0,1
1550552685,1,0
1550597303,1,0
1550611687,1,0
1550617974,1,0
1550637621,1,0
1550639572,0,1
1550699561,0,1
1550707368,0,1
1550724980,0,1
1550738656,0,1
1550995473,1,0
1551034092,2,0
1551052392,1,0
