DateTime,AddedIPs,RemovedIPs
1559939548,1,4
1559941517,5,3
1559943422,10,7
1559945326,8,5
1559949145,11,4
1559951848,2,6
1559953710,8,3
1559955729,10,5
1559957545,0,2
1559959558,9,3
1559963333,1,2
1559965224,2,0
1559967141,3,2
1559969077,2,2
1559970992,1,3
1559973148,2,0
1559975063,4,1
1559977013,0,3
1559978905,1,0
1559980911,3,2
1559982764,2,2
1559984932,2,1
1559988755,0,1
1559990669,1,1
1559992828,0,4
1559996672,1,1
1559998580,2,5
1560000497,0,1
1560002540,0,3
1560004341,2,0
1560006287,5,3
1560008191,3,1
1560010130,0,1
1560012051,2,3
1560013953,3,4
1560015861,1,10
1560017780,1,5
1560019714,545,1
1560021619,2235,0
1560023543,2344,0
1560025502,2386,0
1560027408,1589,0
1560029573,2,9
1560031721,1,9
1560035553,0,9
1560037469,1,3
1560039393,2,1
1560041306,3,17
1560043236,0,1
1560045144,0,1
1560047070,1,8
1560049001,2,1
1560050905,2,1
1560052956,0,1
1560054766,2,0
1560056730,1,0
1560058595,1,3
1560060514,2,3
1560062433,2,0
1560064347,1,0
1560066321,1,1
1560068219,2,0
1560072046,5,5
1560073974,3,1
1560075866,2,0
1560077799,8,1
1560079719,1,1
1560081773,1,1
1560083779,1,0
1560087860,1,1
1560090029,11,2
1560091935,7,4
1560093869,2,3
1560095780,1,0
1560097695,2,0
1560099719,1,2
1560101566,2,4
1560105617,18,292
1560107558,4,2050
1560109457,2,2084
1560111639,1,2667
1560113537,1,2014
1560115467,2,0
1560117374,4,1
1560119296,6,1
1560121307,3,2
1560123396,1,1
1560125319,1,3
1560127213,1,2
1560129152,13,2
1560131062,1,0
1560132986,0,2
1560134896,1,0
1560136833,0,3
1560140657,9,2
1560142584,7,1
1560144509,12,1
1560147380,2,2
1560149295,2,2
1560151234,4,1
1560153138,1,0
1560155066,1,3
1560156980,2,0
1560158895,2,6
1560160935,3,6
1560162748,4,2
1560164719,0,8
1560166579,1,2
1560168506,2,1
1560170415,14,1
1560172341,3,0
1560174274,1,4
1560176178,1,5
1560178100,2,9
1560180029,3,1
1560181947,3,0
1560183859,2,4
1560185783,1,1
1560187701,5,2
1560189705,1,1
1560191582,1,18
1560193497,2,2
1560195373,1,3
1560197317,3,2
1560199216,0,3
1560201164,17,0
1560203065,19,5
1560204989,16,4
1560206896,2,4
1560208831,2,0
1560210749,0,1
1560212659,3,2
1560214578,3,1
1560216497,3,2
1560218466,4,0
1560220361,0,1
1560222312,7,1
1560224175,2,0
1560226111,1,12
1560228019,2,0
1560229936,2,14
1560231871,2,7
1560233793,1,0
1560235699,3,2
1560237622,2,2
1560239538,2,1
1560241710,1,1
1560243704,4,3
1560245551,1,1
1560247496,3,1
1560249377,11,2
1560251314,4,1
1560253225,1,1
1560255392,1,7
1560257305,3,11
1560259221,6,1
1560261134,5,0
1560263055,3,0
1560264994,4,3
1560266892,2,3
1560268916,0,1
1560270760,1,2
1560272709,2,4
1560274589,2,3
1560276516,4,1
1560278428,2,2
1560280354,2,0
1560282275,5,1
1560284198,1,3
1560286104,3,0
1560288044,1,22
1560289944,0,19
1560291857,2,8
1560294053,2,2
1560295984,1,1
1560297935,1,2
1560299795,1,4
1560301729,0,3
1560303629,7,2
1560305549,1,5
1560307486,2,3
1560309399,2,3
1560311307,0,3
1560313245,0,1
1560315164,0,2
1560317076,5,4
1560319004,3,1
1560320928,1,1
1560322961,1,3
1560324767,0,4
1560326750,3,2
1560328612,2,1
1560330526,21,5
1560332444,7,4
1560334367,3,11
1560336287,3,3
1560338196,2,3
1560340129,5,2
1560342043,1,2
1560343948,0,2
1560345929,6,6
1560347797,3,0
1560349903,6,2
1560351869,3,6
1560353809,3,1
1560355726,3,1
1560357627,16,2
1560359582,4,5
1560361468,5,1
1560363642,3,4
1560365562,4,1
1560367480,2,6
1560371313,1,1
1560373245,2,4
1560375151,3,1
1560377085,2,3
1560379278,6,13
1560381158,1,3
1560383089,1,2
1560385008,2,1
1560386921,2,0
1560388861,3,1
1560390768,1,7
1560392675,1,3
1560394607,9,2
1560396529,0,2
1560398694,1,1
1560402795,2,3
1560404687,0,4
1560406630,2,1
1560408524,0,1
1560410423,2,2
1560412354,3,2
1560414271,1,1
1560416504,2,8
1560418366,1,21
1560420269,2,4
1560422190,1,3
1560424115,3,1
1560426029,1,3
1560428210,5,1
1560430112,2,0
1560432049,7,5
1560433956,3,5
1560435863,2,6
1560437793,1,2
1560439712,1,1
1560441762,1,5
1560443772,1,18
1560445986,3,4
1560447858,8,5
1560449779,0,3
1560451704,3,3
1560453609,0,2
1560455531,2,7
1560457460,1,4
1560459369,3,1
1560461298,4,3
1560463337,6,3
1560465146,4,3
1560467147,2,1
1560468994,3,0
1560470849,3,1
1560472828,2,5
1560474997,4,4
1560476904,4,1
1560478847,4,2
1560480760,3,9
1560482668,6,1
1560484583,2,1
1560486508,3,0
1560488554,1,1
1560490581,1,1
1560492504,1,1
1560494427,1,1
1560496360,4,0
1560498274,4,4
1560500197,3,0
1560504042,4,3
1560505964,4,3
1560507874,3,1
1560509803,4,4
1560511719,1,3
1560513786,2,4
1560515773,0,5
1560517960,2,6
1560519864,3,4
1560521787,10,2
1560523712,4,2
1560525650,7,1
1560527540,14,2
1560529483,2,0
1560531394,6,2
1560533310,8,3
1560535350,8,0
1560537154,2,1
1560539131,6,2
1560540989,8,3
1560542940,7,1
1560544825,3,2
1560546767,3,3
1560548680,4,4
1560552034,4,14
1560553980,4,2
1560555894,4,4
1560557801,12,2
1560559709,3,1
1560561635,10,3
1560563562,1,2
1560565477,4,5
1560567386,1,2
1560569318,3,3
1560571357,1,2
1560573164,0,2
1560575140,0,1
1560577001,1,1
1560578922,2,1
1560580834,3,1
1560582783,10,4
1560584680,1,2
1560586613,3,3
1560588531,5,0
1560590429,1,4
1560592373,2,5
1560594300,1,2
1560596200,5,4
1560598106,4,1
1560600136,4,2
1560601944,4,0
1560603881,0,1
1560605784,2,1
1560607718,4,10
1560609629,2,3
1560611553,1,7
1560613458,2,18
1560615388,4,2
1560617332,4,3
1560619232,3,8
1560621147,199,7
1560623069,2129,4
