DateTime,Entries,UniqueIPs
1559967140,2846,2846
1559969076,2850,2850
1559970991,2862,2862
1559973148,2869,2869
1559975062,2841,2841
1559977013,2748,2748
1559978905,2680,2680
1559980911,2591,2591
1559982763,2523,2523
1559984931,2509,2509
1559986823,2458,2458
1559988754,2411,2411
1559990668,2363,2363
1559992827,2306,2306
1559994751,2236,2236
1559996671,2169,2169
1559998580,2172,2172
1560000497,2184,2184
1560002540,2202,2202
1560004341,2191,2191
1560006287,2208,2208
1560008190,2209,2209
1560010130,2233,2233
1560012050,2248,2248
1560013953,2265,2265
1560015860,2292,2292
1560017779,2290,2290
1560019713,2306,2306
1560021618,2307,2307
1560023542,2309,2309
1560025501,2282,2282
1560027407,2263,2263
1560029572,2248,2248
1560031720,2228,2228
1560033656,2213,2213
1560035552,2180,2180
1560037468,2153,2153
1560039392,2126,2126
1560041305,2102,2102
1560043235,2069,2069
1560045143,2028,2028
1560047069,2017,2017
1560049000,1994,1994
1560050905,1965,1965
1560052956,1946,1946
1560054765,1951,1951
1560056730,1937,1937
1560058594,1924,1924
1560060514,1919,1919
1560062432,1903,1903
1560064346,1901,1901
1560066320,1905,1905
1560068218,1899,1899
1560070109,1923,1923
1560072045,1900,1900
1560073974,1901,1901
1560075865,1883,1883
1560077798,1874,1874
1560079718,1873,1873
1560081772,1874,1874
1560083779,1875,1875
1560085948,1870,1870
1560087859,1913,1913
1560090029,1941,1941
1560091934,1958,1958
1560093868,1996,1996
1560095780,1977,1977
1560097694,1962,1962
1560099718,1970,1970
1560101565,1970,1970
1560103704,1972,1972
1560105616,2011,2011
1560107557,2049,2049
1560109457,2078,2078
1560111639,2129,2129
1560113536,2154,2154
1560115467,2185,2185
1560117374,2234,2234
1560119296,2290,2290
1560121305,2296,2296
1560123396,2340,2340
1560125318,2367,2367
1560127213,2396,2396
1560129152,2418,2418
1560131062,2444,2444
1560132985,2456,2456
1560134896,2472,2472
1560136833,2491,2491
1560138735,2506,2506
1560140657,2511,2511
1560142584,2505,2505
1560144509,2500,2500
1560147380,2514,2514
1560149295,2528,2528
1560151233,2515,2515
1560153137,2510,2510
1560155065,2500,2500
1560156980,2486,2486
1560158894,2490,2490
1560160921,2509,2509
1560162747,2489,2489
1560164718,2489,2489
1560166578,2446,2446
1560168505,2418,2418
1560170415,2409,2409
1560172341,2397,2397
1560174273,2342,2342
1560176177,2352,2352
1560178099,2338,2338
1560180028,2301,2301
1560181947,2297,2297
1560183859,2286,2286
1560185783,2261,2261
1560187701,2228,2228
1560189704,2224,2224
1560191582,2200,2200
1560193496,2165,2165
1560195373,2135,2135
1560197316,2086,2086
1560199215,2073,2073
1560201164,2062,2062
1560203064,2033,2033
1560204988,1981,1981
1560206896,1963,1963
1560208830,1950,1950
1560210748,1947,1947
1560212658,1926,1926
1560214578,1913,1913
1560216497,1890,1890
1560218460,1883,1883
1560220350,1863,1863
1560222310,1862,1862
1560224175,1848,1848
1560226110,1844,1844
1560228018,1822,1822
1560229936,1817,1817
1560231870,1824,1824
1560233793,1802,1802
1560235699,1780,1780
1560237622,1803,1803
1560239537,1800,1800
1560241710,1854,1854
1560243702,1884,1884
1560245550,1925,1925
1560247496,1935,1935
1560249376,1974,1974
1560251314,2001,2001
1560253224,2029,2029
1560255392,2067,2067
1560257304,2098,2098
1560259221,2145,2145
1560261134,2160,2160
1560263054,2168,2168
1560264993,2196,2196
1560266891,2237,2237
1560268899,2255,2255
1560270759,2261,2261
1560272701,2320,2320
1560274589,2366,2366
1560276515,2414,2414
1560278427,2446,2446
1560280353,2466,2466
1560282275,2500,2500
1560284197,2507,2507
1560286103,2548,2548
1560288044,2582,2582
1560289943,2615,2615
1560291857,2641,2641
1560294052,2670,2670
1560295984,2673,2673
1560297934,2656,2656
1560299795,2661,2661
1560301728,2663,2663
1560303628,2668,2668
1560305549,2666,2666
1560307484,2673,2673
1560309399,2672,2672
1560311306,2703,2703
1560313245,2732,2732
1560315163,2769,2769
1560317076,2782,2782
1560319004,2782,2782
1560320927,2795,2795
1560322960,2803,2803
1560324766,2787,2787
1560326749,2791,2791
1560328611,2753,2753
1560330526,2707,2707
1560332443,2679,2679
1560334367,2648,2648
1560336287,2616,2616
1560338195,2585,2585
1560340128,2559,2559
1560342043,2515,2515
1560343948,2476,2476
1560345928,2423,2423
1560347796,2404,2404
1560349903,2944,2944
1560351868,2946,2946
1560353808,2897,2897
1560355725,2896,2896
1560357626,2868,2868
1560359582,2823,2823
1560361468,2785,2785
1560363641,2753,2753
1560365562,2725,2725
1560367479,2707,2707
1560369385,2712,2712
1560371312,2675,2675
1560373244,2632,2632
1560375151,2617,2617
1560377085,2598,2598
1560379277,2599,2599
1560381158,2587,2587
1560383088,2600,2600
1560385008,2620,2620
1560386921,2618,2618
1560388860,2620,2620
1560390767,2624,2624
1560392675,2636,2636
1560394605,2652,2652
1560396528,2677,2677
1560398679,2651,2651
1560400842,2611,2611
1560402794,2591,2591
1560404687,2565,2565
1560406630,2563,2563
1560408524,2555,2555
1560410423,2550,2550
1560412353,2497,2497
1560414270,2504,2504
1560416503,2520,2520
1560418366,2522,2522
1560420268,2533,2533
1560422189,2542,2542
1560424114,2541,2541
1560426028,2547,2547
1560428209,2580,2580
1560430112,2588,2588
1560432049,2595,2595
1560433955,2604,2604
1560435862,2594,2594
1560437793,2557,2557
1560439711,2607,2607
1560441760,2635,2635
1560443772,2660,2660
1560445985,2656,2656
1560447858,2673,2673
1560449779,2671,2671
1560451703,2729,2729
1560453609,2733,2733
1560455531,2727,2727
1560457460,2715,2715
1560459369,2719,2719
1560461297,2717,2717
1560463329,2719,2719
1560465145,2696,2696
1560467143,2696,2696
1560468994,2684,2684
1560470849,2685,2685
1560472827,2719,2719
1560474997,2695,2695
1560476904,2687,2687
1560478846,2725,2725
1560480759,2751,2751
1560482667,2735,2735
1560484582,2754,2754
1560486507,2786,2786
1560488553,2823,2823
1560490581,2860,2860
1560492504,2872,2872
1560494426,2931,2931
1560496359,2961,2961
1560498273,2975,2975
1560500197,2997,2997
1560502110,3000,3000
1560504041,2985,2985
1560505964,2975,2975
1560507874,2974,2974
1560509803,2856,2856
1560511718,2373,2373
1560513780,2364,2364
1560515772,2362,2362
1560517960,2370,2370
1560519864,2403,2403
1560521786,2418,2418
1560523712,2432,2432
1560525649,2422,2422
1560527540,2383,2383
1560529482,2377,2377
1560531394,2384,2384
1560533310,2378,2378
1560535349,2397,2397
1560537154,2364,2364
1560539128,2356,2356
1560540988,2371,2371
1560542940,2379,2379
1560544825,2378,2378
1560546766,2382,2382
1560548679,2370,2370
1560552033,2355,2355
1560553980,2359,2359
1560555893,2391,2391
1560557800,2394,2394
1560559708,2371,2371
1560561634,2412,2412
1560563562,2412,2412
1560565476,2375,2375
1560567386,2358,2358
1560569317,2355,2355
1560571357,2356,2356
1560573164,2358,2358
1560575140,2337,2337
1560577000,2303,2303
1560578921,2276,2276
1560580834,2224,2224
1560582782,2192,2192
1560584680,2174,2174
1560586613,2166,2166
1560588530,2172,2172
1560590429,2184,2184
1560592373,2177,2177
1560594300,2167,2167
1560596200,2178,2178
1560598106,2201,2201
1560600135,2215,2215
1560601943,2209,2209
1560603876,2203,2203
1560605783,2156,2156
1560607717,2105,2105
1560609628,2085,2085
1560611552,2036,2036
1560613458,2011,2011
1560615388,1981,1981
1560617331,1961,1961
1560619231,1935,1935
1560621147,1900,1900
1560623068,1882,1882
1560624988,1869,1869
1560626917,1848,1848
1560628931,1842,1842
1560630750,1846,1846
1560632703,1824,1824
1560634586,1831,1831
1560636504,1811,1811
1560638436,1827,1827
1560640338,1829,1829
1560642258,1774,1774
1560644186,1757,1757
1560646099,1775,1775
1560648043,1750,1750
1560649957,1752,1752
1560651885,1748,1748
1560653802,1739,1739
1560655705,1736,1736
1560657772,1730,1730
1560659798,1729,1729
1560661712,1711,1711
1560663628,1706,1706
1560665546,1708,1708
1560667468,1725,1725
1560669381,1725,1725
1560671326,1697,1697
1560673254,1684,1684
1560675183,1665,1665
1560677073,1658,1658
1560678987,1657,1657
1560680915,1658,1658
1560683808,1614,1614
1560685729,1591,1591
1560687636,1597,1597
1560689441,1599,1599
1560691460,1602,1602
1560693384,1623,1623
1560695322,1639,1639
1560697319,1662,1662
1560699178,1677,1677
1560701083,1687,1687
1560702979,1695,1695
1560704908,1700,1700
1560706818,1701,1701
1560708750,1705,1705
1560710693,1710,1710
1560712595,1710,1710
1560714512,1729,1729
1560716434,1759,1759
1560718380,1764,1764
1560720283,1744,1744
1560722193,1727,1727
1560724105,1729,1729
1560725980,1717,1717
1560727969,1703,1703
1560729922,1697,1697
1560731783,1691,1691
1560733709,1665,1665
1560735634,1640,1640
1560737595,1631,1631
1560739499,1632,1632
1560741429,1613,1613
1560743310,1580,1580
1560745246,1558,1558
1560747191,1570,1570
1560749067,1573,1573
1560750990,1596,1596
1560752931,1612,1612
1560754968,1638,1638
1560756790,1688,1688
1560758709,1823,1823
1560760585,1906,1906
1560762512,1986,1986
1560764437,2083,2083
1560766360,2207,2207
1560768294,2245,2245
1560770199,2256,2256
1560772114,2283,2283
1560774060,2305,2305
1560775965,2335,2335
1560777895,2361,2361
1560779798,2386,2386
1560781741,2418,2418
1560783736,2427,2427
1560785573,2437,2437
1560787529,2443,2443
1560789400,2438,2438
1560791339,2464,2464
1560793232,2483,2483
1560795188,2495,2495
1560797085,2505,2505
1560799016,2510,2510
1560800933,2497,2497
1560802824,2488,2488
1560804763,2543,2543
1560806675,2606,2606
1560808586,2628,2628
1560810527,2643,2643
1560812563,2683,2683
1560814368,2724,2724
1560816275,2754,2754
1560818203,2787,2787
1560820112,2819,2819
1560822062,2863,2863
1560823970,2870,2870
1560825894,2876,2876
1560827817,2894,2894
1560829719,2921,2921
1560831653,2936,2936
1560833839,2962,2962
1560835826,2959,2959
1560837757,2932,2932
1560839622,2923,2923
1560841500,2914,2914
1560843404,2857,2857
1560845314,2781,2781
1560847233,2697,2697
1560849166,2636,2636
1560851070,2552,2552
1560852895,2438,2438
1560854923,2414,2414
1560858068,2402,2402
1560859977,2404,2404
1560861867,2384,2384
1560863911,2342,2342
1560865718,2321,2321
1560867624,2294,2294
1560869557,2272,2272
1560871517,2248,2248
1560873398,2234,2234
1560875325,2228,2228
1560877354,2231,2231
1560879175,2251,2251
1560881080,2283,2283
1560882997,2306,2306
1560884943,2313,2313
1560886855,2312,2312
1560888788,2301,2301
1560890715,2237,2237
1560892586,2180,2180
1560894525,2148,2148
1560896469,2141,2141
1560899265,2111,2111
1560901222,2099,2099
1560903174,2093,2093
1560905067,2067,2067
1560906984,2065,2065
1560908923,2063,2063
1560910857,2063,2063
1560912762,2050,2050
1560914684,2060,2060
1560916626,2074,2074
1560918512,2068,2068
1560920602,2037,2037
1560922595,2026,2026
1560924499,2018,2018
1560926437,2030,2030
1560928365,2004,2004
1560930258,1993,1993
1560932428,1969,1969
1560934345,1967,1967
1560936527,1984,1984
1560938562,1997,1997
