DateTime,AddedIPs,RemovedIPs
1559107704,0,2
1559109735,1,3
1559111667,2,0
1559113493,0,1
1559123076,0,1
1559124980,2,0
1559128876,1,0
1559136754,1,0
1559146347,0,1
1559148280,1,0
1559152102,0,3
1559159784,0,1
1559163783,0,1
1559185032,0,1
1559190779,0,1
1559194584,0,1
1559196522,0,1
1559198418,0,1
1559200380,1,0
1559202259,1,0
1559204203,1,0
1559206107,1,0
1559211869,0,1
1559217658,1,0
1559219569,1,1
1559227485,1,0
1559233217,0,1
1559235137,0,1
1559248572,1,0
1559250535,1,0
1559256272,0,1
1559259684,1,0
1559263469,2,0
1559271148,2,0
1559273109,1,0
1559278976,2,0
1559286549,1,0
1559288438,0,2
1559290365,1,1
1559294224,0,1
1559299972,1,0
1559303802,1,0
1559305992,0,1
1559331895,2,0
1559333794,1,0
1559335740,0,1
1559337672,2,0
1559343451,0,1
1559345329,0,1
1559349188,0,2
1559356861,0,1
1559358773,1,2
1559364506,0,1
1559366482,1,1
1559368389,2,0
1559370280,1,0
1559374356,0,1
1559376292,0,1
1559378188,1,0
1559383954,1,0
1559385890,0,1
1559387784,2,0
1559389714,1,1
1559395480,1,0
1559399310,0,1
1559401390,1,0
1559403423,2,0
1559413025,1,0
1559416880,2,1
1559418953,0,1
1559420936,0,1
1559422986,1,0
1559424994,1,1
1559430762,1,0
1559446366,4,1
1559452137,1,0
1559454063,1,1
1559455956,0,2
1559457882,1,1
1559463641,0,1
1559467488,0,1
1559473358,3,2
1559475164,0,1
1559480941,1,1
1559486718,1,1
1559488608,0,2
1559494355,0,1
1559498226,0,1
1559504217,0,2
1559506330,0,1
1559508268,0,1
1559510456,0,1
1559512385,1,0
1559520176,1,0
1559531810,0,1
1559533714,0,2
1559537576,0,1
1559539472,0,1
1559545336,1,1
1559547189,0,1
1559553435,1,0
1559555310,0,1
1559559166,1,3
1559561099,3,0
1559564910,1,0
1559568799,1,1
1559570697,2,0
1559572589,0,1
1559576454,1,0
1559578358,1,0
1559586272,1,0
1559592048,2,0
1559597792,1,1
1559600797,1,0
1559606757,1,0
1559618211,1,0
1559620383,1,0
1559622291,2,0
1559626116,0,1
1559629955,1,0
1559631957,0,1
1559639563,1,1
1559643403,1,0
1559645326,0,1
1559647244,0,1
1559651073,2,1
1559654911,0,1
1559656953,0,2
1559658987,1,1
1559662818,1,1
1559672448,1,1
1559674364,0,1
1559678184,1,1
1559683961,0,1
1559685871,1,1
1559687790,1,0
1559693546,1,0
1559699299,1,0
1559703139,1,0
1559705306,0,1
1559707252,0,1
1559709183,1,2
1559714948,0,1
1559718743,1,1
1559726431,0,1
1559728431,1,1
1559730273,1,0
1559737946,0,1
1559742065,1,0
1559745865,0,1
1559749704,0,2
1559751668,1,0
1559755492,1,0
1559759338,1,0
1559763196,0,1
1559765115,0,2
1559768924,1,0
1559770828,1,0
1559772751,1,1
1559774715,2,0
1559776611,1,0
1559780426,0,1
1559784323,1,1
1559786206,0,1
1559788113,1,0
1559790157,0,1
1559796026,0,1
1559797946,1,0
1559801786,1,0
1559805613,1,1
1559811372,0,1
1559813343,0,1
1559817156,0,1
1559819095,1,0
1559838280,1,1
1559840189,0,1
1559844186,0,1
1559846193,0,1
1559856034,0,1
1559857943,0,2
1559859874,2,0
1559861784,0,1
1559868021,0,1
1559869941,0,1
1559873796,0,1
1559875705,1,0
1559881466,1,0
1559885300,0,1
1559889382,1,1
1559891329,1,1
1559893247,1,0
1559900905,1,0
1559906684,0,1
1559922274,1,0
1559924178,1,0
1559931859,1,0
1559933784,0,1
1559939549,12,0
1559945327,1,3
1559951849,1,0
1559953711,1,0
1559957545,2,0
1559961399,0,1
1559969077,2,1
1559978906,1,0
1559986824,1,1
1559990670,1,0
1559996673,2,0
1560012051,0,1
1560025503,1,14
1560029574,1,0
1560031722,0,1
1560037470,1,2
1560041307,1,1
1560043236,2,3
1560050906,1,0
1560052957,0,1
1560054766,1,1
1560062434,1,0
1560066322,1,1
1560072061,0,1
1560073975,0,1
1560077800,0,1
1560081774,0,1
1560083780,1,1
1560085950,1,0
1560101566,2,0
1560109458,1,0
1560113537,0,1
1560115468,2,0
1560117375,0,1
1560123397,0,1
1560127214,1,0
1560129153,0,1
1560134897,1,0
1560136834,0,1
1560140658,1,1
1560144510,1,0
1560149296,0,2
1560156981,1,0
1560158910,2,0
1560168506,1,0
1560170416,0,1
1560176178,1,1
1560187702,0,1
1560189706,1,0
1560191583,1,0
1560195374,0,1
1560201165,2,0
1560204989,0,1
1560214579,1,0
1560216498,2,0
1560222313,2,1
1560224176,0,1
1560226111,0,2
1560228019,1,0
1560229937,1,0
1560231871,0,1
1560235700,0,1
1560241711,0,1
1560243706,1,1
1560245553,0,2
1560249377,1,0
1560251315,1,0
1560255393,0,1
1560261135,0,1
1560266892,1,1
1560268934,1,0
1560272711,1,0
1560276517,1,1
1560278428,1,1
1560286104,0,1
1560288045,1,0
1560289944,2,0
1560295985,0,1
1560299796,2,1
1560301730,0,1
1560303647,0,1
1560307487,0,2
1560313247,0,1
1560317077,0,1
1560324768,1,0
1560328613,3,0
1560330527,0,1
1560336288,0,1
1560338197,0,1
1560340130,1,0
1560342044,3,0
1560343949,2,0
1560345932,1,0
1560349904,2,0
1560353810,0,1
1560355728,0,1
1560357628,1,0
1560359583,1,1
1560363643,0,1
1560365563,0,1
1560367481,1,0
1560369387,1,0
1560371314,1,0
1560375152,0,1
1560377087,0,1
1560379279,1,0
1560383090,1,1
1560386922,2,1
1560388862,1,0
1560390769,2,0
1560394608,1,0
1560396530,1,0
1560398708,2,0
1560404688,1,0
1560408525,2,0
1560410424,2,1
1560412355,1,0
1560414272,1,1
1560416508,1,1
1560420270,1,0
1560424116,1,0
1560426030,0,1
1560428211,0,3
1560430113,0,2
1560432050,0,1
1560435864,0,1
1560437794,0,1
1560439713,3,0
1560443773,0,1
1560445987,0,1
1560449780,1,1
1560453610,1,1
1560455532,0,1
1560457461,0,1
1560463345,1,0
1560465147,1,0
1560467151,1,0
1560468995,2,1
1560472829,0,3
1560474998,3,1
1560476905,3,2
1560478848,1,0
1560480761,1,1
1560482669,1,0
1560484584,0,2
1560486509,3,0
1560488555,2,0
1560490582,1,1
1560494428,3,0
1560496361,1,4
1560498291,1,2
1560500198,1,0
1560502111,0,1
1560505965,2,0
1560509804,2,1
1560511720,2,1
1560515774,2,0
1560519866,1,0
1560525651,0,1
1560527541,3,1
1560531395,2,0
1560533311,1,0
1560537155,0,1
1560539132,1,1
1560540990,1,0
1560542941,3,0
1560546768,1,0
1560548680,1,1
1560553981,0,1
1560555895,0,1
1560557801,1,0
1560561636,2,3
1560563563,2,4
1560567387,0,2
1560569319,1,1
1560571359,0,1
1560573165,3,1
1560575142,0,1
1560577003,2,0
1560578923,1,0
1560580841,0,3
1560582784,2,1
1560586614,0,1
1560592374,2,2
1560596201,0,2
1560598107,0,1
1560601945,1,0
1560607719,1,1
1560611554,1,0
1560613461,0,7
1560619233,0,1
1560621148,1,1
1560623069,2,0
1560624989,1,1
1560626919,0,1
1560628933,1,2
1560632710,0,1
1560634587,2,1
1560636506,1,0
1560638438,1,0
1560640340,1,0
1560642260,1,0
1560644188,2,1
1560648045,0,2
1560649959,0,3
1560657773,0,1
1560659800,2,3
1560661714,0,1
1560663630,2,1
1560665547,0,2
1560669383,0,3
1560671328,1,1
1560673255,1,0
1560678989,0,1
1560680917,1,0
1560685731,1,0
1560689443,0,1
1560695324,0,1
1560697320,1,2
1560699180,0,1
1560706820,0,1
1560708752,0,3
1560710694,0,1
1560714513,0,1
1560718381,1,0
1560720284,3,3
1560724106,1,2
1560727970,0,2
1560731784,0,1
1560737596,1,1
1560739500,1,0
1560741430,2,0
1560745247,0,1
1560749069,0,1
1560750991,1,1
1560756792,1,1
1560758711,1,1
1560760586,2,0
1560764438,2,0
1560766361,1,0
1560768295,0,1
1560772115,0,1
1560774062,1,0
1560777897,1,0
1560779800,0,1
1560781742,1,1
1560783738,1,1
1560785574,1,0
1560787530,1,0
1560789402,2,0
1560791340,1,0
1560793234,1,1
1560795190,2,0
1560797088,1,0
1560800935,2,0
1560804765,0,1
1560806676,0,3
1560810528,0,1
1560820114,1,0
1560823971,1,0
1560825896,1,1
1560827818,2,2
1560829721,3,0
1560837759,0,1
1560841503,2,1
1560843406,1,0
1560845315,2,0
1560847235,1,2
1560849168,1,0
1560851071,1,1
1560852897,1,1
1560854925,1,0
1560859978,2,0
1560863913,1,2
1560867625,0,1
1560869558,1,2
1560873399,0,2
1560875327,1,1
1560877356,0,2
1560879177,1,0
1560881082,0,3
1560882998,2,2
1560886856,1,0
1560888789,0,1
1560892587,1,0
1560894527,1,0
1560896471,1,0
1560901224,1,0
1560903176,1,0
1560905069,1,1
1560907004,2,1
1560908925,3,0
1560910858,0,1
1560912764,0,1
1560914685,2,2
1560916643,0,3
1560922597,1,0
1560928367,0,1
1560930260,0,1
1560932430,0,2
1560934347,1,1
1560936529,1,2
1560938564,3,1
