DateTime,AddedIPs,RemovedIPs
1559811374,0,1
1559813345,2,2
1559815351,0,2
1559817158,2,1
1559819098,0,3
1559820993,2,0
1559822919,2,0
1559824828,1,2
1559826768,1,4
1559828670,2,2
1559830620,1,0
1559832530,3,1
1559834461,3,3
1559836347,2,1
1559838282,1,2
1559840192,3,0
1559842104,0,1
1559844189,3,2
1559846196,3,1
1559848112,0,1
1559850047,2,0
1559853867,2,0
1559856037,1,2
1559857946,4,0
1559859877,3,3
1559861787,1,4
1559863704,1,1
1559865774,3,1
1559869943,2,0
1559871877,2,1
1559875707,1,4
1559877628,0,2
1559881468,2,2
1559883387,1,0
1559885302,0,3
1559887371,2,3
1559889384,2,3
1559891331,3,0
1559893249,0,2
1559895150,2,1
1559897076,1,0
1559898988,2,0
1559900907,1,1
1559902841,2,3
1559904762,2,0
1559906687,1,1
1559908587,1,4
1559910506,2,0
1559912571,0,2
1559914583,0,2
1559916528,1,1
1559918422,4,1
1559920342,1,4
1559922277,0,3
1559924181,4,1
1559926104,0,3
1559928043,2,0
1559929940,5,2
1559931862,11,1
1559933787,4,2
1559935713,2,2
1559937702,1,1
1559939551,0,1
1559941522,3,2
1559943426,23,2
1559945330,4,2
1559947229,3,3
1559949149,2,0
1559951870,0,3
1559953713,1,0
1559955733,0,2
1559957549,3,1
1559959562,0,1
1559961414,2,1
1559967144,1,1
1559969081,2,1
1559970995,1,1
1559975066,0,3
1559977017,0,4
1559980915,0,2
1559982768,0,1
1559984936,0,1
1559986827,1,2
1559988766,0,1
1559990673,1,1
1559992832,0,2
1559994756,2,1
1559996676,2,2
1559998584,2,0
1560000501,2,0
1560002545,1,1
1560004585,0,3
1560006511,2,2
1560008427,1,0
1560010339,3,4
1560014171,1,2
1560016103,1,1
1560018025,0,15
1560019943,3,3
1560021865,1,3
1560023773,2,1
1560025948,2,0
1560027901,0,3
1560029796,4,23
1560031724,1,4
1560033660,3,3
1560035556,1,2
1560039396,3,2
1560043239,0,2
1560045147,2,0
1560047073,1,2
1560049004,2,0
1560050909,1,0
1560052960,2,0
1560054769,0,3
1560056734,0,1
1560060518,1,0
1560062436,1,0
1560064351,2,0
1560068224,1,0
1560070114,0,1
1560072064,1,0
1560073978,1,1
1560075869,2,0
1560077802,2,2
1560079722,11,0
1560081776,0,1
1560083782,0,2
1560085952,1,3
1560087863,1,3
1560091938,0,1
1560093872,0,1
1560095784,10,1
1560097698,2,3
1560099722,1,0
1560101569,2,2
1560103708,1,0
1560105620,0,3
1560109460,2,0
1560111642,3,3
1560113540,0,2
1560115471,1,1
1560117378,1,1
1560119300,1,2
1560121341,3,2
1560123400,1,1
1560125323,0,3
1560127217,1,0
1560129156,2,0
1560131066,0,1
1560132989,14,2
1560134900,1,2
1560136837,0,1
1560138739,0,1
1560140661,0,1
1560142588,2,0
1560144513,1,0
1560146454,2,1
1560148344,0,1
1560150189,1,1
1560152175,9,1
1560154103,1,0
1560156012,1,1
1560157941,25,1
1560159864,2,2
1560161791,0,1
1560163699,2,2
1560165621,0,12
1560167548,2,0
1560169458,1,0
1560171379,4,2
1560175263,3,1
1560177158,1,0
1560179070,2,0
1560180974,1,3
1560182907,2,7
1560184814,1,2
1560186741,1,1
1560188677,0,1
1560190591,2,0
1560194675,0,1
1560196607,1,2
1560198497,1,2
1560200488,2,0
1560202345,2,2
1560204162,3,2
1560206186,3,2
1560208100,0,2
1560210029,11,1
1560211944,11,0
1560213871,1,1
1560215801,2,2
1560217704,1,0
1560219627,1,15
1560225388,1,0
1560230178,1,1
1560232100,0,2
1560234022,0,2
1560235954,2,0
1560237889,0,2
1560239787,0,9
1560241712,2,0
1560243707,1,22
1560245554,3,4
1560247508,1,2
1560249379,3,1
1560251316,3,1
1560255394,1,2
1560257320,2,3
1560259224,2,1
1560261137,2,1
1560263057,2,3
