DateTime,Entries,UniqueIPs
1559967145,1309,1309
1559969081,1305,1305
1559970996,1301,1301
1559973153,1300,1300
1559975067,1267,1267
1559977018,1182,1182
1559978910,1103,1103
1559980916,1028,1028
1559982769,964,964
1559984936,937,937
1559986827,892,892
1559988767,821,821
1559990673,763,763
1559992832,678,678
1559994757,594,594
1559996676,515,515
1559998585,512,512
1560000502,512,512
1560002546,506,506
1560004585,505,505
1560006511,508,508
1560008427,505,505
1560010339,505,505
1560012259,514,514
1560014171,519,519
1560016103,524,524
1560018026,525,525
1560019943,526,526
1560021887,517,517
1560023773,518,518
1560025949,521,521
1560027902,520,520
1560029797,525,525
1560031725,531,531
1560033661,524,524
1560035556,527,527
1560037472,527,527
1560039397,526,526
1560041309,532,532
1560043239,539,539
1560045148,543,543
1560047073,545,545
1560049004,550,550
1560050909,549,549
1560052960,548,548
1560054770,546,546
1560056735,548,548
1560058599,549,549
1560060519,547,547
1560062437,552,552
1560064352,557,557
1560066326,565,565
1560068225,563,563
1560070114,574,574
1560072064,573,573
1560073978,578,578
1560075869,586,586
1560077803,584,584
1560079722,581,581
1560081777,591,591
1560083783,616,616
1560085952,622,622
1560087864,649,649
1560090033,680,680
1560091938,692,692
1560093873,722,722
1560095784,752,752
1560097698,780,780
1560099723,811,811
1560101569,834,834
1560103708,876,876
1560105620,907,907
1560107561,946,946
1560109461,976,976
1560111643,996,996
1560113540,1028,1028
1560115472,1051,1051
1560117379,1064,1064
1560119300,1086,1086
1560121343,1119,1119
1560123401,1138,1138
1560125324,1152,1152
1560127218,1163,1163
1560129157,1175,1175
1560131067,1173,1173
1560132990,1173,1173
1560134901,1176,1176
1560136838,1190,1190
1560138739,1201,1201
1560140662,1211,1211
1560142589,1211,1211
1560144514,1211,1211
1560146466,1213,1213
1560148345,1222,1222
1560150190,1229,1229
1560152176,1233,1233
1560154103,1237,1237
1560156012,1230,1230
1560157942,1222,1222
1560159864,1218,1218
1560161791,1213,1213
1560163700,1218,1218
1560165622,1223,1223
1560167549,1208,1208
1560169459,1188,1188
1560171379,1173,1173
1560173292,1155,1155
1560175270,1135,1135
1560177158,1117,1117
1560179071,1118,1118
1560180975,1092,1092
1560182908,1064,1064
1560184815,1039,1039
1560186742,1011,1011
1560188678,992,992
1560190591,951,951
1560192747,918,918
1560194675,881,881
1560196607,848,848
1560198497,820,820
1560200489,796,796
1560202346,770,770
1560204169,744,744
1560206187,709,709
1560208101,683,683
1560210030,671,671
1560211945,648,648
1560213872,648,648
1560215802,622,622
