DateTime,AddedIPs,RemovedIPs
1558536053,1,0
1558544166,1,0
1558548134,1,0
1558550945,1,0
1558552857,1,0
1558558601,0,2
1558560529,0,5
1558568210,0,2
1558572047,0,1
1558573955,2,0
1558575874,0,1
1558577815,1,0
1558589310,2,0
1558591533,0,2
1558597476,0,3
1558609414,1,0
1558611410,1,1
1558617415,1,0
1558619322,0,1
1558623393,1,0
1558627373,1,0
1558631235,0,1
1558633233,1,0
1558635163,0,1
1558637095,1,0
1558639027,1,2
1558644770,1,0
1558646923,1,0
1558656799,1,0
1558658672,2,2
1558662541,0,1
1558666395,3,0
1558670203,2,0
1558674199,0,1
1558676194,2,1
1558680029,1,0
1558681969,1,0
1558685802,0,1
1558688004,0,1
1558691805,1,0
1558693726,3,1
1558697776,0,1
1558701649,1,0
1558703791,0,1
1558707874,1,0
1558709791,1,1
1558713779,0,1
1558721813,1,0
1558723706,0,1
1558725521,3,0
1558727547,1,0
1558731386,1,1
1558733591,1,0
1558740038,1,0
1558745800,1,1
1558749798,1,0
1558751613,0,2
1558753543,1,0
1558757335,2,0
1558761157,0,1
1558763095,2,2
1558765024,1,0
1558768841,1,0
1558770795,0,7
1558778553,0,1
1558780585,0,3
1558782499,1,0
1558784439,0,1
1558788279,1,1
1558792139,2,0
1558794055,0,1
1558795976,1,1
1558797860,2,0
1558799800,1,1
1558801730,1,0
1558811556,0,1
1558829315,1,0
1558831242,1,1
1558835077,1,1
1558838919,1,0
1558840851,0,1
1558842756,0,1
1558844663,0,1
1558850559,1,0
1558854304,0,1
1558856186,0,7
1558858119,1,0
1558860023,1,0
1558865816,1,0
1558869651,0,1
1558875407,1,1
1558877309,1,0
1558879366,0,1
1558883116,0,2
1558884984,0,1
1558887186,0,1
1558889067,1,0
1558892902,1,0
1558902500,0,1
1558906577,0,1
1558916448,0,1
1558920273,0,1
1558922194,0,1
1558927986,2,1
1558935651,1,0
1558943577,0,3
1558945475,0,1
1558947417,0,1
1558951407,2,0
1558953411,0,1
1558957468,0,1
1558961345,0,1
1558963494,1,1
1558973457,1,0
1558975840,0,1
1558980634,1,1
1558988657,2,0
1559014101,0,1
1559016201,1,0
1559023940,1,0
1559029704,0,2
1559037423,1,2
1559039346,1,0
1559049141,0,1
1559053243,1,0
1559059395,1,0
1559061410,1,0
1559065230,1,0
1559067189,0,1
1559069078,0,1
1559072940,1,1
1559088389,1,0
1559098116,1,0
1559111672,0,1
1559113516,1,0
1559117316,1,2
1559121147,3,0
1559123082,1,0
1559124986,0,2
1559126929,1,0
1559128883,1,0
1559134594,1,0
1559140610,0,1
1559144464,2,0
1559146353,0,1
1559148287,1,1
1559152108,1,1
1559155955,2,0
1559159790,0,1
1559165645,1,0
1559167555,1,0
1559171310,1,0
1559173256,1,0
1559175416,0,1
1559183116,1,0
1559185038,1,0
1559186913,1,0
1559217685,1,0
1559219574,1,6
1559227490,1,0
1559231312,1,2
1559235141,1,1
1559237086,2,0
1559242967,1,0
1559246934,1,7
1559251013,1,0
1559252908,0,1
1559254825,1,0
1559259690,0,1
1559269260,1,0
1559271155,0,1
1559273114,1,1
1559288443,2,1
1559305998,1,2
1559313924,0,1
1559315865,1,0
1559317984,1,1
1559321848,1,1
1559323720,0,1
1559325913,1,0
1559328062,0,1
1559331900,0,1
1559335748,0,1
1559337685,2,0
1559341480,1,1
1559345335,0,1
1559360679,0,1
1559366495,1,0
1559368393,1,0
1559370285,1,0
1559374361,1,2
1559376298,0,2
1559378194,1,0
1559382053,0,1
1559393576,0,1
1559397443,1,0
1559401397,0,1
1559403429,0,1
1559407240,0,1
1559413030,0,1
1559422992,0,1
1559426947,0,1
1559434597,1,0
1559444568,1,0
1559454069,1,1
1559455959,1,2
1559461718,0,2
1559463671,0,1
1559465573,3,0
1559469401,1,0
1559473364,1,0
1559479013,1,0
1559486728,1,0
1559498248,1,0
1559502324,2,0
1559520188,0,1
1559522224,1,0
1559533734,2,0
1559535687,1,0
1559539478,2,0
1559541426,0,1
1559543309,0,1
1559549382,0,1
1559551259,0,2
1559553441,1,1
1559555326,0,1
1559559171,1,0
1559561106,0,1
1559564915,0,1
1559570706,0,1
1559572594,2,0
1559574558,0,1
1559580329,2,0
1559584374,0,1
1559588197,0,2
1559593994,1,0
1559597798,1,0
1559600811,1,0
1559602923,1,0
1559606775,1,0
1559608616,1,1
1559612447,1,0
1559620389,0,1
1559622296,0,1
1559626121,0,1
1559633829,1,0
1559635717,0,2
1559641485,0,1
1559645330,1,1
1559652994,2,0
1559658992,0,2
1559666688,0,2
1559668586,1,0
1559670528,1,0
1559680107,0,1
1559683977,0,1
1559687802,0,1
1559689719,1,0
1559691625,1,0
1559695469,1,0
1559699303,1,1
1559703143,1,0
1559705311,1,0
1559707259,2,0
1559720727,0,3
1559739763,0,2
1559745869,0,2
1559753581,0,1
1559757413,0,1
1559759342,1,0
1559770832,1,0
1559772754,1,0
1559774720,0,1
1559778549,0,1
1559782348,1,1
1559786218,0,1
1559790161,0,1
1559792198,0,1
1559794122,1,2
1559820995,1,0
1559826770,1,0
1559830622,1,0
1559832532,1,0
1559846198,0,1
1559853880,1,0
1559856039,0,1
1559859879,1,1
1559868025,1,1
1559879545,0,1
1559906690,2,0
1559914585,1,1
1559916539,1,0
1559918425,0,3
1559922279,1,0
1559924184,1,0
1559928045,2,0
