DateTime,Entries,UniqueIPs
1559969083,6767,6767
1559970998,6767,6767
1559973171,6738,6738
1559975068,6715,6715
1559977019,6725,6725
1559978911,5611,5611
1559980917,5608,5608
1559982770,5597,5597
1559984938,5590,5590
1559986829,5590,5590
1559988768,5587,5587
1559990692,5583,5583
1559992834,5579,5579
1559994759,5562,5562
1559996678,5559,5559
1559998586,5565,5565
1560000503,5558,5558
1560002548,5556,5556
1560004587,5548,5548
1560006512,5518,5518
1560008428,5508,5508
1560010340,5483,5483
1560012261,5456,5456
1560014173,5443,5443
1560016105,5425,5425
1560018027,5406,5406
1560019945,6068,6068
1560021889,6642,6642
1560023775,6821,6821
1560025951,6829,6829
1560027904,6806,6806
1560029800,6790,6790
1560031737,6754,6754
1560033662,6815,6815
1560035557,6931,6931
1560037474,6973,6973
1560039398,7043,7043
1560041311,7063,7063
1560043240,7070,7070
1560045149,7087,7087
1560047075,7095,7095
1560049006,7129,7129
1560050910,7135,7135
1560052962,7152,7152
1560054771,7158,7158
1560056744,7167,7167
1560058601,7180,7180
1560060520,7191,7191
1560062438,7200,7200
1560064353,7365,7365
1560066327,7377,7377
1560068226,7436,7436
1560070116,7470,7470
1560072065,7493,7493
1560073980,7502,7502
1560075871,7502,7502
1560077804,7508,7508
1560079724,7555,7555
1560081778,7564,7564
1560083784,7619,7619
1560085954,7644,7644
1560087865,7644,7644
1560090034,7638,7638
1560091940,7648,7648
1560093874,7668,7668
1560095785,7680,7680
1560097717,7668,7668
1560099724,7678,7678
1560101571,7666,7666
1560103710,7663,7663
1560105622,7352,7352
1560107562,6678,6678
1560109462,6536,6536
1560111643,6519,6519
1560113541,6505,6505
1560115473,6486,6486
1560117379,6475,6475
1560119301,6439,6439
1560121344,6359,6359
1560123409,6309,6309
1560125324,7086,7086
1560127219,8718,8718
1560129158,10184,10184
1560131067,11716,11716
1560133000,12922,12922
1560134902,14197,14197
1560136847,15475,15475
1560138740,16759,16759
1560140663,17810,17810
1560142590,18933,18933
1560144515,20251,20251
1560146479,21834,21834
1560148346,23524,23524
1560150191,24240,24240
1560152177,25075,25075
1560154112,25051,25051
1560156013,24974,24974
1560157943,24954,24954
1560159865,24935,24935
1560161801,24909,24909
1560163701,24887,24887
1560165623,25093,25093
1560167550,25235,25235
1560169460,25234,25234
1560171380,25229,25229
1560173293,25238,25238
1560175275,25239,25239
1560177160,25294,25294
1560179072,25353,25353
1560180976,25403,25403
1560182909,25447,25447
1560184816,25463,25463
1560186743,25488,25488
1560188679,25496,25496
1560190592,25585,25585
1560192757,25619,25619
1560194677,25660,25660
1560196617,25679,25679
1560198499,25681,25681
1560200501,25693,25693
1560202347,25692,25692
1560204176,25678,25678
1560206188,25689,25689
1560208103,25687,25687
1560210031,25690,25690
1560211947,24880,24880
1560213873,23512,23512
1560215803,22323,22323
1560217706,21152,21152
1560219630,20131,20131
1560221543,19034,19034
1560223463,18098,18098
1560225390,17059,17059
1560227301,16213,16213
1560229250,15216,15216
1560231152,12824,12824
1560233077,10421,10421
1560234976,9956,9956
1560236908,10442,10442
1560238819,12053,12053
1560240743,15337,15337
1560242671,18409,18409
1560244584,20343,20343
1560246516,21556,21556
1560248434,22482,22482
1560250345,23451,23451
1560252275,24284,24284
1560254196,25133,25133
1560256110,25853,25853
1560258123,26793,26793
1560259975,27599,27599
1560261898,28212,28212
1560263966,28179,28179
1560265938,28132,28132
1560267866,28137,28137
1560269776,28100,28100
1560271951,28072,28072
1560273864,28062,28062
1560275798,27996,27996
1560277711,27942,27942
1560279760,27927,27927
1560281786,27914,27914
1560283713,27895,27895
1560285617,27894,27894
1560287565,27884,27884
1560289466,27900,27900
1560291393,27897,27897
1560294145,27886,27886
