DateTime,Entries,UniqueIPs
1559969084,2016,2016
1559970999,2031,2031
1559973172,2032,2032
1559975070,2016,2016
1559977020,2043,2043
1559978913,2040,2040
1559980918,2030,2030
1559982771,2022,2022
1559984940,2021,2021
1559986830,2009,2009
1559988801,1989,1989
1559990693,1985,1985
1559992835,1984,1984
1559994760,1988,1988
1559996679,1977,1977
1559998588,1992,1992
1560000504,1977,1977
1560002549,1961,1961
1560004589,1956,1956
1560006514,1956,1956
1560008430,1956,1956
1560010341,1947,1947
1560012262,1946,1946
1560014174,1941,1941
1560016106,1935,1935
1560018029,1923,1923
1560019946,2594,2594
1560021890,3029,3029
1560023776,3028,3028
1560025953,3021,3021
1560027906,3016,3016
1560029801,3012,3012
1560031739,2997,2997
1560033664,3050,3050
1560035559,3114,3114
1560037475,3129,3129
1560039399,3178,3178
1560041312,3183,3183
1560043242,3200,3200
1560045151,3220,3220
1560047076,3236,3236
1560049008,3255,3255
1560050912,3266,3266
1560052963,3267,3267
1560054773,3278,3278
1560056746,3277,3277
1560058602,3283,3283
1560060522,3290,3290
1560062440,3295,3295
1560064355,3464,3464
1560066329,3464,3464
1560068228,3500,3500
1560070118,3507,3507
1560072067,3529,3529
1560073982,3538,3538
1560075872,3532,3532
1560077806,3537,3537
1560079726,3569,3569
1560081780,3568,3568
1560083786,3612,3612
1560085955,3612,3612
1560087867,3613,3613
1560090036,3616,3616
1560091941,3633,3633
1560093876,3639,3639
1560095787,3643,3643
1560097718,3661,3661
1560099726,3659,3659
1560101572,3666,3666
1560103711,3665,3665
1560105623,3369,3369
1560107564,2722,2722
1560109463,2653,2653
1560111653,2639,2639
1560113542,2644,2644
1560115474,2647,2647
1560117381,2665,2665
1560119302,2642,2642
1560121345,2588,2588
1560123411,2547,2547
1560125326,2520,2520
1560127220,2488,2488
1560129159,2474,2474
1560131069,2440,2440
1560133001,2431,2431
1560134903,2404,2404
1560136849,2410,2410
1560138742,2409,2409
1560140664,2400,2400
1560142592,2393,2393
1560144516,2378,2378
1560146499,2350,2350
1560148347,2323,2323
1560150192,2139,2139
1560152178,2123,2123
1560154114,2094,2094
1560156015,2056,2056
1560157945,2021,2021
1560159867,1993,1993
1560161802,1967,1967
1560163702,1945,1945
1560165625,2115,2115
1560167551,2138,2138
1560169461,2120,2120
1560171382,2099,2099
1560173294,2085,2085
1560175297,2071,2071
1560177161,2128,2128
1560179075,2161,2161
1560180977,2171,2171
1560182910,2167,2167
1560184818,2162,2162
1560186746,2187,2187
1560188681,2196,2196
1560190594,2205,2205
