DateTime,AddedIPs,RemovedIPs
1549913587,11,11
1549935614,4,6
1549957458,6,13
1549979543,7,8
1550001405,1,11
1550023513,12,11
1550045551,3,7
1550067392,5,6
1550089240,5,1342
1550111301,7,10
1550133158,3,20
1550155026,7,12
1550177080,3,19
1550198964,15,11
1550220973,9,6
1550242886,7,13
1550264952,303,10
1550287223,4732,10
1550309074,2,13
1550330944,9,5
1550352975,5,6
1550374819,4,6
1550396677,6,10
1550418736,5,25
1550440838,12,12
1550462716,12,14
1550484749,1796,10
1550506738,3094,5
1550528664,2,5
1550550541,2,4
1550572609,6,5
1550594653,9,4
1550616504,7,5
1550638626,6,2
1550660681,18,2
1550682532,5,1
1550704605,6,7
1550726691,3,7
1550748779,3,6
1550770847,3,2
1550792715,6,2
1550814739,13,1
1550836838,7,5
1550858932,5,2
1550880795,7,4052
1550902837,9,398
1550924685,4,4
1550946763,11,8
1550968604,7,2
1550990685,5,5
1551012777,5,6
1551034968,8,7
1551056927,6,7
1551078995,4,5
1551101107,5,4184
1551123181,9,1309
1551145241,7,6
1551167318,13,8
1551189405,6,5
1551211524,8,11
1551233552,15,6
1551255400,12,13
1551277246,10,32
1551299303,8,6
1551321421,18,9
1551343458,14,8
1551365551,7,9
1551387755,8,2
1551409963,6,16
1551432034,10,11
1551453894,25,13
1551475970,11,8
1551498045,8,15
1551519887,7,10
1551541753,2,6
1551563790,1018,9
1551585687,5,8
1551607703,6,6
1551629845,3,9
1551651875,8,9
1551673964,12,6
1551695811,5,6
1551717860,12,8
1551739718,8,8
1551761823,6,11
1551783696,9,13
1551805731,7,13
1551827781,6,3
1551849854,3,14
1551871937,10,11
1551893808,8,9
1551915852,7,7
1551937694,4,9
1551959552,132,10
1551981405,5,5
1552003342,6,4
1552025293,4,7
1552047143,4,29
1552069257,5,9
1552091303,4,5
1552113395,5,9
1552135257,8,5
1552157300,7,5
1552179148,8,974
1552201365,22,7
1552223324,4,5
1552245398,3,7
1552267466,6,6
1552289306,9,8
1552311180,14539,8
1552333242,3,2
1552355303,5,8
1552377190,6,3
1552399355,4,8
1552421320,976,6
1552443417,2882,1
1552465469,5,4
1552487580,8,6
1552509640,3,3
1552531482,1,3
1552553561,6,1
1552575694,3,3
1552597716,8,2
1552619562,8,2
1552641655,2,4
1552663497,2,4
1552685572,5,5
1552707674,4,4
1552729705,3,2
1552751821,890,4
1552773900,1,9
1552795947,3,6
1552817804,7,11
1552839887,4,2
1552861971,6,3
1552884019,3,4
1552905901,4,9381
1552927945,5,3322
1552949804,8,4
1552971800,8,3
1552993973,20,6
1553016014,4,8
1553037876,7,3361
1553059717,9,1891
1553081797,3,7
1553103871,11,9
1553125945,7,5
1553147807,4,6
1553169918,2,6
1553191962,4,19
1553213819,4,8
1553235866,3,5
1553257729,5,7
1553279772,6,5
1553301619,791,3
1553323513,4,3
1553345565,7,4
1553367794,2,2
1553389737,10,3
1553411810,3,2
1553433865,3,119
1553455707,81,1344
1553477558,70,7
1553499653,8,8
1553521710,4,4
1553543772,3,8
1553576707,4,14
1553598744,5,20
1553620607,13,6
1553642468,5,7
1553664498,6,7
1553686362,5,3
1553708430,9,7
1553730276,6,10
1553752336,8,4
1553774200,5,4
1553796182,3,4
1553818102,8,2
1553839948,3,2
1553861799,6,2
1553883647,4,6
1553905702,7,802
1553927558,3,6
1553949639,4,10
1553971483,4,4
1553993333,6,9
1554015388,4,4
1554037279,8,7
1554059334,3,8
1554081395,3,4
1554103238,7,4
1554125093,6,7
1554147229,8,2
1554169219,6,5
1554191103,4,5
1554213133,6,12
1554235006,1363,2
1554257158,1,5
1554279148,3,4
1554300996,1,7
1554322852,4,7
1554344899,11,3
1554366783,6,4
1554388820,3,6
1554410679,5,6
1554432521,3,6
1554454579,4,9
1554476581,3,6
1554498518,3,4
1554520607,2,5
1554542677,6,2
1554564558,9,1
1554586597,3,27
1554608686,5,6
1554630752,4,5
1554652595,1,3
1554674596,1,14
1554696566,0,5
1554718653,2,4
1554740694,3,5
1554762778,7,8
1554784834,7,1
1554806679,6,1
1554828758,4,29
1554850935,2,6
1554872936,2,6
1554895035,6,30
1554917063,4,1344
1554938906,6,124
1554960771,4,13
1554982822,3,62
1555004685,5,3
1555026753,4,3
1555048899,2,2
1555070949,4,2
1555092977,3,5
1555114832,8,2
1555137044,9,6
1555159001,8,5
1555181085,8,3
1555203154,9,7
1555224994,5,5
1555246969,4,6
1555268929,338,2
1555291071,163,0
1555313058,8,5
1555334909,2,3
1555357009,8,5
1555378850,5,2
1555400915,8,6
1555422971,7,1
1555444872,3,7
1555466926,9,3
1555488995,1600,99
1555510840,3303,1
1555532695,8,1
1555554779,4,8
1555576859,3,3
1555598702,3,3
1555620776,5,1
1555642885,4,1
1555664936,1,3
1555687247,9,4
1555709344,5,1
1555731384,3,5
1555753235,1,6
1555775102,0,6
1555797159,3,4
1555819006,2,4
1555840898,2,4
1555862935,1,7
1555885000,5,279
1555906859,4,6
1555928919,2,6
1555950763,7,5
1555972844,9,7
1555994927,6,3
1556017018,4,4
1556038896,3,3
1556060909,5,3
