DateTime,AddedIPs,RemovedIPs
1559967149,4,4
1559969085,5,3
1559971000,2,2
1559973173,3,6
1559975072,3,31
1559977021,3,84
1559978914,5,77
1559980919,2,86
1559982772,5,71
1559984942,2,30
1559986831,4,48
1559988802,5,71
1559990694,6,67
1559992836,4,90
1559994761,5,86
1559996680,6,82
1559998589,0,17
1560000505,2,4
1560002551,7,4
1560004590,8,7
1560006515,5,4
1560008431,2,0
1560010342,1,3
1560012263,6,4
1560014175,4,4
1560016107,4,7
1560018030,5,3
1560019947,2,3
1560021891,5,11
1560023777,8,5
1560025955,7,5
1560027908,7,3
1560029802,0,3
1560031740,5,8
1560033665,7,5
1560035560,6,3
1560037476,6,5
1560039400,12,2
1560041313,3,3
1560043243,6,0
1560045152,2,1
1560047077,4,5
1560049009,3,2
1560050913,5,5
1560052964,7,8
1560054774,6,5
1560056747,6,3
1560058604,4,5
1560060523,4,1
1560062441,9,4
1560064356,7,7
1560066330,6,5
1560068229,11,4
1560070118,2,6
1560072068,8,3
1560073983,10,3
1560075873,3,6
1560077807,3,3
1560079727,4,6
1560081781,4,2
1560083787,6,6
1560085956,4,2
1560087868,1,3
1560090037,2,9
1560091942,3,8
1560093878,5,3
1560095788,7,0
1560097719,4,6
1560099728,6,6
1560101573,7,1
1560103712,4,5
1560105624,5,5
1560107564,4,3
1560109464,3,9
1560111654,6,5
1560113543,8,8
1560115475,5,3
1560117382,3,4
1560119303,4,4
1560121346,6,10
1560123412,2,7
1560125327,6,5
1560127221,7,9
1560129160,4,3
1560131070,3,4
1560133003,2,3
1560134904,1,5
1560136851,7,2
1560138743,3,5
1560140665,7,7
1560142592,3,3
1560144517,2,5
1560146517,8,4
1560148348,1,8
1560150193,2,6
1560152179,1,8
1560154115,3,7
1560156016,3,5
1560157946,2,5
1560159868,2,11
1560161803,4,5
1560163703,3,4
1560165626,16,4
1560167552,5,3
1560169462,4,7
1560171383,2,3
1560173295,2,4
1560175312,0,2
1560177162,8,2
1560179076,5,3
1560180978,5,8
1560182911,4,4
1560184819,2,6
1560186747,5,6
1560188683,2,7
1560190595,9,4
1560192760,2,5
1560194680,7,2
1560196620,4,6
1560198503,5,5
1560200505,6,12
1560202355,4,0
1560204179,2,5
1560206191,4,3
1560208105,5,6
1560210034,1,1
1560211949,6,8
1560213876,2,4
1560215806,3,3
1560217708,1,3
1560219632,2,1
1560221547,3,3
1560223466,6,6
1560225392,5,4
1560227320,5,6
1560230418,10,5
1560232330,3,5
1560234251,50,4
1560236176,6,2
1560238088,6,1
1560240085,1,3
1560241942,2,3
1560243878,7,4
1560245784,6,1
1560247713,4,4
1560249617,2,2
1560251533,2,14
