DateTime,Entries,UniqueIPs
1559967149,984,984
1559969085,986,986
1559971000,986,986
1559973173,983,983
1559975072,955,955
1559977021,874,874
1559978914,802,802
1559980919,718,718
1559982772,652,652
1559984942,624,624
1559986831,580,580
1559988802,514,514
1559990694,453,453
1559992836,367,367
1559994761,286,286
1559996680,210,210
1559998589,193,193
1560000505,191,191
1560002551,194,194
1560004590,195,195
1560006515,196,196
1560008431,198,198
1560010342,196,196
1560012263,198,198
1560014175,198,198
1560016107,195,195
1560018030,197,197
1560019947,196,196
1560021891,190,190
1560023777,193,193
1560025955,195,195
1560027908,199,199
1560029802,196,196
1560031740,193,193
1560033665,195,195
1560035560,198,198
1560037476,199,199
1560039400,209,209
1560041313,209,209
1560043243,215,215
1560045152,216,216
1560047077,215,215
1560049009,216,216
1560050913,216,216
1560052964,215,215
1560054774,216,216
1560056747,219,219
1560058604,218,218
1560060523,221,221
1560062441,226,226
1560064356,226,226
1560066330,227,227
1560068229,234,234
1560070118,230,230
1560072068,235,235
1560073983,242,242
1560075873,239,239
1560077807,239,239
1560079727,237,237
1560081781,239,239
1560083787,239,239
1560085956,241,241
1560087868,239,239
1560090037,232,232
1560091942,227,227
1560093878,229,229
1560095788,236,236
1560097719,234,234
1560099728,234,234
1560101573,240,240
1560103712,239,239
1560105624,239,239
1560107564,240,240
1560109464,234,234
1560111654,235,235
1560113543,235,235
1560115475,237,237
1560117382,236,236
1560119303,236,236
1560121346,232,232
1560123412,227,227
1560125327,228,228
1560127221,226,226
1560129160,227,227
1560131070,226,226
1560133003,225,225
1560134904,221,221
1560136851,226,226
1560138743,224,224
1560140665,224,224
1560142592,224,224
1560144517,221,221
1560146517,225,225
1560148348,218,218
1560150193,214,214
1560152179,207,207
1560154115,203,203
1560156016,201,201
1560157946,198,198
1560159868,189,189
1560161803,188,188
1560163703,187,187
1560165626,199,199
1560167552,201,201
1560169462,198,198
1560171383,197,197
1560173295,195,195
1560175312,193,193
1560177162,199,199
1560179076,201,201
1560180978,198,198
1560182911,198,198
1560184819,194,194
1560186747,193,193
1560188683,188,188
1560190595,193,193
1560192760,190,190
1560194680,195,195
1560196620,193,193
1560198503,193,193
1560200505,187,187
1560202355,191,191
1560204179,188,188
1560206191,189,189
1560208105,188,188
1560210034,188,188
1560211949,186,186
1560213876,184,184
1560215806,184,184
1560217708,182,182
1560219632,183,183
1560221547,183,183
1560223466,183,183
1560225392,184,184
1560227320,183,183
1560230418,188,188
1560232330,186,186
1560234251,232,232
1560236176,236,236
1560238088,241,241
1560240085,239,239
1560241942,238,238
1560243878,241,241
1560245784,246,246
1560247713,246,246
1560249617,246,246
1560251533,234,234
1560253460,236,236
1560255396,236,236
1560257322,232,232
1560259226,230,230
1560261139,238,238
1560263059,236,236
1560265016,235,235
1560266896,235,235
1560268990,233,233
1560270980,235,235
1560272919,235,235
1560274827,234,234
1560276753,233,233
1560278683,234,234
1560280586,233,233
1560282515,231,231
1560284465,229,229
1560286347,232,232
1560288269,231,231
1560290194,232,232
1560292107,233,233
1560294155,238,238
1560295994,243,243
1560297947,239,239
1560299813,236,236
1560301738,235,235
1560303655,239,239
1560305559,238,238
1560307495,243,243
1560309427,239,239
1560311316,239,239
1560313255,243,243
1560315174,234,234
1560317103,233,233
1560319013,229,229
1560320937,183,183
1560322971,181,181
1560324776,176,176
1560326764,178,178
1560328622,182,182
1560330537,180,180
1560332454,176,176
1560334403,174,174
1560336298,175,175
1560338207,177,177
