DateTime,AddedIPs,RemovedIPs
1559647251,2,0
1559649152,0,1
1559654921,1,0
1559656962,1,1
1559662825,1,0
1559666691,2,3
1559668588,0,1
1559670530,1,1
1559672455,1,0
1559674371,0,1
1559676265,0,1
1559678190,0,1
1559680110,1,0
1559682050,1,3
1559683979,1,0
1559685877,2,0
1559689722,2,0
1559691627,3,1
1559693572,1,1
1559695471,0,1
1559697411,1,0
1559699306,2,1
1559701229,1,0
1559703145,0,4
1559705313,1,3
1559707267,1,0
1559709191,1,1
1559711089,0,1
1559713013,0,1
1559716827,1,0
1559720731,0,1
1559722646,1,2
1559724519,0,1
1559726469,0,1
1559728440,1,0
1559734105,0,2
1559741770,0,1
1559743960,0,1
1559749710,1,1
1559751675,1,1
1559753583,0,1
1559755498,1,0
1559757415,2,1
1559759344,1,1
1559761373,2,0
1559765124,1,1
1559768930,0,1
1559770834,1,1
1559772756,2,2
1559776619,0,3
1559778552,0,3
1559784331,2,2
1559786221,0,1
1559788120,1,1
1559790163,1,0
1559792200,0,2
1559794124,0,1
1559801801,1,0
1559803710,1,1
1559809499,0,1
1559815355,1,1
1559822932,1,0
1559824833,1,0
1559826787,2,0
1559830637,1,0
1559832543,3,0
1559834470,3,0
1559836352,1,1
1559838287,0,1
1559842109,2,2
1559844193,0,1
1559846200,0,1
1559848116,1,2
1559851979,1,1
1559856041,2,0
1559857951,0,1
1559859889,0,2
1559861808,2,0
1559863708,2,0
1559868027,1,0
1559869947,1,1
1559871881,1,1
1559873803,1,0
1559875713,1,2
1559883391,1,0
1559887376,1,1
1559889390,1,0
1559891344,3,1
1559897081,2,0
1559900911,0,1
1559904766,4,0
1559908592,1,1
1559912579,1,2
1559914588,0,1
1559916541,2,1
1559918427,1,1
1559920347,0,5
1559924203,2,1
1559926109,2,0
1559928048,1,2
1559929944,1,0
1559931867,1,0
1559933792,0,1
1559937709,1,0
1559939556,0,1
1559941529,1,2
1559947233,0,1
1559949165,1,2
1559951874,0,1
1559955738,1,2
1559957553,0,1
1559959594,3,0
1559961419,1,2
1559965234,1,0
1559969086,0,1
1559973173,0,1
1559975072,1,1
1559977022,0,1
1559978914,0,2
1559982773,1,1
1559984942,0,1
1559986831,1,0
1559990694,1,3
1559992837,0,1
1559994762,0,1
1559996680,1,0
1559998589,1,1
1560000506,1,0
1560002551,2,2
1560004590,1,0
1560006515,0,1
1560010343,1,1
1560012263,0,2
1560014175,1,2
1560016108,0,1
1560018030,0,1
1560023777,0,1
1560027908,0,1
1560029803,1,0
1560031740,1,0
1560033666,1,0
1560035560,2,1
1560043243,1,1
1560045153,2,3
1560047077,2,1
1560050913,1,1
1560052965,1,0
1560060523,1,0
1560062441,3,1
1560064356,1,0
1560066330,2,0
1560068229,1,1
1560070119,2,0
1560072068,1,0
1560073983,3,1
1560077808,0,1
1560079727,3,0
1560081782,1,0
1560083787,2,2
1560085957,0,1
1560090037,1,2
1560091943,0,1
1560093879,2,0
1560095788,1,0
1560097720,1,1
1560099728,1,0
1560101574,2,1
1560105625,2,0
1560107565,1,0
1560111655,1,0
1560113543,1,0
1560115476,0,1
1560117388,1,0
1560119304,0,2
1560121347,3,1
1560123412,3,1
1560125327,1,0
1560129161,2,1
1560131070,1,2
1560133003,0,2
1560134904,3,0
1560136852,3,1
1560138743,1,1
1560142593,1,0
1560146533,1,0
1560148349,1,4
1560150194,1,0
1560152180,1,3
1560154116,1,0
1560156016,0,3
1560157946,0,1
1560159868,2,3
1560163704,1,0
1560165627,9,3
1560167553,0,1
1560169463,0,2
1560175317,1,0
1560177162,0,1
1560179077,3,0
1560180979,1,2
1560182912,2,1
1560184819,0,1
1560186747,0,2
1560188683,0,1
1560190595,2,0
1560192760,3,2
1560194680,1,1
1560198503,0,1
1560200506,0,1
1560202355,2,0
1560204180,0,1
1560206192,1,0
1560208106,0,3
1560210034,0,3
1560211949,0,1
1560215807,1,2
1560217709,1,1
1560221547,0,3
1560223466,0,3
1560225393,1,1
1560229334,0,1
1560231155,1,0
1560233080,1,1
1560234978,1,1
1560236911,0,1
1560238821,0,1
1560240746,0,1
1560244586,1,0
1560246519,0,2
1560248436,1,1
1560250348,0,1
1560252278,1,8
1560254199,2,0
1560256112,1,0
1560259978,2,0
1560261901,1,1
1560263969,0,1
1560265941,0,2
1560267870,1,1
1560269786,1,2
1560273867,4,0
1560277714,0,4
1560279765,2,1
1560281789,0,1
1560283716,3,0
1560287569,0,1
1560289473,0,1
1560291396,1,0
1560294156,0,1
1560301739,0,1
1560303656,0,1
1560309427,1,0
1560311317,0,1
1560313256,1,0
1560315174,1,0
1560317104,0,1
1560320938,0,1
1560322971,0,1
1560330538,0,1
1560334403,0,1
1560338207,0,1
1560340139,1,2
1560342056,0,1
1560345954,1,2
1560347815,0,1
1560349926,1,0
1560351935,2,0
1560353819,1,1
1560355736,1,1
1560359596,2,3
1560361478,1,1
1560363665,2,0
1560365589,2,2
1560369396,1,1
1560371323,0,2
1560375381,1,0
1560378858,3,1
1560380676,1,0
1560382576,1,0
1560384505,3,0
1560386429,1,0
1560388346,1,0
1560392196,5,0
1560396018,0,1
1560397951,2,0
1560399862,0,1
1560401785,0,1
1560405905,3,0
1560411637,3,0
1560413545,1,0
1560419579,1,0
1560423431,1,0
1560425313,0,1
1560427355,1,0
1560431087,2,0
1560432975,0,1
1560436817,2,1
1560438740,0,2
1560440671,0,1
1560442583,2,1
1560446457,0,2
1560448590,0,1
1560450498,0,2
1560452547,2,2
1560456290,1,1
1560460106,1,0
1560462024,1,1
1560463952,0,1
1560466123,2,3
1560469974,0,2
1560471858,2,3
1560474152,1,0
1560475975,1,1
1560477983,1,2
1560479809,0,3
1560483631,1,0
1560485560,0,2
1560491317,0,2
1560493251,0,1
1560495167,1,0
1560497097,2,3
1560498998,0,1
1560502992,2,0
1560505233,1,0
1560507153,2,1
1560509090,2,0
1560510994,0,1
1560512918,3,0
1560514945,0,1
1560516784,0,2
1560518682,1,0
1560520585,1,0
1560522516,0,1
1560524561,4,1
1560526369,1,0
1560528293,0,2
1560530205,1,0
1560532114,1,0
1560534286,3,0
1560536464,1,0
1560540305,1,2
1560542197,1,0
1560544126,1,1
1560546171,1,1
1560548194,1,1
1560550100,3,0
1560552045,1,2
1560555904,3,0
1560557826,0,1
1560559735,0,2
1560561643,0,1
1560563587,0,1
1560565485,1,0
1560567394,1,0
1560571367,2,1
1560577011,2,0
1560580848,2,0
1560582791,1,3
1560584688,1,0
1560588539,0,1
1560590454,1,1
1560592381,1,2
1560594310,2,3
1560596210,1,0
1560598120,2,2
1560600148,1,1
1560601986,1,0
1560603906,2,0
1560605794,1,2
1560607728,1,0
1560609638,1,1
1560611562,0,3
1560613473,0,1
1560617342,1,2
1560619240,1,1
1560621154,0,2
1560623077,1,1
1560624996,1,0
1560626925,0,1
1560628940,2,1
1560630764,1,1
1560632721,1,1
1560634594,0,1
1560636512,1,3
1560638445,2,1
1560640363,1,0
1560642301,2,3
1560644195,1,0
1560646108,1,0
1560648052,1,0
1560649966,1,0
1560651894,0,1
