DateTime,AddedIPs,RemovedIPs
1560233688,4,3
1560235547,7,7
1560236759,10,1
1560240650,14,6
1560241713,6,0
1560243348,5,5
1560244557,2,5
1560246337,5,5
1560247500,3,2
1560249762,10,7
1560251685,2,4
1560253370,4,25
1560255039,10,23
1560256112,7,2
1560257809,4,33
1560258881,5,22
1560260462,4,24
1560261710,2,37
1560262856,3,0
1560264356,3,35
1560266084,7,11
1560266927,3,0
1560268444,4,22
1560269747,4,27
1560270526,3,0
1560271374,3,41
1560272201,2,0
1560273272,2,24
1560274536,4,26
1560276249,3,35
1560277659,4,0
1560279393,6,37
1560280556,4,20
1560282157,1,48
1560283323,1,27
1560284922,8,1
1560287678,9,60
1560288956,2,39
1560291277,6,46
1560293734,3,21
1560294954,2,19
1560296325,2,7
1560297405,4,2
1560298554,2,3
1560300150,0,998
1560301562,995,0
1560302748,2,1
1560303941,4,6
1560305452,4,2
1560307358,4,4
1560308193,2,2
1560309278,2,19
1560310114,3,1
1560312653,4,7
1560314560,1,1
1560316486,3,6
1560318154,3,16
1560319781,6,4
1560321754,1,8
1560323694,6,2
1560324516,1,2
1560325755,5,7
1560326878,1,3
1560328120,3,1
1560328963,2,5
1560331517,0,955
1560332568,954,0
1560334472,3,5
1560335323,2,0
1560336929,3,3
1560338083,2,0
1560339284,5,7
1560340434,3,4
1560341620,3,3
1560342524,3,2
1560344213,15,9
1560345349,10,17
1560346111,11,0
1560347406,11,21
1560348890,11,18
1560350568,11,23
1560351401,3,0
1560352555,8,17
1560353748,11,28
1560355013,4,0
1560356127,5,21
1560357655,10,19
1560358990,8,25
1560360725,12,22
1560361850,13,6
1560363043,6,13
1560364958,14,24
1560366872,13,12
1560368588,20,21
1560370485,19,14
1560372047,18,13
1560373565,16,3
1560374912,6,0
1560375774,9,3
1560378512,19,6
1560380113,9,6
1560381334,0,905
1560382622,919,0
1560383794,0,919
1560384962,922,0
1560385722,2,0
1560387347,9,2
1560388552,9,5
1560390234,17,3
1560390993,5,1
1560392151,8,3
1560393342,10,6
1560395244,11,5
1560395681,7,1
1560396940,7,9
1560398219,5,0
1560399351,8,11
1560400953,7,13
1560401799,7,0
1560402967,3,5
1560403724,5,2
1560405413,7,6
1560406550,0,977
1560408035,974,0
1560409852,8,6
1560410080,2,0
1560410916,6,2
1560411762,4,5
1560412611,3,0
1560413754,6,6
1560415285,13,6
1560416200,4,1
1560417294,7,5
1560418454,6,12
1560419632,12,1
1560420895,9,6
1560421724,4,1
1560423393,12,5
1560424554,7,12
1560425764,8,14
1560426992,9,3
1560428144,7,4
1560429655,10,12
1560430608,5,0
1560432524,13,5
1560435273,8,5
1560436953,9,4
1560438592,9,4
1560439868,4,7
1560441188,5,0
1560442471,5,6
