DateTime,Entries,UniqueIPs
1560233688,9785,9785
1560235547,9785,9785
1560236759,9794,9794
1560240650,9802,9802
1560241713,9808,9808
1560243348,9808,9808
1560244557,9805,9805
1560246337,9805,9805
1560247500,9806,9806
1560249762,9809,9809
1560251685,9807,9807
1560253370,9786,9786
1560255039,9773,9773
1560256112,9778,9778
1560257809,9749,9749
1560258881,9732,9732
1560260462,9712,9712
1560261710,9677,9677
1560262856,9680,9680
1560264356,9648,9648
1560266084,9644,9644
1560266927,9647,9647
1560268444,9629,9629
1560269747,9606,9606
1560270526,9609,9609
1560271374,9571,9571
1560272201,9573,9573
1560273272,9551,9551
1560274536,9529,9529
1560276249,9497,9497
1560277659,9501,9501
1560279393,9470,9470
1560280556,9454,9454
1560282157,9407,9407
1560283323,9381,9381
1560284922,9388,9388
1560287678,9337,9337
1560288956,9300,9300
1560291277,9260,9260
1560293734,9242,9242
1560294954,9225,9225
1560296325,9220,9220
1560297405,9222,9222
1560298554,9221,9221
1560300150,8223,8223
1560301562,9218,9218
1560302748,9219,9219
1560303941,9217,9217
1560305452,9219,9219
1560307358,9219,9219
1560308193,9219,9219
1560309278,9202,9202
1560310114,9204,9204
1560312653,9201,9201
1560314560,9201,9201
1560316486,9198,9198
1560318154,9185,9185
1560319781,9187,9187
1560321754,9180,9180
1560323694,9184,9184
1560324516,9183,9183
1560325755,9181,9181
1560326878,9179,9179
1560328120,9181,9181
1560328963,9178,9178
1560331517,8223,8223
1560332568,9177,9177
1560334472,9175,9175
1560335323,9177,9177
1560336929,9177,9177
1560338083,9179,9179
1560339284,9177,9177
1560340434,9176,9176
1560341620,9176,9176
1560342524,9177,9177
1560344213,9183,9183
1560345349,9176,9176
1560346111,9187,9187
1560347406,9177,9177
1560348890,9170,9170
1560350568,9158,9158
1560351401,9161,9161
1560352555,9152,9152
1560353748,9135,9135
1560355013,9139,9139
1560356127,9123,9123
1560357655,9114,9114
1560358990,9097,9097
1560360725,9087,9087
1560361850,9094,9094
1560363043,9087,9087
1560364958,9077,9077
1560366872,9078,9078
1560368588,9077,9077
1560370485,9082,9082
1560372047,9087,9087
1560373565,9100,9100
1560374912,9106,9106
1560375774,9112,9112
1560378512,9125,9125
1560380113,9128,9128
1560381334,8223,8223
1560382622,9142,9142
1560383794,8223,8223
1560384962,9145,9145
1560385722,9147,9147
1560387347,9154,9154
1560388552,9158,9158
1560390234,9172,9172
1560390993,9176,9176
1560392151,9181,9181
1560393342,9185,9185
1560395244,9191,9191
1560395681,9197,9197
1560396940,9195,9195
1560398219,9200,9200
1560399351,9197,9197
1560400953,9191,9191
1560401799,9198,9198
1560402967,9196,9196
1560403724,9199,9199
1560405413,9200,9200
1560406550,8223,8223
1560408035,9197,9197
1560409852,9199,9199
1560410080,9201,9201
1560410916,9205,9205
1560411762,9204,9204
1560412611,9207,9207
1560413754,9207,9207
1560415285,9214,9214
1560416200,9217,9217
1560417294,9219,9219
1560418454,9213,9213
1560419632,9224,9224
1560420895,9227,9227
1560421724,9230,9230
1560423393,9237,9237
1560424554,9232,9232
1560425764,9226,9226
1560426992,9232,9232
1560428144,9235,9235
1560429655,9233,9233
1560430608,9238,9238
1560432524,9246,9246
1560435273,9249,9249
1560436953,9254,9254
1560438592,9259,9259
1560439868,9256,9256
1560441188,9261,9261
1560442471,9260,9260
1560443797,9260,9260
1560444939,9261,9261
1560446148,9261,9261
1560449449,9257,9257
1560450935,9254,9254
1560453057,9257,9257
1560454968,9247,9247
1560456874,9247,9247
1560457727,9248,9248
1560460182,9246,9246
1560461752,9251,9251
1560463645,9255,9255
1560464078,9257,9257
1560465775,9257,9257
1560467438,8223,8223
1560468866,9255,9255
1560470203,9255,9255
1560472121,9255,9255
1560473524,9252,9252
1560474646,9251,9251
1560475714,9250,9250
1560477356,9253,9253
1560478473,9252,9252
1560479334,9253,9253
1560480936,9249,9249
1560482073,9254,9254
1560483387,9250,9250
1560485452,9247,9247
1560487360,9247,9247
1560489288,9249,9249
1560490112,9251,9251
1560490967,9254,9254
1560491799,9257,9257
1560492875,9262,9262
1560494458,9265,9265
1560496249,9273,9273
1560498164,9273,9273
1560498992,9272,9272
1560500156,9273,9273
1560501339,9266,9266
1560502606,9269,9269
1560503725,8223,8223
1560504944,9266,9266
1560506111,9264,9264
1560507353,9264,9264
1560510885,9262,9262
1560512691,9258,9258
1560514237,9256,9256
1560515473,9252,9252
1560517018,9249,9249
1560518153,9248,9248
1560519347,9239,9239
1560520538,9241,9241
1560521757,9234,9234
1560522621,9224,9224
1560523846,9229,9229
1560525048,9232,9232
1560525252,8223,8223
1560528878,9220,9220
1560530567,9212,9212
1560532244,9209,9209
1560534160,9210,9210
1560535004,9209,9209
1560536072,9203,9203
1560537752,9193,9193
1560539448,9193,9193
1560541242,8223,8223
1560542190,9181,9181
1560543272,9175,9175
1560544112,9179,9179
1560544947,9166,9166
1560545810,9168,9168
1560546957,9166,9166
1560547715,9167,9167
1560548569,9156,9156
1560550468,8223,8223
1560552153,9146,9146
1560553010,9148,9148
1560554158,9143,9143
1560555669,9137,9137
1560557444,9131,9131
1560558940,9116,9116
1560560135,9113,9113
1560561310,9109,9109
1560562954,9099,9099
1560563796,9101,9101
1560564874,9090,9090
1560566555,9086,9086
1560567394,9089,9089
1560568483,9077,9077
1560570052,9070,9070
1560571847,9063,9063
1560573754,9061,9061
1560575452,9060,9060
1560577359,9056,9056
1560578215,9063,9063
1560579344,9058,9058
1560580112,9061,9061
1560581805,9047,9047
1560583254,9047,9047
1560584752,9048,9048
1560586254,9057,9057
1560587471,9061,9061
1560589557,9060,9060
1560591028,9059,9059
1560591763,9066,9066
1560592593,9070,9070
1560594521,9071,9071
1560595355,9057,9057
1560597284,9066,9066
1560598111,9072,9072
1560598953,9062,9062
1560600654,9075,9075
1560602130,8223,8223
1560604474,9086,9086
1560606351,9091,9091
1560607002,9097,9097
1560608156,9097,9097
1560609772,9091,9091
1560611672,9090,9090
1560613362,9083,9083
1560614208,9091,9091
1560615359,9095,9095
1560617149,9101,9101
1560618639,9107,9107
1560620733,9126,9126
1560622472,9126,9126
1560623325,9128,9128
1560625847,9134,9134
1560627767,9136,9136
1560629448,9142,9142
1560630202,9144,9144
1560631353,9147,9147
1560633358,9152,9152
1560634111,8223,8223
1560634958,9157,9157
1560636645,9156,9156
1560638573,9162,9162
1560640476,9161,9161
1560642050,9165,9165
1560643840,9169,9169
1560644924,9174,9174
1560646541,9181,9181
1560647714,9182,9182
1560649361,9181,9181
1560650192,9187,9187
1560651279,9187,9187
1560652562,8223,8223
1560654652,9191,9191
1560654882,9193,9193
1560656567,9199,9199
1560658249,9199,9199
1560660172,9201,9201
1560661806,9200,9200
1560663954,9202,9202
1560665471,9199,9199
1560667551,9202,9202
1560669043,9210,9210
1560670963,9213,9213
1560672403,9211,9211
1560673556,9218,9218
1560674711,9218,9218
1560676470,9224,9224
1560678155,9224,9224
1560679008,9228,9228
1560680071,9228,9228
1560681301,9229,9229
1560683444,9231,9231
1560684517,9237,9237
1560685854,9240,9240
1560687013,9239,9239
1560688529,9242,9242
1560689807,9246,9246
1560691713,9247,9247
1560693032,9247,9247
1560694243,9250,9250
1560695486,9250,9250
1560696932,9253,9253
1560698074,8223,8223
1560699929,9260,9260
1560700608,9258,9258
1560701671,9251,9251
1560703371,9237,9237
1560705045,9228,9228
1560706657,9219,9219
1560708298,9212,9212
1560708893,9213,9213
1560710065,9214,9214
1560711337,9219,9219
1560712553,9218,9218
1560714353,9215,9215
1560715849,9211,9211
1560717755,8223,8223
1560719448,9210,9210
1560722200,9213,9213
1560723349,9212,9212
1560725792,9212,9212
1560726958,9205,9205
1560728480,9202,9202
1560729409,9208,9208
1560730473,9211,9211
1560731750,9209,9209
1560732936,9214,9214
1560734080,9217,9217
1560735349,9220,9220
1560736596,9226,9226
1560737758,9218,9218
1560739372,9216,9216
1560741047,9214,9214
1560742965,9216,9216
1560744653,9220,9220
1560746572,9218,9218
1560747394,9217,9217
1560748516,9211,9211
1560749716,9213,9213
1560750967,8223,8223
1560752154,9219,9219
1560753759,9220,9220
1560755678,9212,9212
