DateTime,AddedIPs,RemovedIPs
1560249729,110,124
1560251647,130,114
1560253329,75,151
1560255008,113,100
1560256087,70,1
1560257767,87,206
1560258847,55,97
1560260408,103,122
1560261599,71,138
1560262808,94,8
1560264309,129,173
1560266047,121,110
1560266894,39,0
1560268420,102,162
1560269714,76,82
1560270487,36,0
1560271329,53,116
1560272168,41,0
1560273247,71,157
1560274509,77,127
1560275969,63,162
1560277213,59,13
1560278717,114,167
1560279367,61,0
1560280516,124,118
1560282128,108,166
1560283277,75,92
1560284887,91,0
1560287648,157,292
1560288909,49,118
1560291248,94,124
1560293707,107,92
1560294908,66,95
1560296269,55,77
1560297367,52,39
1560298508,53,55
1560300127,80,110
1560301517,76,47
1560302707,42,1
1560303908,41,123
1560305408,96,67
1560307328,111,57
1560308167,52,0
1560309247,36,101
1560310086,52,2
1560312608,131,171
1560314529,96,124
1560316447,59,55
1560318128,89,117
1560319738,74,55
1560320887,69,1
1560321728,40,209
1560323647,104,70
1560324488,45,0
1560325712,78,130
1560326853,60,98
1560328088,71,0
1560328931,50,125
1560330308,74,40
1560331508,67,1
1560332535,43,94
1560334447,113,131
1560335286,32,0
1560336894,71,224
1560338047,71,97
1560339244,80,137
1560340408,105,34
1560342487,108,79
1560344167,82,179
1560345308,78,110
1560346086,60,0
1560347377,91,230
1560348847,96,129
1560350528,137,255
1560351367,85,1
1560352507,95,127
1560353709,117,161
1560354966,136,1
1560356118,0,22022
1560357607,21974,0
1560358939,91,182
1560360697,205,211
1560361809,107,42
1560363011,70,69
1560364929,157,135
1560366847,169,113
1560368564,122,185
1560370448,161,83
1560372006,113,99
1560373500,134,113
1560374887,143,0
1560375728,86,79
1560378487,221,92
1560380104,0,22350
1560381308,22363,0
1560382564,0,22363
1560383768,22428,0
1560384907,100,85
1560385686,40,0
1560387308,128,121
1560388516,112,113
1560390196,118,124
1560390967,43,0
1560392118,70,79
1560393310,87,123
1560395204,109,154
1560395647,37,0
1560396910,89,103
1560398175,64,0
1560399309,78,99
1560400928,104,209
1560401767,51,0
1560402911,78,65
1560403686,58,0
1560405367,148,146
1560406519,81,84
1560408008,92,119
1560409809,98,133
1560410887,91,1
1560411730,66,131
1560412567,42,1
1560413708,58,70
1560415250,123,137
1560416167,73,2
1560417248,81,69
1560418372,118,93
1560419597,132,0
1560420854,142,67
1560421686,72,0
1560423368,156,99
1560424516,71,104
1560425735,103,133
1560426967,119,31
1560428110,124,70
1560429609,118,115
1560430568,101,1
1560431718,104,124
1560432488,87,0
1560435248,266,258
1560436927,143,151
1560438556,108,79
1560439829,80,103
1560441150,118,0
1560442446,93,100
1560443769,91,103
1560444907,72,38
1560446894,189,40
1560449413,187,252
1560450907,157,167
1560453015,226,120
1560454929,121,142
1560455767,48,0
1560456846,57,74
1560457695,82,3
1560460144,270,175
1560461713,140,69
1560463610,188,108
1560464047,36,0
1560465729,87,100
1560467409,103,74
1560468814,144,71
1560469914,87,0
1560470166,17,0
1560471308,73,105
1560472087,57,0
1560473497,80,91
1560474615,104,68
1560475688,80,0
1560477308,106,138
1560478447,74,87
1560479295,60,2
1560480908,100,123
1560482047,86,62
1560483358,257,111
1560485407,138,77
1560487329,124,73
1560489257,145,81
1560490087,61,0
1560490927,60,155
1560491767,52,0
1560492849,69,76
1560494418,224,130
1560496208,125,80
1560498127,336,97
1560498967,150,1
1560500117,253,112
1560501308,400,91
1560502573,391,1
1560503709,341,100
1560504917,327,93
1560506081,438,31
1560507308,404,64
1560510854,1079,265
1560512662,549,109
1560514209,571,72
1560515439,384,132
1560516971,388,53
1560518117,304,92
1560519310,200,107
1560520508,109,0
1560521716,124,155
1560522488,79,0
1560523805,123,174
1560525247,154,141
1560527686,213,178
1560528847,99,95
1560530535,105,172
1560532207,113,155
1560534129,158,141
1560534967,57,0
1560536047,80,161
1560537727,140,161
1560539415,107,99
1560541218,127,160
1560542166,74,0
1560543247,64,109
1560544087,60,0
1560544927,57,223
1560545774,57,0
1560546913,56,128
1560547687,37,1
1560548535,51,102
1560550447,139,214
1560552129,86,511
1560552967,56,0
1560554118,82,470
1560555627,102,168
1560557408,123,105
1560558913,91,134
1560560109,83,55
1560561273,65,63
1560562928,104,158
1560563769,47,0
1560564847,49,74
1560566528,90,156
1560567367,57,0
1560568448,94,132
1560570016,104,123
1560571809,111,109
1560573728,139,178
1560575407,78,113
1560577327,116,129
1560580087,219,105
1560581768,93,192
1560583207,100,86
1560584707,149,157
1560586216,126,88
1560587431,100,153
1560589214,0,28602
1560590407,28624,0
1560591728,86,139
1560592566,63,0
1560594494,151,167
1560595329,77,183
1560597247,120,104
1560598087,61,0
1560598928,88,248
1560600608,157,135
1560602109,111,159
1560604446,200,167
1560606315,148,217
1560606968,42,0
1560608117,55,74
1560609726,91,122
1560611647,126,156
1560613328,105,177
1560614174,65,0
1560615309,82,85
1560617108,162,191
1560618608,124,76
1560620707,144,157
1560622447,308,233
1560623295,98,0
1560625501,0,28498
1560626803,28480,0
1560627735,44,118
1560629407,90,224
1560630177,39,0
1560632167,133,215
1560633316,77,130
1560634088,52,0
1560634928,51,145
1560636616,90,75
1560638529,117,144
1560640446,124,151
1560642025,94,148
1560643807,121,92
1560644887,94,1
1560646508,107,125
1560647681,87,155
1560649327,94,163
1560650166,46,0
1560651248,71,89
1560652528,115,263
1560654615,114,131
1560654847,23,0
1560656528,108,115
1560658208,102,134
1560660130,115,185
1560661464,71,75
