DateTime,AddedIPs,RemovedIPs
1560134582,2,4
1560136482,3,2
1560138176,6,1
1560141785,5,7
1560144950,3,3
1560147042,4,0
1560148974,8,3
1560150880,1,1
1560152163,5,0
1560153359,1,1
1560154487,4,2
1560156058,7,2
1560157596,2,2
1560159771,3,2
1560161703,6,1
1560163381,3,1
1560164782,5,0
1560166124,1,0
1560167402,0,2
1560168657,3,1
1560170572,3,4
1560172503,1,0
1560174065,2,2
1560175710,1,1
1560179202,2,0
1560180529,1,0
1560181847,0,1
1560184970,2,0
1560185809,2,0
1560186899,1,2
1560188164,1,0
1560190567,6,1
1560191703,5,0
1560193183,1,2
1560194457,2,0
1560195672,0,4
1560199362,3,0
1560200202,2,0
1560201357,5,0
1560202870,8,2
1560205547,16,0
1560207966,9,4
1560209332,1,0
1560210176,1,0
1560211840,3,1
1560213774,11,4
1560215631,7,2
1560216529,3,0
1560217377,0,1
1560219062,5,3
1560220391,3,3
1560222464,7,1
1560224918,7,2
1560226521,3,1
1560227321,4,0
1560229003,5,3
1560230155,2,0
1560231780,4,3
1560233700,4,2
1560235557,5,1
1560236801,5,1
1560240660,8,5
1560243358,5,3
1560244568,3,3
1560246346,0,5
1560247839,0,2
1560249772,2,2
1560251696,2,4
1560253380,3,5
1560255049,3,0
1560257827,2,3
1560258891,2,0
1560260472,2,2
1560261735,0,1
1560264367,2,9
1560266937,1,0
1560270535,1,0
1560271390,1,3
1560272210,1,0
1560273283,0,2
1560274546,1,1
1560276276,2,2
1560277669,1,0
1560279402,1,3
1560280566,2,0
1560282171,4,1
1560283336,1,1
1560287687,1,3
1560288966,1,3
1560291287,2,0
1560293746,1,1
1560294965,1,2
1560296334,0,1
1560297414,1,1
1560298564,3,1
1560300162,3,8
1560301572,1,2
1560302760,2,0
1560303951,5,2
1560305463,3,2
1560307367,5,3
1560308204,2,0
1560309292,3,1
1560310123,1,0
1560312662,2,6
1560314570,4,5
1560316496,6,3
1560318164,4,4
1560319792,8,1
1560321764,8,2
