DateTime,Entries,UniqueIPs
1560249729,31248,31248
1560251647,31264,31264
1560253329,31188,31188
1560255008,31201,31201
1560256087,31270,31270
1560257767,31151,31151
1560258847,31109,31109
1560260408,31090,31090
1560261599,31023,31023
1560262808,31109,31109
1560264309,31065,31065
1560266047,31076,31076
1560266894,31115,31115
1560268420,31055,31055
1560269714,31049,31049
1560270487,31085,31085
1560271329,31022,31022
1560272168,31063,31063
1560273247,30977,30977
1560274509,30927,30927
1560275969,30828,30828
1560277213,30874,30874
1560278717,30821,30821
1560279367,30882,30882
1560280516,30888,30888
1560282128,30830,30830
1560283277,30813,30813
1560284887,30904,30904
1560287648,30769,30769
1560288909,30700,30700
1560291248,30670,30670
1560293707,30685,30685
1560294908,30656,30656
1560296269,30634,30634
1560297367,30647,30647
1560298508,30645,30645
1560300127,30615,30615
1560301517,30644,30644
1560302707,30685,30685
1560303908,30603,30603
1560305408,30632,30632
1560307328,30686,30686
1560308167,30738,30738
1560309247,30673,30673
1560310086,30723,30723
1560312608,30683,30683
1560314529,30655,30655
1560316447,30659,30659
1560318128,30631,30631
1560319738,30650,30650
1560320887,30718,30718
1560321728,30549,30549
1560323647,30583,30583
1560324488,30628,30628
1560325712,30576,30576
1560326853,30538,30538
1560328088,30609,30609
1560328931,30534,30534
1560330308,30568,30568
1560331508,30634,30634
1560332535,30583,30583
1560334447,30565,30565
1560335286,30597,30597
1560336894,30444,30444
1560338047,30418,30418
1560339244,30361,30361
1560340408,30432,30432
1560342487,30461,30461
1560344167,30364,30364
1560345308,30332,30332
1560346086,30392,30392
1560347377,30253,30253
1560348847,30220,30220
1560350528,30102,30102
1560351367,30186,30186
1560352507,30154,30154
1560353709,30110,30110
1560354966,30245,30245
1560356118,8223,8223
1560357607,30197,30197
1560358939,30106,30106
1560360697,30100,30100
1560361809,30165,30165
1560363011,30166,30166
1560364929,30188,30188
1560366847,30244,30244
1560368564,30181,30181
1560370448,30259,30259
1560372006,30273,30273
1560373500,30294,30294
1560374887,30437,30437
1560375728,30444,30444
1560378487,30573,30573
1560380104,8223,8223
1560381308,30586,30586
1560382564,8223,8223
1560383768,30651,30651
1560384907,30666,30666
1560385686,30706,30706
1560387308,30713,30713
1560388516,30712,30712
1560390196,30706,30706
1560390967,30749,30749
1560392118,30740,30740
1560393310,30704,30704
1560395204,30659,30659
1560395647,30696,30696
1560396910,30682,30682
1560398175,30746,30746
1560399309,30725,30725
1560400928,30620,30620
1560401767,30671,30671
1560402911,30684,30684
1560403686,30742,30742
1560405367,30744,30744
1560406519,30741,30741
1560408008,30714,30714
1560409809,30679,30679
1560410887,30769,30769
1560411730,30704,30704
1560412567,30745,30745
1560413708,30733,30733
1560415250,30719,30719
1560416167,30790,30790
1560417248,30802,30802
1560418372,30827,30827
1560419597,30959,30959
1560420854,31034,31034
1560421686,31106,31106
1560423368,31163,31163
1560424516,31130,31130
1560425735,31100,31100
1560426967,31188,31188
1560428110,31242,31242
1560429609,31245,31245
1560430568,31345,31345
1560431718,31325,31325
1560432488,31412,31412
1560435248,31420,31420
1560436927,31412,31412
1560438556,31441,31441
1560439829,31418,31418
1560441150,31536,31536
1560442446,31529,31529
1560443769,31517,31517
1560444907,31551,31551
1560446894,31700,31700
1560449413,31635,31635
1560450907,31625,31625
1560453015,31731,31731
1560454929,31710,31710
1560455767,31758,31758
1560456846,31741,31741
1560457695,31820,31820
1560460144,31915,31915
1560461713,31986,31986
1560463610,32066,32066
1560464047,32102,32102
1560465729,32089,32089
1560467409,32118,32118
1560468814,32191,32191
1560469914,32278,32278
1560470166,32295,32295
1560471308,32263,32263
1560472087,32320,32320
1560473497,32309,32309
1560474615,32345,32345
1560475688,32425,32425
1560477308,32393,32393
1560478447,32380,32380
1560479295,32438,32438
1560480908,32415,32415
1560482047,32439,32439
1560483358,32585,32585
1560485407,32646,32646
1560487329,32697,32697
1560489257,32761,32761
1560490087,32822,32822
1560490927,32727,32727
1560491767,32779,32779
1560492849,32772,32772
1560494418,32866,32866
1560496208,32911,32911
1560498127,33150,33150
1560498967,33299,33299
1560500117,33440,33440
1560501308,33749,33749
1560502573,34139,34139
1560503709,34380,34380
1560504917,34614,34614
1560506081,35021,35021
1560507308,35361,35361
1560510854,36175,36175
