DateTime,AddedIPs,RemovedIPs
1560216526,29,4
1560217375,23,16
1560219060,43,37
1560220384,13,19
1560222454,59,19
1560224916,98,15
1560226519,45,18
1560227319,10,0
1560229001,28,36
1560230152,35,10
1560231778,54,29
1560233696,29,29
1560235555,65,25
1560236783,23,8
1560240657,115,48
1560241720,24,2
1560243356,22,47
1560244565,35,23
1560246344,39,65
1560247824,28,44
1560249770,17,43
1560251694,14,32
1560253378,25,58
1560255047,72,64
1560256120,38,63
1560257825,29,93
1560258889,8,42
1560260470,25,47
1560261732,33,48
1560262864,29,3
1560264364,53,44
1560266092,44,51
1560266935,21,3
1560268459,45,57
1560269756,32,21
1560270533,7,1
1560271382,20,12
1560272209,11,2
1560273279,28,78
1560274543,16,38
1560276273,28,64
1560277667,29,2
1560279400,65,57
1560280564,32,52
1560282170,34,63
1560283332,36,32
1560284931,23,6
1560287685,57,132
1560288964,15,36
1560291285,22,45
1560293743,45,35
1560294962,21,35
1560296340,22,17
1560297412,14,18
1560298562,17,18
1560300159,38,31
1560301570,42,7
1560302756,4,2
1560303949,8,42
1560305459,54,31
1560307365,47,7
1560308201,21,2
1560309289,15,32
1560310121,24,1
1560312660,44,59
1560314568,34,57
1560316494,8,4
1560318162,26,21
1560319790,11,11
1560321761,32,82
1560323703,40,35
1560324523,18,3
1560325762,44,47
1560326888,23,27
1560328127,26,1
1560328971,29,42
1560330361,38,16
1560331535,19,4
1560332575,7,46
1560334479,44,27
1560335331,5,0
1560336944,13,67
1560338090,16,43
1560339293,37,56
1560340442,64,7
1560341628,22,29
1560342532,9,2
1560344223,14,70
1560345362,23,40
1560346120,17,0
1560347414,56,73
1560348897,76,78
1560350575,45,129
1560351408,20,3
1560352563,28,29
1560353756,41,50
1560355021,56,4
1560356135,49,46
1560357663,35,19
1560359006,31,39
1560360733,88,61
1560361858,38,13
1560363050,16,19
1560364966,81,34
1560366880,75,51
1560368602,27,49
1560370493,72,33
1560372054,34,34
1560373573,66,29
1560374921,85,0
1560375782,34,20
1560378520,92,19
1560380121,53,14
1560381348,57,35
1560382638,102,81
1560383803,75,80
1560384970,43,23
1560385730,11,2
1560387355,70,45
1560388560,56,49
1560390242,55,21
1560391000,18,2
1560392160,22,34
1560393355,37,60
1560395262,40,90
1560395689,21,0
1560396948,46,21
1560398226,15,1
1560399360,35,35
1560400961,38,84
1560401806,16,6
1560402984,17,17
1560403732,18,3
1560405421,73,59
1560406559,39,29
1560408043,32,41
1560409860,32,61
1560410088,9,2
1560410924,36,2
1560411770,35,47
1560412619,15,4
1560413762,26,25
1560415293,66,60
1560416217,27,1
1560417303,42,25
1560418464,69,18
1560419640,51,1
1560420903,46,11
1560421732,28,2
1560423401,87,11
1560424562,24,23
1560425774,47,45
1560426999,73,12
1560428152,78,23
1560429663,53,33
1560430617,44,2
1560432532,96,41
1560435280,127,95
1560436961,79,56
1560438601,23,32
1560439879,32,25
1560441196,63,8
1560442478,45,29
1560443806,38,40
1560444946,31,17
1560446156,60,16
1560446929,36,4
1560449457,103,100
1560450943,102,37
1560453065,143,44
1560454976,59,38
1560455822,25,1
1560456882,31,25
1560457734,48,0
1560460190,180,40
1560461762,84,15
1560463665,128,52
1560464086,28,2
1560465783,33,29
1560467450,44,22
1560468874,91,27
1560470211,56,1
1560472130,73,52
1560473532,46,14
1560474653,68,22
1560475722,27,4
1560477364,54,75
1560478481,33,32
1560479342,37,2
1560480945,51,48
1560482081,42,22
1560483395,227,37
1560485459,69,21
1560487367,72,5
1560489296,72,13
1560490120,30,2
1560490975,22,36
1560491807,19,2
1560492882,23,30
1560494465,183,45
1560496257,44,46
1560498172,58,33
1560499000,31,6
1560500165,22,54
1560501349,35,26
1560502614,29,6
1560503735,38,29
1560506123,77,24
1560507361,41,12
1560510893,129,111
1560512699,29,21
1560514245,70,17
1560515482,53,40
1560517026,38,20
1560518161,20,39
1560519354,78,26
1560520545,66,5
1560521765,68,50
1560522629,42,48
1560523854,53,18
1560525056,62,48
1560525270,10,3
1560528886,142,102
1560530575,44,91
1560532261,47,60
1560534168,59,61
1560535013,27,0
1560536080,50,78
1560537760,68,46
1560539456,41,42
1560542198,101,51
1560543279,27,41
1560544120,15,6
1560544954,26,101
1560545818,27,1
1560546965,17,64
1560547722,25,1
1560548576,25,37
1560552161,93,324
1560553018,28,3
1560555685,108,307
1560557452,71,54
1560558948,38,61
1560560146,28,25
1560561324,20,21
1560562962,75,55
1560563804,25,5
1560564883,20,17
1560566563,35,63
1560567402,23,2
1560568491,54,26
1560570059,45,44
1560571854,48,37
1560573761,89,54
1560575460,37,46
1560577366,70,44
1560578224,40,4
1560579353,48,25
1560580119,31,2
1560581814,42,71
1560583262,43,31
1560584761,82,77
1560586261,58,43
1560587481,53,87
1560589565,68,80
1560591045,55,52
1560591770,25,3
1560592601,37,6
1560594529,68,85
1560595363,49,70
1560597292,45,46
1560598119,27,3
1560598961,46,128
1560600662,88,64
1560602139,46,93
1560604482,104,73
1560606359,47,120
1560607010,24,1
1560608165,29,22
1560609779,41,38
1560611680,51,86
1560613370,54,45
1560614216,32,6
1560615368,47,33
1560617157,74,81
1560618647,78,37
1560620741,55,101
1560622479,34,143
1560623333,18,3
1560625855,50,123
1560627775,58,60
1560629458,51,121
1560630210,20,8
1560631360,34,138
1560632206,27,6
1560633368,23,93
1560634966,50,66
1560636653,36,33
1560638582,43,88
1560640484,36,87
1560642058,49,69
1560643849,53,52
1560644931,28,2
1560646550,47,53
1560647734,39,65
1560649369,26,91
1560650200,22,1
1560651287,23,33
1560654662,120,269
1560654890,9,1
1560656575,52,48
1560658257,38,58
1560660185,46,90
1560661819,54,29
1560663963,109,196
1560667560,204,66
1560669051,48,74
1560670971,86,58
1560672417,43,35
1560673564,65,3
1560674719,69,63
1560676478,91,35
1560678164,57,78
1560680079,46,72
1560681312,30,37
1560683452,68,49
1560684526,28,0
1560685862,37,91
1560687022,54,33
1560688538,80,57
1560689816,49,5
1560691729,62,108
1560693040,26,96
1560694252,13,52
1560695495,42,87
1560696940,31,3
1560699941,57,139
1560700615,14,2
1560701679,30,31
1560703379,58,71
1560705055,63,47
1560706664,32,85
1560708611,44,50
1560708901,6,1
1560710075,47,41
1560711345,46,28
1560711410,1,2
1560712561,30,58
1560714361,60,47
1560715857,62,31
1560719456,64,115
1560722208,61,46
1560723357,22,41
1560725800,52,61
1560726966,23,88
1560728489,34,56
1560729418,20,3
1560730481,7,26
1560731765,16,43
1560732945,39,40
1560734088,22,37
1560735357,28,46
1560736607,24,4
1560737766,15,32
1560739380,31,70
1560741056,16,37
1560744662,54,144
1560746580,13,45
1560747402,7,3
1560748524,9,100
1560749730,9,72
1560750977,10,19
1560752162,11,36
1560753767,14,73
1560755686,50,100
1560756517,13,2
1560758140,50,70
1560759281,24,55
1560760135,21,1
1560760978,20,65
1560762899,52,54
1560764566,36,65
1560766479,70,63
1560768179,59,65
1560769861,48,106
1560771776,53,89
1560773680,115,62
1560775376,31,66
1560776195,20,2
1560777362,23,43
1560778624,27,57
1560780883,51,34
1560783145,63,67
1560784566,52,55
1560786167,21,73
1560787691,29,81
1560789133,38,67
1560789775,33,14
1560791681,43,27
1560792532,7,1
1560794141,48,60
1560795359,28,16
1560796130,45,2
1560798949,55,92
1560799721,22,4
1560802483,55,102
1560803327,15,5
1560804705,41,54
1560805851,31,43
1560807772,40,58
1560809452,44,17
1560811361,33,76
1560813062,28,48
1560814944,66,66
1560816654,66,51
1560818575,49,54
1560821150,74,38
1560821421,6,61
1560823017,48,36
1560824094,39,39
1560825957,44,72
1560826602,17,3
1560827765,19,39
1560829365,37,41
1560831281,41,58
1560832966,55,119
1560833806,13,2
1560834950,94,60
1560835728,47,0
1560836577,35,133
1560838277,38,44
1560840159,25,65
1560841799,73,66
1560843760,67,137
1560845276,36,77
1560847380,66,93
1560849299,68,24
1560850588,30,51
1560852886,90,65
1560853719,46,7
1560854580,54,80
1560855400,46,5
1560856564,48,47
1560861776,155,227
1560862599,22,1
1560863687,25,39
1560866618,84,84
1560866633,2,1
1560868400,39,49
1560869030,17,8
1560869804,25,0
1560870974,9,26
1560872483,27,71
1560874479,76,46
1560875331,28,2
1560876169,33,65
1560876999,15,3
1560878155,24,37
1560879771,34,45
1560880602,33,4
1560881696,54,73
1560883377,73,57
1560884701,37,75
1560886042,60,4
1560887752,54,33
1560888882,22,22
1560890141,20,43
1560892258,64,46
1560893334,43,3
1560894646,49,65
1560895857,37,28
1560897789,56,39
1560899462,89,34
1560899688,11,3
1560901362,44,19
1560903060,59,56
1560905168,68,53
1560906903,36,19
1560908575,63,55
1560911328,53,19
1560913038,60,21
1560914107,29,34
1560915549,40,22
1560917721,46,14
1560918897,15,10
1560920883,50,16
1560923539,61,6
1560924901,32,30
1560926473,37,45
1560927414,31,1
1560928484,18,50
1560929770,35,47
1560930947,41,17
1560932933,62,54
1560933764,17,38
1560934607,23,8
1560935768,38,63
1560936976,45,48
1560938222,62,27
1560939361,51,55
