DateTime,Entries,UniqueIPs
1560216526,4069,4069
1560217375,4076,4076
1560219060,4082,4082
1560220384,4076,4076
1560222454,4116,4116
1560224916,4199,4199
1560226519,4226,4226
1560227319,4236,4236
1560229001,4228,4228
1560230152,4253,4253
1560231778,4278,4278
1560233696,4278,4278
1560235555,4318,4318
1560236783,4333,4333
1560240657,4400,4400
1560241720,4422,4422
1560243356,4397,4397
1560244565,4409,4409
1560246344,4383,4383
1560247824,4367,4367
1560249770,4341,4341
1560251694,4323,4323
1560253378,4290,4290
1560255047,4298,4298
1560256120,4273,4273
1560257825,4209,4209
1560258889,4175,4175
1560260470,4153,4153
1560261732,4138,4138
1560262864,4164,4164
1560264364,4173,4173
1560266092,4166,4166
1560266935,4184,4184
1560268459,4172,4172
1560269756,4183,4183
1560270533,4189,4189
1560271382,4197,4197
1560272209,4206,4206
1560273279,4156,4156
1560274543,4134,4134
1560276273,4098,4098
1560277667,4125,4125
1560279400,4133,4133
1560280564,4113,4113
1560282170,4084,4084
1560283332,4088,4088
1560284931,4105,4105
1560287685,4030,4030
1560288964,4009,4009
1560291285,3986,3986
1560293743,3996,3996
1560294962,3982,3982
1560296340,3987,3987
1560297412,3983,3983
1560298562,3982,3982
1560300159,3989,3989
1560301570,4024,4024
1560302756,4026,4026
1560303949,3992,3992
1560305459,4015,4015
1560307365,4055,4055
1560308201,4074,4074
1560309289,4057,4057
1560310121,4080,4080
1560312660,4065,4065
1560314568,4042,4042
1560316494,4046,4046
1560318162,4051,4051
1560319790,4051,4051
1560321761,4001,4001
1560323703,4006,4006
1560324523,4021,4021
1560325762,4018,4018
1560326888,4014,4014
1560328127,4039,4039
1560328971,4026,4026
1560330361,4048,4048
1560331535,4063,4063
1560332575,4024,4024
1560334479,4041,4041
1560335331,4046,4046
1560336944,3992,3992
1560338090,3965,3965
1560339293,3946,3946
1560340442,4003,4003
1560341628,3996,3996
1560342532,4003,4003
1560344223,3947,3947
1560345362,3930,3930
1560346120,3947,3947
1560347414,3930,3930
1560348897,3928,3928
1560350575,3844,3844
1560351408,3861,3861
1560352563,3860,3860
1560353756,3851,3851
1560355021,3903,3903
1560356135,3906,3906
1560357663,3922,3922
1560359006,3914,3914
1560360733,3941,3941
1560361858,3966,3966
1560363050,3963,3963
1560364966,4010,4010
1560366880,4034,4034
1560368602,4012,4012
1560370493,4051,4051
1560372054,4051,4051
1560373573,4088,4088
1560374921,4173,4173
1560375782,4187,4187
1560378520,4260,4260
1560380121,4299,4299
1560381348,4321,4321
1560382638,4342,4342
1560383803,4337,4337
1560384970,4357,4357
1560385730,4366,4366
1560387355,4391,4391
1560388560,4398,4398
1560390242,4432,4432
