DateTime,AddedIPs,RemovedIPs
1560246333,59,84
1560247479,38,55
1560249756,65,74
1560251678,48,55
1560253367,41,70
1560255035,70,53
1560256109,49,0
1560257801,47,115
1560258878,30,55
1560260452,56,63
1560261697,44,63
1560262847,56,1
1560264348,74,71
1560266080,71,75
1560266923,24,0
1560268440,67,88
1560269744,45,30
1560270522,16,0
1560271366,32,35
1560272197,27,0
1560273268,51,98
1560274532,33,73
1560276004,37,89
1560277244,29,7
1560278742,73,80
1560279388,41,0
1560280548,48,66
1560282150,63,87
1560283311,55,44
1560284919,42,0
1560287674,96,170
1560288946,26,47
1560291272,38,54
1560293728,67,46
1560294949,29,45
1560296314,24,20
1560297401,29,22
1560298542,26,31
1560300150,0,11759
1560301553,11789,0
1560302744,15,0
1560303934,14,83
1560305448,72,42
1560307354,65,28
1560308189,35,1
1560309273,21,51
1560310110,32,0
1560312647,87,76
1560314556,61,79
1560316478,19,19
1560318149,45,41
1560319766,42,15
1560321750,70,111
1560323686,65,42
1560324509,22,0
1560325749,47,78
1560326875,37,66
1560328116,44,0
1560328959,30,73
1560330349,52,26
1560331516,0,11833
1560332564,11823,0
1560334468,72,45
1560335320,10,0
1560336922,34,92
1560338079,27,53
1560339276,51,77
1560340430,78,10
1560341616,45,41
1560342520,15,0
1560344205,36,102
1560345340,46,50
1560346107,38,0
1560347399,60,89
1560348886,57,52
1560350564,62,123
1560351397,30,0
1560352547,42,50
1560353744,60,72
1560355005,69,0
1560356118,0,11799
1560357647,11802,0
1560358986,47,63
1560360720,134,91
1560361841,51,16
1560363039,36,33
1560364955,87,53
1560366868,108,66
1560368584,56,80
1560370481,98,41
1560372043,54,53
1560373557,83,50
1560374909,110,0
1560375768,56,32
1560378509,142,40
1560380104,0,12246
1560382605,12283,0
1560383794,0,12283
1560384945,12381,0
1560385719,18,0
1560387342,92,69
1560388545,71,65
1560390230,68,42
1560390988,25,0
1560392144,29,49
1560393338,50,75
1560395226,59,100
1560395677,20,1
1560396936,58,45
1560398215,30,0
1560399343,56,53
1560400950,60,127
1560401791,24,1
1560402959,49,30
1560403720,35,0
1560405404,98,84
1560406550,0,12482
1560408030,12460,0
1560409847,54,82
1560410076,14,0
1560410912,48,0
1560411758,46,77
1560412600,25,2
1560413750,34,35
1560415281,85,87
1560416197,40,2
1560417286,57,34
1560418394,89,41
1560419628,96,0
1560420887,88,29
1560421720,48,2
1560423390,112,48
1560424547,45,62
1560425760,71,73
1560426988,85,11
1560428140,92,35
1560429650,78,62
1560430599,79,0
1560431753,78,74
1560432519,57,0
1560435269,206,162
1560436949,108,90
1560438589,58,48
1560439861,46,45
1560441182,91,0
1560442467,57,58
1560443793,61,63
1560444935,45,21
1560446139,96,20
1560446917,56,1
1560449445,149,145
1560450931,128,62
1560453048,154,82
1560454962,79,73
1560455810,35,0
1560456870,40,37
1560457723,58,0
1560460172,213,76
1560461747,100,26
1560463634,155,64
1560464074,24,0
1560465766,49,45
1560467438,0,14015
1560468861,14114,0
1560470198,69,0
1560471348,44,68
1560472116,41,0
1560473519,60,35
1560474641,86,34
1560475710,46,1
1560477352,74,89
1560478470,50,49
1560479330,41,1
1560480932,62,68
1560482069,62,30
1560483383,230,61
1560485443,96,33
1560487356,84,21
1560489284,96,34
1560490109,40,0
1560490959,36,87
1560491795,32,0
1560492871,42,42
1560494454,194,76
1560496244,90,52
1560498160,304,53
1560498988,126,2
1560500148,235,71
1560501331,375,51
1560502602,371,2
1560503725,0,16140
1560504940,16685,0
1560506104,394,18
1560507345,375,27
1560510881,1011,164
1560512687,506,54
1560514233,524,36
1560515468,366,86
1560517009,348,36
1560518146,277,53
1560519338,183,57
1560520534,84,0
1560521750,89,82
1560522557,56,1
1560523841,72,95
1560525044,88,78
1560525252,0,20271
1560527709,20314,0
1560528875,76,47
1560530563,65,131
1560532235,75,92
1560534156,95,86
1560535000,34,0
1560536068,57,116
1560537748,94,84
1560539444,71,61
1560541239,86,81
1560542187,63,0
1560543268,47,63
1560544108,32,0
1560544933,0,20348
1560545806,20270,0
1560546944,29,99
1560547711,25,1
1560548565,35,54
1560550468,0,20205
1560552150,19768,0
1560553002,38,0
1560554149,58,410
1560555661,74,97
1560557441,77,71
1560558936,58,81
1560560130,45,27
1560561303,43,24
1560562949,80,80
1560563792,34,0
1560564870,34,27
1560566551,49,87
1560567390,33,1
1560568477,70,56
1560570048,67,76
1560571843,68,59
1560573749,98,105
1560575442,49,69
1560577355,80,74
1560578207,47,0
1560579336,64,45
1560580108,27,0
1560581797,64,111
1560583247,59,41
1560584745,100,96
1560586250,81,53
1560587467,65,108
1560589553,92,136
1560591024,64,85
1560591759,35,0
1560592590,45,0
1560594517,99,115
1560595351,54,107
1560597280,71,63
1560598108,39,0
1560598950,60,170
1560600646,112,97
1560602130,0,19430
1560604471,19399,0
1560606344,81,164
1560606999,29,0
1560608152,37,36
1560609764,60,76
1560611669,80,104
1560613359,75,82
1560614204,46,1
1560615348,49,53
1560617139,93,142
1560618636,92,57
1560620728,71,125
1560622468,59,176
1560623322,30,0
1560625843,107,171
1560627763,71,81
1560629444,53,152
1560630199,27,0
1560631349,42,168
1560632195,58,0
1560633354,51,105
1560634109,40,0
1560634954,32,94
1560636641,50,38
1560638565,78,104
1560640472,64,99
1560642046,61,91
1560643836,74,66
1560644920,42,1
1560646537,68,83
1560647703,58,96
1560649356,54,115
1560650188,25,0
1560651275,49,52
1560652561,85,227
1560654646,71,91
1560654878,15,0
1560656563,69,69
1560658245,58,77
1560660168,72,112
1560661496,55,46
1560662729,66,0
1560663946,107,216
1560665467,92,60
1560667547,139,83
1560669039,63,233
1560670959,105,360
1560672388,53,254
1560673552,79,0
1560674703,0,18074
1560676467,17538,0
1560678152,84,386
1560679004,13,0
1560680067,55,571
1560681292,49,586
1560683440,88,708
1560684514,52,1
1560685846,43,999
1560687004,0,14671
1560688523,13692,0
1560689803,62,0
1560690953,51,136
1560691709,41,0
1560693029,39,147
1560694239,30,74
1560695475,48,144
1560696928,56,0
1560698074,0,13518
1560700600,13406,0
1560701667,39,58
1560703363,89,119
1560705040,85,63
1560706653,61,119
1560708290,68,100
1560708889,19,0
1560710045,59,63
1560711333,62,39
1560711398,6,0
1560712545,59,80
1560714345,88,98
1560715845,67,56
1560717752,53,59
1560719444,65,103
1560722196,95,84
1560723345,33,64
1560725788,78,77
1560726950,29,97
1560728474,47,89
1560729400,25,0
1560730469,22,54
1560731745,42,71
1560732931,37,47
1560734076,34,54
1560735345,49,80
1560736592,30,0
1560737753,25,66
1560739367,43,123
1560741044,38,61
1560742953,36,134
1560744649,50,44
1560746568,57,71
1560747391,15,0
1560748507,0,12838
1560749707,12675,0
1560750967,0,12675
1560752145,12662,0
1560753755,32,99
1560755674,82,141
1560756502,0,12536
1560758128,12568,0
1560759269,74,86
1560760118,60,0
1560760966,51,93
1560762887,150,89
1560764555,203,92
1560766468,150,99
1560768162,125,101
1560769845,103,160
1560771763,80,145
1560773668,174,93
1560775364,109,91
1560776183,0,12798
1560777344,12827,0
1560778611,106,86
1560779867,106,39
1560780871,61,54
1560781707,73,1
1560783132,95,137
1560784538,106,93
1560786156,65,93
1560787668,83,136
1560789099,0,12883
1560789764,12943,0
1560791668,109,57
1560792517,63,1
1560794130,185,98
1560795344,77,51
1560796119,73,1
1560797709,0,13242
1560799709,13256,0
1560801388,90,83
1560802468,63,104
1560803315,60,1
1560804693,118,80
1560805840,77,52
1560806925,128,0
1560807760,46,97
1560809440,85,32
1560811349,87,107
1560813045,84,51
1560814930,0,13487
1560816641,13586,0
1560818563,102,79
1560819827,77,59
1560821348,89,1
1560823005,86,143
1560824081,78,43
1560825945,116,95
1560826590,58,0
1560827752,53,44
1560829353,110,58
1560831270,74,85
1560832955,107,164
1560833795,45,0
1560834935,117,82
1560835716,69,0
1560836565,44,156
1560838262,59,62
1560840146,0,13799
1560841787,13813,0
1560843748,99,171
1560845264,61,97
1560847367,115,130
1560849282,88,39
1560850567,57,81
1560852875,130,87
1560853708,58,0
1560854569,70,120
1560855388,62,1
1560856547,72,60
1560859827,0,13839
1560861763,13738,0
1560862588,44,0
1560863675,55,57
1560865362,0,13780
1560868387,13794,0
1560868964,31,23
1560869793,46,0
1560870958,41,45
1560872467,46,120
1560874467,126,65
1560875320,42,2
1560876158,49,108
1560876988,29,0
1560878143,59,56
1560879759,67,74
1560880590,64,0
1560881684,87,113
1560883365,113,87
1560884672,66,103
1560886031,104,0
1560887740,97,82
1560888870,44,52
1560890130,37,80
1560892246,110,71
1560893322,57,1
1560894633,70,91
1560895843,61,34
1560897770,97,49
1560899450,114,51
1560899673,18,0
1560901350,68,37
1560903047,80,72
1560905152,87,82
1560906884,78,26
1560908562,94,75
1560910247,65,28
1560911313,34,1
1560913020,80,40
1560914088,59,46
1560915532,62,56
1560917452,77,36
1560918876,37,43
1560920866,82,47
1560923519,93,22
1560924886,68,46
1560926451,52,106
1560928471,82,79
1560929754,54,121
1560930934,63,39
1560932920,102,97
1560933751,17,127
1560934594,33,6
1560935747,58,219
1560936957,63,103
1560939349,150,125
