DateTime,Entries,UniqueIPs
1560246333,20157,20157
1560247479,20140,20140
1560249756,20131,20131
1560251678,20124,20124
1560253367,20095,20095
1560255035,20112,20112
1560256109,20161,20161
1560257801,20093,20093
1560258878,20068,20068
1560260452,20061,20061
1560261697,20042,20042
1560262847,20097,20097
1560264348,20100,20100
1560266080,20096,20096
1560266923,20120,20120
1560268440,20099,20099
1560269744,20114,20114
1560270522,20130,20130
1560271366,20127,20127
1560272197,20154,20154
1560273268,20107,20107
1560274532,20067,20067
1560276004,20015,20015
1560277244,20037,20037
1560278742,20030,20030
1560279388,20071,20071
1560280548,20053,20053
1560282150,20029,20029
1560283311,20040,20040
1560284919,20082,20082
1560287674,20008,20008
1560288946,19987,19987
1560291272,19971,19971
1560293728,19992,19992
1560294949,19976,19976
1560296314,19980,19980
1560297401,19987,19987
1560298542,19982,19982
1560300150,8223,8223
1560301553,20012,20012
1560302744,20027,20027
1560303934,19958,19958
1560305448,19988,19988
1560307354,20025,20025
1560308189,20059,20059
1560309273,20029,20029
1560310110,20061,20061
1560312647,20072,20072
1560314556,20054,20054
1560316478,20054,20054
1560318149,20058,20058
1560319766,20085,20085
1560321750,20044,20044
1560323686,20067,20067
1560324509,20089,20089
1560325749,20058,20058
1560326875,20029,20029
1560328116,20073,20073
1560328959,20030,20030
1560330349,20056,20056
1560331516,8223,8223
1560332564,20046,20046
1560334468,20073,20073
1560335320,20083,20083
1560336922,20025,20025
1560338079,19999,19999
1560339276,19973,19973
1560340430,20041,20041
1560341616,20045,20045
1560342520,20060,20060
1560344205,19994,19994
1560345340,19990,19990
1560346107,20028,20028
1560347399,19999,19999
1560348886,20004,20004
1560350564,19943,19943
1560351397,19973,19973
1560352547,19965,19965
1560353744,19953,19953
1560355005,20022,20022
1560356118,8223,8223
1560357647,20025,20025
1560358986,20009,20009
1560360720,20052,20052
1560361841,20087,20087
1560363039,20090,20090
1560364955,20124,20124
1560366868,20166,20166
1560368584,20142,20142
1560370481,20199,20199
1560372043,20200,20200
1560373557,20233,20233
1560374909,20343,20343
1560375768,20367,20367
1560378509,20469,20469
1560380104,8223,8223
1560382605,20506,20506
1560383794,8223,8223
1560384945,20604,20604
1560385719,20622,20622
1560387342,20645,20645
1560388545,20651,20651
1560390230,20677,20677
1560390988,20702,20702
1560392144,20682,20682
1560393338,20657,20657
1560395226,20616,20616
1560395677,20635,20635
1560396936,20648,20648
1560398215,20678,20678
1560399343,20681,20681
1560400950,20614,20614
1560401791,20637,20637
1560402959,20656,20656
1560403720,20691,20691
1560405404,20705,20705
1560406550,8223,8223
1560408030,20683,20683
1560409847,20655,20655
1560410076,20669,20669
1560410912,20717,20717
1560411758,20686,20686
1560412600,20709,20709
1560413750,20708,20708
1560415281,20706,20706
1560416197,20744,20744
1560417286,20767,20767
1560418394,20815,20815
1560419628,20911,20911
1560420887,20970,20970
1560421720,21016,21016
1560423390,21080,21080
1560424547,21063,21063
1560425760,21061,21061
1560426988,21135,21135
1560428140,21192,21192
1560429650,21208,21208
1560430599,21287,21287
1560431753,21291,21291
1560432519,21348,21348
1560435269,21392,21392
1560436949,21410,21410
1560438589,21420,21420
1560439861,21421,21421
1560441182,21512,21512
1560442467,21511,21511
1560443793,21509,21509
1560444935,21533,21533
1560446139,21609,21609
1560446917,21664,21664
1560449445,21668,21668
1560450931,21734,21734
1560453048,21806,21806
1560454962,21812,21812
1560455810,21847,21847
1560456870,21850,21850
1560457723,21908,21908
1560460172,22045,22045
1560461747,22119,22119
1560463634,22210,22210
1560464074,22234,22234
1560465766,22238,22238
1560467438,8223,8223
1560468861,22337,22337
1560470198,22406,22406
1560471348,22382,22382
1560472116,22423,22423
1560473519,22448,22448
1560474641,22500,22500
1560475710,22545,22545
1560477352,22530,22530
1560478470,22531,22531
1560479330,22571,22571
1560480932,22565,22565
1560482069,22597,22597
1560483383,22766,22766
1560485443,22829,22829
