DateTime,AddedIPs,RemovedIPs
1560195672,7,4
1560197684,6,3
1560199363,3,6
1560200202,6,2
1560201358,2,1
1560202870,7,3
1560205547,10,10
1560207968,7,2
1560209341,2,7
1560210177,2,2
1560211843,5,4
1560213774,4,6
1560215631,4,6
1560216529,4,2
1560217378,3,9
1560219071,3,5
1560220392,7,4
1560222472,6,9
1560224919,3,11
1560226522,1,1
1560227323,2,3
1560229003,5,1
1560230156,1,3
1560231781,3,1
1560233700,3,4
1560235557,5,5
1560236801,0,2
1560240660,12,9
1560243359,4,8
1560244569,1,4
1560246347,4,6
1560247839,3,5
1560249772,5,4
1560251697,3,3
1560253382,0,2
1560255050,5,1
1560256123,1,3
1560257828,2,7
1560258891,4,3
1560260473,3,2
1560261733,4,3
1560262867,2,2
1560264368,8,4
1560266094,9,5
1560266938,4,3
1560268472,7,2
1560269758,5,5
1560270536,4,3
1560271398,5,1
1560272211,2,1
1560273283,4,3
1560274547,3,2
1560276277,2,3
1560277669,3,2
1560279404,6,2
1560280573,1,5
1560282172,8,4
1560283338,4,1
1560284934,5,2
1560287688,6,6
1560288967,4,6
1560291287,11,3
1560293747,5,8
1560294965,0,3
1560296349,1,2
1560297415,7,2
1560298564,3,2
1560300164,4,3
1560301573,1,3
1560302760,4,2
1560303953,5,2
1560305470,4,3
1560307369,5,4
1560308204,5,0
1560309293,4,5
1560310123,3,3
1560312910,7,4
1560314570,1,6
1560316496,5,1
1560318164,5,2
1560319792,4,2
1560321764,9,7
1560323715,9,7
1560324526,3,3
1560325765,0,6
1560326898,2,5
1560328130,3,2
1560328974,1,8
1560330383,1,2
1560331538,3,2
1560332578,2,4
1560334482,4,2
1560335334,0,2
1560336950,4,5
1560338093,4,5
1560339307,2,6
1560340445,4,2
1560341632,0,3
1560342534,2,0
1560344227,2,5
1560346122,5,0
1560347418,2,7
1560348900,4,1
1560350476,4,1
1560351411,5,1
1560352573,2,1
1560353760,2,4
1560355023,4,0
1560356138,2,1
1560357665,3,6
1560359018,6,1
1560360748,3,3
1560361860,1,6
1560363053,2,2
1560364968,7,2
1560366882,5,1
1560368615,1,5
1560370495,4,4
1560372057,4,3
1560373585,5,8
1560374923,3,3
1560375786,3,4
1560378523,9,5
1560380124,7,7
1560382656,3,7
1560383805,0,5
1560384974,1,1
1560385734,4,1
1560387359,2,3
1560388563,3,2
1560390252,1,3
1560391003,3,1
1560392164,3,1
1560393363,0,2
1560395266,5,7
1560395691,0,2
1560396951,4,2
1560398236,5,3
1560399363,0,2
1560400963,2,2
1560401809,1,1
1560402988,4,2
1560403736,3,1
1560405423,6,5
1560406562,1,0
1560408045,4,1
1560409862,7,3
1560410926,2,3
1560411774,0,2
1560412621,1,2
1560413765,3,2
1560415296,6,5
1560416221,1,0
1560417305,2,2
1560418473,2,4
1560419642,2,2
1560420909,3,3
1560421734,2,2
1560423404,3,5
1560424565,2,2
1560425793,3,4
1560427002,1,4
1560428155,0,2
1560429667,6,3
1560430621,5,3
1560432535,4,3
1560435283,9,8
1560436963,2,11
1560438611,4,0
1560439895,2,2
1560441198,4,5
1560442483,1,7
1560443808,0,3
1560444950,6,2
1560446159,1,5
1560446931,0,1
1560449460,5,3
1560450945,7,7
1560453068,4,4
1560454979,6,11
1560455825,4,0
1560456884,1,3
1560457737,2,2
1560460194,5,9
1560461766,3,2
1560463673,2,5
1560464089,0,1
1560465787,8,3
1560467455,6,6
1560468881,6,1
1560470213,2,2
1560472133,3,3
1560473535,2,7
1560474656,1,4
1560475724,1,1
1560477366,3,6
1560478483,3,3
1560479419,2,7
1560480947,2,3
1560482083,1,1
1560483420,3,2
1560485469,6,3
1560487371,5,4
1560489299,2,4
1560490123,1,5
1560490978,2,4
1560491810,3,0
1560492885,4,2
1560494469,4,7
1560496261,2,5
1560498175,4,1
1560499002,1,1
1560500174,5,2
1560501351,54,1
1560502617,3,5
1560503745,2,9
1560504958,0,5
1560506135,0,6
1560507363,0,5
1560510895,6,10
1560512703,3,6
1560514250,4,1
1560515493,3,4
1560517029,2,4
1560518164,1,7
1560519357,1,3
1560520548,3,2
1560522636,1,7
1560523859,3,2
1560525059,2,2
1560525273,0,1
1560527714,3,5
1560528889,1,2
1560530578,1,1
1560532265,3,5
1560534172,1,2
1560535015,0,1
1560536082,1,0
1560537762,2,5
1560539460,1,2
1560541245,0,5
1560542201,2,0
1560543282,1,3
1560544122,0,2
1560544957,1,4
1560545820,2,2
1560546975,1,0
1560547725,0,2
1560548579,3,2
1560552164,2,10
1560553021,2,3
1560555689,5,5
1560557455,0,2
1560558954,2,5
1560561331,0,3
1560562965,2,3
1560564885,3,2
1560566567,1,3
1560567406,2,2
1560568493,1,3
1560570062,3,1
1560571859,0,3
1560573764,2,2
1560575463,1,3
1560577369,1,2
1560578233,1,0
1560579355,0,3
1560580122,2,0
1560581817,0,2
1560583272,0,1
1560584764,0,4
1560586264,1,0
1560587490,2,2
1560589578,4,1
1560591052,1,1
1560591773,1,0
1560592604,2,2
1560594531,2,4
1560597061,1,2
1560598121,1,1
1560598964,0,1
1560600673,2,4
1560602143,2,3
1560604484,0,6
1560606362,0,3
1560608173,1,0
1560609782,3,1
1560611683,2,0
1560613374,3,1
1560614218,0,2
1560615391,2,1
1560617161,3,2
1560618651,0,2
1560620744,4,2
1560622482,562,2
1560623335,89,28
1560625858,33,19
1560627777,6,14
1560629460,34,16
1560630213,3,8
1560631363,2,13
1560632208,0,7
1560633372,2,19
1560634113,2,12
1560634968,1,9
1560636655,3,12
1560638584,0,16
1560640486,1,15
1560642061,3,10
1560643851,1,10
1560644935,5,15
1560646552,4,9
1560647740,1,9
1560649371,1,9
1560650203,2,4
1560651290,3,5
1560652575,3,8
1560654672,0,12
1560654893,1,0
1560656577,4,8
1560658259,1,10
1560660189,1,10
1560661822,0,11
1560663966,2,6
1560665479,0,4
1560667570,1,13
1560669053,3,3
1560670973,1,21
1560672422,1,5
1560673579,1,18
1560674729,2,3
1560676482,1,3
1560678166,3,8
1560680083,1,7
1560681317,1,3
1560683455,3,6
1560684529,1,6
1560685865,0,9
1560687024,0,3
1560688541,2,7
1560689820,2,4
1560691732,1,8
1560693043,0,3
1560694255,0,1
1560695512,1,3
1560696942,3,5
1560698082,2,6
1560699944,2,3
1560701681,0,4
1560703383,3,4
1560705057,2,2
1560706667,1,4
1560708626,0,2
1560710085,0,3
1560711348,0,5
1560711412,0,2
1560712565,0,6
1560714364,2,8
1560715859,4,4
1560717762,1,3
1560719462,1,14
1560722212,4,4
1560723361,0,2
1560725803,2,3
1560726970,0,2
1560728495,1,1
1560729422,2,2
1560730485,3,1
1560731769,2,3
1560732947,5,2
1560734093,2,0
1560735363,1,3
1560736609,2,3
1560737775,2,2
1560739383,0,6
1560741059,2,1
1560744676,2,3
1560746582,2,3
1560748527,0,1
1560749734,1,2
1560750980,0,3
1560752173,2,2
1560753769,1,3
1560755688,1,2
1560758142,2,2
1560759283,1,2
1560760137,1,1
1560760980,0,4
1560762902,2,0
1560764569,2,1
1560766484,0,2
1560768181,1,1
1560769864,1,3
1560771779,2,2
1560773683,4,1
1560777365,0,1
1560778628,1,0
1560780885,0,11
1560783147,6,8
1560784569,2,4
1560786170,2,7
1560787702,0,1
1560789145,1,1
1560791684,6,1
1560792534,1,4
1560794144,5,7
1560795362,5,3
1560796133,1,1
1560797713,3,5
1560798952,0,264
1560802486,2,1
1560803329,3,3
1560804708,1,5
1560805856,2,3
1560807774,4,4
1560809454,1,3
1560811363,4,2
1560813071,2,2
1560814954,5,1
1560816657,4,4
1560818580,1,4
1560819856,2,0
1560821424,1,1
1560823020,0,2
1560824098,1,0
1560825960,2,3
1560826605,1,0
1560827768,0,2
1560829369,2,0
1560831284,1,1
1560832969,4,1
1560833808,4,0
1560835730,2,1
1560836579,1,1
1560838282,3,1
1560840162,1,0
1560841818,3,2
1560843763,2,1
1560845279,2,0
1560847383,5,3
1560849302,3,3
1560852676,3,4
1560853722,1,1
1560854583,1,1
1560855402,1,0
1560856567,0,3
1560859835,1,4
1560861779,2,1
1560863689,1,0
1560865372,2,0
1560866643,1,4
1560868408,0,1
1560869807,2,1
1560870977,2,1
1560872485,0,3
1560874481,3,0
1560875334,2,2
1560876171,1,1
1560877001,0,1
1560878158,1,2
1560879774,2,2
1560880604,2,0
1560881698,0,1
1560883379,0,1
1560885025,2,1
1560887757,1,2
1560888885,0,1
1560890147,1,0
1560892260,5,2
1560893337,2,0
1560894649,2,3
1560895860,1,1
1560897791,2,1
1560899466,1,4
1560899691,0,1
1560901365,1,2
1560903063,4,1
1560905171,7,1
1560906905,1,3
1560908580,1,2
1560911332,3,1
1560913041,0,1
1560914125,1,0
1560915551,1,0
1560917732,1,3
1560919520,2,1
1560920893,0,1
1560923547,0,5
1560924904,3,2
1560926482,0,1
1560927418,1,1
1560929774,0,2
1560930949,1,0
1560932936,1,3
1560933767,1,0
1560934609,618,0
1560935779,24,26
1560936979,1,13
1560938225,0,8
1560939367,0,8
