DateTime,AddedIPs,RemovedIPs
1560222415,36,46
1560224888,55,47
1560226247,23,28
1560227302,25,1
1560228984,24,43
1560230122,22,30
1560231747,25,58
1560233673,31,28
1560235528,32,48
1560236734,17,25
1560240625,62,79
1560241703,21,5
1560243328,25,56
1560244534,18,33
1560246324,32,55
1560247458,22,23
1560249746,41,50
1560251666,81,54
1560253346,29,50
1560255029,34,31
1560256103,19,3
1560257789,41,58
1560258865,21,24
1560260433,43,37
1560261618,27,45
1560262832,40,5
1560264334,47,58
1560266071,50,35
1560266913,15,5
1560268435,34,52
1560269733,24,29
1560270509,16,4
1560271353,17,40
1560272186,13,3
1560273263,21,37
1560274525,41,29
1560275996,28,44
1560277231,30,8
1560278737,37,54
1560279382,20,3
1560280540,77,34
1560282145,43,40
1560283298,21,24
1560284906,38,2
1560287664,59,69
1560288934,24,32
1560291263,46,29
1560293723,46,31
1560294934,36,28
1560296304,31,48
1560297391,19,19
1560298528,23,21
1560301538,53,71
1560302732,22,3
1560303925,20,37
1560305431,25,28
1560307347,38,26
1560308184,16,5
1560309265,14,33
1560310104,20,6
1560312638,45,88
1560314547,32,40
1560316466,31,31
1560318144,38,61
1560319753,22,40
1560320911,26,6
1560321744,12,93
1560323670,30,36
1560324504,24,4
1560325740,27,34
1560326869,26,27
1560328106,24,5
1560328949,22,38
1560330342,17,13
1560332553,49,20
1560334463,39,84
1560335306,17,0
1560336910,30,132
1560338065,40,45
1560339271,25,46
1560340424,24,24
1560341606,28,34
1560342511,12,1
1560344193,36,66
1560345328,19,45
1560346102,14,8
1560347393,27,124
1560348872,33,68
1560350547,65,119
1560351387,47,2
1560352532,45,61
1560353732,48,57
1560354992,61,5
1560357633,85,108
1560358973,33,98
1560360713,63,105
1560361829,48,26
1560363028,30,27
1560364946,49,67
1560366863,50,47
1560368579,56,87
1560370471,48,32
1560372030,48,43
1560373532,38,61
1560374904,30,4
1560375751,23,44
1560378503,64,57
1560381325,67,98
1560382591,37,52
1560383785,31,13
1560384931,25,38
1560385709,19,4
1560387325,26,44
1560388535,29,42
1560390225,33,75
1560390983,14,4
1560392137,29,28
1560393328,29,41
1560395220,40,51
1560395668,18,2
1560396929,26,47
1560398208,29,7
1560399328,17,34
1560400944,36,62
1560401785,22,2
1560402946,24,32
1560403711,20,5
1560405391,46,57
1560406539,26,30
1560408024,36,38
1560409836,37,50
1560410067,5,3
1560410906,21,3
1560411747,18,46
1560412587,13,1
1560413733,17,28
1560415274,31,49
1560416186,26,2
1560417274,19,31
1560418389,23,42
1560419615,28,4
1560420873,22,36
1560421709,24,2
1560423384,32,44
1560424537,28,32
1560425754,28,53
1560426983,35,19
1560428130,23,32
1560429633,35,45
1560430586,19,8
1560431740,20,48
1560432509,26,1
1560435264,49,94
1560436944,34,52
1560438580,40,32
1560439851,29,42
1560441166,25,4
1560442462,31,33
1560443786,26,35
1560444925,26,20
1560446125,33,22
1560446912,15,0
1560449431,38,103
1560450925,33,101
1560453035,69,41
1560454948,44,55
1560455803,12,2
1560456865,15,37
1560457714,23,2
1560460160,57,90
1560461737,37,47
1560463628,34,43
1560464065,11,2
1560465754,35,54
1560467427,43,43
1560468840,36,40
1560470185,37,2
1560471335,23,36
1560472104,12,1
1560473513,21,44
1560474635,20,31
1560475704,31,1
1560477331,31,48
1560478464,24,37
1560479318,21,4
1560480925,32,43
1560482063,15,32
1560483376,24,45
1560485431,41,45
1560487346,35,52
1560489279,46,40
1560490103,23,2
1560490946,24,60
1560491785,16,2
1560492865,20,30
1560494440,32,53
1560496234,27,24
1560498150,29,42
1560498983,21,1
1560500134,20,39
1560501325,22,86
1560502592,35,7
1560504933,52,85
1560506098,23,7
1560507326,29,31
1560510874,69,92
1560512682,42,46
1560514227,36,32
1560515455,20,35
1560516994,36,12
1560518138,25,33
1560519327,17,38
1560520527,25,4
1560521736,36,60
1560522552,25,1
1560523828,44,68
1560527702,132,123
1560528865,23,41
1560530553,44,37
1560532225,36,55
1560534147,55,47
1560534990,26,2
1560536063,22,34
1560537743,43,52
1560539431,31,31
1560541234,37,56
1560542182,10,3
1560543263,17,32
1560544103,25,1
1560545794,35,57
1560546932,20,20
1560547705,14,1
1560548554,14,32
1560550462,43,34
1560552144,35,41
1560552990,19,1
1560554138,22,46
1560555656,27,60
1560557426,39,21
1560558929,35,32
1560560124,31,20
1560561292,22,25
1560562944,29,61
1560563787,8,1
1560564864,10,31
1560566546,31,53
1560567384,22,0
1560568467,20,57
1560570037,34,38
1560571837,42,38
1560573743,32,56
1560575430,21,30
1560577345,30,45
1560578190,18,3
1560579320,25,36
1560580103,15,2
1560581785,24,58
1560583231,25,35
1560584731,29,39
1560586239,26,24
1560587451,24,34
1560590431,63,50
1560591746,20,43
1560592585,15,3
1560594512,41,40
1560595346,17,57
1560597268,33,36
1560598103,17,2
1560598944,18,55
1560600629,28,29
1560602125,27,32
1560604462,48,36
1560606334,56,45
1560606986,7,1
1560608142,11,30
1560609749,23,39
1560611663,35,42
1560613346,27,50
1560614193,17,3
1560615333,19,25
1560617124,54,46
1560618626,33,22
1560620723,45,32
1560622463,37,388
1560623312,40,49
1560625833,66,114
1560627753,50,32
1560629430,45,101
1560630194,17,3
1560632185,47,44
1560633344,39,29
1560634103,19,3
1560634949,20,43
1560636636,44,30
1560638553,45,34
1560640463,70,48
1560642040,35,46
1560643827,41,23
1560644910,60,3
1560646525,38,44
1560647697,32,55
1560649346,46,44
1560650183,18,0
1560651266,22,31
1560652549,27,30
1560654634,44,35
1560654864,5,0
1560656553,37,48
1560658236,39,47
1560660154,44,65
1560661485,26,28
1560662724,26,1
1560663932,20,45
1560665451,39,22
1560667535,70,43
1560669029,29,38
1560670950,59,56
1560672376,32,32
1560673546,55,4
1560676231,45,83
1560676462,3,0
1560678147,46,44
1560678994,20,6
1560680062,26,35
1560681282,16,37
1560683431,79,33
1560684504,45,2
1560685832,36,38
1560688518,72,59
1560689785,31,4
1560690940,25,36
1560691704,17,2
1560693023,20,55
1560694230,20,34
1560695460,28,37
1560696923,36,0
1560698074,31,42
1560700589,39,40
1560701662,15,24
1560703351,27,62
1560705026,28,37
1560706647,22,38
1560708275,23,37
1560708876,13,1
1560710029,27,42
1560711323,58,6
1560711385,10,0
1560712530,94,16
1560714333,72,49
1560715836,38,28
1560717746,55,29
1560719431,106,37
1560722187,67,37
1560723334,29,27
1560725783,59,30
1560726935,29,33
1560728467,32,53
1560729387,15,2
1560730464,25,26
1560731729,27,30
1560732924,28,17
1560734066,22,20
1560735335,21,33
1560736586,30,1
1560737738,18,40
1560739357,21,45
1560741034,31,31
1560742947,36,41
1560744639,45,25
1560746558,27,19
1560747385,19,0
1560749696,44,58
1560752129,46,37
1560753747,32,28
1560755669,31,30
1560758123,44,26
1560759263,15,38
1560760105,9,0
1560760956,20,40
1560762871,34,25
1560764549,31,30
1560766462,26,34
1560768147,33,24
1560769840,42,39
1560771753,47,33
1560773663,28,20
1560775354,25,27
1560777329,18,28
1560778601,19,21
1560779862,29,8
1560780864,266,27
1560781702,106,5
1560783126,51,35
1560784523,58,15
1560786146,310,29
1560787661,45,38
1560789750,55,41
1560791663,38,22
1560792506,43,0
1560794124,103,42
1560795333,66,27
1560796105,41,0
1560797705,128,46
1560798933,55,20
1560799703,30,1
1560801382,82,35
1560802463,32,32
1560803305,31,3
1560804687,48,30
