DateTime,Entries,UniqueIPs
1560222415,9118,9118
1560224888,9126,9126
1560226247,9121,9121
1560227302,9145,9145
1560228984,9126,9126
1560230122,9118,9118
1560231747,9085,9085
1560233673,9088,9088
1560235528,9072,9072
1560236734,9064,9064
1560240625,9047,9047
1560241703,9063,9063
1560243328,9032,9032
1560244534,9017,9017
1560246324,8994,8994
1560247458,8993,8993
1560249746,8984,8984
1560251666,9011,9011
1560253346,8990,8990
1560255029,8993,8993
1560256103,9009,9009
1560257789,8992,8992
1560258865,8989,8989
1560260433,8995,8995
1560261618,8977,8977
1560262832,9012,9012
1560264334,9001,9001
1560266071,9016,9016
1560266913,9026,9026
1560268435,9008,9008
1560269733,9003,9003
1560270509,9015,9015
1560271353,8992,8992
1560272186,9002,9002
1560273263,8986,8986
1560274525,8998,8998
1560275996,8982,8982
1560277231,9004,9004
1560278737,8987,8987
1560279382,9004,9004
1560280540,9047,9047
1560282145,9050,9050
1560283298,9047,9047
1560284906,9083,9083
1560287664,9073,9073
1560288934,9065,9065
1560291263,9082,9082
1560293723,9097,9097
1560294934,9105,9105
1560296304,9088,9088
1560297391,9088,9088
1560298528,9090,9090
1560301538,9072,9072
1560302732,9091,9091
1560303925,9074,9074
1560305431,9071,9071
1560307347,9083,9083
1560308184,9094,9094
1560309265,9075,9075
1560310104,9089,9089
1560312638,9046,9046
1560314547,9038,9038
1560316466,9038,9038
1560318144,9015,9015
1560319753,8997,8997
1560320911,9017,9017
1560321744,8936,8936
1560323670,8930,8930
1560324504,8950,8950
1560325740,8943,8943
1560326869,8942,8942
1560328106,8961,8961
1560328949,8945,8945
1560330342,8949,8949
1560332553,8978,8978
1560334463,8933,8933
1560335306,8950,8950
1560336910,8848,8848
1560338065,8843,8843
1560339271,8822,8822
1560340424,8822,8822
1560341606,8816,8816
1560342511,8827,8827
1560344193,8797,8797
1560345328,8771,8771
1560346102,8777,8777
1560347393,8680,8680
1560348872,8645,8645
1560350547,8591,8591
1560351387,8636,8636
1560352532,8620,8620
1560353732,8611,8611
1560354992,8667,8667
1560357633,8644,8644
1560358973,8579,8579
1560360713,8537,8537
1560361829,8559,8559
1560363028,8562,8562
1560364946,8544,8544
1560366863,8547,8547
1560368579,8516,8516
1560370471,8532,8532
1560372030,8537,8537
1560373532,8514,8514
1560374904,8540,8540
1560375751,8519,8519
1560378503,8526,8526
1560381325,8495,8495
1560382591,8480,8480
1560383785,8498,8498
1560384931,8485,8485
1560385709,8500,8500
1560387325,8482,8482
1560388535,8469,8469
1560390225,8427,8427
1560390983,8437,8437
1560392137,8438,8438
1560393328,8426,8426
1560395220,8415,8415
1560395668,8431,8431
1560396929,8410,8410
1560398208,8432,8432
1560399328,8415,8415
1560400944,8389,8389
1560401785,8409,8409
1560402946,8401,8401
1560403711,8416,8416
1560405391,8405,8405
1560406539,8401,8401
1560408024,8399,8399
1560409836,8386,8386
1560410067,8388,8388
1560410906,8406,8406
1560411747,8378,8378
1560412587,8390,8390
1560413733,8379,8379
1560415274,8361,8361
1560416186,8385,8385
1560417274,8373,8373
1560418389,8354,8354
1560419615,8378,8378
1560420873,8364,8364
1560421709,8386,8386
1560423384,8374,8374
1560424537,8370,8370
1560425754,8345,8345
1560426983,8361,8361
1560428130,8352,8352
1560429633,8342,8342
1560430586,8353,8353
1560431740,8325,8325
1560432509,8350,8350
1560435264,8305,8305
1560436944,8287,8287
1560438580,8295,8295
1560439851,8282,8282
1560441166,8303,8303
1560442462,8301,8301
1560443786,8292,8292
1560444925,8298,8298
1560446125,8309,8309
1560446912,8324,8324
1560449431,8259,8259
1560450925,8191,8191
1560453035,8219,8219
1560454948,8208,8208
1560455803,8218,8218
1560456865,8196,8196
1560457714,8217,8217
1560460160,8184,8184
1560461737,8174,8174
1560463628,8165,8165
1560464065,8174,8174
1560465754,8155,8155
1560467427,8155,8155
1560468840,8151,8151
1560470185,8186,8186
1560471335,8173,8173
1560472104,8184,8184
1560473513,8161,8161
1560474635,8150,8150
1560475704,8180,8180
1560477331,8163,8163
1560478464,8150,8150
1560479318,8167,8167
1560480925,8156,8156
1560482063,8139,8139
1560483376,8118,8118
1560485431,8114,8114
1560487346,8097,8097
1560489279,8103,8103
1560490103,8124,8124
1560490946,8088,8088
1560491785,8102,8102
1560492865,8092,8092
1560494440,8071,8071
1560496234,8074,8074
1560498150,8061,8061
1560498983,8081,8081
1560500134,8062,8062
1560501325,7998,7998
1560502592,8026,8026
1560504933,7993,7993
1560506098,8009,8009
1560507326,8007,8007
1560510874,7984,7984
1560512682,7980,7980
1560514227,7984,7984
1560515455,7969,7969
1560516994,7993,7993
1560518138,7985,7985
1560519327,7964,7964
1560520527,7985,7985
1560521736,7961,7961
1560522552,7985,7985
1560523828,7961,7961
1560527702,7970,7970
1560528865,7952,7952
1560530553,7959,7959
1560532225,7940,7940
1560534147,7948,7948
1560534990,7972,7972
1560536063,7960,7960
1560537743,7951,7951
1560539431,7951,7951
1560541234,7932,7932
1560542182,7939,7939
1560543263,7924,7924
1560544103,7948,7948
1560545794,7926,7926
1560546932,7926,7926
1560547705,7939,7939
1560548554,7921,7921
1560550462,7930,7930
1560552144,7924,7924
1560552990,7942,7942
1560554138,7918,7918
1560555656,7885,7885
1560557426,7903,7903
1560558929,7906,7906
1560560124,7917,7917
1560561292,7914,7914
1560562944,7882,7882
1560563787,7889,7889
1560564864,7868,7868
1560566546,7846,7846
1560567384,7868,7868
1560568467,7831,7831
1560570037,7827,7827
1560571837,7831,7831
1560573743,7807,7807
1560575430,7798,7798
1560577345,7783,7783
1560578190,7798,7798
1560579320,7787,7787
1560580103,7800,7800
1560581785,7766,7766
1560583231,7756,7756
1560584731,7746,7746
1560586239,7748,7748
1560587451,7738,7738
1560590431,7751,7751
1560591746,7728,7728
1560592585,7740,7740
1560594512,7741,7741
1560595346,7701,7701
1560597268,7698,7698
1560598103,7713,7713
1560598944,7676,7676
1560600629,7675,7675
1560602125,7670,7670
1560604462,7682,7682
1560606334,7693,7693
1560606986,7699,7699
1560608142,7680,7680
1560609749,7664,7664
1560611663,7657,7657
1560613346,7634,7634
1560614193,7648,7648
1560615333,7642,7642
1560617124,7650,7650
1560618626,7661,7661
1560620723,7674,7674
1560622463,7323,7323
1560623312,7314,7314
1560625833,7266,7266
1560627753,7284,7284
1560629430,7228,7228
1560630194,7242,7242
1560632185,7245,7245
1560633344,7255,7255
1560634103,7271,7271
1560634949,7248,7248
1560636636,7262,7262
1560638553,7273,7273
1560640463,7295,7295
1560642040,7284,7284
1560643827,7302,7302
1560644910,7359,7359
1560646525,7353,7353
1560647697,7330,7330
1560649346,7332,7332
1560650183,7350,7350
1560651266,7341,7341
1560652549,7338,7338
1560654634,7347,7347
1560654864,7352,7352
1560656553,7341,7341
1560658236,7333,7333
1560660154,7312,7312
1560661485,7310,7310
1560662724,7335,7335
1560663932,7310,7310
1560665451,7327,7327
1560667535,7354,7354
1560669029,7345,7345
1560670950,7348,7348
1560672376,7348,7348
1560673546,7399,7399
1560676231,7361,7361
1560676462,7364,7364
1560678147,7366,7366
1560678994,7380,7380
1560680062,7371,7371
1560681282,7350,7350
1560683431,7396,7396
1560684504,7439,7439
