DateTime,AddedIPs,RemovedIPs
1559824575,1,0
1559825959,1,2
1559827736,1,0
1559829788,1,1
1559838060,1,2
1559844888,1,3
1559847413,0,1
1559848566,0,1
1559849857,1,1
1559854618,0,1
1559858217,0,1
1559859303,0,2
1559860498,1,0
1559861997,0,1
1559863266,1,0
1559865093,1,0
1559868194,1,1
1559870087,1,0
1559871674,1,0
1559876158,1,1
1559882922,0,1
1559884303,1,0
1559887020,1,0
1559888146,1,0
1559889781,0,12
1559891765,1,0
1559893315,0,1
1559895325,1,1
1559896211,1,3
1559902118,2,1
1559906637,2,0
1559908134,1,2
1559910784,0,1
1559912814,1,1
1559914544,0,1
1559915721,1,0
1559916889,0,1
1559917805,0,1
1559918569,1,0
1559919856,0,3
1559924160,1,0
1559927459,1,1
1559929377,0,1
1559931071,2,1
1559934887,0,2
1559939767,0,2
1559940994,1,0
1559942165,0,1
1559945743,1,0
1559947043,1,2
1559948802,2,0
1559949288,1,0
1559950573,1,0
1559953913,1,1
1559956487,1,0
1559958186,0,1
1559961792,0,1
1559963703,0,1
1559967062,1,1
1559968994,1,3
1559970916,0,3
1559972591,0,1
1559974275,0,2
1559975646,0,1
1559977608,0,1
1559979101,0,1
1559981690,1,0
1559983369,0,1
1559987006,2,2
1559990578,0,3
1559992489,1,1
1559996086,1,1
1559999162,3,1
1560000365,1,0
1560001562,1,2
1560003055,1,0
1560004967,0,1
1560008765,1,0
1560015965,0,1
1560021295,1,1
1560022136,8,0
1560022985,1,0
1560026608,1,0
1560029334,1,1
1560030948,0,1
1560032927,3,0
1560034570,5,1
1560035780,0,1
1560037388,0,4
1560039306,3,0
1560041984,2,0
1560044676,3,2
1560056799,3,0
1560058128,1,0
1560058972,0,1
1560061548,1,0
1560063391,1,1
1560066192,0,1
1560067861,1,0
1560069380,1,1
1560071330,0,1
1560072704,1,0
1560074150,3,0
1560078391,0,1
1560079560,1,0
1560081420,1,2
1560083762,1,1
1560086148,3,2
1560087768,0,3
1560091375,1,0
1560094332,1,1
1560095500,0,1
1560096934,2,0
1560100541,1,1
1560109367,1,0
1560112971,0,1
1560116483,1,0
1560118526,1,1
1560120317,0,1
1560125695,0,1
1560128814,2,0
1560130208,0,2
1560132984,0,1
1560134593,1,0
1560136489,1,1
1560139653,0,1
1560141796,2,1
1560143689,0,1
1560144958,1,1
1560147050,1,1
1560148985,2,0
1560150886,0,1
1560157618,0,1
1560159778,0,1
1560161718,0,2
1560163388,0,2
1560164810,3,0
1560166131,3,0
1560167410,2,0
1560168665,0,1
1560170579,1,0
1560172511,1,1
1560175721,0,1
1560176087,2,0
1560179221,5,0
1560180538,2,0
1560181855,0,2
1560184976,1,0
1560188175,1,1
1560190575,0,2
1560191731,9,1
1560193194,6,0
1560195686,0,1
1560199370,2,2
1560200208,1,0
1560202878,1,1
1560204214,0,1
1560207990,1,5
1560209411,1,2
1560211857,1,0
1560217384,0,1
1560219089,3,0
1560220400,0,1
1560222544,2,1
1560224925,1,1
1560227329,1,0
1560229010,1,1
1560233709,1,1
1560240666,0,1
1560243366,0,2
1560244590,1,1
1560246353,0,2
1560249780,0,1
1560251703,3,3
1560253404,1,3
1560260479,1,1
1560261755,0,1
1560262881,3,0
1560264377,2,1
1560266101,2,0
1560268478,1,1
1560271421,0,3
1560273289,1,0
1560276294,1,1
1560279409,2,0
1560280592,1,1
1560282178,2,1
1560284940,1,0
1560287694,1,0
1560291293,2,0
1560293753,0,2
1560294985,2,0
1560296429,1,0
1560305488,3,0
1560310130,2,0
1560312932,1,5
1560314578,1,1
1560316504,1,1
1560318170,0,2
1560319799,0,1
1560321770,1,1
1560323724,1,0
1560324532,1,0
1560331545,1,0
1560332584,1,0
1560334488,0,4
1560336962,1,4
1560338099,0,1
1560339316,1,0
1560340452,1,0
1560341640,0,1
