DateTime,AddedIPs,RemovedIPs
1559555014,7,5
1559555733,8,9
1559556453,7,2
1559558133,29,17
1559558853,8,8
1559560053,25,7
1559560773,12,10
1559561974,53,18
1559562693,11,170
1559563894,20,13
1559564615,8,24
1559565333,11,17
1559566053,11,14
1559567253,10,33
1559567974,17,12
1559569653,13,14
1559570853,11,12
1559571573,8,5
1559572293,8,8
1559573493,15,9
1559574213,6,12
1559575414,12,13
1559577333,25,14
1559578053,6,4
1559578773,15,3
1559579494,5,10
1559582853,29,36
1559583573,6,5
1559584293,10,5
1559585014,1,10
1559585736,11,4
1559586454,14,4
1559587173,3,8
1559588854,12,19
1559589574,6,8
1559590294,9,11
1559591494,13,13
1559592214,9,8
1559592934,10,7
1559594854,51,18
1559595634,14,13
1559596773,12,9
1559597494,9,10
1559598693,12,6
1559601573,131,32
1559603254,12,19
1559604454,11,11
1559605174,3,9
1559607573,12,25
1559608293,7,14
1559609494,10,52
1559610213,4,8
1559611894,11,23
1559612613,4,1
1559613334,8,7
1559614053,7,4
1559615733,15,24
1559616453,5,5
1559618373,21,15
1559623175,55,57
1559623893,13,5
1559625093,14,11
1559626773,16,21
1559627493,5,11
1559628214,8,9
1559628933,50,6
1559629653,9,11
1559630853,12,12
1559635233,96,40
1559635893,13,9
1559637574,27,12
1559638293,16,8
1559639734,28,22
1559640933,22,14
1559642133,25,13
1559642854,13,10
1559643573,11,11
1559644293,11,15
1559645014,12,21
1559645734,8,8
1559646454,9,24
1559647173,12,13
1559647894,14,13
1559648613,9,33
1559651254,619,47
1559651973,8,10
1559652693,8,12
1559653894,23,18
1559654613,249,10
1559655333,7,6
1559656053,11,7
1559657733,18,19
1559658454,10,18
1559659174,8,12
1559662533,37,52
1559663253,10,8
1559664454,8,11
1559665174,9,17
1559666373,9,11
1559667093,8,7
1559668293,11,10
1559669014,7,10
1559669734,7,5
1559670454,6,8
1559671653,14,9
1559672374,15,12
1559673573,16,18
1559674293,7,8
1559675013,14,5
1559675734,14,5
1559676934,14,16
1559678853,16,24
1559679573,5,14
1559680773,15,37
1559681494,12,6
1559682693,8,20
1559683414,8,11
1559684853,15,15
1559685574,52,11
1559686773,13,104
1559687494,9,9
1559688693,11,6
1559689413,7,8
1559691094,20,23
1559691814,7,5
1559692533,9,8
1559693734,19,4
1559694454,11,9
1559695173,7,6
1559696853,12,13
1559697573,6,5
1559698773,10,9
1559699494,9,9
1559701413,19,19
1559702134,8,7
1559703333,8,9
1559704054,13,12
1559704773,8,11
1559705493,6,7
1559706693,22,12
1559707893,19,16
1559709094,10,18
1559712213,48,41
1559712934,7,7
1559714133,8,11
1559714854,4,8
1559715573,5,44
1559716293,7,8
1559718454,19,29
1559719174,6,18
1559719894,3,20
1559720613,8,12
1559721333,12,17
1559723974,19,50
1559724694,186,14
1559725413,6,12
1559726134,10,15
1559727334,11,25
1559728054,9,14
1559729254,13,21
1559729973,7,12
1559731173,11,19
1559731894,6,12
1559733093,21,13
1559733814,11,12
1559736454,32,85
1559737654,190,20
1559738854,11,14
1559739632,1,40565
1559740293,40567,0
1559741013,8,7
1559741974,7,12
1559742693,13,8
1559743414,12,8
1559744134,10,9
1559745334,10,14
1559746054,8,7
1559747253,15,14
1559747973,5,8
1559748694,6,9
1559749894,461,135
1559751573,670,21
1559752294,274,8
1559758534,1862,77
1560662613,5357,14249
1560663333,15,25
1560664053,16,26
1560665253,15,22
1560666454,17,26
1560667174,7,15
1560667893,7,25
1560669094,22,36
1560669814,13,22
1560670533,16,11
1560671254,12,37
1560672454,17,43
1560673173,12,18
1560673893,12,17
1560675094,25,25
1560675812,14,25
1560676534,8,30
1560677254,8,21
1560677974,15,21
1560678693,9,20
1560679893,21,45
1560680613,13,26
1560681813,17,22
1560683014,13,37
1560683734,5,33
1560684453,9,18
1560685653,9,34
1560687813,33,60
1560688533,7,13
1560690214,24,51
1560690933,18,20
1560691653,13,26
1560692373,13,17
1560693093,9,23
1560693812,12,19
1560694532,11,26
1560695253,12,28
1560695974,10,17
1560696693,9,21
1560698374,32,50
1560699094,6,26
1560699813,9,13
1560700534,7,21
1560701253,8,7
1560701974,8,31
1560703174,13,38
1560703893,9,31
1560705093,14,26
1560705813,5,24
1560706533,11,23
1560707254,10,28
1560708454,16,39
1560709174,11,21
1560709894,12,30
1560710613,12,15
1560711334,7,19
1560712053,10,27
1560712773,5,24
1560713974,12,31
1560714693,11,23
1560715414,8,26
1560716134,5,17
1560716854,5,24
1560717573,9,20
1560718294,6,29
1560719014,5,25
1560720214,13,45
1560720934,7,25
1560721653,3,27
1560722853,13,32
1560723573,7,24
1560724293,6,17
1560727174,52,97
1560727894,6,15
1560728613,16,23
1560729333,8,29
1560730774,23,57
1560731493,21,22
1560732694,24,43
1560733894,26,35
1560734613,10,21
1560735333,14,16
1560736532,22,37
1560737974,28,55
1560738693,9,14
1560739414,10,18
1560740133,17,31
1560740853,9,20
1560741573,20,15
1560742294,12,16
1560743014,10,23
1560743734,11,13
1560744453,13,7
1560745174,8,23
1560745894,5,15
1560747093,14,18
1560747813,15,8
1560748534,10,26
1560749253,14,17
1560749973,6,22
1560750693,12,21
1560752373,26,39
1560753093,9,26
1560754293,154,24
1560755014,19,22
1560755734,14,30
1560756693,33,41
1560757893,23,39
1560758614,16,17
1560759334,20,34
1560760053,18,23
1560760774,10,14
1560761493,16,31
1560762213,28,13
1560763413,35,42
1560764134,12,20
1560765334,28,40
1560766053,20,14
1560766773,17,31
1560767493,13,19
1560768214,10,21
1560768933,10,27
1560769654,11,18
1560770374,11,27
1560771094,11,29
1560771813,15,25
1560774452,47,104
1560775173,13,35
1560775893,11,23
1560777814,31,80
1560778534,9,24
1560779253,21,29
1560779973,4,38
1560781653,25,66
1560782374,9,33
1560783333,15,36
1560785494,34,87
1560786213,9,19
1560786933,9,23
1560789093,31,81
1560789814,9,30
1560790534,12,28
1560791253,6,11
1560791973,6,35
1560792694,13,12
1560793413,9,20
1560794133,11,28
1560794853,10,24
1560795574,15,20
1560796294,7,24
1560797014,8,30
1560797733,7,19
1560798453,9,32
1560799174,16,17
1560800373,13,52
1560801093,13,18
1560801813,7,17
1560802533,15,19
1560803253,14,16
1560803973,14,17
1560804693,5,25
1560805412,6,10
1560806134,15,18
1560807573,19,44
1560808294,8,16
1560809013,7,18
1560809734,6,14
1560810453,12,19
1560811174,4,21
1560811893,5,18
1560812853,23,37
1560813573,7,24
1560814294,10,13
1560815013,325,24
1560815734,6,13
1560816454,5,22
1560817173,7,20
1560817894,5,31
1560819093,23,38
1560819813,15,24
1560820533,14,33
1560821253,27,15
