DateTime,AddedIPs,RemovedIPs
1558261203,142,101
1558266963,138,123
1558271763,94,74
1558277525,164,113
1558283283,83,76
1558287123,158,136
1558292884,83,79
1558296723,94,100
1558300565,86,101
1558306322,135,210
1558314964,113,170
1558320723,136,178
1558326485,99,109
1558332243,155,156
1558339924,149,111
1558343763,83,83
1558351444,144,113
1558357221,142,110
1558364883,132,133
1558372563,169,129
1558378323,172,111
1558384084,90,89
1558387204,92,96
1558392963,139,225
1558399683,97,110
1558403522,100,170
1558409523,163,198
1558417203,89,74
1558419122,93,85
1558422963,91,71
1558426803,65,67
1558432563,88,65
1558434483,74,58
1558437363,70,79
1558441214,78,80
1558445045,93,67
1558451762,89,75
1558455603,141,122
1558461364,151,118
1558466163,86,101
1558470483,122,84
1558475283,142,189
1558480084,74,124
1558483925,97,115
1558491604,135,158
1558497363,144,199
1558503123,88,83
1558505043,86,81
1558510805,87,82
1558516563,156,123
1558522324,69,63
1558526165,120,90
1558532882,144,101
1558541765,127,127
1558550166,163,127
1558556163,175,137
1558560004,86,92
1558565765,85,121
1558567684,76,118
1558572483,109,210
1558578243,76,76
1558584021,149,188
1558589763,95,86
1558593843,93,78
1558595762,86,61
1558599603,79,71
1558605363,87,79
1558607523,122,118
1558613763,76,55
1558617602,74,57
1558623363,87,74
1558625284,69,67
1558629605,84,95
1558635363,164,110
1558643044,154,139
1558646884,146,173
1558652883,91,124
1558658643,86,117
1558664404,120,157
1558670164,137,200
1558675927,77,69
1558679763,159,124
1558687444,149,139
1558695123,142,106
1558703043,112,105
1558708803,134,118
1558716483,187,138
1558724164,142,132
1558729923,93,111
1558733763,113,87
1558738565,113,181
1558746243,135,174
1558752004,86,89
1558755844,76,102
1558761603,159,170
1558765443,92,77
1558769283,87,50
1558775283,133,120
1558779124,75,73
1558783203,99,62
1558788965,133,101
1558797843,138,116
1558801684,82,72
1558805523,76,74
1558807442,76,78
1558811282,85,89
1558815123,87,78
1558820882,110,156
1558826643,62,116
1558830482,96,99
1558834323,70,86
1558838162,82,98
1558842243,76,118
1558846083,155,165
1558853763,144,104
1558859522,87,63
1558863363,138,110
1558871283,147,131
1558878963,77,62
1558883763,86,64
1558885682,77,80
1558889522,137,109
1558898163,176,131
1558903923,143,176
1558912563,120,195
1558916403,108,123
1558924083,123,162
1558928883,80,107
1558930805,91,111
1558936563,154,146
1558943283,153,129
1558949043,106,70
1558955043,127,116
1558962963,128,96
1558967043,87,55
1558973764,86,77
1558975685,137,120
1558980963,108,84
1558989126,156,163
1558992965,178,181
1559000644,120,238
1559008565,68,98
1559013363,134,170
1559019363,157,150
1559027042,153,130
1559032803,73,68
1559034723,73,70
1559038563,73,76
1559042403,100,53
1559048163,125,117
1559052243,90,77
1559056084,103,76
1559062082,85,87
1559065923,162,127
1559073843,114,87
1559075763,151,155
1559083443,91,104
1559087283,70,138
1559089204,100,137
1559096884,119,157
1559102884,150,196
1559106723,82,72
1559112483,142,120
1559118243,93,68
1559122083,126,103
1559130722,66,67
1559136725,126,106
1559140563,151,117
1559150162,138,136
1559154002,117,84
1559159764,178,131
1559166724,129,167
1559172484,72,132
1559176323,93,99
1559180163,119,192
1559187845,172,191
1559193604,79,80
1559197443,92,81
1559203221,135,122
1559210883,133,121
1559216643,93,62
1559222403,138,107
1559228164,143,124
1559234163,124,120
1559243763,155,137
1559251444,165,149
1559258163,122,186
1559263924,127,177
1559271623,87,74
1559275445,72,122
1559277364,75,106
1559281204,153,115
1559288883,136,116
1559294644,84,83
1559298486,75,70
1559305203,133,89
1559312882,144,118
1559317923,128,129
1559323682,82,63
1559328483,144,145
1559338082,156,136
1559343364,86,96
1559348163,178,195
1559354164,158,183
1559361122,156,189
1559366883,79,80
1559369763,82,67
1559375525,164,117
1559381284,89,77
1559384163,94,76
1559388242,79,72
1559394021,155,118
1559397843,82,69
1559401682,92,81
1559407443,70,75
1559411282,73,68
1559415123,84,74
1559417044,70,105
1559421122,84,84
1559425202,90,92
1559429043,82,77
1559432882,134,199
1559440564,126,151
1559445363,78,103
1559453043,130,164
1559459764,136,101
1559465524,132,114
1559474163,154,98
1559478011,76,81
1559483763,86,69
1559485683,91,74
1559492403,139,120
1559496242,96,65
1559498164,82,106
1559506083,153,123
1559513763,148,184
1559519523,138,203
1559527443,112,157
1559531283,86,99
1559535124,82,101
1559538964,93,84
1559544963,87,61
1559548822,134,113
1559552883,82,72
1559558643,87,55
1559562482,86,86
1559564412,71,75
1559568242,84,73
1559574963,144,116
1559580723,176,131
1559588423,115,86
1559592242,165,163
1559596326,91,93
1559601124,92,114
1559604963,76,125
1559609043,91,127
1559610964,60,90
1559618644,160,183
1559624643,164,192
1559632324,145,122
1559638083,138,116
1559643843,68,65
1559647685,83,70
1559652482,126,113
1559658242,106,68
1559664964,121,121
1559670723,77,66
1559674563,152,133
1559680324,89,92
1559684404,93,100
1559686323,94,110
1559692085,155,199
1559700025,63,109
1559703843,150,185
1559707682,97,97
1559711763,70,78
1559715604,87,85
1559721364,146,112
1559728083,75,69
1559731922,130,93
1559740563,140,114
1559748243,148,122
1559754021,165,130
1559759763,89,93
1559763604,87,84
1559769605,161,173
1559773445,152,214
1559782082,135,191
1559789763,154,170
1559797683,150,184
1559801523,93,69
1559805362,90,65
1559813043,129,147
1559819043,142,95
1559826723,132,116
1559830563,90,71
1559836322,146,121
1559842084,80,87
1559844021,112,77
1559850006,165,156
1559856003,98,114
1559861763,82,107
1559863685,85,103
1559868245,142,175
1559874003,80,94
1559881683,136,178
1559887445,149,136
1559891284,94,60
1559895124,82,75
1559900883,84,70
1559906644,107,108
1559910485,124,105
1559919363,126,106
1559928003,160,136
1559931844,86,93
1559935684,79,100
1559941443,92,92
1559945284,137,158
1559952246,144,185
1559958004,60,84
1559961843,90,84
1559967843,135,173
1559973621,76,81
1559975523,80,69
1559981283,140,119
1559987283,83,63
1559993043,151,105
1559999763,123,109
1560003603,92,64
1560009362,134,131
1560017043,84,60
1560020884,121,116
1560026882,60,96
1560030723,133,140
1560039363,120,150
1560045123,120,149
1560053763,144,181
1560059764,123,133
1560066722,65,55
1560070563,121,98
1560079202,138,98
1560086883,137,119
1560090003,90,81
1560093842,130,106
1560103682,155,123
1560109443,132,131
1560115442,88,89
1560122163,110,170
1560127923,84,100
1560129843,42,88
1560133683,67,87
1560140404,150,171
1560144244,70,87
1560148083,87,74
1560151924,75,48
1560157684,135,113
1560163443,68,68
1560169212,159,94
1560174964,143,139
1560183603,150,131
1560187683,99,54
1560194642,141,140
1560198483,83,100
1560203283,154,179
1560210963,144,216
1560217684,110,163
1560223443,85,94
1560231123,142,169
1560234963,92,67
1560236885,70,58
1560244564,135,116
1560248403,63,67
1560254163,67,59
1560256085,84,53
1560258963,62,57
1560264722,143,122
1560270483,85,73
1560275286,86,83
1560281044,149,146
1560287764,159,185
1560295443,133,233
1560302171,150,192
1560307927,98,94
1560311765,96,125
1560313685,126,103
1560316564,91,81
1560324245,156,126
1560330964,123,127
1560336724,136,105
1560345367,148,98
1560351125,144,134
1560356884,99,87
1560360011,77,78
1560363848,101,92
1560367688,87,87
1560374404,159,136
1560379213,87,120
1560383046,64,124
1560386884,150,206
1560394569,88,76
1560396485,73,102
1560399367,90,89
1560405123,139,191
1560410885,189,88
1560419524,67,75
1560425286,137,101
1560430084,145,121
1560437765,140,124
1560442567,77,94
1560448564,116,74
1560453362,173,135
1560459123,78,79
1560464168,103,191
1560468963,191,236
1560474967,199,196
1560478807,72,87
1560482644,83,119
1560489364,147,179
1560495123,147,116
1560500886,83,61
1560507606,131,114
1560511685,61,57
1560516723,121,92
1560525607,132,116
1560529442,87,83
1560533282,156,143
1560542164,122,141
1560549123,143,148
1560556323,78,108
1560560163,137,159
1560564962,86,94
1560572646,135,192
1560579364,154,119
1560585124,76,59
1560587046,73,70
1560590887,99,60
1560597606,123,123
1560603363,96,61
1560608164,129,120
1560613923,124,125
1560619683,91,71
1560624483,80,81
1560628324,105,89
1560632167,75,83
1560634085,74,86
1560639124,75,96
1560642968,69,98
1560647762,132,179
1560651844,73,76
1560658563,147,181
1560664323,128,123
1560670084,62,48
1560672021,74,69
1560677763,154,96
1560685444,141,120
1560691204,87,81
1560696964,130,118
1560702724,80,72
1560708483,131,137
1560714243,163,130
1560721923,151,175
1560728163,84,123
1560730324,96,97
1560736083,58,102
1560741844,125,166
1560745683,81,100
1560749524,142,133
1560757210,96,57
1560761049,89,81
1560766804,136,121
1560772584,132,101
1560780243,159,124
1560787924,132,155
1560793683,188,136
1560803284,146,145
1560808082,141,199
1560813843,81,135
1560820564,144,175
1560824404,86,95
1560830164,165,206
1560839043,163,198
1560845764,216,112
1560851523,122,116
1560858243,79,81
1560860164,83,58
1560866163,84,79
1560870963,85,85
1560874804,140,123
1560878643,84,86
1560885363,164,161
1560889203,102,79
1560894964,107,102
1560899524,124,196
1560907203,127,191
1560913223,71,74
1560915124,88,105
1560918963,93,118
1560924724,169,137
1560930723,130,130
1560939363,128,105
