DateTime,AddedIPs,RemovedIPs
1559918414,31,32
1559920333,35,24
1559922254,27,19
1559926096,23,56
1559928017,25,30
1559929932,25,29
1559931855,24,26
1559933769,31,32
1559935688,27,0
1559937644,27,23
1559941467,25,47
1559943397,26,21
1559945307,19,29
1559947215,10,21
1559949136,31,23
1559952284,31,23
1559954175,20,26
1559956092,19,24
1559958014,25,23
1559959945,22,17
1559961858,29,15
1559963782,26,19
1559965939,26,27
1559967854,17,26
1559969783,26,30
1559971690,22,0
1559973632,22,31
1559975595,18,24
1559977459,25,31
1559979382,37,25
1559981305,23,30
1559983458,24,35
1559985373,8,0
1559987292,12,14
1559989223,36,26
1559991133,28,6
1559993055,30,6
1559995011,30,0
1559998831,37,0
1560000736,25,29
1560002901,37,73
1560004809,24,0
1560006732,29,23
1560008655,30,62
1560010571,23,0
1560012491,26,0
1560014415,30,18
1560016328,34,27
1560018249,26,22
1560020167,31,27
1560022089,29,58
1560024039,28,0
1560025939,24,23
1560027855,18,0
1560029768,17,24
1560031703,27,25
1560033615,23,22
1560035538,26,39
1560037452,20,0
1560039378,32,29
1560041291,18,16
1560043213,19,19
1560045129,23,26
1560047054,26,20
1560048968,16,23
1560050891,29,26
1560052851,41,21
1560054743,28,22
1560056651,26,25
1560058572,18,20
1560060493,23,23
1560062419,18,24
1560064333,22,28
1560070096,26,76
1560072025,18,8
1560073957,32,9
1560075852,27,32
1560077770,28,30
1560079696,22,23
1560081637,20,25
1560083536,23,0
1560085463,22,31
1560087372,23,22
1560089542,23,31
1560093641,13,46
1560095533,25,31
1560097465,28,24
1560099371,29,27
1560101295,30,27
1560103243,17,23
1560105140,24,33
1560108974,22,64
1560110893,28,22
1560112813,31,21
1560114738,32,19
1560116652,19,20
1560118826,22,26
1560120733,21,16
1560122910,23,23
1560124827,29,18
1560126735,21,31
1560128653,21,18
1560130817,25,21
1560132735,22,20
1560134653,26,28
1560136575,24,21
1560138493,34,30
1560140411,31,43
1560142330,35,24
1560144251,27,30
1560146168,22,26
1560148089,22,19
1560150030,25,20
1560151940,25,24
1560153857,27,0
1560157697,21,20
1560161535,8,49
1560163454,20,27
1560165378,17,28
1560167294,26,25
1560169235,31,24
1560171145,32,26
1560173056,20,27
1560174969,19,31
1560176888,26,29
1560178831,23,0
1560180733,29,17
1560182654,24,29
1560184570,14,24
1560186491,24,27
1560188410,25,31
1560190335,19,20
1560192251,18,27
1560194174,29,0
1560196344,19,20
1560198255,15,28
1560200170,20,30
1560202094,22,29
1560204028,19,23
1560205937,20,23
1560207855,26,33
1560210022,29,24
1560211936,23,31
1560213855,29,23
1560215778,23,27
1560217697,14,32
1560219611,22,24
1560221535,24,29
1560223455,25,22
1560225373,19,25
1560227292,33,35
1560229232,21,27
1560231138,23,23
1560233056,28,25
1560234971,24,27
1560236897,34,28
1560238814,27,22
1560240738,18,31
1560242656,22,0
1560244574,16,20
1560246496,7,0
1560248415,12,9
1560250336,25,25
1560252254,22,19
1560258030,32,85
1560259938,18,26
1560261882,14,25
1560263774,28,33
1560265696,21,26
1560267618,21,27
1560269537,26,24
1560271483,32,11
1560273382,25,27
1560275308,32,29
1560277232,28,14
1560279163,33,18
1560281063,35,26
1560282987,34,16
1560284902,28,14
1560286883,26,16
1560288743,34,24
1560290665,23,21
1560292573,33,15
1560294529,29,26
1560296412,22,0
1560298349,22,42
1560300255,25,0
1560302188,27,44
1560304106,21,14
1560306029,15,23
1560307940,32,17
1560309860,23,24
1560311775,33,16
1560313697,38,32
1560317543,27,52
1560319465,26,23
1560321385,19,22
1560323311,33,26
1560325228,31,31
1560327150,13,13
1560329065,25,17
1560330980,9,14
1560332919,22,9
1560334811,28,0
1560336747,18,31
1560338653,24,0
1560340589,23,21
1560342500,29,0
1560344441,17,27
1560346349,18,15
1560348266,24,0
1560350190,23,42
1560352102,24,25
1560354269,23,23
1560356420,23,24
1560358345,28,30
1560360259,28,35
1560362171,33,27
1560364101,25,27
1560366031,24,30
1560367938,33,36
1560369854,33,31
1560372027,34,26
1560373950,38,30
1560375855,33,36
1560379242,27,55
1560383068,28,62
1560384980,38,23
1560386901,40,25
1560388813,27,27
1560390741,22,24
1560392655,27,18
1560394580,28,28
1560396492,27,30
1560398457,25,32
1560400341,21,36
1560402258,21,0
1560404171,32,23
1560406351,22,23
1560408262,21,25
1560410179,29,27
1560412102,35,31
1560414023,23,12
1560415946,39,27
1560417874,23,12
1560419781,29,26
1560423628,26,61
1560425548,27,32
1560427463,26,22
1560429382,20,28
1560431292,26,17
1560433214,28,21
1560435142,26,31
1560437065,27,21
1560438978,26,26
1560440907,18,23
1560442813,20,0
1560444995,38,61
1560446902,24,27
1560448831,21,36
1560450736,27,29
1560452906,18,29
1560454812,23,33
1560456754,25,35
1560460580,27,70
1560462494,31,29
1560464412,25,0
1560466332,19,30
1560468255,27,0
1560470170,24,25
1560472098,25,39
1560474029,24,36
1560475941,35,21
1560477862,20,17
1560479784,24,25
1560481696,19,23
1560483616,25,30
1560485535,30,23
1560489377,34,48
1560491299,29,27
1560493228,39,29
1560495137,36,21
1560497062,24,25
1560498982,26,31
1560500905,31,21
1560502859,21,44
1560504748,51,20
1560506669,40,32
1560508576,32,0
1560510505,57,23
1560512418,43,18
1560514597,34,26
1560516742,22,21
1560518660,27,26
1560520571,26,27
1560522501,29,28
1560524441,24,25
1560526345,26,22
1560528254,23,16
1560530178,28,18
1560532099,29,38
1560534270,33,26
1560536430,32,22
1560538333,29,19
1560540263,28,23
1560542168,25,26
1560544093,32,17
1560546037,32,0
1560547945,28,27
1560549851,29,25
1560554182,32,42
1560556355,38,28
1560558254,22,26
1560560185,24,27
1560562095,29,28
1560564033,26,29
1560565943,26,23
1560569771,43,50
1560571699,20,23
1560573613,25,23
1560575541,41,0
1560579386,36,55
1560581305,27,34
1560583245,32,35
1560585148,32,23
1560587066,22,27
1560588971,39,33
1560590905,18,28
1560592856,35,46
1560594754,27,37
1560596654,31,33
1560598572,32,60
1560600501,38,41
1560602660,24,34
1560604574,27,24
1560608412,30,59
1560610343,28,31
1560612261,25,29
1560614172,19,26
1560616111,25,26
1560618017,30,29
1560619943,28,30
1560621862,23,33
1560623768,20,31
1560625691,21,32
1560627620,25,32
1560629543,25,20
1560631464,22,32
1560633375,19,35
1560635294,22,24
1560637211,16,30
1560639137,24,0
1560641057,28,25
1560642975,19,31
1560644895,19,25
1560646839,18,33
1560648744,23,29
1560650651,25,29
1560652571,21,27
1560654497,23,0
1560656413,24,29
1560658333,26,30
1560660257,24,19
1560662184,32,39
1560664118,27,0
1560666045,27,30
1560667969,23,28
1560669873,23,43
1560671768,28,32
1560673699,31,21
1560677537,25,50
1560679483,18,29
1560681397,27,27
1560683294,30,30
1560685237,21,23
1560687401,28,39
1560689319,30,21
1560691211,22,30
1560693155,31,0
1560695057,19,29
1560696970,30,23
1560698894,22,20
1560700834,21,19
1560702762,24,21
1560704683,13,32
1560706596,28,25
1560708519,22,16
1560710412,24,19
1560712334,36,15
1560714252,28,22
1560716194,29,23
1560718100,23,18
1560720008,24,16
1560721934,27,23
1560723849,25,19
1560726286,34,27
1560728174,34,20
1560730360,29,17
1560732274,27,16
1560734172,24,21
1560736120,18,26
1560738034,17,19
1560739950,31,23
1560741854,30,23
1560743793,24,27
1560745694,12,20
1560747633,27,21
1560749538,31,25
1560751482,36,27
1560753375,33,28
1560755293,31,29
1560757225,29,28
1560759148,28,26
1560761081,12,30
1560763001,15,0
1560764919,13,29
1560766851,36,18
1560768742,49,29
1560770652,14,23
1560772595,35,29
1560774518,34,29
1560776441,42,27
1560778341,37,31
1560780258,29,26
1560782173,31,25
1560784126,41,29
1560786014,32,26
1560787960,47,25
1560789873,32,21
1560791782,42,28
1560793690,36,28
1560795632,32,21
1560797530,14,26
1560799453,31,34
1560801371,17,26
1560803315,33,30
1560805238,19,28
1560807160,29,31
1560809076,35,21
1560810972,28,34
1560814811,30,66
1560816736,27,0
1560818677,16,58
1560820600,28,30
1560822495,30,0
1560824439,26,48
1560828253,32,30
1560830194,28,56
1560832114,25,17
1560834032,30,0
1560836202,39,63
1560838118,35,35
1560840013,20,40
1560841959,23,37
1560843855,28,33
1560845799,20,26
1560847715,8,9
1560849611,16,17
1560851531,9,17
1560853474,33,37
1560855368,35,50
1560858366,29,16
1560860202,26,27
1560862101,25,33
1560868116,30,117
1560870060,28,30
1560871941,35,47
1560873859,40,36
1560875771,36,43
1560879609,16,81
1560881590,28,37
1560883475,25,29
1560885382,26,13
1560887304,21,24
1560889217,38,13
1560891132,26,34
1560893062,24,23
1560894991,19,20
1560896896,28,31
1560899569,25,28
1560901476,29,24
1560903412,32,27
1560905315,27,23
1560907237,31,23
1560909157,23,24
1560911296,30,29
1560913239,26,0
1560915161,22,31
1560917055,22,24
1560918973,29,19
1560920924,31,31
1560922833,34,32
1560924735,27,35
1560926653,21,23
1560928840,29,31
1560930736,21,35
1560932674,20,18
1560934571,29,8
1560936501,10,14
1560938440,14,10
