DateTime,Entries,UniqueIPs
1559918414,17783,18265
1559920333,17791,18274
1559922254,17790,18272
1559926096,17775,18258
1559928017,17774,18257
1559929932,17776,18259
1559931855,17777,18259
1559933769,17794,18277
1559935688,17795,18278
1559937644,17796,18279
1559941467,17777,18260
1559943397,17775,18258
1559945307,17762,18244
1559947215,17765,18247
1559949136,17766,18248
1559952284,17747,18230
1559954175,17756,18239
1559956092,17749,18232
1559958014,17731,18214
1559959945,17738,18221
1559961858,17718,18200
1559963782,17727,18209
1559965939,17718,18197
1559967854,17709,18188
1559969783,17705,18184
1559971690,17696,18175
1559973632,17695,18174
1559975595,17684,18162
1559977459,17676,18153
1559979382,17670,18147
1559981305,17677,18154
1559983458,17667,18145
1559985373,17664,18142
1559987292,17660,18138
1559989223,17660,18138
1559991133,17659,18137
1559993055,17666,18144
1559995011,17665,18144
1559998831,17656,18135
1560000736,17652,18132
1560002901,17651,18131
1560004809,17655,18135
1560006732,17647,18128
1560008655,17649,18128
1560010571,17658,18137
1560012491,17647,18125
1560014415,17643,18120
1560016328,17621,18098
1560018249,17630,18108
1560020167,17635,18114
1560022089,17636,18116
1560024039,17629,18109
1560025939,17629,18108
1560027855,17622,18100
1560029768,17620,18097
1560031703,17618,18095
1560033615,17615,18091
1560035538,17604,18080
1560037452,17595,18071
1560039378,17597,18073
1560041291,17593,18068
1560043213,17591,18066
1560045129,17584,18060
1560047054,17578,18054
1560048968,17569,18045
1560050891,17563,18040
1560052851,17573,18052
1560054743,17574,18053
1560056651,17570,18049
1560058572,17570,18050
1560060493,17567,18047
1560062419,17565,18045
1560064333,17572,18053
1560070096,17556,18037
1560072025,17543,18024
1560073957,17555,18037
1560075852,17552,18034
1560077770,17554,18037
1560079696,17560,18043
1560081637,17564,18047
1560083536,17564,18047
1560085463,17568,18051
1560087372,17569,18052
1560089542,17568,18051
1560093641,17555,18038
1560095533,17554,18037
1560097465,17550,18034
1560099371,17554,18038
1560101295,17556,18041
1560103243,17546,18031
1560105140,17550,18035
1560108974,17530,18015
1560110893,17526,18011
1560112813,17525,18010
1560114738,17526,18011
1560116652,17522,18007
1560118826,17515,17999
1560120733,17525,18009
1560122910,17506,17991
1560124827,17506,17991
1560126735,17503,17988
1560128653,17498,17981
1560130817,17499,17981
1560132735,17500,17981
1560134653,17501,17980
1560136575,17496,17974
1560138493,17498,17976
1560140411,17501,17979
1560142330,17493,17971
1560144251,17496,17973
1560146168,17496,17973
1560148089,17499,17975
1560150030,17503,17979
1560151940,17500,17979
1560153857,17506,17987
1560157697,17499,17980
1560161535,17484,17965
1560163454,17480,17960
1560165378,17472,17952
1560167294,17471,17951
