DateTime,AddedIPs,RemovedIPs
1559918414,48,53
1559920333,57,49
1559922254,45,60
1559926096,51,40
1559928017,52,51
1559929932,50,51
1559931855,44,50
1559933769,53,43
1559935688,50,50
1559937644,47,55
1559941467,43,45
1559943397,50,44
1559945307,44,48
1559947215,35,46
1559949136,50,35
1559952284,55,50
1559954175,40,53
1559956092,45,40
1559958014,47,42
1559959945,39,52
1559961858,47,38
1559963782,52,49
1559965939,49,50
1559967854,45,47
1559969783,47,47
1559971690,43,50
1559973632,46,41
1559975595,46,43
1559977459,53,48
1559979382,60,57
1559981305,56,56
1559983458,49,60
1559985373,19,46
1559987292,20,26
1559989223,60,19
1559991133,62,56
1559993055,50,62
1559995011,58,52
1559998831,65,59
1560000736,54,61
1560002901,65,55
1560004809,54,63
1560006732,57,56
1560008655,53,59
1560010571,55,52
1560012491,60,53
1560014415,60,63
1560016328,56,58
1560018249,53,56
1560020167,53,53
1560022089,55,49
1560024039,55,60
1560025939,52,53
1560027855,47,50
1560029768,45,48
1560031703,53,47
1560033615,44,52
1560035538,43,37
1560037452,44,47
1560039378,61,46
1560041291,49,59
1560043213,48,49
1560045129,53,47
1560047054,46,57
1560048968,45,47
1560050891,46,41
1560052851,61,50
1560054743,59,59
1560056651,50,51
1560058572,47,59
1560060493,50,46
1560062419,51,48
1560064333,48,53
1560070096,48,50
1560072025,54,45
1560073957,60,58
1560075852,64,61
1560077770,62,62
1560079696,56,62
1560081637,59,57
1560083536,56,56
1560085463,58,54
1560087372,51,59
1560089542,59,54
1560093641,42,56
1560095533,47,40
1560097465,45,48
1560099371,52,47
1560101295,49,52
1560103243,48,50
1560105140,52,47
1560108974,51,52
1560110893,49,45
1560112813,57,58
1560114738,54,55
1560116652,52,51
1560118826,43,53
1560120733,57,44
1560122910,58,55
1560124827,50,58
1560126735,48,54
1560128653,54,41
1560130817,56,57
1560132735,48,58
1560134653,51,49
1560136575,54,49
1560138493,54,48
1560140411,50,61
1560142330,69,53
1560144251,51,67
1560146168,43,48
1560148089,44,44
1560150030,54,42
1560151940,50,58
1560153857,50,46
1560157697,45,53
1560161535,20,46
1560163454,49,21
1560165378,33,50
1560167294,50,31
1560169235,60,50
1560171145,47,56
1560173056,45,46
1560174969,41,48
1560176888,46,40
1560178831,40,44
1560180733,50,45
1560182654,39,46
1560184570,32,40
1560186491,48,31
1560188410,44,48
1560190335,37,47
1560192251,42,36
1560194174,42,44
1560196344,42,43
1560198255,41,41
1560200170,41,40
1560202094,45,40
1560204028,43,45
1560205937,38,40
1560207855,49,40
1560210022,52,49
1560211936,47,54
1560213855,54,46
1560215778,43,52
1560217697,50,46
1560219611,40,47
1560221535,48,42
1560223455,50,46
1560225373,46,52
1560227292,53,47
1560229232,57,53
1560231138,56,60
1560233056,53,52
1560234971,54,49
1560236897,57,59
1560238814,62,59
1560240738,28,60
1560242656,42,33
1560244574,31,41
1560246496,17,33
1560248415,26,17
1560250336,49,25
1560252254,46,43
1560258030,59,46
1560259938,38,61
1560261882,46,35
1560263774,56,47
1560265696,46,51
1560267618,45,50
1560269537,43,47
1560271483,59,44
1560273382,54,59
1560275308,61,56
1560277232,55,54
1560279163,55,56
1560281063,63,59
1560282987,61,65
1560284902,61,59
1560286883,60,58
1560288743,64,67
1560290665,53,62
1560292573,60,54
1560294529,53,55
1560296412,56,55
1560298349,54,55
1560300255,54,56
1560302188,54,51
1560304106,44,53
1560306029,33,42
1560307940,54,35
1560309860,51,53
1560311775,59,52
1560313697,65,64
1560317543,56,65
1560319465,49,53
1560321385,45,48
1560323311,62,48
1560325228,55,63
1560327150,25,56
1560329065,55,25
1560330980,23,54
1560332919,50,21
1560334811,47,47
1560336747,50,45
1560338653,47,56
1560340589,48,47
1560342500,50,44
1560344441,37,51
1560346349,47,37
1560348266,48,49
1560350190,44,46
1560352102,49,44
1560354269,39,52
