DateTime,AddedIPs,RemovedIPs
1555397690,4,5
1555408700,1,4
1555419381,1,3
1555429645,3,3
1555440307,3,2
1555450413,2,3
1555461346,6,2
1555471626,2,3
1555482628,2,3
1555493413,3,3
1555504462,2,3
1555515132,1,5
1555526156,3,19
1555536919,0,23
1555547735,3,13
1555557932,0,19
1555568738,1,20
1555579456,2,21
1555590503,2,22
1555600954,2,17
1555612006,5,17
1555623030,2,23
1555633303,6,25
1555643522,2,25
1555654166,2,5
1555664885,2,19
1555675710,6,27
1555686572,6,22
1555697029,5,24
1555708317,3,15
1555718453,5,10
1555729356,4,3
1555740463,2,11
1555751293,4,6
1555762191,3,12
1555773098,7,4
1555784161,4,11
1555794512,3,9
1555805352,7,6
1555816168,1,8
1555827040,2,5
1555838105,3,2
1555848207,5,7
1555859068,4,4
1555868405,0,2
1555879307,5,2
1555889085,1,7
1555899958,6,1
1555910276,1,4
1555921146,3,3
1555932329,5,5
1555942485,2,3
1555953487,3,4
1555964194,2,8
1555973739,2,4
1555984561,3,3
1555995573,2,6
1556005971,1,6
1556016755,1,3
1556027462,3,6
1556038255,1,5
1556049011,3,3
1556059921,1,2
1556070891,3,1
1556081780,2,1
1556092787,2,5
1556103811,7,1
1556114993,2,6
1556125629,2,1
1556136025,3,1
1556146678,1,1
1556157394,3,0
1556168254,1,0
1556179135,4,0
1556189651,1,1
1556200542,2,4
1556211687,1,2
1556222361,3,6
1556233319,3,3
1556243186,3,2
1556253943,1,2
1556264150,2,1
1556273388,6,2
1556284191,2,1
1556304790,3,5
1556315751,0,2
1556326756,4,4
1556337546,2,4
1556348557,3,1
1556359405,2,4
1556370453,0,3
1556381445,3,3
1556392317,5,1
1556403215,9,3
1556413381,2,1
1556423182,4,4
1556434010,3,5
1556444941,2,7
1556455710,3,5
1556465966,5,4
1556476772,1,2
1556487039,5,4
1556497536,1,1
1556508289,4,1
1556519286,2,1
1556530309,3,0
1556539660,2,5
1556550158,2,3
1556561021,3,7
1556571750,1,1
1556581853,1,2
1556593054,2,1
1556603942,4,0
1556625882,1,3
1556635569,1,2
1556646302,0,4
1556657178,7,1
1556668066,5,5
1556679099,2,3
1556689929,2,3
1556700512,2,6
1556711464,0,1
1556722423,3,2
1556733473,0,3
1556744440,6,3
1556754827,4,2
1556765617,2,1
1556776164,4,3
1556787136,4,3
1556798118,1,1
1556809071,2,2
1556819734,4,1
1556830250,1,2
1556841170,4,7
1556852157,2,2
1556863095,0,5
1556873212,2,2
1556884229,1,2
1556895275,3,2
1556906367,3,1
1556917391,0,3
1556928110,2,2
1556938787,6,1
1556949468,0,1
1556971201,3,5
1556982229,2,3
1556993297,28,1
1557004274,6,3
1557015251,5,4
1557026431,4,1
1557037364,2,2
1557046963,1,1
1557058058,2,3
1557069081,13,5
1557079908,5,1
1557090462,3,3
1557101356,3,1
1557111650,4,0
1557122610,3,4
1557133889,1,0
1557144796,2,2
1557155593,5,3
1557166424,4,4
1557176098,4,4
1557187111,2,0
1557197908,3,0
1557208350,3,3
1557219210,2,0
1557229699,2,2
1557239689,0,1
1557250224,0,2
1557261333,2,1
1557272374,2,2
1557282038,1,2
1557292924,1,1
1557303618,4,3
1557314574,3,3
1557325582,7,2
1557336656,0,2
1557347554,5,0
1557359224,7,2
1557370312,4,0
1557381377,4,6
1557392583,6,1
1557403503,3,4
1557414496,0,1
1557425444,3,3
1557436465,4,0
1557446783,2,0
1557457253,0,4
1557468182,4,1
1557479076,6,1
1557489039,0,1
1557500135,0,4
1557511066,3,2
1557521967,8,3
1557532909,3,2
1557544057,4,1
1557555048,4,5
1557565865,2,2
1557576552,2,1
1557586845,2,3
1557597262,1,1
1557608357,2,4
1557624715,0,5
1557635649,7,4
1557645719,4,4
1557656323,2,1
1557666945,0,1
1557677574,3,1
1557688162,1,2
1557698806,5,1
1557709689,4,5
1557720696,6,2
1557731617,6,6
1557742824,3,0
1557753492,2,6
1557764353,3,8
1557775171,0,5
1557786124,1,3
1557797018,0,1
1557807744,1,3
1557818007,1,3
1557828510,0,3
1557839537,0,3
1557849887,5,3
1557860399,3,1
1557871049,2,3
1557881820,5,2
1557892993,2,1
1557903949,2,0
1557914980,1,7
1557925928,2,0
1557936449,1,0
1557946508,2,3
1557957427,3,3
1557967331,3,2
1557978310,3,1
1557988955,3,4
1557999779,4,0
1558009863,1,2
1558020541,4,2
1558031475,6,2
1558042475,5,4
1558053570,4,6
1558064491,3,5
1558075044,3,2
1558085666,1,2
1558096518,3,2
1558107566,3,0
1558118593,4,3
1558129490,3,2
1558140244,4,1
1558151031,6,0
1558161820,0,1
1558172760,2,1
1558183648,3,1
1558193834,1,2
1558204662,1,2
1558215177,4,3
1558225751,4,2
1558236536,2,4
1558247491,2,2
1558258126,5,5
1558268709,3,2
1558279874,1,1
1558290396,0,20
1558301199,2,1
1558312166,3,4
1558322837,2,4
1558333358,1,1
1558344351,2,2
1558355206,2,6
1558365987,1,2
1558376898,1,4
1558387766,6,1
1558398639,2,1
1558409766,0,4
1558420525,1,2
1558431351,0,7
1558442256,0,6
1558452974,1,5
1558463733,0,2
1558474767,1,2
1558485116,1,4
1558495573,1,2
1558506390,4,0
1558517047,2,1
1558527017,1,2
1558537961,1,1
1558549638,1,1
1558560555,1,1
1558571148,3,4
1558581002,3,2
1558591892,2,3
1558602875,2,0
1558613378,1,1
1558623940,3,2
1558634634,1,2
1558645101,3,4
1558654668,0,1
1558663925,3,2
1558674766,4,2
1558685405,2,3
1558695932,0,4
1558706714,1,2
1558717170,2,2
1558727866,2,5
1558738772,3,2
1558749940,6,0
1558760639,5,3
1558771660,2,3
1558782700,8,4
1558793196,3,0
1558804317,5,2
1558815344,3,3
1558826406,2,2
1558836216,1,4
1558846631,0,1
1558857267,1,3
1558868432,1,1
1558878826,4,2
1558889463,2,2
1558900517,3,0
1558911578,3,3
1558922628,6,1
1558933156,0,3
1558943971,3,2
1558954763,5,3
1558965688,0,3
1558977887,7,5
1558990373,4,7
1559000989,3,1
1559011880,4,4
1559022400,1,6
1559032396,3,4
1559042225,2,3
1559052901,2,3
1559063894,4,2
1559074098,1,2
1559084706,1,2
1559095647,0,5
1559106297,3,5
1559127820,1,5
1559138690,1,2
1559148573,1,5
1559159533,2,2
1559169929,3,2
1559180560,2,0
1559191475,0,7
1559202450,1,1
1559213639,3,2
1559224498,3,2
1559234814,3,1
1559245895,0,3
1559256918,3,4
1559267892,6,1
1559278773,2,2
1559289514,3,2
1559300367,4,4
1559311414,3,3
1559322404,2,0
1559333414,5,4
1559344266,3,3
1559355188,5,1
1559366078,1,1
1559377202,4,3
1559388218,0,4
1559398968,4,1
1559410110,3,4
1559421024,3,1
1559432130,5,3
1559443095,8,2
1559453981,1,3
1559465040,2,4
1559476066,3,3
1559487083,2,1
1559498174,5,1
1559509179,3,4
1559520501,4,2
1559531482,1,2
1559541787,11,4
1559552485,7,4
1559563312,10,2
1559574048,6,3
1559585022,6,4
1559595918,5,9
1559607062,5,11
1559618155,4,14
1559629055,4,8
1559639944,10,4
1559651042,4,2
1559661921,8,5
1559672822,6,10
1559683924,8,4
1559694870,7,3
1559705901,4,5
1559716917,13,2
1559727845,7,3
1559738827,9,1
1559749554,7,7
1559760490,9,6
1559771296,10,3
1559782296,12,2
1559793189,8,9
1559804137,8,4
1559815161,12,3
1559826434,9,0
1559837382,8,0
1559848223,14,1
1559859334,7,4
1559870337,6,5
1559881396,8,2
1559892441,9,4
1559903470,6,6
1559914408,6,4
1559925316,5,4
1559936254,12,5
1559947193,12,1
1559958322,10,5
1559969228,8,6
1559980174,2,8
1559991074,15,4
1560001986,7,4
1560012930,6,0
1560023970,13,3
1560034980,11,4
1560046058,13,1
1560057075,16,2
1560068145,10,4
1560079204,22,2
1560090238,14,7
1560101290,15,4
1560112255,7,7
1560123343,20,6
1560134374,17,3
1560145303,13,2
1560156211,11,6
1560167244,4,1
1560178289,13,3
1560189254,12,3
1560200388,9,1
1560211347,12,3
1560222221,6,3
1560233284,6,6
1560244316,5,4
1560255310,15,1
1560266401,13,4
1560277324,6,2
1560288219,11,8
1560298777,10,3
1560309722,9,3
1560320483,8,2
1560331021,7,2
1560341915,9,5
1560353041,11,5
1560363965,15,3
1560374825,5,4
1560385607,5,2
1560396944,12,2
1560407977,12,1
1560418916,10,0
1560429823,7,1
1560440878,9,4
1560451920,7,5
1560463142,7,5
1560474307,13,7
1560485259,3,2
1560495984,11,5
1560507092,7,1
1560518418,8,6
1560529418,14,2
1560540722,15,3
1560551378,8,0
1560561914,10,4
1560572760,8,4
1560583602,8,1
1560594341,11,4
1560605208,8,1
1560616299,8,4
1560627270,9,3
1560635968,13,3
1560746154,3,30
1560757095,10,3
1560768257,8,2
1560779305,12,4
1560789991,25,2
1560801089,9,1
1560812075,11,0
1560823208,6,0
1560834221,3,0
1560845283,5,0
1560856312,11,0
1560867324,5,0
1560878226,8,0
1560889050,8,4
1560899845,11,3
1560909909,8,1
1560920902,4,2
1560931900,11,2
