DateTime,AddedIPs,RemovedIPs
1557855876,985,946
1557859472,928,982
1557863790,967,931
1557867651,916,931
1557872441,948,955
1557879131,955,950
1557883719,974,949
1557888764,940,971
1557892578,925,914
1557998923,939,962
1558003479,991,938
1558007780,953,992
1558012131,991,951
1558016445,921,971
1558020434,975,938
1558024820,944,972
1558035134,924,954
1558038759,931,920
1558042357,987,927
1558045946,970,990
1558051725,947,954
1558056285,938,963
1558061767,986,934
1558065648,979,988
1558068993,963,984
1558073084,954,957
1558077405,940,961
1558080981,988,935
1558083893,982,982
1558091084,939,990
1558101160,976,940
1558106916,947,956
1558111238,955,931
1558116033,967,971
1558119670,940,977
1558123236,976,934
1558126591,919,953
1558139077,986,953
1558141097,949,976
1558147570,979,961
1558151797,954,963
1558156118,922,953
1558160912,955,939
1558164028,968,947
1558167609,949,974
1558171460,974,937
1558175552,952,991
1558179159,941,954
1558182520,970,937
1558186119,928,957
1558189715,929,935
1558194513,931,930
1558201708,945,929
1558205071,928,894
1558208674,910,929
1558212271,978,955
1558217565,951,989
1558223072,948,953
1558230751,983,940
1558234590,973,993
1558240603,923,906
1558243954,949,988
1558248276,995,953
1558251168,951,987
1558254251,961,938
1558258119,985,982
1558261724,987,979
1558266272,980,979
1558274186,934,993
1558279470,990,931
1558283540,949,987
1558310657,972,935
1558318122,948,982
1558322896,925,938
1558329138,954,936
1558333464,945,939
1558336831,977,963
1558340427,958,978
1558344996,945,957
1558347874,972,931
1558351961,978,977
1558378861,956,974
1558379776,708,723
1558383635,945,954
1558389388,937,944
1558392276,970,938
1558398050,951,967
1558404284,977,958
1558409060,990,975
1558413889,960,995
1558419391,946,919
1558423707,985,980
1558428756,984,982
1558432826,938,976
1558438351,954,939
1558444118,951,949
1558448197,939,965
1558452757,972,925
1558456982,927,991
1558465931,995,935
1558470033,934,958
1558473634,867,890
1558477236,944,925
1558481306,968,963
1558485163,936,960
1558489231,979,941
1558494992,982,969
1558498341,957,984
1558504348,915,911
1558507699,940,968
1558513226,963,942
1558517311,939,957
1558539265,932,932
1558541418,932,943
1558550924,965,927
1558554995,984,967
1558559080,929,973
1558562913,971,943
1558566756,969,970
1558570601,948,959
1558574911,947,963
1558578760,938,932
1558582352,921,947
1558585233,986,922
1558588114,958,985
1558590994,942,950
1558592921,919,909
1558593853,669,643
1558596257,985,982
1558598680,975,989
1558602040,988,975
1558605881,945,981
1558608272,976,950
1558611391,950,979
1558614038,938,931
1558616901,976,954
1558620994,966,959
1558626275,988,984
1558634687,939,989
1558637580,961,931
1558640434,892,883
1558643053,419,407
1558643562,447,500
1558646439,956,917
1558649329,939,967
1558652440,985,944
1558654839,991,990
1558657460,953,990
1558661805,984,949
1558663476,912,986
1558666848,989,913
1558669452,991,994
1558673559,983,981
1558679077,992,993
1558686037,944,986
1558689401,987,943
1558692995,921,982
1558698755,980,926
1558702117,974,980
1558705484,975,973
1558709057,986,975
1558712435,958,989
1558715313,990,959
1558719043,926,994
1558722762,982,915
1558726121,932,982
1558730436,994,943
1558733059,925,975
1558736431,963,936
1558742443,976,964
1558745316,950,976
1558748685,945,918
1558752280,969,962
1558755885,958,980
1558758520,797,809
1558762116,908,901
1558765969,946,950
1558770756,990,956
1558774123,929,981
1558777724,990,940
1558781558,942,986
1558785159,974,945
1558788012,985,970
1558792128,979,983
1558795477,979,973
1558799074,895,916
1558801720,974,965
1558805559,500,488
1558806442,487,487
1558809158,990,991
1558812869,975,978
1558817076,951,989
1558821162,936,942
1558831228,986,938
1558835566,938,987
1558842514,946,939
1558848523,972,953
1558855241,945,964
1558858106,956,943
1558861960,961,959
1558865078,958,960
1558867937,939,952
1558870834,947,945
1558874176,980,942
1558877587,977,979
1558880451,968,984
1558883817,977,960
1558886663,947,985
1558890038,984,944
1558893380,916,972
1558896283,989,935
1558901322,971,976
1558907555,969,975
1558911143,922,943
1558921236,951,936
1558922900,935,918
1558927966,956,987
1558931058,982,951
1558934407,981,979
1558937322,968,969
1558941641,920,959
1558944520,940,941
1558948120,994,954
1558954614,988,989
1558959411,917,959
1558962513,930,945
1558966579,920,927
1558970404,926,921
1558975084,934,918
1558982421,926,903
1558986817,940,951
1558990493,923,892
1559004258,902,924
1559009325,981,959
1559036898,982,991
1559039328,930,969
1559044603,952,939
1559049398,974,939
1559052763,950,980
1559056838,975,952
1559059729,986,976
1559062118,963,966
1559064275,949,948
1559067874,899,904
1559076501,930,967
1559080119,988,944
1559083003,979,980
1559086574,969,970
1559090431,986,984
1559093776,988,989
1559097136,990,990
1559103607,981,981
1559106741,934,940
1559110126,980,975
1559113963,956,988
1559117797,989,955
1559121394,919,991
1559126192,979,924
1559130282,989,973
1559134351,936,988
1559138947,978,928
1559142759,950,979
1559147310,936,958
1559154512,919,935
1559188357,947,919
1559210168,973,948
1559213301,944,928
1559216430,927,928
1559219562,917,964
1559223134,951,933
1559226757,937,954
1559229858,933,935
1559233492,955,937
1559237557,939,952
1559241157,920,943
1559246926,991,924
1559251967,954,978
1559266572,938,961
1559269233,954,939
1559275721,980,950
1559288930,947,990
1559291533,967,938
1559309562,980,963
1559316038,960,961
1559321803,928,990
1559326134,936,929
1559330657,950,923
1559335004,947,953
1559349883,958,957
1559360436,946,943
1559363562,970,940
1559391156,929,944
1559392090,826,823
1559426455,893,936
