DateTime,Entries,UniqueIPs
1557863789,9991,9991
1557867650,9991,9991
1557872440,9991,9991
1557879130,9991,9991
1557883718,9991,9991
1557888762,9990,9991
1557892576,9991,9991
1557910821,8500,8500
1557915394,8000,8000
1557948251,3500,3500
1557951368,3000,3000
1557959777,2000,2000
1557968925,1500,1500
1557977312,500,500
1557990508,0,0
1557998922,500,500
1558003478,999,1000
1558007779,1497,1500
1558012130,1997,2000
1558016444,2495,2500
1558020433,2995,3000
1558024819,3494,3500
1558035132,3994,4000
1558038758,4494,4500
1558042356,4994,5000
1558045945,5492,5500
1558051724,5992,6000
1558056283,6492,6500
1558061766,6992,7000
1558065647,7492,7500
1558068992,7992,8000
1558073083,8492,8500
1558077403,8991,9000
1558080980,9491,9500
1558083892,9991,10000
1558091083,9495,9500
1558101159,8998,9000
1558106915,8500,8500
1558111237,8500,8500
1558116031,9000,9000
1558119669,9500,9500
1558123234,9500,9500
1558126590,9500,9500
1558139076,8499,8500
1558141096,8999,9000
1558147569,8998,9000
1558151795,8998,9000
1558156117,8498,8500
1558160911,8498,8500
1558164026,8496,8500
1558167608,8496,8500
1558171458,8495,8500
1558175551,8995,9000
1558179157,8994,9000
1558182519,9494,9500
1558186117,9994,10000
1558189714,9994,10000
1558194512,9993,10000
1558201707,9993,10000
1558205069,9991,10000
1558208673,9990,10000
1558212270,9989,10000
1558217563,9990,10000
1558223071,10490,10500
1558230749,9991,10000
1558234588,9990,10000
1558240602,9989,10000
1558243953,9990,10000
1558248275,9990,10000
1558251166,9991,10000
1558254250,9991,10000
1558258117,9991,10000
1558261723,10489,10500
1558266271,9990,10000
1558274185,9490,9500
1558279469,9490,9500
1558283539,9491,9500
1558310656,6996,7000
1558318120,6998,7000
1558322895,6999,7000
1558329137,6998,7000
1558333463,6997,7000
1558336829,6997,7000
1558340426,6997,7000
1558344995,6497,6500
1558347873,6997,7000
1558351960,6996,7000
1558378859,5498,5500
1558379775,5773,5775
1558383634,6273,6275
1558389387,6773,6775
1558392275,7273,7275
1558398049,7274,7275
1558404282,7773,7775
1558409058,7773,7775
1558413888,7773,7775
1558419390,7773,7775
1558423705,7273,7275
1558428755,7273,7275
1558432824,7273,7275
1558438349,7273,7275
1558444117,7273,7275
1558448195,7773,7775
1558452755,8272,8275
1558456981,8771,8775
1558465929,8996,9000
1558470032,8996,9000
1558473633,8997,9000
1558477235,8997,9000
1558481305,8997,9000
1558485162,8996,9000
1558489229,9496,9500
1558494991,9496,9500
1558498340,9496,9500
1558504347,9496,9500
1558507698,9496,9500
1558513225,9497,9500
1558517310,9497,9500
1558539263,7498,7500
1558541417,7998,8000
1558550922,8000,8000
1558554994,8000,8000
1558559079,8000,8000
1558562912,8000,8000
1558566755,8000,8000
1558570600,7998,8000
1558574910,7996,8000
1558578759,7996,8000
1558582351,7997,8000
1558585232,7997,8000
1558588113,8496,8500
1558590993,8496,8500
1558592920,8950,8954
1558593852,9156,9160
1558596256,9157,9160
1558598679,9657,9660
1558602039,9657,9660
1558605879,9657,9660
1558608270,10156,10160
1558611390,10656,10660
1558614036,11156,11160
1558616899,11656,11660
1558620993,12156,12160
1558626274,12156,12160
1558634686,12156,12160
1558637579,12155,12160
1558640433,12655,12660
1558643562,12656,12660
1558646438,12655,12660
1558649328,12654,12660
1558652438,13154,13160
1558654838,13156,13160
1558657459,13158,13160
1558661804,13157,13160
1558663475,13655,13660
1558666846,13655,13660
1558669450,13655,13660
1558673558,13655,13660
1558679075,13201,13206
1558686036,11995,12000
1558689400,11994,12000
1558692994,11973,12000
1558698753,11470,11500
1558702116,11471,11500
1558705483,11471,11500
1558709056,11472,11500
1558712433,11971,12000
1558715311,11970,12000
1558719042,12470,12500
1558722760,12470,12500
1558726119,12469,12500
1558730434,11969,12000
1558733057,11970,12000
1558736429,11970,12000
1558742442,11470,11500
1558745314,11469,11500
1558748683,11469,11500
1558752278,11470,11500
1558755884,10969,11000
1558758519,11328,11359
1558762115,11330,11359
1558765967,11330,11359
1558770754,11830,11859
1558774122,11831,11859
1558777723,11831,11859
1558781556,11854,11859
1558785157,11856,11859
1558788011,12356,12359
1558792126,11855,11859
1558795475,11855,11859
1558799072,11855,11859
1558801719,11855,11859
1558805559,11854,11859
1558809156,12353,12359
1558812867,11854,11859
1558817075,11854,11859
1558821161,11855,11859
1558831226,11356,11359
1558835565,10856,10859
1558842512,10496,10500
1558848522,9996,10000
1558855240,9996,10000
1558858105,9996,10000
1558861959,9996,10000
1558865077,9997,10000
1558867936,10497,10500
1558870833,10499,10500
1558874175,10498,10500
1558877586,10498,10500
1558880450,10498,10500
1558883816,10498,10500
1558886662,10496,10500
1558890037,10496,10500
1558893378,10496,10500
1558896282,10496,10500
1558901321,10496,10500
1558907554,10496,10500
1558911142,10495,10500
1558921234,10495,10500
1558922898,10470,10475
1558927965,10970,10975
1558931057,10968,10975
1558934405,11467,11475
1558937320,11467,11475
1558941640,11967,11975
1558944518,11466,11475
1558948119,11965,11975
1558954613,10967,10975
1558959409,10968,10975
1558962512,10969,10975
1558966577,10967,10975
1558970403,10467,10475
1558975083,10467,10475
1558982419,9968,9975
1558986816,9968,9975
1558990492,9968,9975
1559004257,9469,9475
1559009324,8994,9000
1559036897,5999,6000
1559039326,6498,6500
1559044602,6499,6500
1559049397,5999,6000
1559052762,6499,6500
1559056836,5999,6000
1559059728,6497,6500
1559062117,6497,6500
1559064273,6997,7000
1559067873,7497,7500
1559076500,6998,7000
1559080118,6998,7000
1559083002,7498,7500
1559086573,7998,8000
1559090430,8497,8500
1559093774,8498,8500
1559097135,8498,8500
1559103605,8997,9000
1559106740,9497,9500
1559110125,9996,10000
1559113962,10496,10500
1559117796,10996,11000
1559121392,11496,11500
1559126190,10998,11000
1559130281,11498,11500
1559134350,11498,11500
1559138946,11498,11500
1559142758,11498,11500
1559147309,10999,11000
1559154511,9997,10000
1559188356,6996,7000
1559210166,4499,4500
1559213299,4498,4500
1559216429,4998,5000
1559219561,4999,5000
1559223133,4999,5000
1559226756,4999,5000
1559229857,4998,5000
1559233490,5498,5500
1559237556,5498,5500
1559241156,5498,5500
1559246924,5998,6000
1559251966,6498,6500
1559266570,6996,7000
1559269232,7496,7500
1559275719,7496,7500
1559288929,7996,8000
1559291532,8495,8500
1559309560,6495,6500
1559316037,6496,6500
1559321802,5996,6000
1559326132,5997,6000
1559330656,5997,6000
1559335002,5996,6000
1559349881,5996,6000
1559360434,5498,5500
1559363561,5496,5500
1559391155,4997,5000
1559392089,5391,5394
1559426453,2894,2894
1559440094,2894,2894
1559444933,3393,3394
1559450676,2894,2894
1559456435,3394,3394
1559462683,3894,3894
1559483778,3500,3500
1559486687,4000,4000
1559491697,4500,4500
1559496766,5000,5000
1559498898,5500,5500
1559501315,5999,6000
1559504681,6499,6500
1559511377,6999,7000
1559515242,6999,7000
1559521229,7499,7500
1559529613,7499,7500
1559535162,7499,7500
1559540679,7499,7500
1559544257,7499,7500
1559548857,7999,8000
1559552439,7999,8000
1559560124,8498,8500
1559573082,8498,8500
1559575945,8498,8500
1559581451,8498,8500
1559614839,5499,5500
1559625875,4999,5000
1559632428,4499,4500
1559659449,3499,3500
1559663544,2999,3000
1559697630,2999,3000
1559704841,2999,3000
1559711334,3499,3500
1559715638,3500,3500
1559722127,3500,3500
1559726416,4000,4000
1559739654,4500,4500
1559743490,5000,5000
1559751635,4500,4500
1559755008,5000,5000
1559760015,5500,5500
1559765324,6000,6000
1559768890,6499,6500
1559774176,6999,7000
1559778525,7499,7500
1559792173,6999,7000
1559802978,6499,6500
1559820011,6000,6000
1559824333,6500,6500
1559834656,6000,6000
1559847685,5000,5000
1559861300,4000,4000
1559884328,3500,3500
1559905453,3500,3500
1559922264,2500,2500
1559930172,3000,3000
1559934499,3000,3000
1559937155,3500,3500
1559940499,4000,4000
1559944095,4500,4500
1559947727,4500,4500
1559952293,5000,5000
1559954892,5500,5500
1559958024,6000,6000
1559962836,6500,6500
1559965457,7000,7000
1559968354,7500,7500
1559972659,7500,7500
1559977461,7999,8000
1559982977,8499,8500
1559985858,8999,9000
1559988739,9499,9500
1559992336,9499,9500
1559995693,9999,10000
1559998841,10499,10500
1560003144,10999,11000
1560006742,11499,11500
1560010808,11499,11500
1560014655,11998,12000
1560018979,11998,12000
1560022574,11998,12000
1560025456,11998,12000
1560029056,11998,12000
1560033142,11998,12000
1560036008,11908,11910
1560043944,11408,11410
1560048263,11408,11410
1560055461,10408,10410
1560066277,9908,9910
1560071300,9908,9910
1560075369,9408,9410
1560078517,9907,9910
1560082105,9408,9410
1560085464,9408,9410
1560089050,9908,9910
1560092652,9908,9910
1560096031,9908,9910
1560104173,9408,9410
1560107542,9408,9410
1560111141,9408,9410
1560115459,8908,8910
1560118339,9408,9410
1560122518,8998,9000
1560126015,9498,9500
1560130343,9998,10000
1560133940,9999,10000
1560138007,9998,10000
1560151451,9998,10000
1560167777,8499,8500
1560170665,8499,8500
1560174259,8498,8500
1560180016,7999,8000
1560187216,7999,8000
1560192260,7999,8000
1560241215,3500,3500
1560254904,3500,3500
1560259950,3500,3500
1560268090,3000,3000
1560280817,2500,2500
1560294541,3000,3000
1560321872,3500,3500
1560327160,4000,4000
1560340107,4000,4000
1560353786,3500,3500
1560364360,3500,3500
1560371540,3500,3500
1560375131,4000,4000
1560379935,4500,4500
1560383544,4499,4500
1560396503,4999,5000
1560402260,5499,5500
1560412579,5499,5500
1560416422,5499,5500
1560420508,5999,6000
1560424826,6499,6500
1560430580,6499,6500
1560437075,6702,6704
1560440410,6702,6704
1560444505,7202,7204
1560448097,7702,7704
1560458657,7203,7204
1560461768,7203,7204
1560465616,7703,7704
1560469217,7703,7704
1560473548,7703,7704
1560486495,7703,7704
1560491300,7217,7218
1560504498,6717,6718
1560507858,6718,6718
1560511226,7217,7218
1560517451,7013,7014
1560521060,7513,7514
1560525139,7512,7514
1560529463,7511,7514
1560533786,7511,7514
1560537386,7511,7514
1560540976,8011,8014
1560545310,8011,8014
1560548667,8012,8014
1560552285,8012,8014
1560557782,8012,8014
1560562585,8012,8014
1560567368,8512,8514
1560571222,9011,9014
1560580094,8997,9000
1560601217,7998,8000
1560614447,6998,7000
1560622579,6498,6500
1560625951,6498,6500
1560629553,6498,6500
1560633377,6499,6500
1560638654,6498,6500
1560644172,6498,6500
1560649474,5999,6000
1560653057,6499,6500
1560666739,5499,5500
1560673239,5999,6000
1560686438,6499,6500
1560754566,1500,1500
1560756252,1892,1892
1560760113,1891,1892
1560763685,2391,2392
1560767564,2891,2892
1560774044,2892,2892
1560777401,3392,3392
1560782897,3892,3892
1560788657,4392,4392
1560829703,4892,4892
1560833356,5392,5392
1560838120,5892,5892
1560841960,6000,6000
1560849867,5500,5500
1560864736,4000,4000
1560865700,4279,4279
1560887789,3779,3779
1560889469,4245,4245
1560893077,4745,4745
1560907238,5245,5245
1560910828,5745,5745
1560924745,4744,4745
1560931248,4744,4745
