DateTime,AddedIPs,RemovedIPs
1557834262,485,485
1557837397,492,492
1557841476,489,489
1557844595,476,476
1557848441,484,484
1557852276,489,489
1557855876,486,486
1557859472,483,483
1557863790,486,486
1557867651,450,450
1557872441,491,491
1557879131,491,491
1557883719,485,485
1557888764,482,482
1557892578,458,458
1557900282,0,500
1557998923,500,0
1558003479,493,493
1558007780,495,495
1558012131,493,493
1558016445,471,471
1558020434,488,488
1558024820,487,487
1558035134,495,495
1558038759,491,491
1558042357,487,487
1558045946,490,490
1558051725,474,474
1558056285,490,490
1558061767,487,487
1558065648,488,488
1558068993,493,493
1558073084,487,487
1558077405,495,495
1558080981,489,489
1558083893,485,485
1558091084,492,492
1558101160,492,492
1558106916,472,472
1558111238,456,456
1558116033,472,472
1558119670,482,482
1558123236,476,476
1558126591,453,453
1558139077,487,487
1558141097,477,477
1558147570,489,489
1558151797,474,474
1558156118,472,472
1558160912,491,491
1558164028,481,481
1558167609,488,488
1558171460,475,475
1558175552,493,493
1558179159,494,494
1558182520,490,490
1558186119,477,477
1558189715,485,485
1558194513,486,486
1558201708,483,483
1558205071,433,433
1558208674,434,434
1558212271,480,480
1558217565,489,489
1558223072,491,491
1558230751,486,486
1558234590,494,494
1558240603,426,426
1558243954,491,491
1558248276,495,495
1558251168,488,488
1558254251,474,474
1558258119,495,495
1558261724,490,490
1558266272,481,481
1558274186,494,494
1558279470,491,491
1558283540,488,488
1558310657,474,474
1558318122,484,484
1558322896,474,474
1558329138,485,485
1558333464,470,470
1558336831,489,489
1558340427,489,489
1558344996,488,488
1558347874,474,474
1558351961,480,480
1558378861,475,475
1558379776,500,500
1558383635,488,488
1558389388,487,487
1558392276,489,489
1558398050,487,487
1558404284,492,492
1558409060,491,491
1558413889,495,495
1558419391,455,455
1558423707,488,488
1558428756,486,486
1558432826,477,477
1558438351,480,480
1558444118,475,475
1558448197,487,487
1558452757,474,474
1558456982,494,494
1558465931,500,500
1558470033,463,463
1558473634,419,419
1558477236,478,478
1558481306,496,496
1558485163,488,488
1558489231,493,493
1558494992,484,484
1558498341,486,486
1558504348,439,439
1558507699,492,492
1558513226,494,494
1558517311,489,489
1558539265,481,481
1558541418,492,492
1558550924,487,487
1558554995,492,492
1558559080,482,482
1558562913,492,492
1558566756,492,492
1558570601,481,481
1558574911,496,496
1558578760,481,481
1558582352,490,490
1558585233,491,491
1558588114,490,490
1558590994,483,483
1558592921,495,495
1558593853,468,468
1558596257,487,487
1558598680,490,490
1558602040,491,491
1558605881,484,484
1558608272,489,489
1558611391,491,491
1558614038,473,473
1558616901,488,488
1558620994,472,472
1558626275,491,491
1558634687,490,490
1558637580,482,482
1558640434,404,404
1558643053,419,419
1558646439,472,472
1558649329,482,482
1558652440,486,486
1558654839,492,492
1558657460,490,490
1558661805,487,487
1558663476,490,490
1558666848,490,490
1558669452,494,494
1558673559,484,484
1558679077,495,495
1558686037,489,489
1558689401,487,487
1558692995,482,482
1558698755,488,488
1558702117,489,489
1558705484,486,486
1558709057,487,487
1558712435,489,489
1558715313,492,492
1558719043,494,494
1558722762,484,484
1558726121,483,483
1558730436,494,494
1558733059,475,475
1558736431,486,486
1558742443,487,487
1558745316,488,488
1558748685,455,455
1558752280,472,472
1558755885,484,484
1558758520,490,490
1558762116,438,438
1558765969,481,481
1558770756,491,491
1558774123,481,481
1558777724,492,492
1558781558,489,489
1558785159,491,491
1558788012,487,487
1558792128,486,486
1558795477,480,480
1558799074,416,416
1558801720,486,486
1558806442,487,487
1558809158,491,491
1558812869,481,481
1558817076,493,493
1558821162,484,484
1558831228,486,486
1558835566,488,488
1558842514,489,489
1558848523,495,495
1558855241,489,489
1558858106,488,488
1558861960,488,488
1558865078,488,488
1558867937,483,483
1558870834,488,488
1558874176,482,482
1558877587,481,481
1558880451,489,489
1558883817,480,480
1558886663,489,489
1558890038,486,486
1558893380,473,473
1558896283,492,492
1558901322,480,480
1558907555,483,483
1558911143,459,459
1558921236,471,471
1558922900,491,491
1558927966,490,490
1558931058,485,485
1558934407,484,484
1558937322,470,470
1558941641,461,461
1558944520,482,482
1558948120,496,496
1558954614,491,491
1558959411,462,462
1558962513,490,490
1558966579,488,488
1558970404,488,488
1558975084,481,481
1558982421,450,450
1558986817,475,475
1558990493,426,426
1559004258,427,427
1559009325,484,484
1559036898,494,494
1559039328,491,491
1559044603,490,490
1559049398,477,477
1559052763,483,483
1559056838,486,486
1559059729,487,487
1559062118,466,466
1559064275,452,452
1559067874,406,406
1559076501,474,474
1559080119,488,488
1559083003,480,480
1559086574,471,471
1559090431,487,487
1559093776,490,490
1559097136,492,492
1559103607,483,483
1559106741,442,442
1559110126,482,482
1559113963,490,490
1559117797,489,489
1559121394,494,494
1559126192,496,496
1559130282,490,490
