DateTime,AddedIPs,RemovedIPs
1558847230,3,0
1558850838,4,2
1558854436,2,2
1558858038,2,1
1558861633,1,1
1558865239,0,1
1558868836,0,1
1558872432,1,3
1558876043,6,1
1558879638,0,2
1558883234,0,3
1558886834,0,2
1558890430,0,1
1558894027,0,3
1558897621,0,4
1558901221,1,3
1558904819,0,2
1558908413,0,3
1558912009,0,10
1558915601,1,14
1558919203,18,18
1558922805,0,10
1558926398,2,1
1558930001,3,3
1558937198,1,2
1558940795,2,1
1558944399,1,0
1558951596,1,0
1558955200,2,0
1558958799,1,1
1558965996,0,2
1558969598,2,1
1558980402,0,1
1558983999,2,4
1558987602,1,1
1558991204,1,2
1558994805,3,0
1558998405,1,1
1559002002,4,0
1559005599,1,12
1559009194,0,8
1559012799,2,2
1559016394,0,3
1559019995,1,3
1559023591,0,1
1559027204,0,1
1559034395,2,3
1559037992,0,1
1559041594,2,0
1559045191,0,2
1559048790,0,2
1559052406,17,2
1559056004,1,0
1559059598,1,2
1559063198,2,1
1559066790,4,9
1559070392,1,3
1559073992,0,3
1559077588,0,2
1559081179,1,4
1559088382,0,5
1559091982,0,3
1559095575,1,2
1559099168,0,3
1559102769,0,1
1559106369,3,1
1559109969,0,1
1559113574,1,2
1559117172,1,0
1559120778,2,1
1559124372,0,4
1559127979,2,0
1559131577,0,1
1559138770,0,19
1559142366,0,1
1559149570,10,1
1559153186,22,0
1559163980,0,2
1559171179,0,2
1559174778,2,1
1559178378,0,1
1559185585,2,0
1559189182,1,0
1559192782,1,0
1559196386,3,0
1559199990,2,0
1559203592,3,0
1559214396,2,0
1559217996,1,0
1559221595,0,1
1559225189,1,15
1559228787,1,8
1559232381,0,1
1559235979,1,2
1559239579,1,5
1559243187,18,1
1559246784,2,0
1559250379,0,5
1559253973,0,5
1559257570,0,2
1559261175,2,2
1559264770,0,3
1559268373,1,2
1559275570,1,0
1559279169,1,3
1559282770,1,3
1559286371,1,1
1559293567,1,2
1559300774,1,0
1559304369,0,2
1559307966,0,1
1559311563,0,6
1559315160,0,11
1559318765,0,1
1559322356,1,0
1559325962,2,0
1559329564,1,4
1559333158,0,2
1559336766,1,3
1559340358,1,1
1559343965,1,0
1559347561,1,0
1559351162,1,1
1559354764,1,2
1559358360,4,6
1559361960,6,0
1559365567,4,0
1559369166,3,2
1559372771,8,3
1559376384,26,1
1559379985,3,1
1559383585,2,0
1559387189,0,2
1559390785,1,3
1559394385,1,4
1559397983,1,2
1559401580,2,3
1559405179,0,2
1559408783,1,2
1559412382,1,1
1559415978,0,4
1559419573,1,1
1559426777,1,3
1559430375,0,3
1559433973,1,2
1559437567,0,17
1559444765,2,4
1559448368,2,1
1559451968,1,1
1559455569,2,2
1559459169,1,2
1559462770,2,2
1559466375,1,0
1559469983,20,0
1559473592,4,1
1559477192,1,3
1559484388,2,1
1559487994,2,1
1559491590,0,1
1559498786,0,2
1559502385,0,2
1559505988,1,1
1559509582,0,2
1559513176,1,4
1559516771,1,5
1559520374,1,0
1559523966,2,23
1559527562,0,1
1559531163,2,2
1559534762,0,4
1559538363,1,0
1559541965,1,1
1559545563,0,3
1559549165,0,1
1559556359,0,4
1559559961,0,1
1559563557,2,0
1559567160,1,0
1559570797,44,0
1559574399,4,3
1559585199,18,0
1559588801,1,1
1559592405,3,3
1559596002,0,2
1559599608,1,3
1559603199,0,1
1559606798,1,2
1559610407,1,0
1559614000,4,0
1559617602,1,2
1559621204,1,0
1559624800,2,1
1559628401,0,1
1559635601,0,1
1559646403,1,1
1559650001,1,1
1559653597,1,3
1559657184,0,22
1559660783,0,1
1559664388,1,0
1559667990,15,4
1559671585,2,4
1559675185,1,1
1559678784,1,1
1559682387,7,1
1559693191,1,1
1559696790,4,2
1559700387,3,0
1559703990,3,0
1559707603,12,0
1559711201,4,2
1559718403,2,1
1559721998,3,2
1559725595,0,2
1559729196,1,0
1559732801,3,1
1559739999,5,1
1559743597,0,1
1559747195,0,1
1559750798,1,0
1559754401,1,2
1559757993,0,17
1559765186,1,0
1559768793,8,0
1559772402,11,0
1559779602,0,1
1559783201,1,1
1559794002,2,0
1559808402,2,1
1559812005,0,1
1559815605,3,0
1559819203,0,1
1559822804,1,1
1559826404,8,0
1559833607,2,2
1559837204,2,0
1559844410,1,0
1559847992,2,23
1559851606,1,0
1559855196,3,1
1559858797,1,0
1559862398,2,0
1559865997,1,2
1559869595,0,1
1559873196,2,1
1559876794,0,1
1559880395,0,1
1559887592,0,2
1559891192,2,1
1559894793,7,2
1559898394,2,0
1559901994,1,0
1559912797,1,1
1559919996,1,1
1559923599,1,0
1559927200,1,0
1559930802,1,1
1559934395,4,2
1559937998,0,1
1559941596,1,0
1559945197,1,0
1559948803,4,1
1559952412,20,2
1559956013,3,0
1559959620,2,1
1559963215,2,3
1559966822,3,1
1559970420,0,1
1559974015,0,1
1559977611,1,5
1559981211,5,18
1559984810,2,0
1559988416,8,1
1559995627,3,1
1559999219,1,1
1560002822,1,1
1560006418,0,2
1560010018,1,0
1560013615,1,3
1560017222,0,2
1560020816,0,2
1560024411,0,3
1560028014,0,1
1560031612,2,1
1560035220,1,2
1560038814,1,0
1560046013,2,1
1560049616,1,1
1560053217,3,1
1560056819,0,1
1560060418,2,3
1560064020,2,0
1560067624,1,5
1560071227,2,2
1560074814,1,20
1560078413,3,1
1560082019,2,3
1560085614,0,2
1560089206,0,3
1560092806,2,4
1560096400,0,2
1560100000,1,1
1560103599,2,2
1560107194,1,2
1560110795,4,1
1560114393,1,2
1560118000,0,2
1560121590,0,1
1560125200,1,1
1560128795,0,1
1560132393,2,0
1560135991,0,2
1560139597,19,0
1560143198,0,1
1560146797,0,3
1560150402,2,0
1560157600,0,1
1560171997,1,1
1560175566,0,43
1560179162,1,4
1560189954,1,19
1560193555,4,1
1560197177,22,0
1560200777,3,0
1560204376,3,0
1560207981,3,0
1560211578,1,0
1560215180,1,2
1560218784,4,2
1560222383,1,0
1560225982,1,2
1560229584,1,0
1560233182,1,0
1560236784,1,0
1560240386,3,1
1560247598,4,0
1560254792,4,0
1560258390,0,1
1560261994,13,2
1560265598,5,0
1560269202,0,1
1560272800,1,19
1560276393,4,3
1560279992,1,1
1560283591,2,1
1560287189,1,3
1560290788,1,1
1560294397,9,0
1560301598,0,4
1560305198,0,2
1560308798,0,2
1560312389,0,3
1560315984,3,12
1560323181,1,0
1560326779,0,1
1560330384,0,1
1560333983,3,1
1560337589,2,3
1560341184,1,0
1560348385,1,0
1560351985,0,1
1560359187,1,3
1560362791,2,0
1560366387,1,0
1560369986,0,1
1560373585,0,8
1560377177,1,12
1560380777,1,0
1560384372,0,2
1560387982,4,2
1560398781,5,5
1560402384,1,2
1560405988,4,0
1560409588,0,1
1560413194,2,2
1560416796,2,0
1560420393,1,1
1560423994,2,2
1560427601,3,0
1560431199,0,7
1560438395,0,2
1560441996,3,2
1560445600,0,1
1560449192,0,2
1560452796,1,3
1560456393,1,3
1560459988,0,2
1560463592,2,6
1560467182,2,4
1560470782,0,1
1560474381,0,2
1560477982,1,1
1560481581,0,1
1560485189,20,0
1560488794,1,1
1560492389,1,1
1560495993,1,2
1560499588,1,6
1560503188,1,1
1560506790,4,2
1560517588,1,2
1560521190,2,0
1560524791,1,0
1560528391,0,1
1560531990,0,1
1560535590,0,1
1560539190,1,3
1560546389,0,1
1560549993,0,1
1560553584,1,3
1560557177,2,17
1560560774,0,3
1560564371,2,2
1560567976,1,2
1560571573,1,4
1560575175,1,0
1560582369,2,2
1560585968,1,3
1560589569,0,1
1560593168,1,2
1560596766,1,2
1560600362,3,3
1560603966,6,3
1560607564,4,2
1560611169,5,0
1560614765,5,3
1560618366,3,5
1560621966,3,0
1560625569,4,2
1560629166,4,0
1560632768,5,0
1560636372,1,0
1560639968,0,1
1560643568,0,1
1560650765,1,1
1560654367,1,0
1560657969,1,0
1560661572,1,0
1560665172,1,1
1560668776,3,0
1560672386,3,0
1560675984,0,2
1560679587,1,0
1560683184,1,1
1560686781,0,3
1560690381,1,2
1560693981,3,0
1560697583,4,1
1560701181,0,2
1560704781,0,2
1560708393,23,3
1560711996,0,1
1560715592,0,5
1560719188,2,1
1560722791,2,4
1560726394,0,2
1560729991,1,0
1560733585,0,1
1560740787,1,0
1560744378,0,20
1560751581,2,0
1560776826,0,2
1560780382,0,1
1560783979,2,1
1560794779,0,1
1560798385,3,2
1560801963,2,14
1560805568,1,1
1560809166,0,1
1560812763,2,1
1560816370,1,0
1560820009,1,1
1560823568,2,0
1560827169,0,1
1560834367,1,1
1560837971,1,1
1560841570,0,1
1560848781,2,0
1560852387,1,4
1560855963,1,1
1560859568,1,1
1560863167,1,0
1560866768,1,17
1560870361,0,7
1560877557,0,1
1560881156,4,1
1560884770,21,0
1560891972,0,2
1560895565,1,3
1560899158,1,9
1560906359,1,0
1560909960,1,1
1560913562,1,1
1560917164,6,0
1560920778,0,1
1560924365,2,1
1560927970,5,1
1560931568,3,0
1560935170,2,0
1560938773,6,3
