DateTime,AddedIPs,RemovedIPs
1558469094,0,1
1558472689,1,2
1558476296,2,1
1558483495,5,0
1558487097,2,1
1558490700,1,0
1558494298,2,1
1558497903,1,0
1558505103,1,2
1558508701,4,1
1558512300,0,1
1558515896,1,1
1558519502,3,0
1558523098,0,1
1558526695,0,19
1558530291,0,3
1558533897,17,0
1558537497,1,0
1558541097,0,1
1558544695,1,2
1558562702,0,1
1558566300,3,0
1558569895,1,1
1558573499,2,0
1558577102,1,0
1558587899,0,1
1558591499,0,1
1558595102,2,0
1558598694,0,1
1558609494,0,2
1558613093,1,2
1558616701,0,3
1558620304,15,2
1558623906,8,3
1558627505,0,6
1558631100,2,4
1558634686,1,22
1558638287,1,3
1558641881,0,4
1558645482,0,2
1558649092,2,3
1558652678,0,10
1558656275,1,2
1558659876,1,7
1558663475,0,1
1558667075,1,2
1558670675,0,1
1558674275,1,0
1558677877,2,0
1558681473,0,6
1558692271,0,2
1558695873,1,0
1558699471,0,1
1558703069,0,1
1558706669,5,1
1558710272,8,2
1558717471,6,0
1558721069,2,20
1558724671,2,2
1558728263,3,1
1558731866,1,1
1558735469,0,2
1558742662,1,3
1558746265,2,2
1558749872,5,0
1558753465,1,2
1558757066,1,0
1558760665,1,1
1558764262,1,0
1558767864,3,1
1558771462,1,0
1558775062,1,0
1558782266,4,0
1558785867,2,2
1558789465,1,0
1558793063,1,0
1558796669,2,0
1558800267,3,0
1558803872,2,0
1558807463,2,20
1558811069,1,0
1558814664,1,0
1558818265,1,1
1558821865,1,3
1558825473,1,0
1558829068,2,1
1558832673,18,2
1558839873,2,0
1558843476,1,0
1558850677,0,1
1558854276,1,1
1558857872,1,0
1558865079,0,1
1558872272,0,2
1558875878,4,1
1558886682,0,1
1558893874,0,2
1558901076,1,0
1558904682,0,1
1558908276,0,1
1558911871,0,9
1558915464,1,14
1558919067,18,18
1558922660,0,10
1558926262,2,1
1558929865,3,3
1558937060,0,2
1558940663,2,1
1558944258,1,0
1558951460,1,0
1558955068,2,0
1558958664,1,1
1558965859,0,2
1558969462,2,0
1558980263,0,1
1558983865,2,4
1558987463,1,1
1558991064,1,2
1558994669,1,0
1558998271,0,1
1559001868,3,0
1559005463,0,11
1559009054,0,8
1559012656,1,2
1559016266,0,3
1559019851,1,3
1559023451,0,1
1559027056,0,1
1559034251,1,3
1559037852,0,1
1559041457,2,0
1559045050,0,2
1559048655,0,2
1559052262,17,2
1559055859,1,0
1559059457,0,2
1559063061,2,1
1559066654,4,6
1559070257,1,3
1559073850,0,3
1559077457,0,2
1559081048,1,1
1559088244,0,5
1559091843,0,3
1559095438,1,2
1559099036,0,3
1559102636,0,1
1559106238,2,1
1559109834,0,1
1559113440,1,2
1559117037,1,0
1559120640,0,1
1559124236,0,4
1559127842,2,0
1559138636,0,19
1559142231,0,1
1559149436,1,1
1559153048,22,0
1559163842,0,2
1559171045,0,2
1559174643,2,1
1559178242,0,1
1559210640,0,1
1559225036,0,13
1559228629,0,8
1559235835,1,1
1559239427,1,3
1559243037,17,0
1559246638,1,0
1559250232,0,3
1559253839,0,1
1559261032,0,2
1559264633,0,2
1559268231,1,1
1559279036,1,1
1559282634,1,2
1559286237,1,1
1559293437,0,1
1559300634,1,0
1559307834,0,1
1559311435,0,6
1559315023,0,11
1559329425,1,4
1559336624,1,3
1559340229,1,1
1559343833,1,0
1559347429,1,0
1559351029,1,1
1559354628,1,2
1559358224,3,6
1559361826,6,0
1559365431,4,0
1559369033,3,2
1559372635,7,3
1559376248,26,1
1559379850,3,1
1559383450,2,0
1559387055,0,2
1559390648,1,3
1559394246,1,4
1559397849,1,2
1559401446,2,2
1559405044,0,2
1559408644,0,2
1559412242,1,1
1559415841,0,4
1559419442,1,1
1559426636,0,3
1559430239,0,3
1559433843,1,2
1559437427,0,17
1559444626,1,4
1559451826,0,1
1559455428,0,1
1559459028,0,1
1559462624,0,2
1559466223,0,1
1559469831,19,0
1559473433,1,1
1559477037,0,2
1559484230,0,1
1559487831,1,1
1559498634,0,2
1559502227,0,1
1559513026,0,2
1559520229,1,0
1559523821,1,23
1559527422,0,1
1559531016,0,2
1559534618,0,4
1559545413,0,3
1559549017,0,1
1559556209,0,4
1559559813,0,1
1559563408,1,0
1559567014,1,0
1559570649,44,0
1559574248,4,2
1559585051,18,0
1559588649,0,2
1559592252,2,3
1559595852,0,1
1559599450,1,1
1559603052,0,1
1559606649,1,2
1559610249,1,0
1559613850,2,0
1559617447,1,1
1559624654,2,1
1559635453,0,1
1559646249,1,1
1559649847,1,2
1559653447,1,0
1559657041,1,21
1559660637,0,1
1559664237,1,0
1559667841,15,4
1559671437,0,3
1559675035,1,1
1559678642,1,1
1559682239,5,1
1559693037,0,1
1559696637,4,2
1559700239,3,0
1559703837,1,0
1559707450,12,0
1559711060,2,1
1559718248,2,1
1559721852,3,2
1559729047,1,0
1559732652,1,1
1559739849,5,1
1559743453,0,1
1559754252,1,2
1559757834,0,17
1559768640,8,0
1559772248,10,0
1559779449,0,1
1559783056,1,1
1559793857,1,0
1559808251,2,0
1559815455,3,0
1559826263,6,0
1559833456,1,1
1559837053,2,0
1559844255,1,0
1559847847,1,22
1559851446,1,0
1559855047,2,0
1559862254,1,0
1559865848,1,0
1559869448,0,1
1559873049,2,1
1559887447,0,1
1559891047,2,1
1559894651,7,1
1559898251,2,0
1559901851,1,0
1559912651,0,1
1559919851,0,1
1559923456,1,0
1559927056,1,0
1559930652,1,1
1559934251,2,1
1559937854,0,1
1559941452,1,0
1559945059,1,0
1559948658,4,1
1559952264,20,2
1559955867,3,0
1559959472,1,1
1559963067,1,2
1559966675,3,1
1559970273,0,1
1559977479,1,4
1559981065,3,18
1559984664,1,0
1559988270,8,1
1559995470,1,1
1559999069,1,1
1560002671,1,1
1560006267,0,2
1560009868,1,0
1560013474,1,2
1560017066,0,2
1560020665,0,2
1560024266,0,3
1560027868,0,1
