DateTime,AddedIPs,RemovedIPs
1551920629,0,1
1551924193,0,1
1551931410,0,3
1551938596,0,1
1551945871,1,0
1551960196,0,1
1551971010,0,1
1551989063,7,0
1551992603,1,0
1551999842,1,1
1552003467,1,4
1552007043,1,0
1552010681,0,3
1552021413,1,0
1552025045,1,0
1552039409,1,0
1552057418,0,1
1552086218,1,0
1552093423,0,1
1552100632,0,1
1552115038,0,1
1552118653,0,1
1552133052,0,1
1552140218,1,0
1552179815,0,1
1552190644,0,1
1552205034,2,0
1552212247,0,1
1552237427,1,0
1552244615,0,1
1552248228,0,2
1552255402,1,0
1552273415,0,1
1552280618,1,0
1552295021,2,0
1552309408,0,1
1552356234,1,0
1552366998,0,1
1552370634,0,1
1552385011,0,1
1552395797,1,0
1552399427,0,1
1552403026,2,0
1552417394,0,1
1552428211,1,0
1552431808,1,1
1552453404,1,2
1552475016,1,0
1552496631,0,1
1552503808,1,0
1552521805,1,0
1552525420,0,1
1552532627,1,0
1552557827,1,0
1552575812,0,1
1552583014,0,2
1552590223,2,0
1552593820,1,0
1552611816,1,1
1552619005,1,0
1552636990,0,1
1552651412,0,1
1552658619,0,1
1552665821,1,0
1552673024,0,1
1552676613,1,0
1552680233,1,0
1552683819,0,1
1552691027,1,0
1552719824,0,1
1552737823,2,0
1552741413,2,0
1552752238,0,1
1552763010,0,1
1552781030,0,2
1552820623,1,0
1552831432,1,0
1552838634,0,1
1552842217,0,1
1552849414,2,0
1552860217,1,0
1552871059,0,1
1552889031,1,0
1552892613,3,0
1552907017,0,1
1552910664,1,0
1552953807,0,1
1552964625,1,0
1552986229,1,0
1553007858,1,0
1553011413,0,1
1553051003,0,1
1553058233,0,1
1553079808,1,1
1553105038,1,0
1553108616,1,0
1553126622,0,1
1553155439,0,1
1553184214,0,1
1553195023,0,1
1553202207,0,1
1553205825,0,1
1553209444,0,1
1553223864,0,1
1553234629,1,0
1553252618,0,1
1553277823,0,1
1553281424,1,0
1553288635,0,1
1553292207,0,1
1553295819,1,0
1553306633,1,0
1553346213,1,0
1553364186,3,0
1553367821,0,1
1553378623,0,2
1553382233,0,1
1553403829,0,1
1553418250,0,1
1553432643,0,1
1553436222,1,1
1553443424,0,1
1553454242,0,1
1553461461,1,0
1553465042,1,1
1553468625,1,0
1553515424,0,1
1553522645,0,1
1553529818,0,1
1553533420,0,1
1553544220,0,2
1553551428,0,1
1553573019,0,1
1553580218,0,1
1553594626,1,0
1553598209,0,2
1553677442,1,0
1553688256,0,2
1553709851,0,1
1553720609,1,0
1553734894,0,1
1553752892,0,2
1553803289,0,1
1553842885,0,1
1553853681,0,1
1553878992,1,0
1553936487,0,1
1553972488,1,1
1553979814,0,1
1553990505,1,0
1553994089,0,1
1554001288,1,0
1554055286,1,0
1554058888,1,0
1554066086,0,1
1554073282,0,1
1554094882,0,1
1554098492,1,0
1554134485,1,0
1554141686,0,1
1554152487,1,0
1554206510,1,0
1554246089,1,1
1554249700,1,0
1554253293,1,0
1554271296,1,0
1554289364,1,1
1554336093,1,0
1554339808,0,1
