DateTime,AddedIPs,RemovedIPs
1558613321,0,2
1558617046,1,0
1558627854,1,0
1558631323,1,1
1558638699,2,2
1558642129,1,1
1558645727,1,0
1558649475,1,2
1558653060,4,2
1558656530,2,1
1558660274,2,3
1558663740,2,1
1558667484,1,0
1558671075,1,2
1558678131,0,2
1558685324,0,2
1558688930,1,1
1558696256,1,2
1558699730,1,0
1558703462,2,1
1558706932,0,1
1558710639,1,2
1558717739,3,0
1558721334,1,2
1558728543,2,0
1558732138,2,1
1558735885,2,2
1558739455,4,0
1558742943,1,2
1558746676,0,2
1558750130,1,6
1558753829,1,4
1558757464,0,7
1558760912,1,3
1558764508,2,4
1558768317,0,4
1558771702,3,1
1558782604,2,0
1558786106,1,0
1558789833,1,1
1558793306,0,1
1558797010,2,0
1558800639,2,1
1558804110,0,1
1558807714,3,3
1558811506,1,2
1558814909,1,2
1558818509,1,0
1558822252,1,1
1558825838,2,0
1558829307,3,6
1558833042,0,4
1558836498,2,4
1558840160,2,0
1558843839,1,1
1558847298,0,1
1558850906,2,1
1558854696,1,1
1558858099,0,1
1558861697,0,1
1558865437,6,0
1558869006,0,3
1558876223,0,2
1558879699,3,1
1558883406,1,0
1558887024,0,1
1558894107,1,1
1558897905,2,1
1558901303,0,1
1558904901,0,1
1558912218,0,3
1558915698,1,2
1558926611,1,0
1558930239,1,1
1558937298,1,2
1558941085,0,1
1558944501,1,1
1558948093,0,1
1558955409,2,2
1558958897,0,1
1558962618,1,0
1558966095,1,0
1558973429,0,2
1558976893,0,1
1558980498,2,1
1558987701,3,1
1558991305,1,1
1558995053,0,6
1558998608,1,8
1559002075,2,5
1559005841,1,2
1559009274,2,1
1559012991,1,1
1559016628,1,1
1559020071,1,2
1559023673,3,0
1559030877,2,1
1559034479,0,3
1559038204,2,0
1559045276,1,1
1559049010,0,3
1559052474,0,1
1559056189,1,0
1559059807,1,1
1559063278,1,1
1559066879,2,1
1559070668,1,1
1559077687,2,0
1559081406,1,0
1559085014,2,1
1559088490,1,2
1559092255,1,2
1559095683,0,1
1559099392,0,2
1559103002,0,1
1559106481,0,2
1559113869,1,2
1559120880,2,1
1559124587,0,1
1559128184,1,0
1559131676,0,1
1559138884,1,0
1559142595,1,0
1559149681,1,0
1559153297,0,1
1559160477,0,1
1559164091,1,1
1559167802,1,1
1559171394,1,1
1559174888,7,4
1559178617,4,2
1559182084,2,4
1559185798,1,2
1559189398,0,1
1559192881,0,2
1559196481,0,1
1559200270,3,2
1559203680,0,2
1559207278,1,0
1559211002,0,1
1559218082,1,1
1559221798,1,3
1559228992,1,0
1559236081,0,1
1559239683,1,0
1559243459,2,3
1559246880,2,2
1559250478,2,0
1559254221,0,3
1559257799,1,1
1559261277,2,2
1559264998,1,6
1559268473,0,2
1559272179,1,2
1559275779,0,2
1559286657,0,1
1559293659,1,3
1559297256,1,0
1559304568,1,0
1559311773,0,1
1559315257,0,4
1559318963,2,0
1559322569,2,1
1559326053,1,1
1559329656,0,4
1559333456,1,2
1559336849,1,1
1559340452,1,2
1559344166,3,1
1559347760,2,0
1559351259,4,1
1559358569,4,1
1559362072,4,2
1559365776,1,0
1559369378,0,1
1559372872,2,0
1559376577,0,2
1559383665,1,2
1559387375,1,4
1559390982,20,1
1559394490,63,2
1559398211,1,0
1559401806,0,2
1559405294,1,1
1559409021,1,2
1559412608,7,1
1559416111,4,0
1559419821,3,3
1559423420,1,0
1559430645,4,0
1559434221,2,0
1559437711,4,1
1559441448,2,4
1559445015,0,3
1559448498,0,1
1559452213,2,2
1559455795,1,2
1559459302,1,0
1559463002,0,2
1559470090,0,2
1559473793,0,2
1559477369,1,0
1559480886,0,1
1559488185,1,1
1559498982,0,1
1559502489,1,3
1559506199,1,0
1559513286,0,2
1559516988,0,1
1559520583,1,4
1559524075,0,2
1559527783,1,1
1559531378,1,1
1559534870,0,2
1559538589,14,0
1559542215,34,0
1559545736,26,1
1559549471,11,1
1559563843,2,0
1559567357,1,0
1559571069,0,1
1559574640,1,0
1559578151,1,0
1559581855,0,5
1559585466,56,1
1559588966,0,5
1559592686,1,1
1559596264,1,2
1559599766,2,2
1559603482,1,0
1559607070,3,1
1559610574,1,3
1559614280,0,5
1559617874,2,0
1559621373,2,1
1559625070,1,0
1559628672,0,1
1559632172,0,1
1559635877,0,1
1559642966,1,2
1559646680,2,0
1559650272,2,0
1559653763,1,1
1559657480,1,0
1559664563,1,1
1559668293,2,0
1559671875,1,3
1559675367,0,3
1559679076,1,4
1559682669,1,2
1559689871,1,0
1559693360,2,3
1559697055,4,4
1559700682,4,2
1559704149,2,2
1559707760,3,0
1559711559,1,0
1559722285,2,1
1559725861,0,1
1559729354,0,2
1559736552,0,1
1559740254,0,1
1559743867,0,2
1559747360,0,2
1559758149,2,1
1559761751,0,1
1559765473,2,0
1559772569,3,0
1559776296,0,1
1559779751,1,2
1559783449,0,2
1559787054,1,2
1559790550,1,3
1559794148,1,1
1559801347,0,2
1559804947,0,2
1559812240,1,3
1559815740,1,2
1559819506,2,0
1559826643,1,1
1559833740,1,2
1559837343,0,1
1559844531,0,1
1559848137,0,2
1559851906,1,0
1559855436,2,1
1559858939,3,0
1559862700,0,1
1559866131,0,3
1559869839,2,4
1559873510,1,2
1559876924,0,3
1559880536,0,1
1559887736,1,1
1559891328,1,2
1559902123,1,1
1559909331,1,0
1559920130,2,1
1559923740,0,3
1559930929,4,1
1559934541,2,0
1559938253,0,1
1559945329,1,0
1559949047,1,3
1559952539,2,0
1559956240,2,2
1559959840,1,1
1559963338,2,0
1559966930,1,3
1559974135,0,2
1559977732,3,1
1559981441,1,0
1559995731,0,8
1559999418,0,46
1560003024,1,2
1560006519,0,1
1560010114,1,1
1560013921,1,1
1560020920,2,0
1560024652,4,0
1560028250,1,2
1560031724,1,1
1560038917,2,3
1560042649,1,9
1560046236,0,1
1560049719,1,0
1560064122,3,1
1560067830,2,2
1560071433,0,3
1560078637,2,1
1560082121,2,0
1560089444,1,0
1560092924,1,2
1560103727,4,1
1560107328,3,3
1560111029,0,3
1560121837,1,2
1560125315,1,1
1560129027,3,2
1560132666,0,2
1560136115,1,3
1560143521,0,11
1560146877,0,30
1560150459,2,28
1560154151,2,13
