DateTime,AddedIPs,RemovedIPs
1554415353,1,0
1554422538,0,1
1554426137,1,0
1554440627,1,1
1554444135,0,1
1554458538,1,0
1554469342,1,0
1554480152,0,1
1554483743,0,3
1554494488,1,0
1554498090,0,1
1554505466,0,1
1554512481,0,2
1554548680,4,2
1554552089,1,0
1554559288,1,0
1554566486,1,0
1554573689,0,2
1554580884,1,3
1554584485,1,1
1554602495,1,0
1554613290,1,0
1554616887,1,0
1554638490,1,1
1554642095,1,1
1554656491,0,1
1554660086,0,2
1554681691,1,0
1554688885,0,1
1554739287,1,0
1554760891,1,0
1554768093,1,0
1554843688,0,1
1554854491,1,0
1554865489,0,1
1554872491,1,0
1554883301,0,1
1554897831,1,0
1554904892,1,1
1554912087,0,3
1554915688,0,5
1554919384,0,4
1554923002,1,2
1554955272,2,0
1554958883,2,0
1554966172,1,0
1554969682,1,0
1554976879,1,0
1554980580,1,0
1554998497,1,0
1555045279,0,1
1555056080,0,1
1555059684,1,0
1555102877,0,1
1555117284,1,0
1555156875,1,4
1555160478,1,0
1555164070,0,1
1555171270,0,1
1555185676,1,1
1555221669,0,1
1555239856,0,1
1555246868,0,1
1555250468,1,0
1555268653,1,0
1555279271,1,0
1555300870,0,1
1555315278,1,0
1555329675,1,0
1555340634,0,1
1555365672,0,1
1555372869,0,1
1555401668,1,0
1555408868,1,0
1555419669,1,0
1555423271,1,0
1555430471,2,0
1555434076,2,0
1555437681,1,0
1555444880,3,0
1555473678,0,1
1555488077,0,2
1555502479,1,0
1555506081,1,0
1555509679,1,0
1555520483,1,1
1555524083,1,0
1555563684,0,1
1555578077,0,2
1555585448,0,1
1555603271,1,3
1555606871,1,1
1555610474,1,0
1555617681,1,0
1555621275,0,1
1555643057,0,1
1555664478,1,1
1555668080,2,0
1555704079,1,1
1555707687,1,0
1555711288,1,0
1555718480,0,1
1555722079,1,0
1555768876,0,1
1555779680,1,0
1555804882,1,0
1555819279,0,1
1555837283,1,0
1555876885,1,1
1555880491,1,0
1555912882,0,1
1555920080,0,1
1555963282,1,0
1555974251,0,1
1555977684,1,0
1556006483,1,1
1556010085,1,0
1556020886,2,1
1556024487,0,1
1556028094,0,1
1556035281,0,2
1556038875,0,1
1556042479,1,1
1556049674,0,4
1556053273,0,1
1556064076,1,0
1556085673,1,0
1556096475,1,0
1556100076,2,0
1556107281,3,1
1556110880,0,1
1556114475,0,1
1556118253,1,0
1556128888,0,2
1556143285,1,0
1556208084,1,1
1556211680,0,1
1556215275,0,1
1556254887,1,0
1556269289,0,1
1556272876,0,1
1556305400,0,1
1556326878,0,1
1556380875,2,0
1556391803,3,0
1556399030,1,0
1556406215,2,0
1556409844,0,1
1556442195,0,1
1556460085,1,0
1556470887,1,0
1556474617,1,0
1556496205,0,1
1556514083,0,1
1556517795,0,1
1556568088,1,0
1556571811,0,1
1556575286,0,1
1556579010,2,0
1556582608,1,0
1556607806,0,1
1556615014,0,1
1556625808,0,3
