DateTime,Entries,UniqueIPs
1553642427,19298,19298
1553646022,19278,19278
1553649626,19252,19252
1553653224,19224,19224
1553656827,19273,19273
1553660417,19261,19261
1553664005,19232,19232
1553667609,19210,19210
1553671214,19189,19189
1553674795,19175,19175
1553678394,19157,19157
1553681973,19146,19146
1553685568,19129,19129
1553689160,19122,19122
1553692772,19142,19142
1553696369,19132,19132
1553699961,19128,19128
1553703594,19106,19106
1553707181,19105,19105
1553714830,19112,19112
1553746427,19137,19137
1553778905,19096,19096
1553811249,18997,18997
1553843581,19003,19003
1553875719,18856,18856
1553908066,18790,18790
1553940162,18677,18677
1553972488,18616,18616
1554004761,18520,18520
1554033343,18422,18422
1554061895,18272,18272
1554089903,17714,17714
1554118465,17596,17596
1554147050,17423,17423
1554175486,17302,17302
1554204189,17276,17276
1554232644,17082,17082
1554262699,17890,17890
1554291052,17587,17587
1554319238,17195,17195
1554347690,17024,17024
1554376395,16975,16975
1554404720,16664,16664
1554433976,16986,16986
1554462542,16888,16888
1554489223,16699,16699
1554503825,16516,16516
1554518141,16437,16437
1554532479,16383,16383
1554546792,16299,16299
1554561119,16218,16218
1554575468,16161,16161
1554589890,16129,16129
1554604345,16218,16218
1554618752,16219,16219
1554633092,16175,16175
1554647437,16135,16135
1554661785,16096,16096
1554676195,16080,16080
1554690520,15997,15997
1554704893,15953,15953
1554719190,15847,15847
1554733523,15781,15781
1554747946,15756,15756
1554762412,15827,15827
1554776827,15848,15848
1554791178,15777,15777
1554805508,15702,15702
1554819897,15651,15651
1554834223,15575,15575
1554848574,15460,15460
1554862841,15321,15321
1554877177,15231,15231
1554891436,15140,15140
1554905829,15128,15128
1554920244,15065,15065
1554934549,15053,15053
1554949016,15142,15142
1554963499,15127,15127
1554977778,15118,15118
1554992169,15080,15080
1555007044,15445,15445
1555021690,15670,15670
1555036118,15784,15784
1555050552,15814,15814
1555064957,15827,15827
1555079324,15834,15834
1555093836,15938,15938
1555108387,16113,16113
1555122687,15964,15964
1555137039,15876,15876
1555151461,15875,15875
1555165848,15869,15869
1555180208,15848,15848
1555194651,15832,15832
1555209116,15892,15892
1555223512,15876,15876
1555237992,15958,15958
1555252450,16001,16001
1555266909,16094,16094
1555281367,16148,16148
1555295758,16172,16172
1555310185,16179,16179
1555324585,16175,16175
1555338979,16172,16172
1555353388,16137,16137
1555367867,16254,16254
1555382249,16248,16248
1555396658,16234,16234
1555411031,16214,16214
1555425390,16145,16145
1555439740,16102,16102
