DateTime,AddedIPs,RemovedIPs
1559114470,4,14
1559117983,1,3
1559121574,3,6
1559125199,3,4
1559128782,6,7
1559132383,4,3
1559135996,1,3
1559139587,6,5
1559143207,12,1
1559146801,4,6
1559150401,3,3
1559154014,7,2
1559157680,2,2
1559161205,2,6
1559164810,3,2
1559168412,2,11
1559172020,1,1
1559179215,2,3
1559182801,5,2
1559186403,2,2
1559190010,6,1
1559193585,0,4
1559197183,2,3
1559200866,4,4
1559204380,3,14
1559207987,7,3
1559211618,6,1
1559215192,5,3
1559218797,3,0
1559222412,1,2
1559225998,5,7
1559229610,5,6
1559233208,3,2
1559236791,3,5
1559240400,4,2
1559244062,0,5
1559247620,5,2
1559251218,2,2
1559254826,0,2
1559258426,0,1
1559262007,0,1
1559265629,0,1
1559269205,1,1
1559272816,0,1
1559276414,3,4
1559280111,157,3
1559283721,9,3
1559287388,6,3
1559293510,6,3
1559298120,6,16
1559301732,3,2
1559305333,0,5
1559308929,5,3
1559312521,0,4
1559316107,1,2
1559319713,2,4
1559323321,0,2
1559326907,7,3
1559330513,2,2
1559334172,7,4
1559337710,1,0
1559341318,12,1
1559344923,3,1
1559352123,3,1
1559355742,2,3
1559359328,1,1
1559362909,2,6
1559366539,1,1
1559370142,2,4
1559373692,0,31
1559377310,3,5
1559380904,4,3
1559384505,2,2
1559388085,5,43
1559391681,3,5
1559395289,61,2
1559398903,1,4
1559402492,1,4
1559406085,1,2
1559409693,0,3
1559413290,4,6
1559416890,3,4
1559420488,4,2
1559424102,1,1
1559427698,0,1
1559431298,1,4
1559434891,0,3
1559438479,1,2
1559442085,2,2
1559445665,0,5
1559449247,2,20
1559452865,1,6
1559456436,3,3
1559460033,4,2
1559463655,2,0
1559467240,3,1
1559470843,7,5
1559474458,2,2
1559478052,2,1
1559481643,4,6
1559485253,2,10
1559488847,3,2
1559492427,1,5
1559496054,3,10
1559499630,2,3
1559503231,5,2
1559506857,1,3
1559510445,1,2
1559514022,1,4
1559517643,0,2
1559521241,1,1
1559524840,3,2
1559528444,3,4
1559532027,1,6
1559535614,2,4
1559539246,2,3
1559542819,1,5
1559546411,4,0
1559550051,11,2
1559553646,5,1
1559557228,3,2
1559560853,3,3
1559564444,2,2
1559568027,9,2
1559571668,3,2
1559575229,4,8
1559578814,1,2
1559582464,3,2
1559586043,1,3
1559589638,5,2
1559593261,2,6
1559596848,1,1
1559600428,1,2
1559604044,3,2
1559611238,3,0
1559614866,5,1
1559618446,2,6
1559622022,0,7
1559625644,3,3
1559629225,1,2
1559632828,8,2
1559636424,1,9
1559640033,3,3
1559643605,0,3
1559647232,4,4
1559650831,4,0
1559654411,5,6
1559658034,4,3
1559661632,4,3
1559665225,3,5
1559668841,3,5
1559672446,1,1
1559676038,2,3
1559679643,1,1
1559683235,2,3
1559686826,4,4
1559690445,3,1
1559694036,2,2
1559697637,1,0
1559701259,3,1
1559704833,3,2
1559708428,6,3
1559712102,1,5
1559715628,0,1
1559719244,5,4
1559722861,3,1
1559726441,1,3
1559730045,3,3
1559733652,6,3
1559737226,2,4
1559740837,3,0
1559744450,2,5
1559748036,17,4
1559751656,5,3
1559755323,17,2
1559758840,3,7
1559762445,3,2
1559766081,3,2
1559769662,4,1
1559773254,3,4
1559776872,1,2
1559780449,0,1
1559784057,1,1
1559787669,4,1
1559791246,2,5
1559794835,1,5
1559798491,2,4
1559802035,4,1
1559805634,5,3
1559809253,7,5
1559812862,4,4
1559816433,6,3
1559820076,2,2
1559823654,3,4
1559827250,5,4
1559830862,1,8
1559834437,2,5
1559838037,3,3
1559841717,2,3
1559845245,3,4
1559848830,2,4
1559852466,3,3
1559856045,3,1
1559859646,2,2
1559863274,1,1
1559866839,1,4
1559870444,0,2
1559874070,4,2
1559877637,3,0
1559881230,3,2
1559884697,1,271
1559888212,1,29
1559891806,3,9
1559895404,5,32
1559898994,1,2
1559902583,0,4
1559906211,4,2
1559909787,1,1
1559913388,3,4
1559917020,4,1
1559920585,3,1
1559924186,1,1
1559927854,2,1
1559931399,3,8
1559935059,0,1
1559938620,2,6
1559942217,4,4
1559945800,2,7
1559949420,0,2
1559952984,1,1
1559956584,2,3
1559960196,4,5
1559963783,3,0
1559967382,4,3
1559971052,1,0
1559974582,4,1
1559978185,3,0
1559981820,32,2
1559985418,1,4
1559989033,3,2
1559992635,4,4
1559996200,5,3
1559999807,2,61
1560003417,1,1
1560006978,2,1
1560010598,0,1
1560014252,2,0
1560017789,1,2
1560021393,2,1
1560025042,3,5
1560028755,0,1
1560032207,3,1
1560035821,0,1
1560039398,2,1
1560043042,1,2
1560046625,0,2
1560050196,2,0
1560053802,2,1
1560057469,2,1
1560060977,1,3
1560064574,2,6
1560068213,1,1
1560071811,5,4
1560075389,3,6
1560079014,3,2
1560082601,6,2
1560086213,1,2
1560089805,2,3
1560093376,1,2
1560096985,3,2
1560100658,0,3
1560104184,2,2
1560107796,2,6
1560111396,2,2
1560118594,2,1
1560122217,1,1
1560125790,1,2
1560129395,2,2
1560133014,2,3
1560136578,2,1
1560143842,5,5
1560147421,3,0
1560150977,10,3
1560154592,6,25
1560158168,3,3
1560161765,3,5
1560165444,4,2
1560172601,5,9
1560176195,5,4
1560179794,6,2
1560183419,0,2
1560187178,5,2
1560190653,3,0
1560194237,3,3
1560197929,7,13
1560201441,0,1
1560205057,5,0
1560208701,1,5
1560212243,1,0
1560215898,0,3
1560219517,1,5
1560223049,3,3
1560226678,5,0
1560230291,4,2
1560233811,3,1
1560237426,10,5
1560241138,21,2
1560244684,4,1
1560248253,2,2
1560251865,3,2
1560255437,4,1
1560259013,1,1
1560262614,4,5
1560266196,4,2
1560269792,1,3
1560273467,2,5
1560277021,3,0
1560280602,4,1
1560284220,1,3
1560287809,1,3
1560291398,1,4
1560295022,0,3
1560298591,1,1
1560302206,1,6
1560305816,1,3
1560309373,2,4
1560312967,2,3
1560316634,1,3
1560320168,6,3
1560323781,3,1
1560327388,2,7
1560330980,4,2
1560334560,2,5
1560338185,6,3
1560341788,4,4
1560345379,1,3
1560348992,1,0
1560352585,3,2
1560356170,6,14
1560359824,0,16
1560363376,4,1
1560366961,3,1
1560370590,2,4
1560374187,3,2
1560377786,0,3
1560381379,1,1
1560384960,1,0
1560388562,4,2
1560392181,2,4
1560395771,1,1
1560399382,6,1
1560403053,7,2
1560406569,7,4
1560410177,7,5
1560413790,5,33
1560417385,7,2
1560421098,6,2
1560424623,5,6
1560428178,4,3
1560431782,4,7
1560435387,2,4
1560438963,2,4
1560442569,2,4
1560446233,1,1
1560449756,4,4
1560453385,0,2
1560457020,4,3
1560460599,2,3
1560464169,1,2
1560467785,4,2
1560471366,2,2
1560474987,1,8
1560478587,2,1
1560482255,5,1
1560485756,3,10
1560489420,4,0
1560492972,3,0
1560496564,4,0
1560500206,21,4
1560503798,2,1
1560507377,0,1
1560511005,5,4
1560514573,4,1
1560518188,4,2
1560521809,1,4
1560525385,2,1
1560528975,2,3
1560532636,0,1
1560536183,2,3
1560539788,1,0
1560543409,0,1
1560546982,0,1
1560550584,12,3
1560554198,5,0
1560557780,0,2
1560561381,2,1
1560564999,1,3
1560568577,2,3
1560572201,2,2
1560575857,2,3
1560579381,2,4
1560582993,4,3
1560586592,4,23
1560590173,5,2
1560593756,1,2
1560597393,2,3
1560600975,3,4
1560604574,5,2
1560608180,2,2
1560611771,4,2
1560615377,3,0
1560619049,2,4
1560622625,0,4
1560626192,1,1
1560629796,3,3
1560633393,5,0
1560636975,1,4
1560640595,1,0
1560644172,5,2
1560647786,1,1
1560654993,2,1
1560658583,1,2
1560662241,2,2
1560665786,7,2
1560669386,1,2
1560673004,3,1
1560676601,4,2
1560680185,1,5
1560683803,3,1
1560687397,5,6
1560691012,1,0
1560694605,2,2
1560698187,3,2
1560701787,2,0
1560705470,9,2
1560709018,1,0
1560712600,4,1
1560716217,3,3
1560719802,0,1
1560723395,2,0
1560727033,4,1
1560730609,1,1
1560734233,1,3
1560737843,1,1
1560741410,0,2
1560745020,2,1
1560748670,3,5
1560752185,3,3
1560755776,4,9
1560759409,22,6
1560763004,3,4
1560766609,6,4
1560770218,7,5
1560773798,2,2
1560777408,5,3
1560781046,3,5
1560784598,8,5
1560788194,3,2
1560791875,4,3
1560795395,1,4
1560799007,2,4
1560802626,4,6
1560806198,2,4
1560809823,1,3
1560813408,0,2
1560817007,1,2
1560820610,2,1
1560824226,1,4
1560827795,1,1
1560831377,2,5
1560835030,2,9
1560838569,3,2
1560842151,3,11
1560845771,2,20
1560849361,5,7
1560852948,8,3
1560856570,4,1
1560860186,3,3
1560863851,5,3
1560867378,12,2
1560870942,3,5
1560874584,2,1
1560878235,4,4
1560881775,4,1
1560885365,4,3
1560888992,1,1
1560892569,2,4
1560896160,1,2
1560899782,2,4
1560903362,2,1
1560906978,1,2
1560910593,2,2
1560914161,1,1
1560917755,2,3
1560921421,1,1
1560924959,6,5
1560928559,6,3
1560932190,10,5
1560935772,7,4
1560939374,1,3
